,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,trade,amp,bitcoin,need,gt,stop,chart,long,exchang,like
iter1_cv_split2,trade,bitcoin,amp,market,like,gt,new,best,support,coin
iter1_cv_split3,trade,bitcoin,amp,market,gt,like,best,exchang,stop,new
iter1_cv_split4,trade,bitcoin,amp,market,gt,time,like,need,day,week
iter1_cv_split5,trade,bitcoin,amp,like,need,market,chart,exchang,new,best
iter2_cv_split1,trade,bitcoin,amp,market,gt,need,exchang,like,best,week
iter2_cv_split2,trade,amp,bitcoin,market,like,gt,need,exchang,week,coin
iter2_cv_split3,trade,bitcoin,amp,market,like,best,new,chart,exchang,coin
iter2_cv_split4,trade,bitcoin,amp,market,gt,support,stop,like,new,need
iter2_cv_split5,trade,bitcoin,amp,market,stop,gt,best,like,profit,need
iter3_cv_split1,trade,amp,bitcoin,market,chart,new,gt,need,coin,like
iter3_cv_split2,trade,bitcoin,amp,like,market,gt,best,stop,new,long
iter3_cv_split3,trade,bitcoin,amp,market,like,support,exchang,new,best,chart
iter3_cv_split4,trade,bitcoin,amp,gt,like,market,stop,need,week,long
iter3_cv_split5,trade,bitcoin,amp,market,gt,need,coin,best,like,exchang
iter4_cv_split1,trade,bitcoin,amp,market,gt,chart,like,new,exchang,coin
iter4_cv_split2,trade,bitcoin,amp,market,like,need,gt,new,chart,best
iter4_cv_split3,trade,amp,bitcoin,market,new,best,like,need,profit,exchang
iter4_cv_split4,trade,bitcoin,amp,like,stop,market,new,gt,need,long
iter4_cv_split5,trade,amp,bitcoin,market,support,gt,stop,exchang,chart,like
iter5_cv_split1,trade,bitcoin,amp,market,gt,like,exchang,chart,week,new
iter5_cv_split2,trade,bitcoin,amp,market,gt,like,new,best,coin,stop
iter5_cv_split3,trade,bitcoin,amp,market,like,gt,chart,new,need,stop
iter5_cv_split4,trade,bitcoin,amp,market,need,like,gt,best,stop,exchang
iter5_cv_split5,trade,bitcoin,amp,market,support,like,new,coin,exchang,profit
iter6_cv_split1,trade,bitcoin,amp,market,gt,like,need,coin,new,chart
iter6_cv_split2,trade,bitcoin,amp,market,stop,chart,best,new,exchang,follow
iter6_cv_split3,trade,bitcoin,amp,market,like,need,best,new,gt,exchang
iter6_cv_split4,trade,amp,bitcoin,market,like,gt,new,chart,exchang,coin
iter6_cv_split5,trade,bitcoin,amp,market,like,gt,need,stop,exchang,profit
iter7_cv_split1,trade,bitcoin,amp,market,like,need,best,gt,new,chart
iter7_cv_split2,trade,bitcoin,market,amp,like,gt,need,exchang,new,chart
iter7_cv_split3,trade,bitcoin,amp,market,gt,like,need,follow,best,chart
iter7_cv_split4,trade,bitcoin,amp,market,gt,new,like,stop,profit,chart
iter7_cv_split5,trade,amp,bitcoin,market,like,exchang,stop,need,coin,new
iter8_cv_split1,trade,amp,bitcoin,market,chart,new,like,gt,stop,need
iter8_cv_split2,trade,bitcoin,amp,market,gt,best,exchang,like,need,follow
iter8_cv_split3,trade,bitcoin,amp,market,like,best,exchang,chart,time,need
iter8_cv_split4,trade,bitcoin,amp,market,new,exchang,like,gt,need,chart
iter8_cv_split5,trade,bitcoin,amp,market,like,gt,new,need,long,stop
iter9_cv_split1,trade,bitcoin,market,amp,gt,like,new,best,time,need
iter9_cv_split2,trade,amp,bitcoin,market,stop,like,gt,profit,exchang,need
iter9_cv_split3,trade,bitcoin,amp,market,like,gt,new,profit,best,chart
iter9_cv_split4,trade,amp,bitcoin,market,need,gt,stop,chart,coin,like
iter9_cv_split5,trade,bitcoin,amp,market,like,chart,need,new,exchang,long
iter10_cv_split1,trade,bitcoin,amp,market,like,need,exchang,gt,support,chart
iter10_cv_split2,trade,bitcoin,amp,market,gt,best,like,peopl,coin,need
iter10_cv_split3,amp,bitcoin,market,like,new,exchang,gt,stop,best,profit
iter10_cv_split4,trade,bitcoin,amp,market,new,stop,need,profit,like,chart
iter10_cv_split5,trade,bitcoin,amp,market,like,gt,coin,new,best,need
iter11_cv_split1,trade,amp,bitcoin,market,like,gt,need,exchang,best,chart
iter11_cv_split2,trade,bitcoin,amp,market,gt,new,like,chart,coin,exchang
iter11_cv_split3,trade,bitcoin,amp,market,like,need,best,day,chart,stop
iter11_cv_split4,trade,bitcoin,amp,market,gt,like,best,chart,exchang,coin
iter11_cv_split5,trade,bitcoin,amp,gt,new,need,market,stop,like,best
iter12_cv_split1,trade,amp,bitcoin,like,stop,need,chart,best,profit,new
iter12_cv_split2,trade,bitcoin,amp,market,gt,like,week,need,invest,use
iter12_cv_split3,trade,bitcoin,market,amp,need,gt,new,exchang,chart,profit
iter12_cv_split4,trade,bitcoin,amp,market,like,gt,best,new,long,price
iter12_cv_split5,trade,amp,bitcoin,market,like,gt,new,support,exchang,chart
iter13_cv_split1,trade,amp,bitcoin,market,gt,support,like,stop,exchang,new
iter13_cv_split2,trade,bitcoin,amp,market,need,stop,gt,chart,like,new
iter13_cv_split3,trade,bitcoin,amp,market,need,like,coin,exchang,chart,week
iter13_cv_split4,trade,bitcoin,amp,gt,chart,market,new,best,like,profit
iter13_cv_split5,trade,bitcoin,amp,market,like,stop,need,gt,long,new
iter14_cv_split1,trade,amp,market,bitcoin,like,gt,need,new,chart,long
iter14_cv_split2,trade,bitcoin,amp,market,gt,like,new,chart,need,stop
iter14_cv_split3,trade,bitcoin,amp,market,gt,best,profit,stop,week,exchang
iter14_cv_split4,trade,bitcoin,amp,market,like,exchang,new,week,profit,chart
iter14_cv_split5,trade,bitcoin,amp,market,like,gt,coin,need,stop,follow
iter15_cv_split1,trade,bitcoin,amp,need,stop,like,coin,profit,long,exchang
iter15_cv_split2,trade,bitcoin,amp,market,new,like,gt,exchang,best,chart
iter15_cv_split3,trade,bitcoin,amp,market,like,time,need,gt,new,best
iter15_cv_split4,trade,bitcoin,amp,market,like,gt,chart,coin,new,exchang
