,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.5056179775280899,0.6966292134831461,0.7851002865329513,0.6991404011461319,1,3,0,21,40,1,4,15,4,14,0,0,51,192,1,15,8,68
iter1_cv_split2,0.42045454545454547,0.6931818181818182,0.8228571428571428,0.7,2,2,0,26,32,3,11,9,3,14,0,0,39,205,1,15,7,69
iter1_cv_split3,0.4431818181818182,0.6931818181818182,0.82,0.7,1,3,0,23,35,3,4,16,3,14,0,0,46,199,0,10,7,74
iter1_cv_split4,0.4827586206896552,0.7011494252873564,0.7948717948717948,0.698005698005698,1,1,1,24,36,1,4,14,5,15,0,0,44,200,1,20,7,64
iter1_cv_split5,0.5116279069767442,0.7093023255813954,0.8068181818181818,0.6960227272727273,0,3,0,19,38,4,5,11,6,15,0,0,39,205,1,17,11,64
iter2_cv_split1,0.5168539325842697,0.6966292134831461,0.7965616045845272,0.6991404011461319,1,2,1,22,38,2,5,11,7,14,0,0,46,197,1,15,9,67
iter2_cv_split2,0.5909090909090909,0.6931818181818182,0.7971428571428572,0.7,1,3,0,14,46,1,8,10,5,14,0,0,46,198,1,17,7,67
iter2_cv_split3,0.3977272727272727,0.6931818181818182,0.8228571428571428,0.7,1,3,0,29,28,4,5,12,6,14,0,0,41,204,0,13,8,70
iter2_cv_split4,0.5402298850574713,0.7011494252873564,0.8062678062678063,0.698005698005698,0,2,1,16,42,3,5,13,5,15,0,0,46,198,1,12,9,70
iter2_cv_split5,0.47674418604651164,0.7093023255813954,0.7982954545454546,0.6960227272727273,0,3,0,22,37,2,5,13,4,15,0,0,48,197,0,16,7,69
iter3_cv_split1,0.5280898876404494,0.6966292134831461,0.8137535816618912,0.6991404011461319,0,3,1,19,42,1,6,12,5,14,0,0,41,202,1,15,8,68
iter3_cv_split2,0.4659090909090909,0.6931818181818182,0.8057142857142857,0.7,1,3,0,21,36,4,9,10,4,14,0,0,47,196,2,12,7,72
iter3_cv_split3,0.45454545454545453,0.6931818181818182,0.8085714285714286,0.7,1,3,0,26,34,1,6,12,5,14,0,0,41,204,0,16,10,65
iter3_cv_split4,0.5172413793103449,0.7011494252873564,0.7977207977207977,0.698005698005698,2,1,0,20,40,1,4,16,3,15,0,0,48,196,1,11,11,69
iter3_cv_split5,0.5116279069767442,0.7093023255813954,0.7926136363636364,0.6960227272727273,0,3,0,19,40,2,7,11,4,15,0,0,50,195,0,14,9,69
iter4_cv_split1,0.4943820224719101,0.6966292134831461,0.8080229226361032,0.6991404011461319,0,3,1,23,37,2,5,11,7,14,0,0,40,203,1,16,10,65
iter4_cv_split2,0.5113636363636364,0.6931818181818182,0.8057142857142857,0.7,1,3,0,21,38,2,9,8,6,14,0,0,47,197,1,11,9,71
iter4_cv_split3,0.4318181818181818,0.6931818181818182,0.8228571428571428,0.7,1,3,0,26,32,3,3,15,5,14,0,0,38,206,1,17,6,68
iter4_cv_split4,0.4482758620689655,0.7011494252873564,0.8005698005698005,0.698005698005698,1,2,0,24,34,3,7,12,4,15,0,0,46,198,1,16,7,68
iter4_cv_split5,0.5116279069767442,0.7093023255813954,0.8011363636363636,0.6960227272727273,0,3,0,17,41,3,7,12,3,15,0,0,48,195,2,14,6,72
iter5_cv_split1,0.48314606741573035,0.6966292134831461,0.7936962750716332,0.6991404011461319,1,3,0,22,38,2,7,12,4,14,0,0,51,191,2,9,10,72
iter5_cv_split2,0.4772727272727273,0.6931818181818182,0.8142857142857143,0.7,1,2,1,19,37,5,6,13,4,14,0,0,42,202,1,16,6,69
iter5_cv_split3,0.5454545454545454,0.6931818181818182,0.8085714285714286,0.7,2,2,0,20,38,3,3,12,8,14,0,0,45,199,1,15,6,70
iter5_cv_split4,0.4942528735632184,0.7011494252873564,0.8005698005698005,0.698005698005698,0,3,0,22,38,1,7,11,5,15,0,0,45,197,3,14,8,69
iter5_cv_split5,0.5697674418604651,0.7093023255813954,0.8039772727272727,0.6960227272727273,0,3,0,20,40,1,4,9,9,15,0,0,43,201,1,17,8,67
iter6_cv_split1,0.47191011235955055,0.6966292134831461,0.8194842406876791,0.6991404011461319,1,3,0,23,38,1,11,9,3,14,0,0,44,198,2,10,7,74
iter6_cv_split2,0.48863636363636365,0.6931818181818182,0.8085714285714286,0.7,1,2,1,21,38,2,4,15,4,14,0,0,45,199,1,15,6,70
iter6_cv_split3,0.45454545454545453,0.6931818181818182,0.8114285714285714,0.7,2,1,1,28,33,0,3,15,5,14,0,0,41,204,0,15,10,66
iter6_cv_split4,0.5287356321839081,0.7011494252873564,0.8034188034188035,0.698005698005698,0,3,0,16,43,2,6,14,3,15,0,0,44,198,3,14,8,69
iter6_cv_split5,0.5116279069767442,0.7093023255813954,0.7926136363636364,0.6960227272727273,1,2,0,17,38,6,3,14,5,15,0,0,50,195,0,16,7,69
iter7_cv_split1,0.5056179775280899,0.6966292134831461,0.8080229226361032,0.6991404011461319,1,3,0,20,38,4,12,5,6,14,0,0,46,196,2,10,9,72
iter7_cv_split2,0.5227272727272727,0.6931818181818182,0.8,0.7,0,3,1,17,42,2,5,14,4,14,0,0,46,199,0,17,7,67
iter7_cv_split3,0.45454545454545453,0.6931818181818182,0.8057142857142857,0.7,3,1,0,25,34,2,5,15,3,14,0,0,44,200,1,16,7,68
iter7_cv_split4,0.45977011494252873,0.7011494252873564,0.8062678062678063,0.698005698005698,0,3,0,26,34,1,6,11,6,15,0,0,42,203,0,16,10,65
iter7_cv_split5,0.5348837209302325,0.7093023255813954,0.8153409090909091,0.6960227272727273,0,3,0,18,42,1,4,14,4,15,0,0,42,202,1,13,9,70
iter8_cv_split1,0.4606741573033708,0.6966292134831461,0.7994269340974212,0.6991404011461319,1,3,0,24,36,2,9,10,4,14,0,0,45,196,3,13,9,69
iter8_cv_split2,0.5,0.6931818181818182,0.7971428571428572,0.7,0,4,0,19,41,1,4,16,3,14,0,0,44,200,1,17,9,65
iter8_cv_split3,0.4659090909090909,0.6931818181818182,0.8314285714285714,0.7,2,1,1,23,33,5,3,14,6,14,0,0,42,202,1,11,5,75
iter8_cv_split4,0.5287356321839081,0.7011494252873564,0.7977207977207977,0.698005698005698,0,2,1,18,41,2,8,10,5,15,0,0,46,198,1,16,8,67
iter8_cv_split5,0.4883720930232558,0.7093023255813954,0.8068181818181818,0.6960227272727273,1,2,0,25,36,0,9,8,5,15,0,0,46,199,0,13,9,70
iter9_cv_split1,0.48314606741573035,0.6966292134831461,0.7793696275071633,0.6991404011461319,2,2,0,25,36,1,3,15,5,14,0,0,50,193,1,15,11,65
iter9_cv_split2,0.5681818181818182,0.6931818181818182,0.7885714285714286,0.7,1,3,0,17,44,0,5,13,5,14,0,0,49,194,2,16,7,68
iter9_cv_split3,0.4772727272727273,0.6931818181818182,0.8342857142857143,0.7,2,2,0,28,32,1,7,8,8,14,0,0,38,205,2,11,7,73
iter9_cv_split4,0.5172413793103449,0.7011494252873564,0.811965811965812,0.698005698005698,0,3,0,19,41,1,5,14,4,15,0,0,42,201,2,16,6,69
iter9_cv_split5,0.5232558139534884,0.7093023255813954,0.8068181818181818,0.6960227272727273,0,2,1,19,38,4,7,8,7,15,0,0,45,200,0,14,9,69
iter10_cv_split1,0.48314606741573035,0.6966292134831461,0.8022922636103151,0.6991404011461319,0,3,1,22,37,3,3,14,6,14,0,0,45,196,3,14,7,70
iter10_cv_split2,0.4772727272727273,0.6931818181818182,0.7771428571428571,0.7,2,1,1,21,36,4,6,13,4,14,0,0,53,191,1,16,8,67
iter10_cv_split3,0.48863636363636365,0.6931818181818182,0.8085714285714286,0.7,1,3,0,22,38,1,4,15,4,14,0,0,44,200,1,13,9,69
