,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,need,ask,adjust,bimpress,edit,ahead,fk,analyst,proceed,myspac
iter1_cv_split2,possibl,btc,nice,chart,ask,bimpress,smoke,wake,analyst,pamp
iter1_cv_split3,need,tether,futur,ask,trader,pamp,edit,myspac,analyst,gent
iter1_cv_split4,ask,need,group,tether,myspac,mankind,gent,proceed,adjust,bimpress
iter1_cv_split5,need,btc,probabl,sure,wake,tether,mega,adjust,bimpress,ih
iter2_cv_split1,need,btc,sure,hyperbitcoin,bimpress,proceed,baller,rest,pamp,wake
iter2_cv_split2,futur,btc,need,tether,edit,smellyalat,gent,satoshi,bimpress,fk
iter2_cv_split3,need,tether,chart,ih,gent,smoke,fk,mankind,mega,bimpress
iter2_cv_split4,group,need,ask,tether,myspac,adjust,proceed,mega,fk,gent
iter2_cv_split5,adjust,btc,analyst,edit,bimpress,myspac,mankind,need,ema,group
iter3_cv_split1,need,tether,chart,btc,sure,trader,smoke,analyst,myspac,mega
iter3_cv_split2,need,adjust,ask,group,mega,headshot,pamp,proceed,bimpress,mankind
iter3_cv_split3,need,insid,wake,discount,tether,probabl,adjust,disappoint,gent,edit
iter3_cv_split4,need,tether,probabl,adjust,presal,bullish,bimpress,edit,pamp,chart
iter3_cv_split5,ask,need,adjust,btc,bimpress,analyst,edit,fk,myspac,mega
iter4_cv_split1,need,sure,analyst,wake,bimpress,gent,edit,rest,smoke,mankind
iter4_cv_split2,tether,need,ask,profit,gent,myspac,pamp,analyst,fk,headshot
iter4_cv_split3,probabl,mega,tether,baller,myspac,proceed,fk,edit,smoke,bimpress
iter4_cv_split4,need,chart,discount,btc,probabl,ask,block,proceed,mega,bimpress
iter4_cv_split5,discount,tether,need,adjust,wedg,presal,wake,pamp,analyst,bimpress
iter5_cv_split1,need,presal,exit,ih,fk,bimpress,myspac,edit,mankind,ahead
iter5_cv_split2,need,chart,ask,analyst,wake,margin,headshot,myspac,proceed,pamp
iter5_cv_split3,btc,need,tether,sure,block,mega,proceed,baller,fk,trader
iter5_cv_split4,need,altcoin,group,presal,btc,discount,adjust,wake,headshot,myspac
iter5_cv_split5,tether,ask,kind,probabl,analyst,btc,baller,edit,mankind,myspac
iter6_cv_split1,tether,ask,need,probabl,wake,baller,analyst,pamp,mega,proceed
iter6_cv_split2,need,trader,gold,wake,edit,gent,adjust,myspac,proceed,fk
iter6_cv_split3,need,tether,futur,sure,altcoin,analyst,margin,proceed,mankind,smoke
iter6_cv_split4,need,chart,btc,discount,ih,adjust,bitcoin,proceed,myspac,mega
iter6_cv_split5,tether,edit,headshot,bimpress,fk,pamp,gent,possibl,trader,mankind
iter7_cv_split1,need,ask,possibl,abov,myspac,edit,mega,analyst,bimpress,fk
iter7_cv_split2,need,presal,ask,probabl,trader,adjust,myspac,tether,fk,baller
iter7_cv_split3,need,tether,insid,futur,sure,ask,satoshi,analyst,headshot,bimpress
iter7_cv_split4,need,btc,trust,mega,bimpress,analyst,headshot,myspac,adjust,smoke
iter7_cv_split5,group,adjust,tether,ih,wake,pamp,headshot,mankind,gent,freebi
iter8_cv_split1,need,tether,probabl,adjust,ask,everi,edit,gent,myspac,wake
iter8_cv_split2,altcoin,tether,presal,ih,gent,analyst,wake,baller,bimpress,mankind
iter8_cv_split3,need,tether,futur,adjust,btc,possibl,margin,edit,analyst,pamp
iter8_cv_split4,need,btc,adjust,fk,analyst,bimpress,gent,baller,sure,mega
iter8_cv_split5,need,probabl,pamp,headshot,rest,edit,gent,smoke,analyst,myspac
iter9_cv_split1,chart,need,ask,tether,altcoin,analyst,wake,smoke,headshot,gent
iter9_cv_split2,need,tether,btc,mega,edit,baller,analyst,bimpress,proceed,sure
iter9_cv_split3,ask,tether,presal,bimpress,gent,wake,pamp,mankind,proceed,edit
iter9_cv_split4,need,btc,adjust,probabl,discount,ask,wake,gent,pamp,analyst
iter9_cv_split5,need,adjust,kind,proceed,baller,ih,bimpress,margin,myspac,mega
iter10_cv_split1,adjust,edit,baller,myspac,bimpress,mega,fk,group,ask,gent
iter10_cv_split2,need,chart,sure,futur,tether,discount,edit,bimpress,proceed,headshot
iter10_cv_split3,need,btc,group,adjust,tether,edit,gent,mega,baller,fk
iter10_cv_split4,need,break,tether,ask,ih,nice,wake,presal,baller,myspac
iter10_cv_split5,need,ani,tether,gold,wake,analyst,pamp,bimpress,fk,headshot
iter11_cv_split1,need,chart,possibl,altcoin,presal,ask,adjust,fk,hyperbitcoin,tether
iter11_cv_split2,need,futur,ask,sure,kind,chart,analyst,pamp,gent,fk
iter11_cv_split3,need,tether,probabl,nice,myspac,proceed,mega,wake,bimpress,edit
iter11_cv_split4,need,btc,discount,adjust,insid,analyst,myspac,tether,headshot,bimpress
iter11_cv_split5,ih,btc,pamp,smellyalat,analyst,headshot,wake,disappoint,bimpress,edit
iter12_cv_split1,need,wake,possibl,discount,tether,smellyalat,pamp,baller,gent,bimpress
iter12_cv_split2,need,ask,analyst,bitcoinenough,gent,headshot,pamp,smoke,myspac,edit
iter12_cv_split3,tether,presal,need,probabl,btc,group,ih,adjust,edit,baller
iter12_cv_split4,need,futur,edit,tether,bimpress,analyst,proceed,mega,baller,gent
iter12_cv_split5,need,tether,ask,probabl,trader,adjust,fk,analyst,bimpress,headshot
iter13_cv_split1,need,trader,sure,edit,bimpress,presal,abov,ahead,fk,smoke
iter13_cv_split2,need,tether,futur,myspac,baller,fk,analyst,edit,mega,bimpress
iter13_cv_split3,need,tether,ask,adjust,probabl,gent,proceed,mankind,mega,baller
iter13_cv_split4,ask,tether,trust,chart,btc,peopl,nice,presal,adjust,wake
iter13_cv_split5,need,group,discount,ask,chart,tether,probabl,wake,mankind,proceed
iter14_cv_split1,need,tether,probabl,edit,baller,bimpress,proceed,wake,mega,abov
iter14_cv_split2,need,ask,run,adjust,btc,sure,group,analyst,tether,presal
iter14_cv_split3,need,tether,insid,wake,group,btc,discount,ih,analyst,edit
iter14_cv_split4,need,futur,chart,ask,adjust,pamp,rest,bimpress,fk,gent
iter14_cv_split5,ask,wake,mega,tether,baller,proceed,myspac,analyst,everi,gent
iter15_cv_split1,ani,tether,need,group,ask,ih,myspac,gent,proceed,wake
iter15_cv_split2,need,ask,chart,btc,headshot,proceed,pamp,bimpress,edit,baller
iter15_cv_split3,altcoin,tether,discount,trader,mankind,gold,wake,probabl,myspac,gent
iter15_cv_split4,need,adjust,wake,possibl,analyst,gent,baller,tether,mega,bimpress
iter15_cv_split5,need,insid,btc,headshot,myspac,bimpress,edit,proceed,pamp,fk
iter16_cv_split1,need,ask,sure,tether,block,baller,edit,analyst,mega,myspac
iter16_cv_split2,tether,ask,chart,altcoin,need,probabl,fk,bimpress,myspac,proceed
iter16_cv_split3,need,tether,ask,gent,mega,proceed,smoke,baller,myspac,adjust
iter16_cv_split4,need,kind,sure,mega,baller,proceed,fk,ih,mankind,gent
iter16_cv_split5,need,btc,discount,probabl,gent,headshot,wake,hyperbitcoin,edit,bimpress
iter17_cv_split1,trader,tether,group,margin,ih,analyst,baller,myspac,mega,mankind
iter17_cv_split2,need,chart,btc,group,bimpress,analyst,proceed,pamp,fk,smoke
iter17_cv_split3,discount,need,presal,come,baller,headshot,mankind,wake,mega,smoke
iter17_cv_split4,tether,need,presal,nice,probabl,ask,wake,possibl,chart,ih
iter17_cv_split5,need,btc,tether,futur,sure,bimpress,fk,gent,edit,analyst
iter18_cv_split1,tether,chart,wake,nice,pamp,myspac,mankind,smoke,edit,gent
iter18_cv_split2,need,btc,adjust,futur,edit,analyst,bimpress,fk,proceed,bigger
iter18_cv_split3,need,presal,tether,altcoin,break,btc,probabl,adjust,ih,myspac
iter18_cv_split4,need,tether,discount,trader,adjust,ani,ask,chart,pamp,baller
iter18_cv_split5,need,discount,analyst,fk,wake,mankind,pamp,headshot,gent,baller
iter19_cv_split1,need,btc,sure,altcoin,tether,futur,bimpress,fk,gent,kind
iter19_cv_split2,need,chart,wake,discount,trader,group,analyst,rest,bimpress,pamp
iter19_cv_split3,ask,need,possibl,group,mankind,baller,edit,fk,headshot,analyst
iter19_cv_split4,need,tether,probabl,trader,chart,analyst,pamp,myspac,mankind,edit
iter19_cv_split5,ask,tether,probabl,ih,adjust,need,btc,freebi,baller,analyst
iter20_cv_split1,need,chart,analyst,baller,pamp,wake,gent,edit,headshot,proceed
iter20_cv_split2,tether,btc,need,group,probabl,wake,break,pamp,adjust,gent
iter20_cv_split3,need,tether,btc,ask,wake,pamp,mega,mankind,bimpress,analyst
iter20_cv_split4,futur,abov,presal,discount,ih,tether,bimpress,analyst,gent,proceed
iter20_cv_split5,need,trader,edit,mankind,baller,bimpress,mega,analyst,pamp,sure
iter21_cv_split1,tether,trader,need,probabl,bimpress,mega,analyst,myspac,baller,edit
iter21_cv_split2,group,sure,ask,chart,bimpress,baller,mega,ih,adjust,analyst
iter21_cv_split3,need,tether,adjust,exit,wake,fk,mega,myspac,baller,gent
iter21_cv_split4,need,headshot,myspac,edit,proceed,gent,pamp,bimpress,ahead,fk
