,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,doe,sold,kind,onli,price,balanc,credit,current,dos,climb
iter1_cv_split2,holder,doe,kind,onli,price,human,massiv,util,credit,import
iter1_cv_split3,holder,doe,onli,everi,shitcoin,current,coin,target,hope,start
iter1_cv_split4,holder,current,onli,massiv,dos,vtc,climb,import,don,talk
iter1_cv_split5,holder,valu,current,human,util,credit,remind,level,alreadi,numero
iter2_cv_split1,holder,current,onli,everi,satoshi,human,price,credit,remind,import
iter2_cv_split2,holder,calm,sold,abc,current,doe,credit,know,talk,feel
iter2_cv_split3,holder,sell,current,kind,massiv,climb,vtc,dos,import,remind
iter2_cv_split4,holder,doe,onli,human,current,dos,vtc,climb,coin,don
iter2_cv_split5,doe,sold,price,current,numero,dos,climb,vtc,import,support
iter3_cv_split1,holder,doe,current,onli,everi,human,shitcoin,massiv,util,balanc
iter3_cv_split2,holder,doe,onli,satoshi,credit,current,target,vtc,climb,dos
iter3_cv_split3,holder,doe,price,current,human,credit,coin,alreadi,numero,remind
iter3_cv_split4,holder,abc,calm,sold,sell,current,credit,remind,import,climb
iter3_cv_split5,sold,price,current,onli,human,satoshi,balanc,massiv,coin,shitcoin
iter4_cv_split1,holder,current,massiv,util,balanc,credit,import,vtc,dos,climb
iter4_cv_split2,holder,doe,sold,kind,onli,shitcoin,current,credit,level,import
iter4_cv_split3,holder,sell,human,doe,massiv,current,onli,vtc,numero,climb
iter4_cv_split4,holder,onli,current,human,price,massiv,remind,import,hope,numero
iter4_cv_split5,doe,abc,calm,sold,current,util,credit,vtc,dos,climb
iter5_cv_split1,holder,kind,doe,sell,human,price,massiv,credit,vtc,dos
iter5_cv_split2,sold,massiv,credit,current,import,remind,numero,climb,vtc,dos
iter5_cv_split3,holder,current,everi,human,balanc,support,hope,offici,place,critic
iter5_cv_split4,holder,doe,human,dos,vtc,climb,current,import,noth,sockpuppet
iter5_cv_split5,holder,current,doe,onli,price,credit,massiv,level,don,sockpuppet
iter6_cv_split1,holder,doe,current,credit,shitcoin,import,remind,don,climb,numero
iter6_cv_split2,holder,doe,current,human,onli,massiv,dos,vtc,climb,import
iter6_cv_split3,holder,doe,onli,satoshi,credit,littl,import,feel,don,price
iter6_cv_split4,sold,current,price,human,everi,shitcoin,credit,doe,dos,climb
iter6_cv_split5,holder,sold,current,onli,price,human,massiv,target,remind,alreadi
iter7_cv_split1,holder,doe,onli,current,target,import,hope,use,don,feel
iter7_cv_split2,holder,doe,current,onli,satoshi,util,massiv,balanc,credit,remind
iter7_cv_split3,doe,sell,price,onli,current,vtc,alreadi,dos,climb,import
iter7_cv_split4,holder,sold,current,price,human,everi,credit,dos,numero,climb
iter7_cv_split5,holder,abc,sold,calm,doe,valu,massiv,util,balanc,credit
iter8_cv_split1,holder,doe,current,remind,import,dos,climb,vtc,coin,feel
iter8_cv_split2,holder,valu,onli,everi,human,doe,balanc,massiv,price,know
iter8_cv_split3,abc,sold,calm,doe,current,human,appreci,util,credit,balanc
iter8_cv_split4,holder,doe,satoshi,onli,shitcoin,massiv,current,littl,vtc,climb
iter8_cv_split5,holder,sell,kind,level,import,credit,dos,vtc,numero,climb
iter9_cv_split1,holder,sold,current,price,everi,human,shitcoin,import,support,form
iter9_cv_split2,current,onli,everi,price,massiv,credit,level,import,dos,climb
iter9_cv_split3,holder,doe,onli,massiv,util,balanc,target,credit,remind,know
iter9_cv_split4,holder,abc,sold,calm,human,alreadi,numero,vtc,dos,climb
iter9_cv_split5,doe,price,current,credit,climb,numero,vtc,dos,financi,let
iter10_cv_split1,holder,doe,current,onli,massiv,credit,target,import,alreadi,vtc
iter10_cv_split2,sell,current,valu,human,massiv,credit,climb,dos,vtc,import
iter10_cv_split3,holder,kind,doe,everi,human,vtc,climb,numero,dos,critic
iter10_cv_split4,holder,onli,human,massiv,shitcoin,balanc,credit,remind,level,import
iter10_cv_split5,holder,sold,price,kind,current,human,coin,doe,import,balanc
iter11_cv_split1,kind,sell,current,onli,price,massiv,credit,import,level,coin
iter11_cv_split2,holder,current,valu,balanc,doe,shitcoin,vtc,climb,dos,support
iter11_cv_split3,holder,current,sold,onli,human,everi,price,vtc,dos,numero
iter11_cv_split4,holder,abc,calm,sold,human,doe,credit,import,know,hope
iter11_cv_split5,holder,doe,price,onli,shitcoin,balanc,credit,numero,dos,vtc
iter12_cv_split1,holder,abc,calm,sold,current,onli,doe,massiv,balanc,dos
iter12_cv_split2,holder,doe,current,price,kind,human,climb,vtc,numero,dos
iter12_cv_split3,holder,price,littl,import,doe,numero,igni,wish,place,current
iter12_cv_split4,holder,sold,onli,everi,human,shitcoin,credit,know,hope,level
iter12_cv_split5,doe,valu,current,onli,shitcoin,util,massiv,credit,remind,level
iter13_cv_split1,current,onli,price,everi,human,massiv,scale,balanc,import,level
iter13_cv_split2,holder,abc,sold,calm,price,sell,everi,doe,current,credit
iter13_cv_split3,holder,doe,current,price,everi,human,util,numero,dos,vtc
iter13_cv_split4,holder,doe,kind,onli,import,remind,current,hope,alreadi,place
iter13_cv_split5,holder,doe,current,onli,massiv,credit,import,remind,vtc,dos
iter14_cv_split1,holder,target,price,onli,massiv,import,level,doe,credit,vtc
iter14_cv_split2,holder,doe,abc,calm,sold,kind,onli,valu,human,massiv
iter14_cv_split3,holder,current,onli,doe,shitcoin,massiv,vtc,climb,dos,critic
iter14_cv_split4,current,satoshi,human,price,numero,dos,climb,vtc,credit,alreadi
iter14_cv_split5,holder,doe,onli,human,shitcoin,credit,level,import,current,noth
iter15_cv_split1,holder,doe,satoshi,onli,current,credit,dos,vtc,climb,use
iter15_cv_split2,current,doe,onli,human,satoshi,massiv,import,credit,vtc,climb
iter15_cv_split3,holder,kind,onli,current,price,vtc,dos,numero,climb,level
iter15_cv_split4,holder,calm,sold,abc,doe,current,human,util,credit,alreadi
iter15_cv_split5,holder,sell,doe,current,human,everi,massiv,import,payment,coin
iter16_cv_split1,doe,valu,onli,util,massiv,credit,import,remind,know,climb
iter16_cv_split2,holder,sold,kind,sell,price,current,shitcoin,massiv,coin,alreadi
iter16_cv_split3,holder,doe,onli,current,price,credit,don,integr,talk,feel
iter16_cv_split4,holder,doe,current,human,price,massiv,credit,numero,dos,climb
iter16_cv_split5,holder,doe,human,littl,numero,dos,climb,vtc,remind,import
iter17_cv_split1,holder,sold,doe,human,satoshi,shitcoin,current,numero,vtc,dos
iter17_cv_split2,holder,doe,current,human,satoshi,util,balanc,credit,level,remind
iter17_cv_split3,valu,onli,balanc,current,target,dos,numero,vtc,climb,remind
iter17_cv_split4,holder,sold,doe,price,current,kind,sell,human,credit,massiv
iter17_cv_split5,holder,abc,sold,calm,valu,current,doe,onli,util,massiv
iter18_cv_split1,holder,sell,valu,price,doe,target,littl,util,massiv,credit
iter18_cv_split2,holder,doe,human,everi,onli,current,support,dos,climb,vtc
iter18_cv_split3,holder,doe,current,human,price,balanc,credit,hope,import,know
iter18_cv_split4,kind,current,onli,human,satoshi,price,coin,resist,vtc,dos
iter18_cv_split5,holder,sold,current,onli,shitcoin,remind,doe,import,dos,vtc
iter19_cv_split1,holder,doe,human,climb,dos,vtc,credit,import,remind,current
iter19_cv_split2,holder,abc,sold,calm,kind,current,onli,appreci,everi,human
