,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.651685393258427,0.6966292134831461,0.994269340974212,0.6991404011461319,0,3,1,0,53,9,0,18,5,14,0,0,0,244,0,0,2,89
iter1_cv_split2,0.7045454545454546,0.6931818181818182,0.9885714285714285,0.7,0,3,1,0,51,10,0,12,11,14,0,0,0,243,2,0,2,89
iter1_cv_split3,0.6818181818181818,0.6931818181818182,0.9914285714285714,0.7,0,2,2,0,48,13,0,11,12,14,0,0,0,244,1,0,2,89
iter1_cv_split4,0.7011494252873564,0.7011494252873564,0.9971509971509972,0.698005698005698,0,3,0,0,54,7,0,16,7,15,0,0,0,245,0,0,1,90
iter1_cv_split5,0.7209302325581395,0.7093023255813954,0.9943181818181818,0.6960227272727273,0,1,2,1,53,7,0,13,9,15,0,0,0,244,1,0,1,91
iter2_cv_split1,0.6966292134831461,0.6966292134831461,0.9914040114613181,0.6991404011461319,0,2,2,1,53,8,0,14,9,14,0,0,0,243,1,0,2,89
iter2_cv_split2,0.6931818181818182,0.6931818181818182,0.9885714285714285,0.7,0,4,0,0,51,10,0,13,10,14,0,0,0,243,2,0,2,89
iter2_cv_split3,0.6363636363636364,0.6931818181818182,0.9914285714285714,0.7,0,4,0,0,50,11,0,17,6,14,0,0,0,244,1,0,2,89
iter2_cv_split4,0.6896551724137931,0.7011494252873564,0.9943019943019943,0.698005698005698,0,3,0,1,51,9,0,14,9,15,0,0,0,245,0,0,2,89
iter2_cv_split5,0.6162790697674418,0.7093023255813954,0.9971590909090909,0.6960227272727273,0,2,1,0,49,12,0,18,4,15,0,0,0,244,1,0,0,92
iter3_cv_split1,0.651685393258427,0.6966292134831461,0.9914040114613181,0.6991404011461319,0,3,1,1,50,11,0,15,8,14,0,0,0,243,1,0,2,89
iter3_cv_split2,0.6931818181818182,0.6931818181818182,0.9914285714285714,0.7,0,4,0,0,53,8,0,15,8,14,0,0,0,244,1,0,2,89
iter3_cv_split3,0.625,0.6931818181818182,0.9942857142857143,0.7,0,4,0,1,45,15,0,13,10,14,0,0,0,244,1,0,1,90
iter3_cv_split4,0.6436781609195402,0.7011494252873564,0.9943019943019943,0.698005698005698,0,2,1,0,51,10,0,18,5,15,0,0,0,245,0,0,2,89
iter3_cv_split5,0.686046511627907,0.7093023255813954,0.9943181818181818,0.6960227272727273,0,3,0,0,53,8,0,16,6,15,0,0,0,244,1,0,1,91
iter4_cv_split1,0.6179775280898876,0.6966292134831461,0.9914040114613181,0.6991404011461319,0,4,0,0,51,11,0,19,4,14,0,0,0,243,1,0,2,89
iter4_cv_split2,0.6704545454545454,0.6931818181818182,0.9914285714285714,0.7,0,4,0,0,49,12,0,13,10,14,0,0,0,243,2,0,1,90
iter4_cv_split3,0.7045454545454546,0.6931818181818182,0.9942857142857143,0.7,0,3,1,1,51,9,0,12,11,14,0,0,0,244,1,0,1,90
iter4_cv_split4,0.7126436781609196,0.7011494252873564,0.9914529914529915,0.698005698005698,0,2,1,0,51,10,0,12,11,15,0,0,0,244,1,0,2,89
iter4_cv_split5,0.6744186046511628,0.7093023255813954,0.9943181818181818,0.6960227272727273,0,3,0,0,53,8,0,17,5,15,0,0,0,245,0,0,2,90
iter5_cv_split1,0.7078651685393258,0.6966292134831461,0.9914040114613181,0.6991404011461319,0,4,0,0,52,10,0,12,11,14,0,0,0,243,1,0,2,89
iter5_cv_split2,0.6363636363636364,0.6931818181818182,0.9942857142857143,0.7,0,3,1,0,52,9,0,19,4,14,0,0,0,245,0,0,2,89
iter5_cv_split3,0.6704545454545454,0.6931818181818182,0.9914285714285714,0.7,0,4,0,0,54,7,0,18,5,14,0,0,0,243,2,0,1,90
iter5_cv_split4,0.6666666666666666,0.7011494252873564,0.9886039886039886,0.698005698005698,0,2,1,1,48,12,0,13,10,15,0,0,0,243,2,0,2,89
iter5_cv_split5,0.6744186046511628,0.7093023255813954,0.9943181818181818,0.6960227272727273,0,2,1,0,49,12,0,13,9,15,0,0,0,244,1,0,1,91
iter6_cv_split1,0.6629213483146067,0.6966292134831461,0.994269340974212,0.6991404011461319,0,3,1,0,50,12,0,14,9,14,0,0,0,243,1,0,1,90
