,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,abc,calm,reach,valu,hepat,sourc,credibl,cure,lose,satoshi
iter1_cv_split2,mustread,denial,lose,sourc,credibl,cure,hepat,calm,reach,sold
iter1_cv_split3,mustread,denial,lose,abc,reach,calm,sold,hepat,cure,credibl
iter1_cv_split4,mustread,denial,abc,reach,calm,sold,sourc,hepat,credibl,cure
iter1_cv_split5,denial,mustread,doe,lose,shitcoin,appreci,price,resist,transfer,massiv
iter2_cv_split1,denial,mustread,credibl,cure,hepat,sourc,abc,reach,calm,sold
iter2_cv_split2,mustread,denial,lose,reach,kind,price,valu,play,scale,appreci
iter2_cv_split3,mustread,denial,abc,sold,calm,reach,doe,cure,credibl,sourc
iter2_cv_split4,denial,mustread,lose,sell,hepat,sourc,cure,credibl,transfer,appreci
iter2_cv_split5,abc,calm,reach,hepat,sourc,credibl,cure,valu,lose,appreci
iter3_cv_split1,mustread,denial,valu,sourc,hepat,credibl,cure,lose,price,satoshi
iter3_cv_split2,mustread,denial,lose,sold,reach,abc,calm,sourc,cure,credibl
iter3_cv_split3,mustread,denial,abc,calm,reach,sold,lose,valu,hope,shitcoin
iter3_cv_split4,mustread,denial,doe,hepat,credibl,cure,sourc,reach,valu,kind
iter3_cv_split5,abc,reach,calm,lose,hepat,credibl,sourc,cure,appreci,valu
iter4_cv_split1,mustread,denial,sourc,hepat,cure,credibl,lose,appreci,valu,human
iter4_cv_split2,mustread,denial,abc,reach,calm,cure,sourc,hepat,credibl,transfer
iter4_cv_split3,mustread,denial,abc,calm,reach,credibl,cure,hepat,sourc,sold
iter4_cv_split4,denial,mustread,abc,reach,calm,sold,lose,valu,doe,credibl
iter4_cv_split5,reach,valu,lose,kind,appreci,price,play,scale,human,shitcoin
iter5_cv_split1,mustread,denial,abc,sold,reach,calm,current,hepat,sourc,credibl
iter5_cv_split2,doe,abc,reach,calm,valu,credibl,sourc,cure,hepat,expect
iter5_cv_split3,mustread,denial,reach,abc,calm,sold,satoshi,lose,sat,expect
iter5_cv_split4,mustread,denial,sourc,hepat,credibl,cure,lose,hope,transfer,play
iter5_cv_split5,denial,mustread,lose,abc,reach,calm,valu,sold,sourc,hepat
iter6_cv_split1,mustread,denial,valu,calm,reach,sold,abc,sat,expect,transfer
iter6_cv_split2,mustread,denial,hepat,sourc,cure,credibl,price,sell,valu,transfer
iter6_cv_split3,mustread,denial,lose,abc,calm,reach,sold,sourc,credibl,cure
iter6_cv_split4,valu,abc,calm,reach,hepat,sourc,cure,credibl,lose,onli
iter6_cv_split5,mustread,denial,credibl,cure,hepat,sourc,lose,reach,calm,abc
iter7_cv_split1,mustread,denial,abc,reach,sold,calm,lose,sell,hepat,cure
iter7_cv_split2,denial,mustread,valu,sourc,credibl,cure,hepat,lose,appreci,hope
iter7_cv_split3,abc,calm,reach,sold,hepat,sourc,credibl,cure,lose,valu
iter7_cv_split4,mustread,denial,lose,reach,calm,abc,credibl,cure,hepat,sourc
iter7_cv_split5,denial,mustread,reach,current,kind,play,transfer,sat,expect,shitcoin
iter8_cv_split1,denial,mustread,valu,sourc,credibl,cure,hepat,onli,play,scale
iter8_cv_split2,denial,mustread,abc,reach,calm,sold,credibl,hepat,cure,sourc
iter8_cv_split3,reach,lose,valu,kind,price,hope,transfer,play,everi,accept
iter8_cv_split4,denial,mustread,valu,abc,reach,calm,sold,hepat,sourc,credibl
iter8_cv_split5,denial,mustread,lose,abc,reach,sold,calm,credibl,cure,sourc
iter9_cv_split1,mustread,denial,reach,calm,abc,lose,appreci,hope,play,sat
iter9_cv_split2,credibl,sourc,cure,hepat,doe,lose,valu,appreci,transfer,shitcoin
iter9_cv_split3,denial,mustread,valu,calm,abc,reach,sold,cure,hepat,sourc
iter9_cv_split4,denial,mustread,doe,cure,sourc,hepat,credibl,lose,kind,reach
iter9_cv_split5,mustread,denial,holder,reach,abc,calm,sold,valu,lose,credibl
iter10_cv_split1,mustread,denial,valu,credibl,hepat,sourc,cure,abc,calm,reach
iter10_cv_split2,doe,hepat,credibl,cure,sourc,lose,appreci,onli,everi,sat
iter10_cv_split3,mustread,denial,lose,sold,calm,reach,abc,sourc,cure,credibl
iter10_cv_split4,mustread,denial,abc,reach,calm,doe,sold,lose,sourc,hepat
iter10_cv_split5,mustread,denial,reach,abc,calm,lose,valu,satoshi,appreci,target
iter11_cv_split1,doe,valu,abc,calm,reach,sold,sourc,hepat,cure,credibl
iter11_cv_split2,denial,mustread,abc,sold,calm,reach,transfer,sat,expect,massiv
iter11_cv_split3,mustread,denial,lose,valu,credibl,cure,hepat,sourc,reach,calm
iter11_cv_split4,mustread,denial,lose,reach,hepat,credibl,sourc,cure,appreci,kind
iter11_cv_split5,denial,mustread,credibl,cure,hepat,sourc,valu,lose,satoshi,hope
iter12_cv_split1,mustread,denial,valu,reach,credibl,hepat,sourc,cure,kind,sell
iter12_cv_split2,denial,mustread,abc,reach,calm,sold,sourc,hepat,credibl,cure
iter12_cv_split3,denial,mustread,abc,reach,calm,sold,lose,valu,appreci,massiv
iter12_cv_split4,mustread,denial,doe,lose,reach,calm,abc,sourc,credibl,hepat
iter12_cv_split5,credibl,cure,sourc,hepat,lose,sell,price,transfer,appreci,human
iter13_cv_split1,abc,calm,reach,sold,sourc,hepat,cure,credibl,sell,doe
iter13_cv_split2,denial,mustread,valu,sourc,hepat,cure,credibl,reach,lose,transfer
iter13_cv_split3,mustread,denial,lose,valu,appreci,transfer,shitcoin,expect,massiv,sat
iter13_cv_split4,denial,mustread,lose,abc,reach,calm,sold,credibl,sourc,cure
iter13_cv_split5,mustread,denial,valu,abc,reach,calm,sold,sourc,credibl,cure
iter14_cv_split1,denial,mustread,abc,calm,reach,sold,hepat,credibl,cure,sourc
iter14_cv_split2,denial,mustread,credibl,hepat,cure,sourc,current,reach,satoshi,hope
iter14_cv_split3,denial,mustread,valu,cure,credibl,sourc,hepat,transfer,sell,sat
iter14_cv_split4,doe,abc,calm,sold,reach,lose,valu,appreci,sat,expect
iter14_cv_split5,denial,mustread,lose,reach,calm,abc,sold,sell,sourc,cure
iter15_cv_split1,mustread,denial,abc,calm,reach,sold,cure,hepat,credibl,sourc
iter15_cv_split2,abc,reach,calm,sold,credibl,hepat,sourc,cure,lose,sell
iter15_cv_split3,denial,mustread,doe,abc,reach,calm,valu,credibl,cure,sourc
