,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,price,downtrend,hope,accumul,littl,declin,market,continu,check,grab
iter1_cv_split2,market,far,littl,check,declin,cap,total,start,downtrend,moon
iter1_cv_split3,total,accumul,downtrend,continu,hamp,decis,pls,paus,price,probabl
iter1_cv_split4,market,total,downtrend,price,hope,start,decis,resist,pant,stori
iter1_cv_split5,market,accumul,total,downtrend,littl,hope,continu,check,price,pls
iter2_cv_split1,market,accumul,declin,hope,littl,total,cap,week,start,resist
iter2_cv_split2,market,total,downtrend,littl,check,continu,week,don,rsi,overbought
iter2_cv_split3,want,price,market,total,accumul,pls,paus,scenario,optimist,continu
iter2_cv_split4,downtrend,total,accumul,price,resist,market,hamp,pant,moral,wet
iter2_cv_split5,came,far,accumul,downtrend,market,hope,continu,price,hamp,grab
iter3_cv_split1,downtrend,far,market,check,hope,littl,continu,resist,declin,point
iter3_cv_split2,market,accumul,downtrend,total,continu,price,hope,check,littl,declin
iter3_cv_split3,market,continu,downtrend,accumul,dip,cap,total,price,paus,start
iter3_cv_split4,price,market,want,total,point,pls,start,optimist,declin,littl
iter3_cv_split5,came,total,accumul,downtrend,hope,price,hamp,week,volum,market
iter4_cv_split1,total,downtrend,hope,littl,pls,declin,start,decis,cap,market
iter4_cv_split2,accumul,far,hope,market,littl,declin,grab,continu,price,resist
iter4_cv_split3,came,market,total,downtrend,accumul,start,price,resist,probabl,moon
iter4_cv_split4,far,market,downtrend,accumul,declin,price,check,week,hamp,littl
iter4_cv_split5,want,market,continu,hamp,cap,total,littl,check,declin,probabl
iter5_cv_split1,market,accumul,downtrend,littl,total,check,pls,declin,decis,continu
iter5_cv_split2,came,price,far,market,downtrend,hope,continu,littl,accumul,declin
iter5_cv_split3,continu,total,downtrend,accumul,decis,volum,pls,paus,week,cap
iter5_cv_split4,market,hope,downtrend,total,far,hamp,probabl,week,moral,stori
iter5_cv_split5,want,market,total,accumul,price,declin,littl,check,start,week
iter6_cv_split1,want,market,accumul,total,price,pls,decis,week,wet,pant
iter6_cv_split2,price,downtrend,hope,market,pls,paus,repeat,resist,point,probabl
iter6_cv_split3,came,downtrend,continu,check,market,cap,total,decis,declin,littl
iter6_cv_split4,market,check,accumul,downtrend,littl,total,hamp,resist,moral,pant
iter6_cv_split5,market,total,hope,accumul,downtrend,price,littl,optimist,declin,week
iter7_cv_split1,accumul,total,continu,downtrend,hope,scenario,optimist,declin,price,hamp
iter7_cv_split2,market,accumul,downtrend,grab,hope,price,hamp,total,resist,overbought
iter7_cv_split3,market,downtrend,total,check,declin,price,littl,week,hamp,amp
iter7_cv_split4,came,want,market,total,hope,continu,probabl,decis,pls,start
iter7_cv_split5,far,market,accumul,downtrend,hope,littl,grab,check,declin,price
iter8_cv_split1,market,price,downtrend,accumul,total,hope,pls,week,stori,don
iter8_cv_split2,downtrend,littl,start,week,resist,cap,total,overbought,spot,moon
iter8_cv_split3,downtrend,accumul,continu,price,littl,hope,hamp,declin,resist,grab
iter8_cv_split4,accumul,far,market,hamp,total,week,price,check,gt,pls
iter8_cv_split5,came,market,total,downtrend,decis,price,start,resist,hamp,wet
iter9_cv_split1,came,want,market,hamp,gt,overbought,spot,hope,start,confirm
iter9_cv_split2,came,accumul,downtrend,market,check,littl,price,point,declin,total
iter9_cv_split3,market,downtrend,hope,price,resist,total,cap,pant,stori,wet
iter9_cv_split4,accumul,total,continu,downtrend,hope,grab,littl,declin,dip,check
iter9_cv_split5,market,total,downtrend,accumul,hope,declin,littl,check,price,start
iter10_cv_split1,market,downtrend,continu,total,cap,hamp,paus,observ,sold,pant
iter10_cv_split2,want,market,total,accumul,continu,hamp,price,littl,check,resist
iter10_cv_split3,downtrend,accumul,continu,check,market,price,littl,declin,hamp,probabl
iter10_cv_split4,market,downtrend,accumul,hope,total,week,price,resist,start,cap
iter10_cv_split5,came,price,total,hope,declin,littl,start,spot,week,decis
iter11_cv_split1,want,market,total,hope,pls,decis,resist,week,littl,don
iter11_cv_split2,market,downtrend,declin,littl,check,price,decis,point,total,break
iter11_cv_split3,total,accumul,downtrend,check,littl,start,paus,decis,market,cap
iter11_cv_split4,price,market,downtrend,accumul,hope,optimist,scenario,declin,littl,start
iter11_cv_split5,came,market,downtrend,hope,total,overbought,spot,price,hamp,week
iter12_cv_split1,came,want,continu,market,price,accumul,optimist,grab,hope,week
iter12_cv_split2,accumul,downtrend,hope,market,price,hamp,decent,decis,volum,confirm
iter12_cv_split3,market,far,downtrend,total,resist,spot,overbought,don,stori,rsi
iter12_cv_split4,market,total,downtrend,continu,hope,price,check,littl,declin,start
iter12_cv_split5,accumul,market,total,downtrend,check,littl,pls,paus,declin,price
iter13_cv_split1,came,accumul,downtrend,continu,hope,grab,littl,price,declin,week
iter13_cv_split2,market,accumul,price,total,hope,decis,resist,pls,moon,week
iter13_cv_split3,market,accumul,hope,cap,total,hamp,start,decis,week,triangl
iter13_cv_split4,market,downtrend,total,wet,pant,moral,don,stori,start,resist
iter13_cv_split5,total,downtrend,declin,littl,check,start,paus,pls,resist,decis
iter14_cv_split1,market,price,downtrend,accumul,declin,continu,total,check,littl,start
iter14_cv_split2,downtrend,continu,price,point,hamp,pls,week,probabl,stori,moon
iter14_cv_split3,market,accumul,price,hamp,pls,total,start,littl,week,check
iter14_cv_split4,came,market,accumul,total,downtrend,littl,hope,declin,start,resist
iter14_cv_split5,market,total,resist,pant,wet,moral,confirm,don,pls,sold
iter15_cv_split1,came,accumul,downtrend,check,littl,point,continu,declin,resist,price
iter15_cv_split2,want,accumul,total,hope,price,start,paus,resist,confirm,moral
iter15_cv_split3,market,downtrend,hope,declin,littl,probabl,pant,moral,wet,don
iter15_cv_split4,came,market,downtrend,total,continu,check,accumul,hope,declin,price
iter15_cv_split5,market,total,hamp,continu,confirm,decis,resist,littl,week,observ
iter16_cv_split1,came,price,market,hope,total,hamp,accumul,start,pls,paus
iter16_cv_split2,market,hope,total,check,continu,littl,declin,week,resist,hamp
iter16_cv_split3,market,downtrend,hamp,total,cap,spot,pls,decis,continu,confirm
iter16_cv_split4,far,downtrend,accumul,market,price,continu,paus,pls,resist,hope
