,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.543859649122807,0.6374269005847953,0.9897209985315712,0.6372980910425844,0,24,11,5,80,24,0,14,13,143,0,0,0,434,0,0,7,97
iter1_cv_split2,0.6491228070175439,0.6374269005847953,0.9838472834067548,0.6372980910425844,8,15,13,6,88,15,1,10,15,142,0,0,0,434,0,0,11,94
iter1_cv_split3,0.6198830409356725,0.6374269005847953,0.9853157121879589,0.6372980910425844,8,21,7,6,87,16,2,13,11,142,0,0,0,434,0,1,9,95
iter1_cv_split4,0.5555555555555556,0.6374269005847953,0.9809104258443465,0.6372980910425844,0,15,21,0,92,17,0,23,3,142,0,0,0,432,2,1,10,94
iter1_cv_split5,0.5476190476190477,0.6369047619047619,0.9766081871345029,0.6374269005847953,4,19,12,7,82,18,2,18,6,143,0,0,0,436,0,1,15,89
iter2_cv_split1,0.6666666666666666,0.6374269005847953,0.9765051395007343,0.6372980910425844,15,20,0,8,84,17,1,11,15,143,0,0,2,431,1,1,12,91
iter2_cv_split2,0.47953216374269003,0.6374269005847953,0.9823788546255506,0.6372980910425844,0,36,0,2,74,33,1,17,8,142,0,0,0,434,0,1,11,93
iter2_cv_split3,0.5497076023391813,0.6374269005847953,0.9853157121879589,0.6372980910425844,8,14,14,4,77,28,1,16,9,142,0,0,0,432,2,0,8,97
iter2_cv_split4,0.5847953216374269,0.6374269005847953,0.9794419970631424,0.6372980910425844,14,17,5,4,76,29,1,15,10,142,0,0,0,434,0,1,13,91
iter2_cv_split5,0.5952380952380952,0.6369047619047619,0.9853801169590644,0.6374269005847953,0,17,18,0,89,18,3,12,11,143,0,0,0,435,1,0,9,96
iter3_cv_split1,0.6257309941520468,0.6374269005847953,0.9911894273127754,0.6372980910425844,6,11,18,0,90,19,0,16,11,143,0,0,0,434,0,0,6,98
iter3_cv_split2,0.7076023391812866,0.6374269005847953,0.9765051395007343,0.6372980910425844,13,8,15,8,97,4,2,13,11,141,1,0,1,433,0,1,13,91
iter3_cv_split3,0.6140350877192983,0.6374269005847953,0.986784140969163,0.6372980910425844,7,12,17,11,84,14,0,12,14,142,0,0,0,434,0,1,8,96
iter3_cv_split4,0.5555555555555556,0.6374269005847953,0.9838472834067548,0.6372980910425844,7,23,6,0,81,28,1,18,7,142,0,0,0,434,0,0,11,94
iter3_cv_split5,0.5297619047619048,0.6369047619047619,0.97953216374269,0.6374269005847953,3,32,0,3,76,28,1,15,10,143,0,0,0,436,0,1,13,91
iter4_cv_split1,0.5789473684210527,0.6374269005847953,0.9882525697503671,0.6372980910425844,7,28,0,4,82,23,0,17,10,143,0,0,0,434,0,1,7,96
iter4_cv_split2,0.5672514619883041,0.6374269005847953,0.9823788546255506,0.6372980910425844,0,23,13,6,90,13,2,17,7,142,0,0,0,432,2,0,10,95
iter4_cv_split3,0.5730994152046783,0.6374269005847953,0.9823788546255506,0.6372980910425844,3,25,8,4,87,18,1,17,8,142,0,0,0,434,0,1,11,93
iter4_cv_split4,0.5263157894736842,0.6374269005847953,0.9809104258443465,0.6372980910425844,6,16,14,12,76,21,1,17,8,142,0,0,0,433,1,0,12,93
iter4_cv_split5,0.5535714285714286,0.6369047619047619,0.9868421052631579,0.6374269005847953,0,15,20,5,82,20,1,14,11,143,0,0,0,436,0,0,9,96
iter5_cv_split1,0.6257309941520468,0.6374269005847953,0.9853157121879589,0.6372980910425844,13,6,16,6,84,19,2,15,10,143,0,0,0,434,0,1,9,94
iter5_cv_split2,0.6608187134502924,0.6374269005847953,0.9838472834067548,0.6372980910425844,16,20,0,4,89,16,0,18,8,142,0,0,0,434,0,0,11,94
iter5_cv_split3,0.5087719298245614,0.6374269005847953,0.986784140969163,0.6372980910425844,0,24,12,3,78,28,2,15,9,142,0,0,0,434,0,1,8,96
iter5_cv_split4,0.5730994152046783,0.6374269005847953,0.973568281938326,0.6372980910425844,6,20,10,9,80,20,2,12,12,142,0,0,0,431,3,1,14,90
iter5_cv_split5,0.5476190476190477,0.6369047619047619,0.9839181286549707,0.6374269005847953,7,12,16,9,77,21,2,16,8,143,0,0,0,436,0,0,11,94
iter6_cv_split1,0.5906432748538012,0.6374269005847953,0.9838472834067548,0.6372980910425844,18,14,3,3,78,28,2,20,5,143,0,0,0,434,0,0,11,93
iter6_cv_split2,0.6549707602339181,0.6374269005847953,0.9838472834067548,0.6372980910425844,5,6,25,0,98,11,0,17,9,142,0,0,0,434,0,0,11,94
iter6_cv_split3,0.4619883040935672,0.6374269005847953,0.9838472834067548,0.6372980910425844,0,26,10,6,66,37,2,11,13,142,0,0,0,434,0,0,11,94
