,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,came,exit,escap,pullback,level,accumulatinggot,shine,decis,exampl,probabl
iter1_cv_split2,let,exit,escap,want,hope,grab,decis,hamp,rsi,mayb
iter1_cv_split3,came,escap,pullback,point,level,let,mayb,enjoy,journey,dip
iter1_cv_split4,came,escap,let,pullback,exit,far,accumul,continu,shine,accumulatinggot
iter1_cv_split5,came,escap,let,exit,pullback,level,grab,enjoy,journey,mayb
iter2_cv_split1,came,pullback,exit,escap,downtrend,level,grab,dip,let,mayb
iter2_cv_split2,came,let,escap,pullback,exit,far,journey,enjoy,point,confirm
iter2_cv_split3,came,exit,escap,level,let,grab,hope,decis,mayb,volum
iter2_cv_split4,escap,pullback,far,grab,let,level,continu,mayb,hope,point
iter2_cv_split5,escap,exit,pullback,level,dip,point,mayb,decis,repeat,paus
iter3_cv_split1,escap,exit,pullback,decis,support,accumulatinggot,shine,repeat,paus,grab
iter3_cv_split2,came,escap,exit,far,point,grab,level,pullback,mayb,volum
iter3_cv_split3,came,let,escap,far,exit,level,pullback,hope,journey,enjoy
iter3_cv_split4,came,exit,let,decis,rsi,hamp,accumul,escap,level,overbought
iter3_cv_split5,escap,pullback,dip,let,level,grab,journey,enjoy,mayb,shine
iter4_cv_split1,came,escap,far,accumul,let,level,rsi,mayb,grab,overbought
iter4_cv_split2,came,exit,escap,pullback,level,downtrend,decis,accumulatinggot,shine,enjoy
iter4_cv_split3,escap,pullback,exit,dip,level,continu,hamp,let,mayb,journey
iter4_cv_split4,escap,pullback,exit,let,grab,level,point,hope,support,probabl
iter4_cv_split5,came,exit,let,escap,hope,pullback,grab,mayb,dip,accumulatinggot
iter5_cv_split1,came,escap,let,far,exit,grab,level,mayb,rsi,repeat
iter5_cv_split2,escap,exit,level,pullback,dip,accumulatinggot,shine,enjoy,journey,repeat
iter5_cv_split3,came,escap,let,pullback,level,point,accumulatinggot,shine,hope,exampl
iter5_cv_split4,escap,exit,pullback,continu,grab,accumulatinggot,shine,enjoy,profit,journey
iter5_cv_split5,came,pullback,exit,let,far,grab,escap,level,hope,mayb
iter6_cv_split1,came,let,exit,far,escap,level,grab,mayb,hope,probabl
iter6_cv_split2,came,exit,escap,pullback,level,decis,shine,accumulatinggot,accumul,continu
iter6_cv_split3,escap,let,pullback,dip,point,hamp,come,mayb,enjoy,journey
iter6_cv_split4,escap,pullback,exit,let,far,grab,level,continu,hope,enjoy
iter6_cv_split5,came,escap,pullback,exit,let,grab,mayb,level,continu,journey
iter7_cv_split1,came,escap,far,pullback,cap,grab,level,point,let,accumulatinggot
iter7_cv_split2,escap,came,exit,pullback,level,dip,let,continu,enjoy,journey
iter7_cv_split3,escap,came,pullback,let,exit,accumul,dip,far,level,enjoy
iter7_cv_split4,exit,let,escap,pullback,far,mayb,point,journey,enjoy,grab
iter7_cv_split5,exit,escap,level,paus,repeat,enjoy,journey,shine,accumulatinggot,mayb
iter8_cv_split1,came,escap,let,exit,level,grab,accumulatinggot,shine,hamp,mayb
iter8_cv_split2,escap,let,pullback,exit,market,far,continu,grab,hope,enjoy
iter8_cv_split3,came,escap,far,level,pullback,decis,dip,shine,accumulatinggot,paus
iter8_cv_split4,came,exit,let,pullback,point,level,hope,grab,continu,support
iter8_cv_split5,escap,pullback,exit,far,accumul,dip,let,mayb,journey,enjoy
iter9_cv_split1,exit,escap,far,paus,repeat,enjoy,journey,decis,profit,shine
iter9_cv_split2,pullback,exit,escap,dip,continu,decis,let,hamp,level,shine
