,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,good,dip,imo,nice,bought,high,look,bounc,befor,hodl
iter1_cv_split2,good,bought,dip,high,imo,undervalu,look,consolid,cheap,longterm
iter1_cv_split3,good,high,imo,support,level,bought,look,hold,good imo,nice
iter1_cv_split4,good,high,dip,imo,nice,alreadi,bounc,bought,anticip,good imo
iter1_cv_split5,good,high,dip,imo,bounc,breakout,anticip,bought,good imo,undervalu
iter2_cv_split1,good,support,dip,high,nice,imo,level,strong,bought,bounc
iter2_cv_split2,good,imo,high,dip,undervalu,bought,anticip,look,good imo,cheap
iter2_cv_split3,good,high,imo,bought,hold,undervalu,longterm,nice,dip,look
iter2_cv_split4,good,imo,high,bought,look,hold,insid,undervalu,cheap,befor
iter2_cv_split5,good,dip,high,imo,nice,bought,alreadi,bounc,hold,undervalu
iter3_cv_split1,good,high,dip,imo,bounc,nice,anticip,undervalu,bought,btc
iter3_cv_split2,good,imo,high,bought,hold,bounc,good imo,level,st,team
iter3_cv_split3,good,high,dip,imo,bought,nice,hold,look,hodl,anticip
iter3_cv_split4,good,imo,dip,high,bought,level,nice,good imo,undervalu,bounc
iter3_cv_split5,good,breakout,high,dip,bought,imo,look,bounc,good imo,undervalu
iter4_cv_split1,good,imo,dip,nice,level,bounc,bought,high,good imo,undervalu
iter4_cv_split2,good,dip,imo,high,support,nice,hold,bought,undervalu,anticip
iter4_cv_split3,good,high,dip,bought,support,imo,alreadi,anticip,good imo,bounc
iter4_cv_split4,good,imo,dip,high,undervalu,bought,cheap,consolid,hold,bounc
iter4_cv_split5,good,high,imo,bought,level,bounc,nice,look,hodl,hold
iter5_cv_split1,good,high,dip,imo,bought,bounc,undervalu,anticip,look,longterm
iter5_cv_split2,good,high,dip,imo,breakout,nice,undervalu,bought,alreadi,bounc
iter5_cv_split3,good,dip,imo,high,bounc,nice,anticip,insid,good imo,expect
iter5_cv_split4,good,support,imo,nice,dip,bought,bounc,level,high,look
iter5_cv_split5,good,high,imo,bought,anticip,undervalu,look,hold,good imo,cheap
iter6_cv_split1,good,imo,dip,high,look,level,undervalu,good imo,time,alreadi
iter6_cv_split2,good,dip,imo,nice,high,bought,anticip,cheap,good imo,level
iter6_cv_split3,good,high,dip,imo,bounc,nice,bought,anticip,undervalu,hold
iter6_cv_split4,good,support,high,imo,bought,bounc,nice,look,breakout,undervalu
iter6_cv_split5,good,dip,high,imo,bought,hold,strong,activ,septemb,babi
iter7_cv_split1,good,high,dip,bought,imo,support,undervalu,anticip,nice,befor
iter7_cv_split2,good,high,support,imo,dip,hold,nice,good imo,undervalu,hodl
iter7_cv_split3,good,imo,high,dip,bought,look,nice,anticip,level,good imo
iter7_cv_split4,good,imo,dip,nice,high,bounc,anticip,hodl,undervalu,septemb
iter7_cv_split5,good,high,dip,imo,bought,breakout,undervalu,look,hold,nice
iter8_cv_split1,good,imo,high,support,bought,hold,bounc,septemb,anticip,good imo
iter8_cv_split2,good,dip,imo,high,bought,nice,look,bounc,longterm,undervalu
iter8_cv_split3,good,support,high,imo,bought,anticip,look,hodl,insid,hold
iter8_cv_split4,good,dip,high,imo,level,undervalu,bounc,bought,alreadi,nice
iter8_cv_split5,good,high,imo,dip,nice,volum,hold,cheap,breakout,undervalu
iter9_cv_split1,good,high,dip,imo,bought,hold,undervalu,look,anticip,nice
iter9_cv_split2,good,imo,high,support,dip,bought,level,look,cheap,hold
iter9_cv_split3,good,high,imo,dip,nice,bought,longterm,support,undervalu,alreadi
iter9_cv_split4,good,high,imo,undervalu,bought,bounc,nice,look,breakout,insid
iter9_cv_split5,good,dip,imo,bounc,bought,high,breakout,nice,anticip,good imo
iter10_cv_split1,good,imo,high,bought,bounc,anticip,good imo,activ,team,ledger
iter10_cv_split2,good,high,imo,dip,bought,nice,look,bounc,undervalu,longterm
iter10_cv_split3,good,high,bought,volum,hold,bounc,nice,undervalu,st,level
iter10_cv_split4,good,support,dip,imo,high,undervalu,nice,cheap,look,bought
iter10_cv_split5,good,imo,support,high,dip,bought,nice,level,good imo,hodl
iter11_cv_split1,good,imo,dip,high,undervalu,bounc,nice,insid,look,hold
iter11_cv_split2,good,imo,high,dip,bought,bounc,anticip,longterm,consolid,good imo
iter11_cv_split3,good,high,nice,breakout,bought,imo,support,bounc,alreadi,level
iter11_cv_split4,high,good,dip,support,imo,bought,undervalu,hodl,cheap,nice
iter11_cv_split5,good,imo,dip,high,bought,look,nice,hold,hodl,good imo
iter12_cv_split1,good,dip,imo,high,nice,bought,longterm,undervalu,look,hodl
iter12_cv_split2,good,high,imo,look,bought,hodl,bounc,anticip,nice,undervalu
iter12_cv_split3,good,high,dip,imo,nice,bounc,bought,anticip,level,good imo
iter12_cv_split4,good,imo,high,bought,undervalu,bounc,longterm,hold,septemb,cheap
iter12_cv_split5,good,dip,support,high,bought,imo,look,nice,bounc,cheap
