,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.5842696629213483,0.6404494382022472,0.8746438746438746,0.6467236467236467,0,3,2,0,39,18,1,13,13,18,2,0,0,208,19,1,22,81
iter1_cv_split2,0.625,0.6477272727272727,0.8835227272727273,0.6448863636363636,0,4,1,0,40,17,0,11,15,18,2,0,1,209,17,2,19,84
iter1_cv_split3,0.6931818181818182,0.6477272727272727,0.8778409090909091,0.6448863636363636,0,2,3,0,52,5,0,17,9,16,2,2,0,213,14,1,24,80
iter1_cv_split4,0.6022727272727273,0.6477272727272727,0.8863636363636364,0.6448863636363636,0,4,1,0,46,11,0,19,7,17,1,2,0,210,17,0,20,85
iter1_cv_split5,0.6551724137931034,0.6436781609195402,0.8583569405099151,0.6458923512747875,0,3,2,0,51,5,1,19,6,17,3,0,2,208,18,1,26,78
iter2_cv_split1,0.5842696629213483,0.6404494382022472,0.8917378917378918,0.6467236467236467,0,3,2,0,43,14,0,18,9,18,1,1,0,214,13,2,21,81
iter2_cv_split2,0.625,0.6477272727272727,0.8835227272727273,0.6448863636363636,0,3,2,1,45,11,0,16,10,18,2,0,0,212,15,2,22,81
iter2_cv_split3,0.625,0.6477272727272727,0.8835227272727273,0.6448863636363636,0,4,1,0,48,9,0,19,7,17,2,1,2,211,14,1,21,83
iter2_cv_split4,0.6136363636363636,0.6477272727272727,0.875,0.6448863636363636,0,2,3,1,44,12,1,15,10,17,3,0,1,208,18,1,21,83
iter2_cv_split5,0.6551724137931034,0.6436781609195402,0.8781869688385269,0.6458923512747875,1,2,2,0,45,11,0,15,11,18,1,1,2,209,17,1,21,83
iter3_cv_split1,0.651685393258427,0.6404494382022472,0.8831908831908832,0.6467236467236467,0,5,0,0,47,10,0,16,11,17,2,1,2,213,12,2,22,80
iter3_cv_split2,0.6704545454545454,0.6477272727272727,0.8806818181818182,0.6448863636363636,0,3,2,0,50,7,1,16,9,18,2,0,0,210,17,0,23,82
iter3_cv_split3,0.6931818181818182,0.6477272727272727,0.8778409090909091,0.6448863636363636,1,2,2,1,47,9,0,13,13,18,1,1,0,209,18,2,21,82
iter3_cv_split4,0.6022727272727273,0.6477272727272727,0.8863636363636364,0.6448863636363636,1,3,1,1,41,15,1,14,11,18,2,0,1,209,17,1,19,85
iter3_cv_split5,0.5862068965517241,0.6436781609195402,0.8668555240793201,0.6458923512747875,1,3,1,1,42,13,0,18,8,18,1,1,1,210,17,1,26,78
iter4_cv_split1,0.651685393258427,0.6404494382022472,0.8888888888888888,0.6467236467236467,0,4,1,0,48,9,1,16,10,19,1,0,0,213,14,1,23,80
iter4_cv_split2,0.5340909090909091,0.6477272727272727,0.8835227272727273,0.6448863636363636,0,4,1,1,41,15,0,20,6,17,2,1,1,211,15,0,22,83
iter4_cv_split3,0.6931818181818182,0.6477272727272727,0.875,0.6448863636363636,1,1,3,0,49,8,0,15,11,17,2,1,1,209,17,2,21,82
iter4_cv_split4,0.6931818181818182,0.6477272727272727,0.8835227272727273,0.6448863636363636,1,4,0,1,48,8,0,14,12,17,3,0,0,211,16,2,20,83
iter4_cv_split5,0.632183908045977,0.6436781609195402,0.8753541076487252,0.6458923512747875,0,4,1,0,45,11,1,15,10,17,2,1,0,210,18,0,23,82
iter5_cv_split1,0.5842696629213483,0.6404494382022472,0.8774928774928775,0.6467236467236467,0,3,2,0,46,11,0,21,6,17,3,0,0,211,16,0,24,80
iter5_cv_split2,0.5795454545454546,0.6477272727272727,0.8920454545454546,0.6448863636363636,0,4,1,0,40,17,1,14,11,16,3,1,0,212,15,1,18,86
iter5_cv_split3,0.6590909090909091,0.6477272727272727,0.8806818181818182,0.6448863636363636,0,3,2,2,47,8,0,15,11,18,1,1,0,214,13,2,25,78
iter5_cv_split4,0.6704545454545454,0.6477272727272727,0.8693181818181818,0.6448863636363636,0,3,2,0,48,9,0,15,11,18,2,0,1,206,20,2,21,82
iter5_cv_split5,0.6551724137931034,0.6436781609195402,0.8810198300283286,0.6458923512747875,1,3,1,1,45,10,0,15,11,18,2,0,3,214,11,2,24,79
iter6_cv_split1,0.651685393258427,0.6404494382022472,0.8746438746438746,0.6467236467236467,0,5,0,0,47,10,1,15,11,18,1,1,0,209,18,1,23,80
iter6_cv_split2,0.6931818181818182,0.6477272727272727,0.8693181818181818,0.6448863636363636,1,2,2,0,48,9,0,14,12,19,1,0,0,211,16,2,27,76
iter6_cv_split3,0.6136363636363636,0.6477272727272727,0.8892045454545454,0.6448863636363636,0,4,1,0,47,10,0,19,7,18,2,0,0,210,17,2,18,85
iter6_cv_split4,0.6022727272727273,0.6477272727272727,0.8863636363636364,0.6448863636363636,0,2,3,0,39,18,0,12,14,18,2,0,1,210,16,0,21,84
iter6_cv_split5,0.5977011494252874,0.6436781609195402,0.8810198300283286,0.6458923512747875,0,5,0,2,47,7,0,21,5,16,3,1,1,214,13,0,24,81
iter7_cv_split1,0.6629213483146067,0.6404494382022472,0.8917378917378918,0.6467236467236467,0,2,3,1,48,8,0,16,11,19,1,0,2,212,13,2,20,82
iter7_cv_split2,0.625,0.6477272727272727,0.8607954545454546,0.6448863636363636,0,3,2,0,41,16,0,12,14,18,2,0,1,204,22,2,22,81
iter7_cv_split3,0.5681818181818182,0.6477272727272727,0.8693181818181818,0.6448863636363636,0,5,0,0,42,15,1,17,8,17,3,0,0,211,16,1,26,78
iter7_cv_split4,0.6818181818181818,0.6477272727272727,0.8607954545454546,0.6448863636363636,0,4,1,1,49,7,0,15,11,16,2,2,1,206,20,1,23,81
iter7_cv_split5,0.6666666666666666,0.6436781609195402,0.886685552407932,0.6458923512747875,0,3,2,0,46,10,0,14,12,18,2,0,0,212,16,0,22,83
iter8_cv_split1,0.6067415730337079,0.6404494382022472,0.8917378917378918,0.6467236467236467,1,3,1,0,45,12,0,19,8,18,2,0,1,214,12,2,21,81
iter8_cv_split2,0.6022727272727273,0.6477272727272727,0.8636363636363636,0.6448863636363636,0,3,2,0,43,14,0,16,10,16,3,1,2,206,19,0,23,82
