,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,hamp,escap,resist,escap downtrend,far,expect,downtrend,probabl,mayb,pullback
iter1_cv_split2,moon,escap,hamp,expect,price,escap downtrend,far,support,downtrend,hope
iter1_cv_split3,moon,far,escap,hope,exampl,probabl,mayb,hamp,volum,rsi
iter1_cv_split4,hamp,resist,support,far,price level,exampl,hope,mayb,hamp confirm,pullback
iter1_cv_split5,hamp,moon,escap,escap downtrend,price,expect,downtrend,probabl,price level,exampl
iter2_cv_split1,escap,hamp,moon,escap downtrend,far,resist,probabl,downtrend,exampl,mayb
iter2_cv_split2,hamp,escap,resist,moon,expect,support,escap downtrend,price level,downtrend,hope
iter2_cv_split3,moon,hamp,price,support,far,escap,expect,hope,price level,exampl
iter2_cv_split4,hamp,escap,resist,moon,support,escap downtrend,price,downtrend,far,price level
iter2_cv_split5,price,moon,price level,pullback,exampl,hamp,week,rsi,manag expect,manag
iter3_cv_split1,hamp,price,escap,escap downtrend,far,expect,downtrend,price level,mayb,rsi
iter3_cv_split2,hamp,moon,resist,escap,far,probabl,support,hope,exampl,pullback
iter3_cv_split3,hamp,escap,moon,expect,escap downtrend,downtrend,price level,mayb,pullback,probabl
iter3_cv_split4,escap,moon,hamp,escap downtrend,far,downtrend,hope,exampl,mayb,oversold
iter3_cv_split5,moon,price,far,escap,price level,hope,exampl,probabl,hamp,pullback
iter4_cv_split1,moon,escap,escap downtrend,far,downtrend,hope,resist,exampl,pullback,hamp
iter4_cv_split2,hamp,price,moon,far,expect,escap,price level,probabl,exampl,resist
iter4_cv_split3,hamp,escap,moon,escap downtrend,price level,probabl,downtrend,mayb,pullback,hamp confirm
iter4_cv_split4,moon,escap,hamp,price,escap downtrend,downtrend,price level,hope,exampl,probabl
iter4_cv_split5,hamp,resist,support,expect,far,hope,mayb,pullback,hamp confirm,oversold
iter5_cv_split1,resist,moon,hamp,support,far,expect,hope,exampl,mayb,pullback
iter5_cv_split2,hamp,escap,support,price,escap downtrend,moon,expect,downtrend,hope,price level
iter5_cv_split3,hamp,moon,escap,resist,price,escap downtrend,far,support,price level,downtrend
iter5_cv_split4,escap,resist,hamp,far,escap downtrend,downtrend,exampl,mayb,probabl,pullback
iter5_cv_split5,moon,escap,price,escap downtrend,downtrend,price level,probabl,exampl,hamp,volum
iter6_cv_split1,moon,escap,escap downtrend,support,far,downtrend,hope,exampl,pullback,resist
iter6_cv_split2,moon,escap,far,escap downtrend,resist,hope,downtrend,probabl,exampl,mayb
iter6_cv_split3,hamp,escap,resist,moon,support,escap downtrend,expect,downtrend,price level,mayb
iter6_cv_split4,hamp,price,expect,escap,price level,probabl,mayb,hamp confirm,oversold,dip
iter6_cv_split5,hamp,moon,price,expect,far,escap,support,probabl,hope,price level
iter7_cv_split1,hamp,escap,price,escap downtrend,expect,downtrend,pullback,probabl,price level,resist
iter7_cv_split2,moon,escap,escap downtrend,far,hope,downtrend,probabl,exampl,hamp,rsi
iter7_cv_split3,hamp,escap,moon,support,escap downtrend,downtrend,hope,exampl,mayb,probabl
iter7_cv_split4,expect,price,moon,support,far,hope,price level,pullback,hamp confirm,resist
iter7_cv_split5,hamp,moon,resist,price,far,escap,expect,support,price level,exampl
iter8_cv_split1,escap,hamp,price,moon,escap downtrend,downtrend,price level,exampl,mayb,probabl
iter8_cv_split2,resist,hamp,price,moon,expect,support,far,price level,hope,exampl
iter8_cv_split3,moon,escap,hamp,escap downtrend,downtrend,probabl,exampl,mayb,pullback,resist
iter8_cv_split4,escap,hamp,moon,escap downtrend,support,expect,far,downtrend,hope,probabl
iter8_cv_split5,hamp,resist,moon,expect,far,escap,support,price level,probabl,mayb
iter9_cv_split1,hamp,price,escap downtrend,escap,far,support,expect,hope,downtrend,price level
iter9_cv_split2,escap,moon,escap downtrend,far,downtrend,resist,hope,probabl,pullback,exampl
iter9_cv_split3,hamp,escap,price,moon,escap downtrend,downtrend,price level,exampl,mayb,probabl
iter9_cv_split4,hamp,escap,resist,moon,support,escap downtrend,expect,far,price level,downtrend
iter9_cv_split5,moon,hamp,price,hope,price level,mayb,probabl,exampl,pullback,resist
iter10_cv_split1,support,escap downtrend,escap,downtrend,price level,hope,exampl,resist,pullback,hamp confirm
iter10_cv_split2,moon,hamp,far,escap,price,hope,price level,probabl,exampl,mayb
iter10_cv_split3,moon,hamp,resist,far,escap,pullback,hope,probabl,mayb,oversold
iter10_cv_split4,hamp,escap,resist,price,escap downtrend,far,expect,downtrend,probabl,price level
iter10_cv_split5,hamp,moon,escap,expect,escap downtrend,downtrend,exampl,mayb,hamp confirm,oversold
iter11_cv_split1,hamp,moon,resist,support,expect,escap,price,far,price level,hope
iter11_cv_split2,moon,price,far,escap,escap downtrend,downtrend,price level,hope,exampl,mayb
iter11_cv_split3,escap,resist,hamp,escap downtrend,far,downtrend,probabl,pullback,oversold,rsi
iter11_cv_split4,hamp,moon,escap,price level,pullback,probabl,exampl,hamp confirm,price,week
iter11_cv_split5,moon,hamp,escap,escap downtrend,support,expect,downtrend,hope,resist,probabl
iter12_cv_split1,moon,escap,escap downtrend,downtrend,far,hope,exampl,mayb,pullback,resist
iter12_cv_split2,escap,hamp,moon,support,far,escap downtrend,downtrend,price level,hope,resist
iter12_cv_split3,moon,escap,hamp,escap downtrend,far,hope,downtrend,exampl,probabl,mayb
iter12_cv_split4,hamp,resist,moon,price,far,expect,probabl,support,pullback,price level
iter12_cv_split5,hamp,escap,moon,price,expect,escap downtrend,downtrend,price level,pullback,exampl
iter13_cv_split1,hamp,moon,expect,price,far,support,escap,price level,probabl,exampl
iter13_cv_split2,price,escap downtrend,escap,downtrend,price level,mayb,pullback,hamp,volum,rsi
iter13_cv_split3,hamp,resist,moon,price,far,expect,escap,price level,exampl,probabl
iter13_cv_split4,hamp,escap,moon,support,escap downtrend,expect,far,downtrend,price level,probabl
iter13_cv_split5,moon,escap,far,escap downtrend,hope,downtrend,exampl,pullback,hamp,resist
iter14_cv_split1,moon,escap,price,escap downtrend,downtrend,price level,exampl,pullback,hamp,rsi
iter14_cv_split2,hamp,escap,resist,moon,escap downtrend,support,price,expect,far,downtrend
iter14_cv_split3,moon,hamp,escap,hope,probabl,exampl,resist,mayb,oversold,support
iter14_cv_split4,resist,hamp,price,far,expect,pullback,price level,exampl,rsi,oversold
iter14_cv_split5,hamp,escap,moon,support,far,escap downtrend,price level,downtrend,hope,mayb
iter15_cv_split1,escap,resist,hamp,moon,escap downtrend,downtrend,hope,probabl,pullback,mayb
iter15_cv_split2,moon,price,far,escap,probabl,price level,hope,exampl,hamp,level
iter15_cv_split3,hamp,escap,moon,price,escap downtrend,expect,downtrend,price level,pullback,exampl
iter15_cv_split4,resist,hamp,moon,price,support,escap downtrend,escap,downtrend,far,expect
iter15_cv_split5,hamp,moon,price,support,escap,far,expect,hope,price level,probabl
iter16_cv_split1,moon,escap,hamp,resist,far,escap downtrend,hope,downtrend,exampl,pullback
iter16_cv_split2,moon,hamp,price,escap,price level,probabl,exampl,mayb,level,manag
iter16_cv_split3,moon,escap,hamp,expect,support,escap downtrend,far,downtrend,hope,exampl
iter16_cv_split4,resist,hamp,price,expect,support,price level,hope,pullback,mayb,volum
iter16_cv_split5,hamp,escap,resist,escap downtrend,expect,far,downtrend,price level,probabl,mayb
iter17_cv_split1,hamp,resist,price,moon,far,escap,support,hope,expect,price level
iter17_cv_split2,hamp,moon,support,price,escap downtrend,escap,expect,far,downtrend,price level
iter17_cv_split3,escap,moon,escap downtrend,downtrend,probabl,pullback,hamp,exampl,volum,week
iter17_cv_split4,moon,escap,hamp,price,escap downtrend,price level,downtrend,probabl,hope,exampl
iter17_cv_split5,hamp,moon,expect,far,escap,exampl,mayb,probabl,resist,hamp confirm
iter18_cv_split1,moon,escap,price,downtrend,escap downtrend,price level,hope,probabl,pullback,hamp
iter18_cv_split2,hamp,escap,expect,moon,escap downtrend,downtrend,probabl,pullback,mayb,hamp confirm
iter18_cv_split3,hamp,escap,moon,escap downtrend,support,far,downtrend,price level,resist,exampl
iter18_cv_split4,resist,hamp,moon,far,escap,probabl,exampl,pullback,rsi,oversold
iter18_cv_split5,hamp,price,moon,support,expect,far,hope,price level,exampl,mayb
iter19_cv_split1,escap,moon,hamp,support,price,escap downtrend,downtrend,expect,hope,exampl
iter19_cv_split2,escap,hamp,moon,escap downtrend,downtrend,probabl,pullback,mayb,volum,rsi
iter19_cv_split3,moon,resist,hamp,far,hope,mayb,probabl,pullback,oversold,rsi
iter19_cv_split4,hamp,escap,moon,escap downtrend,support,far,downtrend,hope,resist,price level
iter19_cv_split5,resist,hamp,escap,escap downtrend,expect,price,far,downtrend,price level,exampl
iter20_cv_split1,hamp,moon,escap,resist,support,expect,escap downtrend,far,downtrend,hope
iter20_cv_split2,expect,escap downtrend,escap,downtrend,price level,pullback,exampl,hamp confirm,volum,hamp
iter20_cv_split3,escap,hamp,moon,escap downtrend,far,downtrend,hope,mayb,probabl,oversold
iter20_cv_split4,hamp,moon,resist,price,support,far,hope,price level,exampl,probabl
iter20_cv_split5,moon,escap,hamp,price,escap downtrend,downtrend,price level,hope,pullback,exampl
iter21_cv_split1,escap,hamp,moon,escap downtrend,far,downtrend,price level,hope,exampl,mayb
iter21_cv_split2,hamp,escap,resist,moon,support,price,escap downtrend,expect,hope,downtrend
iter21_cv_split3,escap,hamp,moon,expect,far,escap downtrend,resist,downtrend,pullback,probabl
iter21_cv_split4,moon,escap,hamp,escap downtrend,downtrend,exampl,probabl,pullback,oversold,resist
iter21_cv_split5,hamp,support,price,moon,far,expect,price level,hope,exampl,resist
iter22_cv_split1,moon,hamp,resist,escap,hope,probabl,mayb,pullback,rsi,oversold
iter22_cv_split2,hamp,price,escap,expect,probabl,price level,mayb,hamp confirm,oversold,confirm
iter22_cv_split3,hamp,escap,resist,moon,expect,escap downtrend,far,price level,support,downtrend
iter22_cv_split4,support,moon,expect,far,escap,escap downtrend,downtrend,hope,exampl,hamp confirm
iter22_cv_split5,moon,escap,hamp,escap downtrend,price,resist,downtrend,far,price level,hope
iter23_cv_split1,moon,hamp,price,far,escap,resist,price level,probabl,exampl,hope
iter23_cv_split2,resist,hamp,price,far,expect,price level,exampl,pullback,mayb,hamp confirm
iter23_cv_split3,moon,escap,hamp,expect,support,escap downtrend,far,downtrend,hope,resist
