,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,good,look,nice,support,imo,strong,high,dip,bought,level
iter1_cv_split2,good,dip,look,support,volum,imo,nice,high,expect,alreadi
iter1_cv_split3,good,support,dip,high,imo,bought,expect,alreadi,level,bounc
iter1_cv_split4,good,support,volum,imo,dip,high,nice,strong,bounc,longterm
iter1_cv_split5,good,look,support,dip,high,nice,expect,imo,alreadi,bought
iter2_cv_split1,good,support,look,high,dip,volum,imo,strong,nice,bounc
iter2_cv_split2,good,support,dip,high,imo,expect,bounc,hold,alreadi,coin
iter2_cv_split3,good,support,look,dip,imo,nice,high,bought,strong,alreadi
iter2_cv_split4,good,dip,imo,look,support,nice,high,expect,bought,time
iter2_cv_split5,good,support,look,nice,strong,high,dip,alreadi,bought,level
iter3_cv_split1,good,look,support,dip,nice,bought,imo,longterm,high,level
iter3_cv_split2,good,dip,volum,imo,high,support,nice,bought,level,ath
iter3_cv_split3,good,support,high,dip,expect,imo,bounc,level,bought,alreadi
iter3_cv_split4,good,support,dip,high,look,imo,volum,nice,bought,longterm
iter3_cv_split5,good,support,look,nice,strong,dip,imo,expect,high,alreadi
iter4_cv_split1,good,support,volum,dip,nice,high,expect,strong,bounc,bought
iter4_cv_split2,good,support,look,imo,volum,nice,dip,high,strong,bounc
iter4_cv_split3,good,dip,look,imo,nice,high,support,strong,alreadi,time
iter4_cv_split4,good,look,support,nice,high,imo,dip,bought,alreadi,level
iter4_cv_split5,good,support,dip,high,imo,strong,level,alreadi,btc,bounc
iter5_cv_split1,good,support,volum,imo,dip,high,strong,expect,nice,hold
iter5_cv_split2,good,look,support,nice,imo,dip,alreadi,time,bought,level
iter5_cv_split3,good,support,dip,nice,look,high,imo,strong,alreadi,bounc
iter5_cv_split4,breakout,good,support,nice,look,dip,high,expect,bounc,bought
iter5_cv_split5,good,look,support,imo,high,strong,dip,bought,expect,alreadi
iter6_cv_split1,good,dip,high,volum,imo,nice,support,time,bought,alreadi
iter6_cv_split2,good,support,imo,nice,high,expect,level,dip,strong,undervalu
iter6_cv_split3,good,support,look,imo,dip,volum,high,bought,strong,alreadi
iter6_cv_split4,good,support,look,nice,dip,high,strong,bought,alreadi,imo
iter6_cv_split5,good,look,support,nice,high,dip,level,expect,imo,bought
iter7_cv_split1,good,support,high,dip,strong,imo,expect,level,bought,abov
iter7_cv_split2,good,support,look,nice,high,dip,bounc,imo,bought,btc
iter7_cv_split3,good,support,volum,dip,imo,nice,strong,high,alreadi,bounc
iter7_cv_split4,good,support,look,high,imo,dip,volum,nice,level,bought
iter7_cv_split5,good,look,dip,nice,support,imo,expect,alreadi,time,bought
iter8_cv_split1,good,support,volum,nice,imo,dip,strong,high,bounc,level
iter8_cv_split2,good,support,look,high,dip,imo,volum,strong,bought,alreadi
iter8_cv_split3,good,support,look,nice,dip,imo,alreadi,level,time,bought
iter8_cv_split4,good,look,high,support,dip,nice,imo,strong,expect,bought
iter8_cv_split5,good,nice,high,dip,support,expect,imo,bought,alreadi,bounc
iter9_cv_split1,good,look,volum,high,support,bought,imo,dip,longterm,consolid
iter9_cv_split2,good,look,support,nice,dip,high,imo,expect,strong,alreadi
iter9_cv_split3,good,support,look,volum,imo,high,dip,nice,time,alreadi
iter9_cv_split4,good,support,dip,nice,imo,high,bounc,level,alreadi,bought
iter9_cv_split5,good,support,dip,imo,high,nice,strong,bounc,expect,btc
iter10_cv_split1,good,support,nice,imo,high,strong,dip,expect,bounc,alreadi
iter10_cv_split2,good,imo,high,dip,support,nice,bought,bounc,longterm,level
iter10_cv_split3,good,look,support,high,dip,nice,imo,level,hold,bought
iter10_cv_split4,good,look,support,volum,dip,nice,imo,strong,bought,level
iter10_cv_split5,good,support,look,dip,nice,high,imo,expect,bought,strong
iter11_cv_split1,good,support,dip,high,imo,strong,nice,bought,expect,alreadi
iter11_cv_split2,good,support,volum,look,strong,dip,high,nice,alreadi,imo
iter11_cv_split3,good,support,dip,high,imo,nice,level,bounc,btc,coin
iter11_cv_split4,good,look,nice,support,imo,dip,high,time,strong,expect
iter11_cv_split5,good,look,support,nice,volum,high,dip,imo,time,bought
iter12_cv_split1,good,support,high,nice,imo,bought,dip,bounc,alreadi,hold
iter12_cv_split2,good,dip,support,look,nice,high,imo,strong,alreadi,hold
iter12_cv_split3,good,support,look,dip,strong,bought,imo,high,nice,time
iter12_cv_split4,good,support,look,dip,imo,high,nice,strong,time,bought
iter12_cv_split5,good,look,support,nice,dip,imo,high,bounc,longterm,level
iter13_cv_split1,good,support,dip,nice,imo,strong,level,high,bounc,expect
iter13_cv_split2,good,look,volum,support,dip,nice,high,imo,strong,expect
iter13_cv_split3,good,support,look,volum,high,imo,expect,alreadi,dip,bought
iter13_cv_split4,good,support,look,dip,high,nice,imo,strong,bought,expect
iter13_cv_split5,good,dip,imo,support,nice,high,time,level,alreadi,bought
iter14_cv_split1,good,support,dip,nice,strong,bought,imo,expect,bounc,alreadi
iter14_cv_split2,good,support,volum,look,imo,high,nice,dip,bounc,alreadi
iter14_cv_split3,good,support,look,dip,nice,imo,high,strong,bought,expect
iter14_cv_split4,good,support,dip,nice,imo,high,expect,level,bought,btc
iter14_cv_split5,good,look,high,support,imo,alreadi,dip,soon,nice,time
iter15_cv_split1,good,support,high,dip,nice,imo,expect,bought,consolid,undervalu
iter15_cv_split2,good,support,dip,look,nice,high,expect,alreadi,imo,bought
iter15_cv_split3,good,look,support,dip,nice,imo,high,strong,level,alreadi
iter15_cv_split4,good,look,support,imo,nice,high,volum,strong,dip,bought
iter15_cv_split5,good,support,volum,imo,dip,strong,nice,high,bought,bounc
iter16_cv_split1,good,support,dip,volum,nice,high,imo,bought,hold,level
iter16_cv_split2,good,look,support,volum,dip,strong,nice,expect,imo,high
iter16_cv_split3,good,look,support,nice,imo,dip,high,strong,bounc,alreadi
iter16_cv_split4,good,support,look,dip,imo,high,nice,alreadi,bought,level
iter16_cv_split5,good,look,support,high,dip,imo,expect,nice,bounc,strong
iter17_cv_split1,good,support,dip,high,nice,bought,expect,imo,strong,longterm
iter17_cv_split2,good,look,support,imo,dip,strong,nice,high,expect,alreadi
iter17_cv_split3,good,support,imo,look,dip,high,nice,level,bought,strong
iter17_cv_split4,good,high,dip,imo,support,nice,longterm,level,bounc,alreadi
iter17_cv_split5,good,look,support,nice,volum,dip,high,time,imo,strong
iter18_cv_split1,good,nice,support,look,dip,expect,high,imo,bounc,time
iter18_cv_split2,good,support,volum,high,imo,nice,dip,bought,strong,bounc
iter18_cv_split3,good,support,look,dip,high,nice,imo,expect,time,level
iter18_cv_split4,good,support,volum,imo,high,strong,dip,bought,hold,nice
iter18_cv_split5,good,dip,support,look,imo,strong,nice,level,alreadi,high
iter19_cv_split1,good,look,support,nice,high,dip,imo,expect,alreadi,level
iter19_cv_split2,good,support,look,dip,volum,imo,strong,nice,high,bought
iter19_cv_split3,good,look,support,imo,dip,strong,nice,high,bounc,team
iter19_cv_split4,good,support,dip,nice,high,imo,expect,bought,level,alreadi
iter19_cv_split5,good,support,high,dip,strong,time,soon,imo,nice,expect
iter20_cv_split1,good,look,support,nice,dip,imo,high,volum,bounc,expect
iter20_cv_split2,good,support,strong,high,bought,imo,dip,nice,level,time
iter20_cv_split3,good,look,support,dip,nice,high,imo,expect,alreadi,bought
iter20_cv_split4,good,volum,support,dip,imo,high,strong,expect,alreadi,hold
iter20_cv_split5,good,support,look,dip,nice,bought,high,imo,strong,bounc
iter21_cv_split1,good,dip,look,high,nice,support,imo,expect,strong,bought
iter21_cv_split2,good,support,look,volum,high,imo,dip,strong,expect,alreadi
iter21_cv_split3,good,support,high,imo,dip,nice,level,bought,longterm,alreadi
iter21_cv_split4,good,look,support,imo,nice,dip,strong,high,alreadi,undervalu
iter21_cv_split5,good,support,dip,nice,volum,look,bought,expect,high,strong
iter22_cv_split1,good,look,support,nice,dip,high,level,bounc,expect,imo
iter22_cv_split2,good,dip,support,nice,imo,high,bought,strong,alreadi,bounc
iter22_cv_split3,good,support,look,dip,imo,nice,expect,bought,high,level
iter22_cv_split4,good,support,look,dip,imo,strong,high,bought,time,btc
iter22_cv_split5,good,support,look,volum,high,imo,nice,dip,expect,bounc
iter23_cv_split1,good,look,support,imo,nice,dip,expect,bought,level,alreadi
iter23_cv_split2,good,support,volum,dip,high,strong,nice,imo,bounc,alreadi
iter23_cv_split3,good,look,support,nice,imo,high,expect,bounc,dip,bought
iter23_cv_split4,good,support,dip,look,volum,high,imo,nice,strong,bought
iter23_cv_split5,good,look,dip,support,high,imo,nice,strong,level,bought
iter24_cv_split1,good,support,look,dip,nice,imo,high,strong,bounc,let
iter24_cv_split2,good,look,dip,support,nice,imo,expect,strong,alreadi,high
iter24_cv_split3,good,look,support,high,imo,dip,bought,alreadi,level,btc
iter24_cv_split4,good,support,look,imo,dip,nice,strong,high,bought,level
iter24_cv_split5,good,support,high,dip,volum,expect,bought,nice,time,bounc
iter25_cv_split1,good,support,strong,dip,high,bought,imo,time,longterm,let
iter25_cv_split2,good,support,nice,imo,high,dip,strong,bought,level,longterm
iter25_cv_split3,good,look,dip,support,imo,strong,high,expect,alreadi,bought
iter25_cv_split4,good,support,imo,nice,volum,dip,high,expect,level,bought
iter25_cv_split5,good,look,support,nice,high,dip,bought,bounc,alreadi,imo
iter26_cv_split1,good,support,look,volum,imo,high,nice,strong,bought,dip
iter26_cv_split2,good,support,dip,look,expect,high,nice,strong,time,imo
iter26_cv_split3,good,dip,look,nice,volum,support,imo,high,level,expect
iter26_cv_split4,good,look,support,dip,high,nice,imo,bought,expect,longterm
iter26_cv_split5,good,support,look,imo,nice,high,dip,strong,btc,level
iter27_cv_split1,good,support,look,imo,high,bought,strong,dip,nice,level
iter27_cv_split2,good,volum,dip,imo,nice,support,strong,expect,high,bought
iter27_cv_split3,good,support,dip,high,imo,btc,bounc,alreadi,hold,longterm
iter27_cv_split4,good,support,look,nice,high,dip,expect,level,imo,bounc
iter27_cv_split5,good,support,look,nice,dip,high,imo,expect,bought,bounc
iter28_cv_split1,good,dip,support,look,volum,nice,strong,bought,expect,time
iter28_cv_split2,good,look,dip,support,imo,high,nice,bounc,bought,expect
iter28_cv_split3,good,support,dip,imo,nice,high,strong,alreadi,bounc,longterm
iter28_cv_split4,good,support,nice,high,dip,imo,bought,time,level,alreadi
iter28_cv_split5,good,support,look,high,strong,bought,imo,expect,nice,dip
iter29_cv_split1,good,support,dip,nice,high,bounc,level,expect,imo,hold
iter29_cv_split2,good,look,dip,imo,support,nice,alreadi,high,btc,bought
iter29_cv_split3,good,support,imo,nice,strong,look,high,dip,alreadi,bought
iter29_cv_split4,good,look,support,high,imo,dip,expect,nice,strong,level
iter29_cv_split5,good,dip,support,look,high,imo,nice,volum,bought,time
iter30_cv_split1,good,support,high,nice,dip,imo,bounc,alreadi,expect,bought
iter30_cv_split2,good,support,nice,imo,dip,high,bounc,level,alreadi,bought
iter30_cv_split3,good,support,look,dip,imo,high,level,strong,expect,hold
iter30_cv_split4,good,dip,look,support,nice,volum,imo,high,bought,strong
iter30_cv_split5,good,look,support,high,dip,nice,strong,imo,bought,longterm
iter31_cv_split1,good,volum,dip,imo,high,support,nice,strong,alreadi,undervalu
iter31_cv_split2,good,support,look,dip,nice,imo,high,expect,bought,level
iter31_cv_split3,good,support,high,dip,look,imo,bought,strong,nice,bounc
iter31_cv_split4,good,support,look,nice,volum,imo,dip,time,high,bought
iter31_cv_split5,good,support,look,high,nice,dip,strong,imo,bought,longterm
iter32_cv_split1,good,look,support,dip,nice,high,strong,imo,expect,bought
iter32_cv_split2,good,support,high,look,dip,strong,imo,nice,level,bought
iter32_cv_split3,good,support,look,volum,nice,expect,dip,high,bought,bounc
iter32_cv_split4,good,imo,dip,look,support,high,time,nice,bought,longterm
iter32_cv_split5,good,support,dip,imo,high,nice,level,alreadi,bounc,coin
iter33_cv_split1,good,support,nice,high,dip,strong,bought,imo,hold,bounc
iter33_cv_split2,good,support,look,imo,high,dip,nice,level,strong,time
iter33_cv_split3,good,support,dip,nice,high,bought,imo,expect,bounc,consolid
iter33_cv_split4,good,look,support,volum,nice,dip,strong,expect,high,imo
iter33_cv_split5,good,look,imo,dip,support,nice,high,alreadi,strong,longterm
iter34_cv_split1,good,support,nice,volum,look,high,imo,dip,bounc,time
iter34_cv_split2,good,volum,support,high,nice,imo,dip,strong,bought,alreadi
iter34_cv_split3,good,support,look,dip,high,imo,bought,level,nice,strong
iter34_cv_split4,good,look,support,high,imo,dip,strong,nice,expect,alreadi
iter34_cv_split5,good,look,dip,volum,imo,support,nice,high,bought,alreadi
iter35_cv_split1,good,support,look,nice,dip,imo,bought,expect,bounc,high
iter35_cv_split2,good,support,dip,high,imo,nice,alreadi,bought,team,bounc
iter35_cv_split3,good,support,imo,dip,high,nice,bought,strong,alreadi,level
iter35_cv_split4,good,look,volum,high,support,nice,dip,imo,strong,hold
iter35_cv_split5,good,look,dip,support,nice,high,imo,expect,strong,level
iter36_cv_split1,good,support,look,high,dip,strong,imo,time,bought,alreadi
iter36_cv_split2,good,support,dip,nice,look,high,imo,hold,alreadi,bought
iter36_cv_split3,good,look,nice,support,imo,dip,bought,expect,high,btc
iter36_cv_split4,good,support,look,nice,dip,imo,high,bounc,soon,expect
iter36_cv_split5,good,support,high,volum,dip,imo,strong,nice,longterm,btc
iter37_cv_split1,good,support,look,high,imo,nice,dip,expect,bought,alreadi
iter37_cv_split2,good,support,dip,imo,high,strong,level,nice,bounc,expect
iter37_cv_split3,good,dip,look,support,imo,nice,hold,high,level,let
iter37_cv_split4,good,support,volum,dip,nice,imo,high,look,bought,strong
iter37_cv_split5,good,high,support,nice,imo,dip,strong,alreadi,bought,bounc
iter38_cv_split1,good,support,look,nice,imo,dip,high,strong,level,bought
iter38_cv_split2,good,support,dip,nice,imo,bought,strong,high,expect,longterm
iter38_cv_split3,good,nice,support,dip,high,imo,expect,bounc,btc,bought
iter38_cv_split4,good,support,high,volum,imo,strong,dip,bought,nice,time
iter38_cv_split5,good,look,dip,volum,support,imo,high,alreadi,nice,level
iter39_cv_split1,good,support,high,dip,imo,nice,bought,strong,longterm,abov
iter39_cv_split2,good,support,high,strong,dip,look,imo,expect,nice,alreadi
iter39_cv_split3,good,look,support,nice,volum,imo,dip,bought,high,longterm
iter39_cv_split4,good,look,support,nice,dip,imo,high,time,bounc,bought
iter39_cv_split5,breakout,good,look,support,dip,imo,nice,expect,high,level
