,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,updat,breakout,resist,amp,volum,chart,break,new,like,soon
iter1_cv_split2,updat,breakout,amp,resist,soon,break,like,chart,market,time
iter1_cv_split3,updat,breakout,amp,resist,look,volum,market,break,soon,new
iter1_cv_split4,updat,breakout,resist,amp,look,market,chart,break,bag,soon
iter1_cv_split5,updat,breakout,resist,amp,volum,chart,break,soon,market,new
iter2_cv_split1,updat,breakout,resist,amp,chart,market,break,soon,like,new
iter2_cv_split2,updat,breakout,resist,amp,look,volum,soon,chart,nice,break
iter2_cv_split3,updat,breakout,amp,resist,volum,chart,market,like,break,new
iter2_cv_split4,updat,breakout,resist,amp,volum,break,market,soon,chart,strong
iter2_cv_split5,updat,breakout,resist,amp,volum,break,market,chart,soon,scenario
iter3_cv_split1,updat,breakout,amp,resist,volum,break,soon,chart,new,market
iter3_cv_split2,updat,breakout,resist,amp,chart,look,break,market,new,strong
iter3_cv_split3,updat,breakout,resist,amp,look,volum,chart,market,break,like
iter3_cv_split4,updat,breakout,amp,resist,market,break,soon,chart,strong,new
iter3_cv_split5,updat,breakout,resist,amp,chart,volum,market,break,soon,scenario
iter4_cv_split1,updat,breakout,resist,amp,chart,break,soon,look,new,market
iter4_cv_split2,updat,breakout,resist,amp,break,chart,soon,market,time,scenario
iter4_cv_split3,updat,breakout,amp,resist,chart,volum,break,market,soon,new
iter4_cv_split4,updat,breakout,amp,resist,volum,market,soon,chart,new,break
iter4_cv_split5,updat,breakout,amp,resist,look,volum,market,soon,chart,new
iter5_cv_split1,updat,breakout,amp,resist,look,market,chart,new,soon,break
iter5_cv_split2,updat,breakout,resist,amp,chart,volum,market,break,soon,strong
iter5_cv_split3,updat,breakout,resist,amp,soon,volum,break,chart,like,market
iter5_cv_split4,updat,amp,resist,volum,chart,soon,break,market,strong,scenario
iter5_cv_split5,updat,breakout,resist,amp,volum,break,new,market,chart,nice
iter6_cv_split1,updat,breakout,resist,amp,chart,break,soon,look,market,new
iter6_cv_split2,updat,breakout,resist,amp,look,volum,chart,market,like,scenario
iter6_cv_split3,updat,breakout,resist,amp,break,soon,new,market,target,continu
