,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.5280898876404494,0.6404494382022472,0.7606837606837606,0.6467236467236467,1,3,1,9,44,4,7,18,2,16,4,0,31,194,2,15,32,57
iter1_cv_split2,0.5795454545454546,0.6477272727272727,0.7585227272727273,0.6448863636363636,2,3,0,10,45,2,5,17,4,19,1,0,28,198,1,19,36,50
iter1_cv_split3,0.5681818181818182,0.6477272727272727,0.7414772727272727,0.6448863636363636,4,1,0,11,44,2,4,20,2,16,4,0,35,192,0,17,35,53
iter1_cv_split4,0.5568181818181818,0.6477272727272727,0.7329545454545454,0.6448863636363636,2,3,0,11,46,0,4,21,1,16,4,0,33,193,1,17,39,49
iter1_cv_split5,0.5172413793103449,0.6436781609195402,0.7648725212464589,0.6458923512747875,1,4,0,16,38,2,6,14,6,17,3,0,24,204,0,16,40,49
iter2_cv_split1,0.5955056179775281,0.6404494382022472,0.7663817663817664,0.6467236467236467,3,2,0,7,46,4,4,19,4,17,3,0,31,196,0,16,32,56
iter2_cv_split2,0.6931818181818182,0.6477272727272727,0.7159090909090909,0.6448863636363636,3,2,0,4,53,0,6,15,5,16,4,0,36,190,1,16,43,46
iter2_cv_split3,0.4659090909090909,0.6477272727272727,0.7840909090909091,0.6448863636363636,3,2,0,15,38,4,10,16,0,18,2,0,23,204,0,13,38,54
iter2_cv_split4,0.5113636363636364,0.6477272727272727,0.7642045454545454,0.6448863636363636,1,4,0,15,40,2,3,19,4,16,4,0,26,200,1,18,34,53
iter2_cv_split5,0.5862068965517241,0.6436781609195402,0.7677053824362606,0.6458923512747875,1,3,1,7,46,3,2,20,4,16,4,0,28,199,1,16,33,56
iter3_cv_split1,0.6404494382022472,0.6404494382022472,0.7350427350427351,0.6467236467236467,3,0,2,7,50,0,8,15,4,15,5,0,33,193,1,18,36,50
iter3_cv_split2,0.5,0.6477272727272727,0.7528409090909091,0.6448863636363636,2,3,0,13,40,4,5,19,2,18,2,0,30,196,1,16,38,51
iter3_cv_split3,0.5340909090909091,0.6477272727272727,0.75,0.6448863636363636,3,2,0,13,42,2,5,19,2,16,4,0,27,200,0,19,38,48
iter3_cv_split4,0.5340909090909091,0.6477272727272727,0.7670454545454546,0.6448863636363636,1,3,1,8,42,7,4,18,4,17,3,0,28,199,0,16,35,54
iter3_cv_split5,0.5632183908045977,0.6436781609195402,0.7705382436260623,0.6458923512747875,1,4,0,10,45,1,5,18,3,17,3,0,28,199,1,18,31,56
iter4_cv_split1,0.5617977528089888,0.6404494382022472,0.7606837606837606,0.6467236467236467,1,2,2,10,44,3,3,19,5,19,1,0,31,196,0,17,35,52
iter4_cv_split2,0.5795454545454546,0.6477272727272727,0.7642045454545454,0.6448863636363636,3,2,0,9,45,3,5,18,3,19,1,0,28,198,1,17,36,52
iter4_cv_split3,0.5454545454545454,0.6477272727272727,0.7585227272727273,0.6448863636363636,2,3,0,11,41,5,6,15,5,15,5,0,29,197,1,14,36,55
iter4_cv_split4,0.6022727272727273,0.6477272727272727,0.7386363636363636,0.6448863636363636,2,3,0,7,47,3,5,17,4,16,4,0,34,191,2,18,34,53
iter4_cv_split5,0.5287356321839081,0.6436781609195402,0.7620396600566572,0.6458923512747875,3,2,0,14,39,3,5,17,4,16,4,0,28,200,0,16,36,53
iter5_cv_split1,0.5842696629213483,0.6404494382022472,0.7378917378917379,0.6467236467236467,2,3,0,9,46,2,4,19,4,18,2,0,34,192,1,18,37,49
iter5_cv_split2,0.5795454545454546,0.6477272727272727,0.7556818181818182,0.6448863636363636,3,1,1,12,44,1,6,16,4,16,4,0,28,198,1,17,36,52
iter5_cv_split3,0.5681818181818182,0.6477272727272727,0.7528409090909091,0.6448863636363636,3,2,0,9,44,4,7,16,3,16,4,0,32,194,1,17,33,55
iter5_cv_split4,0.5795454545454546,0.6477272727272727,0.7556818181818182,0.6448863636363636,1,3,1,10,45,2,4,17,5,17,3,0,32,194,1,15,35,55
iter5_cv_split5,0.5517241379310345,0.6436781609195402,0.7762039660056658,0.6458923512747875,3,1,1,11,43,2,6,18,2,18,2,0,27,201,0,14,36,55
iter6_cv_split1,0.550561797752809,0.6404494382022472,0.7492877492877493,0.6467236467236467,2,2,1,12,43,2,5,18,4,16,4,0,27,199,1,18,38,48
iter6_cv_split2,0.5454545454545454,0.6477272727272727,0.7727272727272727,0.6448863636363636,3,2,0,10,42,5,7,16,3,17,3,0,24,202,1,15,37,53
iter6_cv_split3,0.48863636363636365,0.6477272727272727,0.7755681818181818,0.6448863636363636,2,3,0,13,41,3,3,23,0,18,2,0,29,197,1,16,31,58
iter6_cv_split4,0.5909090909090909,0.6477272727272727,0.7386363636363636,0.6448863636363636,1,4,0,5,49,3,7,17,2,16,4,0,32,194,1,14,41,50
iter6_cv_split5,0.5862068965517241,0.6436781609195402,0.7478753541076487,0.6458923512747875,3,1,1,10,41,5,4,15,7,16,4,0,31,196,1,18,35,52
iter7_cv_split1,0.5730337078651685,0.6404494382022472,0.7350427350427351,0.6467236467236467,0,5,0,5,46,6,3,19,5,16,4,0,36,190,1,20,32,52
iter7_cv_split2,0.6022727272727273,0.6477272727272727,0.7642045454545454,0.6448863636363636,2,3,0,9,46,2,6,15,5,19,1,0,30,195,2,13,37,55
iter7_cv_split3,0.625,0.6477272727272727,0.7471590909090909,0.6448863636363636,0,3,2,4,51,2,6,16,4,16,4,0,30,196,1,15,39,51
iter7_cv_split4,0.5113636363636364,0.6477272727272727,0.7840909090909091,0.6448863636363636,3,2,0,13,41,3,5,20,1,17,3,0,25,202,0,17,31,57
iter7_cv_split5,0.5172413793103449,0.6436781609195402,0.7620396600566572,0.6458923512747875,4,1,0,15,40,1,6,19,1,16,4,0,27,201,0,18,35,52
iter8_cv_split1,0.5393258426966292,0.6404494382022472,0.7663817663817664,0.6467236467236467,2,3,0,10,41,6,2,20,5,16,4,0,26,200,1,18,33,53
iter8_cv_split2,0.5568181818181818,0.6477272727272727,0.7585227272727273,0.6448863636363636,2,3,0,7,46,4,7,18,1,19,1,0,35,192,0,13,36,56
iter8_cv_split3,0.4659090909090909,0.6477272727272727,0.7556818181818182,0.6448863636363636,2,2,1,18,37,2,9,15,2,15,5,0,29,198,0,13,39,53
iter8_cv_split4,0.5795454545454546,0.6477272727272727,0.7613636363636364,0.6448863636363636,3,1,1,10,45,2,5,18,3,17,3,0,29,195,3,20,29,56
iter8_cv_split5,0.5862068965517241,0.6436781609195402,0.7563739376770539,0.6458923512747875,1,4,0,7,47,2,5,18,3,17,3,0,31,197,0,13,39,53
iter9_cv_split1,0.6292134831460674,0.6404494382022472,0.7350427350427351,0.6467236467236467,3,2,0,7,47,3,5,16,6,15,5,0,34,191,2,14,38,52
iter9_cv_split2,0.5,0.6477272727272727,0.7585227272727273,0.6448863636363636,2,2,1,15,41,1,5,20,1,16,4,0,29,197,1,16,35,54
iter9_cv_split3,0.5568181818181818,0.6477272727272727,0.78125,0.6448863636363636,2,3,0,7,45,5,12,12,2,18,2,0,25,202,0,13,37,55
iter9_cv_split4,0.5568181818181818,0.6477272727272727,0.7585227272727273,0.6448863636363636,2,2,1,11,44,2,2,21,3,16,4,0,31,196,0,17,33,55
iter9_cv_split5,0.6091954022988506,0.6436781609195402,0.7620396600566572,0.6458923512747875,3,2,0,5,48,3,5,19,2,18,2,0,32,195,1,14,35,56
