,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,moon,escap,hamp,hope,fund,probabl,return,far,manag,mayb
iter1_cv_split2,hamp,price,escap,moon,probabl,rsi,pullback,fund,exampl,return
iter1_cv_split3,price,moon,far,return,manag,mayb,fund,hamp,week,pullback
iter1_cv_split4,expect,moon,price,hamp,pullback,escap,fund,confirm,oversold,far
iter1_cv_split5,hamp,moon,price,escap,far,mayb,week,rsi,downtrend,confirm
iter2_cv_split1,moon,hamp,price,week,escap,probabl,return,fund,hope,mayb
iter2_cv_split2,hamp,probabl,return,rsi,moon,far,oversold,mayb,fund,escap
iter2_cv_split3,expect,hamp,moon,confirm,rsi,fund,exampl,escap,return,downtrend
iter2_cv_split4,escap,moon,hamp,pullback,exampl,probabl,confirm,price,downtrend,right
iter2_cv_split5,expect,moon,hamp,escap,price,rsi,pullback,far,downtrend,return
iter3_cv_split1,mayb,exampl,pullback,fund,escap,return,downtrend,hope,far,manag
iter3_cv_split2,expect,moon,hamp,price,oversold,confirm,rsi,return,exampl,far
iter3_cv_split3,hamp,moon,price,escap,hope,confirm,week,downtrend,probabl,oversold
iter3_cv_split4,moon,expect,hamp,escap,rsi,fund,oversold,confirm,probabl,pullback
iter3_cv_split5,hamp,price,escap,return,mayb,confirm,fund,downtrend,moon,rsi
iter4_cv_split1,moon,escap,hamp,manag,oversold,rsi,return,downtrend,pullback,probabl
iter4_cv_split2,expect,hamp,moon,far,exampl,manag,mayb,confirm,probabl,fund
iter4_cv_split3,expect,escap,hamp,moon,price,manag,fund,pullback,confirm,downtrend
iter4_cv_split4,expect,price,hamp,downtrend,fund,moon,oversold,confirm,return,manag
iter4_cv_split5,moon,escap,hamp,exampl,downtrend,hope,mayb,far,probabl,pullback
iter5_cv_split1,moon,price,escap,hamp,downtrend,pullback,hope,probabl,rsi,exampl
iter5_cv_split2,escap,hamp,moon,hope,downtrend,far,return,mayb,exampl,fund
iter5_cv_split3,expect,price,hamp,mayb,oversold,confirm,rsi,return,far,fund
iter5_cv_split4,moon,hamp,escap,hope,far,mayb,confirm,fund,oversold,return
iter5_cv_split5,moon,hamp,price,manag,escap,rsi,return,probabl,pullback,fund
iter6_cv_split1,escap,hamp,moon,price,far,confirm,downtrend,pullback,probabl,hand
iter6_cv_split2,moon,hamp,escap,price,manag,rsi,confirm,downtrend,week,oversold
iter6_cv_split3,moon,price,hamp,probabl,return,fund,manag,rsi,escap,exampl
iter6_cv_split4,moon,expect,hamp,price,escap,downtrend,fund,mayb,far,return
iter6_cv_split5,rsi,hope,pullback,hamp,fund,manag,moon,oversold,return,mayb
iter7_cv_split1,moon,price,escap,hamp,confirm,far,downtrend,oversold,exampl,hope
iter7_cv_split2,hamp,moon,expect,escap,oversold,rsi,confirm,return,mayb,probabl
iter7_cv_split3,moon,escap,hamp,return,rsi,pullback,hope,manag,probabl,oversold
iter7_cv_split4,expect,hamp,hope,return,far,confirm,moon,exampl,mayb,fund
iter7_cv_split5,price,hamp,moon,rsi,probabl,manag,fund,escap,pullback,far
iter8_cv_split1,hamp,downtrend,week,return,escap,moon,exampl,manag,confirm,fund
iter8_cv_split2,hamp,expect,price,moon,rsi,oversold,pullback,escap,fund,manag
iter8_cv_split3,moon,hope,week,rsi,price,probabl,hamp,pullback,oversold,escap
iter8_cv_split4,hamp,moon,escap,price,pullback,manag,far,probabl,hope,oversold
iter8_cv_split5,moon,escap,price,hamp,manag,hope,downtrend,rsi,return,exampl
iter9_cv_split1,expect,price,moon,oversold,confirm,rsi,return,exampl,pullback,far
iter9_cv_split2,hamp,moon,escap,return,hope,far,downtrend,probabl,confirm,fund
iter9_cv_split3,expect,hamp,moon,price,mayb,return,oversold,rsi,week,confirm
iter9_cv_split4,escap,moon,manag,week,return,downtrend,far,probabl,hamp,hope
iter9_cv_split5,moon,hamp,escap,downtrend,confirm,probabl,pullback,rsi,price,oversold
iter10_cv_split1,hamp,price,moon,mayb,oversold,hope,pullback,manag,confirm,rsi
iter10_cv_split2,price,moon,hamp,escap,rsi,scenario,pullback,probabl,mayb,downtrend
iter10_cv_split3,moon,hamp,escap,price,probabl,hope,far,week,exampl,downtrend
iter10_cv_split4,moon,escap,hamp,return,manag,hope,far,exampl,mayb,fund
iter10_cv_split5,hamp,moon,far,exampl,price,confirm,hope,fund,probabl,oversold
iter11_cv_split1,moon,escap,oversold,return,probabl,far,hamp,fund,exampl,week
iter11_cv_split2,escap,hamp,moon,price,downtrend,fund,rsi,return,mayb,hope
iter11_cv_split3,expect,hamp,week,pullback,far,return,fund,hope,exampl,confirm
iter11_cv_split4,moon,hamp,rsi,confirm,manag,oversold,hope,price,fund,probabl
iter11_cv_split5,hamp,price,escap,moon,downtrend,oversold,exampl,confirm,mayb,pullback
iter12_cv_split1,hamp,expect,moon,escap,hope,fund,confirm,mayb,return,pullback
iter12_cv_split2,expect,price,moon,downtrend,rsi,return,week,pullback,manag,hamp
iter12_cv_split3,moon,escap,rsi,probabl,pullback,hope,return,hamp,far,manag
iter12_cv_split4,moon,hamp,escap,price,downtrend,confirm,hope,probabl,mayb,far
iter12_cv_split5,hamp,expect,moon,price,pullback,escap,confirm,rsi,week,return
iter13_cv_split1,price,hamp,week,return,rsi,downtrend,pullback,oversold,escap,moon
iter13_cv_split2,escap,moon,price,hamp,oversold,rsi,confirm,probabl,pullback,week
iter13_cv_split3,moon,price,hamp,mayb,hope,escap,probabl,fund,return,week
iter13_cv_split4,escap,moon,hamp,downtrend,far,mayb,probabl,hope,exampl,stori
iter13_cv_split5,moon,hamp,expect,escap,confirm,manag,oversold,hope,price,pullback
iter14_cv_split1,moon,hamp,return,exampl,rsi,fund,manag,confirm,oversold,pullback
iter14_cv_split2,hamp,expect,escap,moon,far,exampl,return,downtrend,manag,week
iter14_cv_split3,hamp,price,escap,confirm,downtrend,probabl,pullback,return,oversold,moon
iter14_cv_split4,moon,hamp,probabl,oversold,exampl,far,price,rsi,hope,week
iter14_cv_split5,moon,price,far,fund,rsi,downtrend,return,hope,pullback,manag
iter15_cv_split1,hamp,moon,price,escap,rsi,scenario,oversold,week,pullback,confirm
iter15_cv_split2,escap,hamp,moon,manag,week,probabl,exampl,fund,downtrend,return
iter15_cv_split3,expect,moon,hamp,price,escap,fund,confirm,mayb,return,hope
iter15_cv_split4,expect,hamp,moon,escap,price,confirm,return,probabl,fund,exampl
iter15_cv_split5,moon,price,hamp,rsi,mayb,far,hope,downtrend,exampl,escap
iter16_cv_split1,moon,expect,hamp,price,oversold,confirm,rsi,return,escap,exampl
iter16_cv_split2,moon,escap,pullback,week,hope,fund,rsi,far,return,mayb
iter16_cv_split3,moon,hamp,far,hope,pullback,price,fund,rsi,confirm,escap
iter16_cv_split4,expect,hamp,hope,manag,confirm,return,fund,moon,downtrend,far
iter16_cv_split5,hamp,escap,moon,price,rsi,mayb,confirm,downtrend,oversold,exampl
iter17_cv_split1,moon,price,hamp,week,return,probabl,hope,oversold,exampl,escap
iter17_cv_split2,hamp,moon,mayb,oversold,downtrend,hope,rsi,price,pullback,escap
iter17_cv_split3,expect,hamp,escap,far,mayb,moon,fund,confirm,downtrend,probabl
iter17_cv_split4,moon,expect,hamp,price,escap,exampl,confirm,rsi,oversold,downtrend
iter17_cv_split5,moon,hamp,return,fund,price,probabl,rsi,far,pullback,hope
iter18_cv_split1,moon,hamp,price,confirm,escap,probabl,oversold,rsi,pullback,mayb
iter18_cv_split2,far,escap,price,downtrend,week,moon,hope,fund,manag,hamp
iter18_cv_split3,escap,moon,hamp,return,fund,probabl,oversold,week,downtrend,far
