,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,usd,quick,ascend,year,alway,pls,far,avail,touch,real
iter1_cv_split2,scenario,project,real,alway,stay,doesn,touch,purpl,daili,launch
iter1_cv_split3,alway,usd,marketcap,come,quick,investor,mani,project,onli,purpl
iter1_cv_split4,alway,far,onli,start,decemb,quick,ethereum,invest,money,real
iter1_cv_split5,alway,daili,perform,launch,investor,new,billion,late,invest,ascend
iter2_cv_split1,daili,alway,stay,usd,real,check,investor,billion,onli,ethereum
iter2_cv_split2,alway,far,usd,continu,perform,coin,money,real,come,decemb
iter2_cv_split3,quick,start,decemb,usd,like,launch,billion,investor,prior,everybodi
iter2_cv_split4,far,scenario,launch,alway,target,start,ethereum,daili,interest,marketcap
iter2_cv_split5,line,interest,touch,alway,year,usd,investor,daili,realli,wait
iter3_cv_split1,far,launch,real,billion,usd,daili,onli,new,decemb,quick
iter3_cv_split2,scenario,alway,usd,avail,daili,touch,purpl,ascend,quick,interest
iter3_cv_split3,alway,daili,target,coin,patienc,ethereum,realli,pump,money,everybodi
iter3_cv_split4,start,hit,onli,luck,invest,come,alway,real,stay,everybodi
iter3_cv_split5,far,quick,alway,investor,realli,need,target,project,touch,prior
iter4_cv_split1,launch,onli,usd,new,daili,alway,luck,start,quick,doesn
iter4_cv_split2,far,coin,alway,interest,daili,target,moon,quick,usd,touch
iter4_cv_split3,check,like,start,entri,launch,purpl,alway,investor,real,quick
iter4_cv_split4,alway,prior,late,perform,billion,continu,hit,start,touch,scenario
iter4_cv_split5,far,alway,scenario,real,strong,avail,usd,realli,ethereum,come
iter5_cv_split1,far,alway,launch,daili,real,touch,investor,scenario,billion,check
iter5_cv_split2,quick,usd,alway,like,coin,check,mani,scenario,investor,target
iter5_cv_split3,quick,ascend,purpl,line,start,usd,real,launch,wait,interest
iter5_cv_split4,daili,usd,start,strong,alway,billion,line,new,interest,late
iter5_cv_split5,far,alway,target,stay,everybodi,onli,fundament,marketcap,sideway,ethereum
iter6_cv_split1,start,quick,stay,ascend,usd,line,launch,investor,alway,real
iter6_cv_split2,quick,project,retest,come,daili,sideway,prior,start,billion,invest
iter6_cv_split3,scenario,touch,alway,perform,quick,billion,like,real,everybodi,continu
iter6_cv_split4,far,usd,target,purpl,alway,coin,onli,need,interest,launch
iter6_cv_split5,price,alway,year,moon,doesn,touch,launch,purpl,daili,realli
iter7_cv_split1,daili,alway,usd,ascend,hit,touch,money,line,purpl,launch
iter7_cv_split2,far,start,launch,need,left,quick,real,come,alway,investor
iter7_cv_split3,usd,alway,strong,line,onli,bag,quick,avail,luck,interest
iter7_cv_split4,prior,alway,marketcap,like,start,luck,launch,week,scenario,investor
iter7_cv_split5,stay,alway,usd,perform,billion,daili,decemb,becom,everybodi,sideway
iter8_cv_split1,far,alway,new,check,stay,daili,ethereum,start,interest,hit
