,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,market,downtrend,hope,accumul,declin,check,price,littl,continu,total
iter1_cv_split2,came,want,market,total,continu,accumul,hamp,point,decis,price
iter1_cv_split3,came,market,total,downtrend,continu,littl,check,declin,start,pls
iter1_cv_split4,came,price,downtrend,market,hope,overbought,hamp,week,pullback,probabl
iter1_cv_split5,accumul,far,total,market,cap,continu,price,start,pls,paus
iter2_cv_split1,downtrend,accumul,price,market,cap,total,point,decis,start,pls
iter2_cv_split2,came,market,total,accumul,downtrend,price,hope,hamp,littl,check
iter2_cv_split3,came,far,market,price,total,hamp,probabl,pls,hope,littl
iter2_cv_split4,came,downtrend,hope,market,optimist,declin,littl,week,check,continu
iter2_cv_split5,market,far,downtrend,littl,accumul,check,total,continu,declin,price
iter3_cv_split1,came,market,accumul,downtrend,total,hope,price,continu,probabl,resist
iter3_cv_split2,price,far,continu,downtrend,optimist,hope,market,accumul,declin,littl
iter3_cv_split3,came,market,accumul,downtrend,littl,price,total,check,decis,point
iter3_cv_split4,market,downtrend,hope,check,declin,littl,resist,total,cap,wet
iter3_cv_split5,came,want,total,price,accumul,continu,probabl,declin,hamp,grab
iter4_cv_split1,came,market,far,downtrend,accumul,total,price,continu,decent,confirm
iter4_cv_split2,market,downtrend,hope,continu,declin,littl,total,cap,start,check
iter4_cv_split3,market,accumul,hamp,price,week,wet,stori,pant,moral,don
iter4_cv_split4,came,market,accumul,total,downtrend,check,declin,hope,littl,price
iter4_cv_split5,came,want,price,continu,hamp,hope,probabl,profit,optimist,point
iter5_cv_split1,came,price,market,downtrend,total,continu,hope,decent,hamp,moral
iter5_cv_split2,came,want,far,total,hamp,optimist,continu,confirm,pant,wet
iter5_cv_split3,came,market,total,downtrend,hope,accumul,pls,paus,price,continu
iter5_cv_split4,accumul,downtrend,continu,littl,price,market,check,declin,hope,pls
iter5_cv_split5,market,downtrend,accumul,declin,check,price,littl,decis,point,total
iter6_cv_split1,came,want,market,accumul,total,price,hope,far,hamp,declin
iter6_cv_split2,came,total,downtrend,continu,hope,hamp,paus,pls,rsi,overbought
iter6_cv_split3,came,downtrend,far,accumul,price,market,optimist,resist,declin,littl
iter6_cv_split4,came,market,accumul,downtrend,continu,hope,littl,total,decis,check
iter6_cv_split5,market,downtrend,check,total,littl,accumul,declin,decis,point,hamp
iter7_cv_split1,came,market,continu,accumul,downtrend,total,price,scenario,optimist,grab
iter7_cv_split2,market,downtrend,accumul,total,hope,resist,week,decis,rsi,overbought
iter7_cv_split3,came,want,market,total,continu,decis,point,littl,week,check
iter7_cv_split4,came,accumul,downtrend,total,price,hope,declin,littl,check,hamp
iter7_cv_split5,price,far,market,downtrend,continu,hope,grab,pls,paus,accumul
iter8_cv_split1,want,price,market,total,continu,declin,point,decis,break,littl
iter8_cv_split2,came,total,downtrend,hope,hamp,gt,pls,decent,week,littl
iter8_cv_split3,came,far,accumul,downtrend,market,hope,continu,price,hamp,grab
