,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.5393258426966292,0.6404494382022472,0.9857549857549858,0.6467236467236467,2,2,1,5,32,20,2,11,14,20,0,0,2,223,2,0,1,103
iter1_cv_split2,0.6136363636363636,0.6477272727272727,0.9744318181818182,0.6448863636363636,0,3,2,4,41,12,2,11,13,20,0,0,2,221,4,0,3,102
iter1_cv_split3,0.5681818181818182,0.6477272727272727,0.9715909090909091,0.6448863636363636,1,2,2,1,38,18,0,15,11,20,0,0,3,219,5,1,1,103
iter1_cv_split4,0.5681818181818182,0.6477272727272727,0.96875,0.6448863636363636,1,3,1,4,38,15,1,14,11,20,0,0,1,221,5,0,5,100
iter1_cv_split5,0.6206896551724138,0.6436781609195402,0.9660056657223796,0.6458923512747875,1,3,1,1,44,11,4,13,9,20,0,0,1,221,6,1,4,100
iter2_cv_split1,0.6067415730337079,0.6404494382022472,0.9772079772079773,0.6467236467236467,0,3,2,2,41,14,1,13,13,20,0,0,1,223,3,1,3,100
iter2_cv_split2,0.6022727272727273,0.6477272727272727,0.9630681818181818,0.6448863636363636,0,5,0,7,41,9,1,13,12,20,0,0,3,219,5,1,4,100
iter2_cv_split3,0.5681818181818182,0.6477272727272727,0.9744318181818182,0.6448863636363636,1,2,2,6,36,15,0,13,13,20,0,0,1,221,5,0,3,102
iter2_cv_split4,0.5909090909090909,0.6477272727272727,0.96875,0.6448863636363636,1,2,2,1,42,14,1,16,9,20,0,0,1,220,6,0,4,101
iter2_cv_split5,0.6206896551724138,0.6436781609195402,0.9631728045325779,0.6458923512747875,1,2,2,0,40,16,0,13,13,20,0,0,2,220,6,1,4,100
iter3_cv_split1,0.6292134831460674,0.6404494382022472,0.9743589743589743,0.6467236467236467,0,2,3,3,39,15,2,8,17,20,0,0,1,223,3,1,4,99
iter3_cv_split2,0.6363636363636364,0.6477272727272727,0.9744318181818182,0.6448863636363636,1,3,1,1,44,12,0,15,11,20,0,0,0,222,5,0,4,101
iter3_cv_split3,0.5909090909090909,0.6477272727272727,0.96875,0.6448863636363636,0,5,0,5,41,11,1,14,11,20,0,0,1,219,7,0,3,102
iter3_cv_split4,0.5568181818181818,0.6477272727272727,0.9659090909090909,0.6448863636363636,1,1,3,4,39,14,0,17,9,20,0,0,2,219,6,1,3,101
iter3_cv_split5,0.5517241379310345,0.6436781609195402,0.9773371104815864,0.6458923512747875,1,3,1,4,33,19,0,12,14,20,0,0,0,223,5,0,3,102
iter4_cv_split1,0.550561797752809,0.6404494382022472,0.9629629629629629,0.6467236467236467,1,3,1,3,35,19,1,13,13,20,0,0,2,218,7,1,3,100
iter4_cv_split2,0.5909090909090909,0.6477272727272727,0.9772727272727273,0.6448863636363636,1,3,1,3,40,14,1,14,11,20,0,0,1,223,3,1,3,101
iter4_cv_split3,0.5909090909090909,0.6477272727272727,0.9744318181818182,0.6448863636363636,0,2,3,2,43,12,1,16,9,20,0,0,0,221,6,0,3,102
iter4_cv_split4,0.5454545454545454,0.6477272727272727,0.9715909090909091,0.6448863636363636,1,4,0,4,34,19,1,12,13,20,0,0,3,221,3,1,3,101
iter4_cv_split5,0.632183908045977,0.6436781609195402,0.9830028328611898,0.6458923512747875,1,2,2,2,44,10,0,16,10,20,0,0,0,225,3,0,3,102
iter5_cv_split1,0.5730337078651685,0.6404494382022472,0.9715099715099715,0.6467236467236467,0,4,1,2,39,16,2,13,12,20,0,0,2,222,3,1,4,99
iter5_cv_split2,0.5681818181818182,0.6477272727272727,0.9744318181818182,0.6448863636363636,0,2,3,4,41,12,3,14,9,20,0,0,1,223,3,0,5,100
iter5_cv_split3,0.5681818181818182,0.6477272727272727,0.9715909090909091,0.6448863636363636,3,2,0,2,35,20,1,13,12,20,0,0,2,222,3,1,4,100
iter5_cv_split4,0.6022727272727273,0.6477272727272727,0.9772727272727273,0.6448863636363636,0,4,1,2,47,8,0,20,6,20,0,0,0,223,4,0,4,101
iter5_cv_split5,0.5517241379310345,0.6436781609195402,0.9745042492917847,0.6458923512747875,2,1,2,8,34,14,0,14,12,20,0,0,2,223,3,1,3,101
iter6_cv_split1,0.5842696629213483,0.6404494382022472,0.9686609686609686,0.6467236467236467,1,3,1,4,38,15,2,12,13,20,0,0,2,219,6,0,3,101
iter6_cv_split2,0.6363636363636364,0.6477272727272727,0.9545454545454546,0.6448863636363636,1,2,2,7,42,8,0,13,13,20,0,0,2,217,8,1,5,99
iter6_cv_split3,0.5909090909090909,0.6477272727272727,0.9801136363636364,0.6448863636363636,1,3,1,1,38,18,1,12,13,20,0,0,1,223,3,0,3,102
iter6_cv_split4,0.5568181818181818,0.6477272727272727,0.9801136363636364,0.6448863636363636,1,0,4,4,39,14,2,15,9,20,0,0,2,222,3,0,2,103
iter6_cv_split5,0.5632183908045977,0.6436781609195402,0.9745042492917847,0.6458923512747875,0,4,1,4,42,10,0,19,7,20,0,0,1,225,2,1,5,99
iter7_cv_split1,0.5393258426966292,0.6404494382022472,0.9715099715099715,0.6467236467236467,0,3,2,3,40,14,2,17,8,20,0,0,2,222,3,1,4,99
iter7_cv_split2,0.6363636363636364,0.6477272727272727,0.9744318181818182,0.6448863636363636,1,1,3,4,43,10,0,14,12,20,0,0,2,222,3,1,3,101
iter7_cv_split3,0.5909090909090909,0.6477272727272727,0.9772727272727273,0.6448863636363636,0,3,2,2,42,13,1,15,10,20,0,0,1,222,4,0,3,102
iter7_cv_split4,0.5454545454545454,0.6477272727272727,0.9630681818181818,0.6448863636363636,1,3,1,6,33,18,2,10,14,20,0,0,2,220,5,0,6,99
iter7_cv_split5,0.6436781609195402,0.6436781609195402,0.9745042492917847,0.6458923512747875,1,4,0,1,40,15,2,9,15,20,0,0,0,223,5,0,4,101
iter8_cv_split1,0.5617977528089888,0.6404494382022472,0.9686609686609686,0.6467236467236467,0,2,3,5,40,12,3,14,10,20,0,0,3,221,3,0,5,99
iter8_cv_split2,0.5681818181818182,0.6477272727272727,0.9715909090909091,0.6448863636363636,0,2,3,2,41,14,1,16,9,20,0,0,1,222,4,1,4,100
iter8_cv_split3,0.6590909090909091,0.6477272727272727,0.9772727272727273,0.6448863636363636,1,4,0,2,46,9,1,14,11,20,0,0,0,221,6,0,2,103
iter8_cv_split4,0.5454545454545454,0.6477272727272727,0.96875,0.6448863636363636,1,2,2,3,36,18,1,14,11,20,0,0,3,222,2,1,5,99
iter8_cv_split5,0.4942528735632184,0.6436781609195402,0.9801699716713881,0.6458923512747875,0,3,2,6,32,18,1,14,11,20,0,0,1,223,4,0,2,103
