,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,escap,exit,pullback,level,grab,let,enjoy,journey,mayb,shine
iter1_cv_split2,exit,let,escap,pullback,far,level,dip,decent,declin,journey
iter1_cv_split3,exit,escap,pullback,let,far,dip,mayb,hamp,enjoy,journey
iter1_cv_split4,exit,escap,level,dip,shine,accumulatinggot,accumul,repeat,paus,decis
iter1_cv_split5,came,escap,pullback,level,let,downtrend,hope,grab,dip,enjoy
iter2_cv_split1,came,escap,pullback,let,level,far,continu,dip,shine,accumulatinggot
iter2_cv_split2,escap,exit,pullback,level,dip,grab,enjoy,journey,let,decent
iter2_cv_split3,exit,level,let,dip,decis,accumul,repeat,paus,enjoy,journey
iter2_cv_split4,exit,escap,pullback,dip,decis,journey,enjoy,grab,shine,accumulatinggot
iter2_cv_split5,escap,exit,let,pullback,hope,level,mayb,shine,accumulatinggot,grab
iter3_cv_split1,escap,exit,pullback,let,level,grab,accumulatinggot,shine,dip,mayb
iter3_cv_split2,came,exit,escap,level,pullback,decis,grab,dip,accumulatinggot,shine
iter3_cv_split3,exit,escap,dip,far,level,let,paus,repeat,mayb,hamp
iter3_cv_split4,escap,exit,far,let,pullback,enjoy,journey,continu,shine,probabl
iter3_cv_split5,pullback,level,escap,let,hope,dip,decis,point,cap,accumulatinggot
iter4_cv_split1,escap,exit,pullback,let,dip,level,hope,accumulatinggot,shine,volum
iter4_cv_split2,came,exit,escap,pullback,dip,grab,let,mayb,journey,enjoy
iter4_cv_split3,exit,escap,level,downtrend,let,mayb,far,enjoy,profit,journey
iter4_cv_split4,escap,exit,pullback,let,far,level,dip,accumulatinggot,shine,grab
iter4_cv_split5,escap,pullback,decis,accumul,level,accumulatinggot,shine,journey,enjoy,dip
iter5_cv_split1,escap,exit,pullback,level,let,dip,grab,shine,accumulatinggot,accumul
iter5_cv_split2,pullback,let,escap,decis,dip,hope,journey,enjoy,profit,cap
iter5_cv_split3,escap,exit,far,level,dip,let,grab,accumulatinggot,shine,point
iter5_cv_split4,came,exit,escap,pullback,level,dip,journey,enjoy,shine,accumulatinggot
iter5_cv_split5,escap,exit,pullback,continu,level,let,journey,enjoy,accumulatinggot,shine
iter6_cv_split1,exit,level,escap,dip,grab,let,accumulatinggot,shine,enjoy,journey
iter6_cv_split2,escap,pullback,far,let,dip,support,accumulatinggot,shine,enjoy,journey
iter6_cv_split3,exit,pullback,escap,level,decis,hope,enjoy,journey,dip,mayb
iter6_cv_split4,escap,exit,pullback,let,level,point,dip,mayb,grab,enjoy
iter6_cv_split5,escap,exit,pullback,level,continu,far,let,shine,accumulatinggot,probabl
iter7_cv_split1,escap,dip,exit,pullback,level,hope,enjoy,journey,let,mayb
iter7_cv_split2,exit,pullback,escap,let,level,point,grab,accumulatinggot,shine,hamp
iter7_cv_split3,exit,let,pullback,escap,far,dip,come,enjoy,journey,repeat
iter7_cv_split4,escap,far,level,cap,mayb,grab,paus,repeat,journey,enjoy
iter7_cv_split5,came,exit,escap,level,pullback,decis,dip,accumulatinggot,shine,exampl
iter8_cv_split1,came,pullback,exit,escap,level,let,hamp,dip,mayb,accumul
iter8_cv_split2,escap,far,let,dip,paus,repeat,mayb,enjoy,journey,grab
iter8_cv_split3,exit,escap,pullback,level,decis,shine,accumulatinggot,dip,repeat,paus
iter8_cv_split4,let,pullback,exit,escap,level,dip,point,grab,shine,accumulatinggot
iter8_cv_split5,exit,escap,level,let,pullback,enjoy,journey,shine,accumulatinggot,probabl
iter9_cv_split1,escap,exit,pullback,far,level,let,shine,accumulatinggot,dip,hamp
iter9_cv_split2,exit,pullback,escap,let,decis,point,journey,enjoy,accumulatinggot,shine
iter9_cv_split3,escap,let,pullback,grab,level,dip,accumul,enjoy,journey,mayb
iter9_cv_split4,escap,exit,level,decis,repeat,paus,accumulatinggot,shine,dip,mayb
iter9_cv_split5,exit,escap,dip,pullback,far,level,let,downtrend,mayb,grab
iter10_cv_split1,escap,level,let,dip,repeat,paus,accumulatinggot,shine,point,decis
iter10_cv_split2,escap,pullback,exit,hope,let,point,level,dip,enjoy,journey
iter10_cv_split3,exit,far,pullback,level,escap,downtrend,let,grab,mayb,accumulatinggot
iter10_cv_split4,exit,escap,pullback,let,grab,mayb,accumulatinggot,shine,support,repeat
iter10_cv_split5,exit,pullback,decis,level,dip,hamp,journey,enjoy,decent,declin
iter11_cv_split1,escap,exit,level,grab,let,accumul,mayb,repeat,paus,enjoy
iter11_cv_split2,came,pullback,exit,level,let,escap,downtrend,decis,dip,grab
iter11_cv_split3,exit,escap,pullback,hope,dip,decis,journey,enjoy,support,paus
iter11_cv_split4,pullback,level,escap,point,dip,let,accumulatinggot,shine,enjoy,journey
iter11_cv_split5,escap,exit,pullback,let,far,dip,mayb,level,decent,declin
iter12_cv_split1,exit,pullback,escap,let,dip,decis,point,journey,enjoy,accumulatinggot
iter12_cv_split2,escap,exit,far,pullback,dip,let,grab,level,mayb,journey
iter12_cv_split3,exit,escap,pullback,level,let,grab,accumulatinggot,shine,probabl,exampl
iter12_cv_split4,escap,exit,let,level,hamp,dip,mayb,enjoy,journey,profit
iter12_cv_split5,escap,level,pullback,decis,shine,accumulatinggot,dip,enjoy,journey,mayb
iter13_cv_split1,escap,exit,pullback,let,hope,grab,dip,mayb,declin,accumulatinggot
iter13_cv_split2,exit,escap,far,pullback,level,let,hamp,decis,accumul,enjoy
iter13_cv_split3,exit,escap,pullback,let,dip,point,level,price,enjoy,journey
iter13_cv_split4,came,escap,pullback,level,decis,accumulatinggot,shine,enjoy,journey,dip
iter13_cv_split5,exit,far,level,escap,dip,let,mayb,grab,repeat,paus
iter14_cv_split1,escap,level,let,grab,hope,rsi,shine,accumulatinggot,repeat,paus
iter14_cv_split2,exit,escap,pullback,level,decis,dip,accumulatinggot,shine,grab,enjoy
iter14_cv_split3,exit,escap,pullback,let,grab,journey,enjoy,mayb,decent,profit
iter14_cv_split4,far,exit,pullback,let,escap,level,accumul,dip,mayb,journey
iter14_cv_split5,exit,escap,pullback,level,point,let,dip,journey,enjoy,mayb
