,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,ath,let,strong,onc,btc,great,pampit,near,permabul,holder
iter1_cv_split2,strong,let,ath,analysi,use,pampit,near,btc,great,onc
iter1_cv_split3,let,price,ath,btc,permabul,pampit,cloud,strong,hodl,couldnt
iter1_cv_split4,price,ath,pampit,near,great,onc,analysi,let,watch,cloud
iter1_cv_split5,price,ath,analysi,great,onc,btc,pampit,permabul,near,ma
iter2_cv_split1,let,price,great,onc,pampit,permabul,analysi,strong,use,anyth
iter2_cv_split2,let,ath,onc,pampit,permabul,btc,near,sleepi,hodl,strong
iter2_cv_split3,ath,let,lead,pampit,onc,btc,near,great,permabul,updat
iter2_cv_split4,price,ath,let,cloud,onc,pampit,great,near,btc,sleepi
iter2_cv_split5,let,price,strong,analysi,great,permabul,near,btc,pampit,ath
iter3_cv_split1,price,ath,let,analysi,great,pampit,near,onc,sleepi,ma
iter3_cv_split2,let,strong,price,af,near,great,permabul,onc,btc,pampit
iter3_cv_split3,let,ath,strong,price,lead,hope,pampit,near,great,permabul
iter3_cv_split4,let,btc,permabul,pampit,ath,updat,price,analysi,anyth,ma
iter3_cv_split5,let,price,ath,pampit,btc,onc,permabul,near,great,strong
iter4_cv_split1,price,ath,ma,great,near,pampit,btc,cloud,sleepi,strong
iter4_cv_split2,ath,price,analysi,let,onc,pampit,great,permabul,strong,spot
iter4_cv_split3,let,ath,btc,permabul,near,pampit,onc,use,couldnt,cloud
iter4_cv_split4,price,let,ath,great,pampit,btc,permabul,onc,near,updat
iter4_cv_split5,let,price,strong,pampit,permabul,btc,onc,near,great,sleepi
iter5_cv_split1,ath,strong,sleepi,great,near,pampit,permabul,spot,price,holder
iter5_cv_split2,let,price,pampit,near,onc,btc,play,ath,hodl,analysi
iter5_cv_split3,price,let,ath,great,btc,near,pampit,permabul,onc,strong
iter5_cv_split4,ath,let,price,use,cloud,af,strong,onc,great,near
iter5_cv_split5,let,analysi,permabul,great,btc,onc,pampit,ath,couldnt,price
iter6_cv_split1,ath,price,pampit,permabul,onc,btc,great,sleepi,ma,analysi
iter6_cv_split2,let,price,ath,play,btc,pampit,near,great,onc,strong
iter6_cv_split3,let,price,near,pampit,onc,permabul,great,ath,cloud,anyth
iter6_cv_split4,let,strong,ath,analysi,near,pampit,onc,permabul,great,btc
iter6_cv_split5,ath,price,let,near,permabul,btc,pampit,strong,analysi,updat
iter7_cv_split1,ath,price,let,strong,btc,pampit,great,onc,permabul,updat
iter7_cv_split2,let,price,near,pampit,permabul,onc,great,btc,ath,play
iter7_cv_split3,ath,strong,permabul,near,great,onc,price,hodl,ma,couldnt
iter7_cv_split4,let,ath,price,strong,pampit,near,btc,permabul,onc,holder
iter7_cv_split5,let,price,ath,strong,fork,great,near,pampit,btc,ma
iter8_cv_split1,price,hodl,pampit,near,onc,great,btc,let,play,strong
iter8_cv_split2,let,price,pampit,permabul,onc,btc,near,great,strong,af
iter8_cv_split3,let,ath,pampit,onc,permabul,near,cloud,updat,holder,price
iter8_cv_split4,ath,let,use,price,strong,great,permabul,pampit,btc,onc
iter8_cv_split5,let,ath,price,great,pampit,btc,permabul,strong,analysi,sleepi
iter9_cv_split1,price,strong,permabul,great,pampit,near,btc,let,analysi,ma
iter9_cv_split2,ath,price,let,onc,great,permabul,btc,pampit,updat,holder
iter9_cv_split3,let,ath,strong,use,lead,btc,pampit,near,permabul,onc
iter9_cv_split4,let,ath,price,near,great,onc,btc,pampit,cloud,use
iter9_cv_split5,price,let,ath,pampit,near,great,permabul,onc,strong,fork
iter10_cv_split1,ath,pampit,btc,onc,analysi,updat,let,price,couldnt,pump
iter10_cv_split2,let,use,strong,af,ma,pampit,great,permabul,near,btc
iter10_cv_split3,price,let,ath,strong,fork,ma,analysi,anyth,cloud,sleepi
iter10_cv_split4,price,ath,analysi,great,pampit,onc,near,permabul,btc,play
iter10_cv_split5,let,price,onc,permabul,pampit,great,near,strong,ath,pump
iter11_cv_split1,let,analysi,onc,great,near,pampit,btc,price,couldnt,cloud
iter11_cv_split2,price,ath,let,play,use,pampit,great,onc,permabul,btc
iter11_cv_split3,ath,sleepi,near,pampit,permabul,great,updat,ma,couldnt,holder
iter11_cv_split4,let,price,ath,strong,pampit,btc,near,onc,permabul,great
iter11_cv_split5,let,strong,analysi,near,pampit,onc,btc,permabul,price,ath
iter12_cv_split1,ath,price,strong,sleepi,spot,great,pampit,near,onc,btc
iter12_cv_split2,price,let,use,great,pampit,onc,permabul,near,ath,cloud
iter12_cv_split3,let,ath,strong,cloud,price,sleepi,great,permabul,pampit,btc
iter12_cv_split4,ath,let,price,onc,btc,permabul,pampit,strong,hope,play
iter12_cv_split5,let,ath,price,near,permabul,btc,great,pampit,analysi,couldnt
iter13_cv_split1,ath,price,play,near,pampit,permabul,btc,great,onc,strong
iter13_cv_split2,ath,let,near,pampit,permabul,onc,btc,great,couldnt,signal
