,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,incom,welcom,start,stop,short,bull,final,set,bad,resist
iter1_cv_split2,greed,profit,bitcoin,bull,cash,market,maker,cloud,safe,loss
iter1_cv_split3,profit,welcom,alreadi,bitcoin,cash,maker,manag,media,mission,moon
iter1_cv_split4,stop,welcom,profit,bitcoin,short,cash,resist,blow,period,truli
iter1_cv_split5,bitcoin,let,short,bull,welcom,gainzz,direct,hour,enoughsold,decid
iter2_cv_split1,profit,foreverif,sinc,rektfest,cash,market,got,final,fill,ok
iter2_cv_split2,stop,bull,bitcoin,cash,cloud,resist,afterif,mainstream,type,true
iter2_cv_split3,stop,welcom,bitcoin,short,ok,bull,cloud,enoughsold,decid,direct
iter2_cv_split4,incom,profit,bitcoin,welcom,stop,short,bull,set,cash,bounc
iter2_cv_split5,bitcoin,welcom,short,bull,cash,decid,direct,enoughsold,hour,market
iter3_cv_split1,stop,welcom,profit,bitcoin,ok,cash,market,maker,safe,reactsthen
iter3_cv_split2,welcom,start,bitcoin,short,bull,cash,maker,afterif,team,ppl
iter3_cv_split3,profit,greed,becaus,decid,hour,enoughsold,direct,cloud,like,safe
iter3_cv_split4,profit,bitcoin,short,bull,bad,turkish,true,surpass,mainstream,reactsthen
iter3_cv_split5,incom,profit,stop,bitcoin,welcom,short,bull,foreverif,fall,rektfest
iter4_cv_split1,bitcoin,let,short,bull,welcom,gainzz,decid,enoughsold,direct,hour
iter4_cv_split2,incom,profit,bitcoin,stop,welcom,short,set,bad,market,final
iter4_cv_split3,stop,profit,welcom,bitcoin,bull,ok,cash,safe,attract,promis
iter4_cv_split4,incom,profit,welcom,sinc,foreverif,rektfest,cash,bull,safe,market
iter4_cv_split5,short,bitcoin,market,cash,maker,resist,afterif,test,surpass,solv
iter5_cv_split1,stop,welcom,let,bitcoin,short,bull,ok,market,obvious,vs
iter5_cv_split2,profit,welcom,bitcoin,bull,cash,hour,enoughsold,direct,decid,stay
iter5_cv_split3,profit,becaus,greed,rektfest,sinc,foreverif,cash,maker,safe,potenti
