,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,revers,profit,fill,becaus,runat,greed,got,expect,gainzz,fli
iter1_cv_split2,stop,incom,revers,die,runat,alreadi,becaus,short,rektfest,foreverif
iter1_cv_split3,stop,incom,revers,die,runat,foreverif,fall,rektfest,gainzz,fill
iter1_cv_split4,revers,incom,die,becaus,alreadi,greed,got,gainzz,fill,bounc
iter1_cv_split5,stop,profit,die,becaus,alreadi,greed,got,fall,rektfest,foreverif
iter2_cv_split1,stop,incom,revers,gainzz,welcom,pls,fli,hey,cloud,aka
iter2_cv_split2,incom,revers,die,expect,runat,alreadi,got,becaus,greed,short
iter2_cv_split3,incom,revers,profit,die,becaus,greed,fill,alreadi,runat,time
iter2_cv_split4,revers,die,fill,becaus,alreadi,greed,got,runat,foreverif,rektfest
iter2_cv_split5,stop,profit,die,alreadi,becaus,greed,runat,got,pls,fli
iter3_cv_split1,revers,incom,die,alreadi,got,gainzz,fill,fli,pls,time
iter3_cv_split2,stop,incom,revers,die,profit,becaus,alreadi,greed,expect,runat
iter3_cv_split3,stop,runat,start,got,short,rektfest,foreverif,fall,fill,sinc
iter3_cv_split4,stop,incom,revers,die,becaus,runat,greed,alreadi,rektfest,fall
iter3_cv_split5,revers,got,die,becaus,alreadi,greed,runat,dump,cloud,start
iter4_cv_split1,stop,profit,die,becaus,greed,alreadi,foreverif,rektfest,fall,fill
iter4_cv_split2,revers,die,becaus,alreadi,fill,got,greed,runat,start,loss
iter4_cv_split3,revers,incom,die,got,alreadi,runat,start,fill,short,sinc
iter4_cv_split4,stop,revers,runat,gainzz,fill,bounc,got,cloud,fli,pls
iter4_cv_split5,stop,revers,incom,die,becaus,greed,alreadi,rektfest,foreverif,fall
iter5_cv_split1,revers,incom,die,profit,becaus,alreadi,greed,runat,fill,foreverif
iter5_cv_split2,stop,die,alreadi,gainzz,runat,expect,fill,rektfest,fall,foreverif
iter5_cv_split3,stop,revers,incom,start,got,pls,fli,hey,welcom,gainzz
iter5_cv_split4,stop,revers,incom,die,runat,becaus,greed,alreadi,rektfest,foreverif
iter5_cv_split5,incom,revers,got,die,dump,becaus,greed,alreadi,runat,time
iter6_cv_split1,stop,revers,die,alreadi,becaus,greed,gainzz,fall,foreverif,rektfest
iter6_cv_split2,stop,incom,revers,die,becaus,greed,runat,alreadi,fall,foreverif
iter6_cv_split3,got,start,fill,runat,expect,becaus,fall,rektfest,foreverif,short
iter6_cv_split4,stop,revers,incom,die,becaus,profit,greed,alreadi,runat,got
iter6_cv_split5,incom,revers,die,dump,got,alreadi,runat,fall,foreverif,rektfest
