,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,coin,bought,fomo,stoch rsi,order,befor,line,time,fall,level
iter1_cv_split2,bought,stoch rsi,befor,rsi,stoch,level,good,coin,order,wait
iter1_cv_split3,bought,level,befor,coin,fomo,breakout,fib level,line,start,fall
iter1_cv_split4,level,stoch rsi,stoch,rsi,bought,daili,good,fomo,order,sat
iter1_cv_split5,level,coin,good,stoch rsi,befor,rsi,stoch,bought,breakout,order
iter2_cv_split1,bought,level,good,stoch rsi,befor,rsi,stoch,fib level,fall,amp
iter2_cv_split2,level,stoch rsi,coin,rsi,stoch,bought,fomo,sat,order,fib level
iter2_cv_split3,befor,bought,coin,order,fall,target,stoch,stoch rsi,line,rsi
iter2_cv_split4,level,coin,stoch rsi,rsi,stoch,befor,good,bought,daili,breakout
iter2_cv_split5,bought,stoch rsi,befor,rsi,stoch,coin,level,good,daili,day
iter3_cv_split1,level,befor,coin,bought,stoch rsi,rsi,stoch,fomo,breakout,target
iter3_cv_split2,good,level,stoch rsi,rsi,stoch,fomo,bought,sat,order,fall
iter3_cv_split3,level,bought,target,order,fib level,sat,stoch rsi,fib,befor,wait
iter3_cv_split4,bought,befor,stoch,stoch rsi,rsi,good,coin,daili,breakout,fib
iter3_cv_split5,level,bought,coin,stoch rsi,daili,rsi,stoch,befor,fomo,order
iter4_cv_split1,level,bought,stoch rsi,rsi,stoch,daili,befor,fomo,breakout,line
iter4_cv_split2,level,rsi,stoch rsi,befor,stoch,bought,breakout,order,coin,fall
iter4_cv_split3,bought,level,coin,daili,fomo,good,wait,fib level,befor,fall
iter4_cv_split4,befor,coin,level,stoch rsi,rsi,stoch,fomo,fall,order,good
iter4_cv_split5,bought,level,good,stoch rsi,stoch,befor,rsi,coin,target,order
iter5_cv_split1,rsi,stoch rsi,stoch,daili,bought,level,good,befor,order,target
iter5_cv_split2,bought,level,stoch rsi,daili,rsi,stoch,fomo,coin,order,fib level
iter5_cv_split3,level,bought,coin,befor,fomo,wait,line,fall,good,everi
iter5_cv_split4,level,daili,befor,stoch rsi,stoch,rsi,fall,coin,breakout,order
iter5_cv_split5,bought,level,stoch rsi,befor,rsi,stoch,good,coin,breakout,fib level
iter6_cv_split1,befor,bought,level,good,stoch rsi,daili,rsi,stoch,order,breakout
iter6_cv_split2,level,stoch rsi,rsi,stoch,bought,daili,wait,befor,fomo,breakout
iter6_cv_split3,coin,level,befor,bought,fall,order,good,stoch rsi,support,rsi
iter6_cv_split4,level,bought,coin,good,daili,stoch,stoch rsi,rsi,fomo,wait
iter6_cv_split5,bought,befor,stoch rsi,coin,rsi,stoch,level,sat,order,breakout
iter7_cv_split1,befor,level,coin,stoch rsi,rsi,stoch,bought,fall,order,sat
iter7_cv_split2,level,bought,target,daili,rsi,stoch rsi,stoch,fomo,wait,fib level
iter7_cv_split3,level,bought,good,befor,coin,start,fomo,daili,fall,wait
iter7_cv_split4,stoch rsi,rsi,stoch,coin,befor,bought,wait,order,good,breakout
iter7_cv_split5,level,good,befor,stoch rsi,rsi,stoch,fomo,bought,sat,order
iter8_cv_split1,level,stoch rsi,stoch,bought,rsi,befor,coin,daili,good,fib level
iter8_cv_split2,bought,level,target,good,fomo,coin,order,wait,fall,befor
iter8_cv_split3,stoch rsi,rsi,stoch,coin,bought,good,wait,order,breakout,fib level
iter8_cv_split4,level,bought,befor,daili,stoch rsi,rsi,fomo,stoch,breakout,fib level
iter8_cv_split5,level,befor,stoch rsi,rsi,stoch,coin,order,fall,sat,daili
iter9_cv_split1,level,stoch rsi,befor,rsi,stoch,daili,bought,order,good,breakout
iter9_cv_split2,bought,level,stoch,stoch rsi,rsi,befor,coin,target,fomo,breakout
iter9_cv_split3,level,good,befor,coin,bought,fomo,sat,order,daili,stoch rsi
iter9_cv_split4,bought,level,daili,stoch rsi,wait,rsi,stoch,fomo,fall,coin
iter9_cv_split5,bought,level,coin,order,day,fall,good,befor,entri,wait
iter10_cv_split1,level,stoch rsi,befor,rsi,bought,stoch,coin,fomo,breakout,fib level
iter10_cv_split2,befor,level,coin,rsi,stoch rsi,stoch,target,daili,fomo,bought
iter10_cv_split3,bought,stoch rsi,level,rsi,stoch,daili,day,coin,fib level,line
iter10_cv_split4,level,daili,bought,coin,order,fall,good,sat,line,support line
iter10_cv_split5,bought,level,befor,good,stoch rsi,rsi,stoch,fall,order,breakout
iter11_cv_split1,stoch,stoch rsi,rsi,daili,bought,fomo,coin,order,level,start
iter11_cv_split2,stoch rsi,coin,rsi,stoch,bought,good,level,befor,daili,wait
iter11_cv_split3,bought,befor,level,fomo,good,target,order,breakout,stoch rsi,line
iter11_cv_split4,level,bought,stoch rsi,coin,befor,rsi,stoch,breakout,fib level,fall
iter11_cv_split5,level,befor,stoch rsi,rsi,stoch,fall,coin,bought,order,breakout
iter12_cv_split1,bought,befor,good,daili,fomo,level,breakout,order,sat,entri
iter12_cv_split2,befor,bought,stoch rsi,level,rsi,stoch,fomo,coin,line,good
iter12_cv_split3,level,stoch rsi,befor,bought,rsi,stoch,coin,fall,order,breakout
iter12_cv_split4,level,bought,good,rsi,stoch rsi,coin,stoch,daili,fib level,fall
iter12_cv_split5,level,bought,coin,good,stoch,stoch rsi,befor,rsi,order,breakout
iter13_cv_split1,bought,befor,level,fomo,order,breakout,fib level,fall,sat,wait
iter13_cv_split2,stoch rsi,rsi,stoch,bought,coin,level,good,befor,fall,order
iter13_cv_split3,level,good,daili,stoch rsi,rsi,stoch,fomo,bought,befor,coin
iter13_cv_split4,bought,befor,level,fomo,breakout,order,target,coin,wait,good
iter13_cv_split5,level,stoch,stoch rsi,coin,rsi,bought,line,fib level,fib,fall
iter14_cv_split1,level,fomo,bought,coin,order,line,fall,good,stoch rsi,target
iter14_cv_split2,level,bought,coin,befor,stoch rsi,rsi,stoch,fomo,fib level,fall
iter14_cv_split3,level,befor,bought,coin,wait,fomo,good,order,breakout,daili
iter14_cv_split4,level,rsi,stoch rsi,stoch,befor,daili,bought,coin,breakout,fib level
iter14_cv_split5,bought,level,stoch rsi,rsi,stoch,good,befor,order,breakout,target
iter15_cv_split1,level,coin,stoch rsi,befor,rsi,stoch,bought,sat,breakout,order
iter15_cv_split2,level,bought,stoch rsi,good,rsi,daili,stoch,fomo,order,fall
iter15_cv_split3,bought,level,coin,good,wait,fall,fomo,line,daili,befor
iter15_cv_split4,stoch rsi,stoch,rsi,befor,bought,level,coin,order,good,breakout
iter15_cv_split5,befor,stoch rsi,bought,rsi,stoch,level,coin,target,start,fall
iter16_cv_split1,level,bought,stoch,rsi,stoch rsi,befor,order,breakout,daili,fib level
iter16_cv_split2,level,coin,bought,befor,wait,fomo,breakout,fib level,stoch rsi,line
iter16_cv_split3,level,bought,good,fall,fomo,target,daili,stoch rsi,coin,amp
iter16_cv_split4,befor,stoch rsi,bought,rsi,stoch,coin,target,order,line,fall
iter16_cv_split5,level,coin,good,stoch rsi,befor,daili,rsi,stoch,bought,order
iter17_cv_split1,level,befor,bought,stoch rsi,rsi,stoch,fomo,order,breakout,sat
iter17_cv_split2,stoch rsi,level,befor,rsi,stoch,bought,order,coin,sat,good
iter17_cv_split3,bought,level,good,daili,coin,fomo,fib,fib level,fall,sat
iter17_cv_split4,bought,coin,rsi,stoch rsi,level,good,befor,stoch,fall,order
iter17_cv_split5,level,bought,stoch rsi,coin,rsi,stoch,fomo,good,wait,fib level
iter18_cv_split1,level,coin,rsi,stoch rsi,befor,stoch,fall,order,fib level,fib
iter18_cv_split2,bought,level,daili,coin,sat,fib level,line,fall,stoch rsi,fib
iter18_cv_split3,bought,befor,level,good,stoch rsi,coin,rsi,stoch,fomo,order
iter18_cv_split4,level,bought,stoch,stoch rsi,good,rsi,coin,order,breakout,target
iter18_cv_split5,level,stoch rsi,befor,bought,rsi,stoch,good,fomo,daili,coin
iter19_cv_split1,bought,befor,level,start,fomo,order,daili,breakout,fall,target
