,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,price,use,market,ath,bitcoin,signal,exchang,btc,watch,trade
iter1_cv_split2,bitcoin,use,price,btc,pump,altcoin,ath,signal,onc,ll
iter1_cv_split3,use,bitcoin,onc,market,marketcap,pump,pass,hodl,ll,ath
iter1_cv_split4,use,btc,price,onc,signal,ath,exchang,bitcoin,market,pampit
iter1_cv_split5,use,price,btc,bitcoin,onc,hodl,new,ath,watch,altcoin
iter2_cv_split1,price,use,btc,bitcoin,pampit,let,hodl,like,strong,pump
iter2_cv_split2,price,use,bitcoin,btc,onc,signal,ath,bull,trade,pass
iter2_cv_split3,bitcoin,amp,price,use,watch,onc,ath,hodl,exchang,signal
iter2_cv_split4,market,use,bitcoin,btc,ath,price,marketcap,altcoin,pump,exchang
iter2_cv_split5,use,btc,market,onc,exchang,ath,bitcoin,pampit,altcoin,trade
iter3_cv_split1,price,bitcoin,onc,use,pampit,btc,altcoin,hodl,exchang,way
iter3_cv_split2,market,price,btc,use,bitcoin,onc,ath,hodl,signal,altcoin
iter3_cv_split3,use,market,bitcoin,btc,price,signal,exchang,marketcap,ath,pampit
iter3_cv_split4,bitcoin,use,price,watch,market,btc,pampit,onc,trade,exchang
iter3_cv_split5,use,btc,chart,ath,marketcap,watch,pampit,hodl,onc,pump
iter4_cv_split1,use,bitcoin,btc,price,onc,signal,hodl,exchang,ath,new
iter4_cv_split2,price,btc,bitcoin,use,onc,bull,altcoin,signal,ath,exchang
iter4_cv_split3,use,price,market,btc,bitcoin,onc,signal,ath,marketcap,watch
iter4_cv_split4,price,market,use,onc,hodl,ath,bitcoin,pampit,altcoin,trade
iter4_cv_split5,use,bitcoin,btc,price,watch,ath,market,marketcap,pampit,altcoin
iter5_cv_split1,bitcoin,price,use,market,ath,btc,watch,pampit,trade,onc
iter5_cv_split2,use,price,market,btc,onc,exchang,let,bitcoin,marketcap,hodl
iter5_cv_split3,price,use,btc,onc,ath,pampit,pump,hodl,hope,signal
iter5_cv_split4,use,btc,price,ath,bitcoin,marketcap,onc,signal,market,pump
iter5_cv_split5,bitcoin,use,ath,btc,hodl,onc,bear,market,watch,altcoin
iter6_cv_split1,use,price,btc,bitcoin,ath,new,market,watch,pampit,altcoin
iter6_cv_split2,price,btc,use,onc,ath,bitcoin,signal,bull,amp,altcoin
iter6_cv_split3,bitcoin,price,use,market,let,watch,onc,hodl,exchang,signal
iter6_cv_split4,market,use,btc,onc,price,ath,bitcoin,pampit,pump,hodl
iter6_cv_split5,bitcoin,use,btc,onc,hodl,marketcap,pampit,pump,altcoin,signal
iter7_cv_split1,bitcoin,price,use,signal,exchang,btc,ath,pampit,marketcap,onc
iter7_cv_split2,use,btc,market,bitcoin,hodl,exchang,new,watch,onc,trade
iter7_cv_split3,price,use,onc,ath,btc,bear,hodl,pass,exchang,like
iter7_cv_split4,use,btc,bitcoin,price,watch,ath,onc,market,marketcap,pampit
iter7_cv_split5,use,market,bitcoin,price,let,onc,ath,exchang,signal,btc
iter8_cv_split1,price,bitcoin,use,btc,ath,market,onc,signal,pampit,altcoin
iter8_cv_split2,price,use,btc,bitcoin,marketcap,onc,altcoin,pump,pass,ath
iter8_cv_split3,bitcoin,use,watch,ath,market,hodl,signal,new,pampit,trade
iter8_cv_split4,use,btc,bitcoin,onc,market,price,hodl,pump,let,exchang
iter8_cv_split5,market,use,btc,onc,price,exchang,marketcap,bitcoin,trade,like
iter9_cv_split1,bitcoin,use,btc,market,price,ath,signal,trade,altcoin,onc
iter9_cv_split2,use,bitcoin,onc,hodl,ath,pampit,exchang,let,ll,year
iter9_cv_split3,use,market,bitcoin,ath,btc,onc,hodl,exchang,bear,watch
iter9_cv_split4,use,price,btc,let,marketcap,pampit,onc,pump,signal,ath
iter9_cv_split5,price,btc,use,bitcoin,onc,watch,hope,hodl,pass,signal
iter10_cv_split1,use,price,btc,signal,pampit,trade,pass,exchang,like,scale
iter10_cv_split2,market,bitcoin,onc,use,btc,exchang,let,ath,new,pampit
iter10_cv_split3,price,use,bitcoin,btc,ath,hodl,onc,marketcap,pump,altcoin
iter10_cv_split4,bitcoin,use,price,btc,amp,market,onc,hodl,marketcap,ath
iter10_cv_split5,use,price,watch,btc,onc,signal,exchang,ath,bear,market
iter11_cv_split1,market,use,btc,bitcoin,marketcap,ath,amp,price,onc,watch
iter11_cv_split2,price,use,bitcoin,onc,ath,btc,pampit,pump,hodl,signal
iter11_cv_split3,use,price,btc,bitcoin,onc,hodl,altcoin,let,ath,exchang
iter11_cv_split4,use,bitcoin,price,onc,watch,btc,exchang,bull,trade,hodl
iter11_cv_split5,bitcoin,use,btc,price,ath,market,signal,new,trade,onc
iter12_cv_split1,use,market,bitcoin,btc,price,signal,bull,let,hodl,exchang
iter12_cv_split2,price,use,ath,btc,bitcoin,onc,signal,bear,pump,altcoin
iter12_cv_split3,price,use,btc,onc,marketcap,bitcoin,market,hodl,signal,watch
iter12_cv_split4,bitcoin,use,watch,ath,new,btc,pampit,onc,altcoin,trade
iter12_cv_split5,use,bitcoin,price,onc,ath,btc,hodl,exchang,signal,altcoin
iter13_cv_split1,use,new,bitcoin,market,ath,price,onc,hodl,btc,watch
iter13_cv_split2,price,use,market,bitcoin,btc,onc,marketcap,altcoin,pump,signal
iter13_cv_split3,use,price,bitcoin,btc,market,onc,exchang,ath,trade,signal
iter13_cv_split4,use,bitcoin,price,btc,market,watch,trade,pump,onc,hodl
iter13_cv_split5,use,bitcoin,btc,price,onc,watch,signal,ath,marketcap,pampit
