,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.7073170731707317,0.6585365853658537,0.9487179487179487,0.6666666666666666,1,2,1,1,23,3,0,5,5,11,2,0,1,103,0,0,5,34
iter1_cv_split2,0.625,0.65,0.9235668789808917,0.6687898089171974,0,4,0,0,25,1,0,10,0,11,2,0,1,102,2,0,7,32
iter1_cv_split3,0.6666666666666666,0.6666666666666666,0.9050632911392406,0.6645569620253164,0,2,1,0,23,3,0,7,3,12,2,0,2,100,3,0,8,31
iter1_cv_split4,0.6666666666666666,0.6666666666666666,0.9177215189873418,0.6645569620253164,1,2,0,2,23,1,0,8,2,12,2,0,0,103,2,0,9,30
iter1_cv_split5,0.7894736842105263,0.6842105263157895,0.9308176100628931,0.660377358490566,1,1,1,0,25,1,0,5,4,12,2,0,1,103,1,0,7,33
iter2_cv_split1,0.7317073170731707,0.6585365853658537,0.9102564102564102,0.6666666666666666,1,3,0,0,27,0,1,7,2,11,2,0,1,101,2,0,9,30
iter2_cv_split2,0.725,0.65,0.9299363057324841,0.6687898089171974,0,3,1,1,25,0,0,6,4,10,3,0,1,102,2,0,5,34
iter2_cv_split3,0.6923076923076923,0.6666666666666666,0.9493670886075949,0.6645569620253164,1,2,0,0,23,3,0,7,3,12,2,0,1,103,1,0,4,35
iter2_cv_split4,0.6923076923076923,0.6666666666666666,0.930379746835443,0.6645569620253164,1,1,1,0,23,3,0,7,3,11,3,0,2,102,1,0,5,34
iter2_cv_split5,0.631578947368421,0.6842105263157895,0.9245283018867925,0.660377358490566,1,2,0,1,23,2,0,9,0,13,1,0,1,101,3,0,7,33
iter3_cv_split1,0.6341463414634146,0.6585365853658537,0.9038461538461539,0.6666666666666666,1,3,0,0,24,3,0,9,1,11,2,0,1,100,3,0,9,30
iter3_cv_split2,0.75,0.65,0.9299363057324841,0.6687898089171974,1,2,1,1,25,0,0,6,4,12,1,0,0,102,3,0,7,32
iter3_cv_split3,0.717948717948718,0.6666666666666666,0.9177215189873418,0.6645569620253164,0,2,1,0,23,3,0,5,5,11,3,0,2,102,1,0,7,32
iter3_cv_split4,0.5641025641025641,0.6666666666666666,0.930379746835443,0.6645569620253164,0,2,1,1,22,3,0,10,0,13,1,0,1,102,2,0,7,32
iter3_cv_split5,0.6578947368421053,0.6842105263157895,0.9182389937106918,0.660377358490566,1,2,0,1,22,3,0,7,2,11,3,0,1,103,1,0,8,32
iter4_cv_split1,0.6585365853658537,0.6585365853658537,0.9294871794871795,0.6666666666666666,1,3,0,1,24,2,0,8,2,11,2,0,1,102,1,0,7,32
iter4_cv_split2,0.7,0.65,0.9235668789808917,0.6687898089171974,1,3,0,1,23,2,0,6,4,11,2,0,1,103,1,0,8,31
iter4_cv_split3,0.7692307692307693,0.6666666666666666,0.9113924050632911,0.6645569620253164,1,1,1,0,26,0,0,7,3,13,1,0,1,102,2,0,10,29
iter4_cv_split4,0.717948717948718,0.6666666666666666,0.9177215189873418,0.6645569620253164,0,1,2,0,25,1,0,7,3,12,2,0,2,102,1,0,8,31
iter4_cv_split5,0.6578947368421053,0.6842105263157895,0.9371069182389937,0.660377358490566,1,2,0,1,21,4,0,6,3,11,3,0,1,102,2,0,4,36
iter5_cv_split1,0.5609756097560976,0.6585365853658537,0.9230769230769231,0.6666666666666666,1,1,2,1,21,5,0,9,1,10,3,0,1,102,1,0,7,32
iter5_cv_split2,0.7,0.65,0.9171974522292994,0.6687898089171974,1,3,0,1,24,1,0,7,3,12,1,0,1,101,3,0,8,31
iter5_cv_split3,0.6923076923076923,0.6666666666666666,0.9367088607594937,0.6645569620253164,0,3,0,0,26,0,0,9,1,12,2,0,2,103,0,0,6,33
iter5_cv_split4,0.7435897435897436,0.6666666666666666,0.9240506329113924,0.6645569620253164,1,1,1,1,24,1,0,6,4,12,2,0,1,102,2,0,7,32
iter5_cv_split5,0.6842105263157895,0.6842105263157895,0.9182389937106918,0.660377358490566,1,2,0,0,24,2,0,8,1,12,2,0,1,101,3,0,7,33
iter6_cv_split1,0.7073170731707317,0.6585365853658537,0.9230769230769231,0.6666666666666666,2,2,0,1,25,1,0,8,2,11,2,0,0,101,3,0,7,32
iter6_cv_split2,0.65,0.65,0.910828025477707,0.6687898089171974,1,3,0,0,25,1,0,10,0,11,2,0,1,101,3,0,8,31
iter6_cv_split3,0.717948717948718,0.6666666666666666,0.9493670886075949,0.6645569620253164,0,3,0,0,24,2,0,6,4,11,3,0,2,103,0,0,3,36
iter6_cv_split4,0.5897435897435898,0.6666666666666666,0.930379746835443,0.6645569620253164,1,1,1,1,20,5,0,8,2,11,3,0,1,103,1,0,6,33
iter6_cv_split5,0.7368421052631579,0.6842105263157895,0.9119496855345912,0.660377358490566,0,3,0,0,23,3,0,4,5,13,1,0,2,101,2,0,9,31
iter7_cv_split1,0.7073170731707317,0.6585365853658537,0.9358974358974359,0.6666666666666666,1,2,1,1,24,2,0,6,4,11,2,0,1,101,2,0,5,34
iter7_cv_split2,0.65,0.65,0.9235668789808917,0.6687898089171974,2,1,1,0,22,4,0,8,2,11,2,0,2,100,3,0,5,34
iter7_cv_split3,0.6666666666666666,0.6666666666666666,0.9050632911392406,0.6645569620253164,0,3,0,0,24,2,0,8,2,11,3,0,2,103,0,0,10,29
iter7_cv_split4,0.6410256410256411,0.6666666666666666,0.9113924050632911,0.6645569620253164,0,2,1,1,23,2,0,8,2,12,2,0,1,103,1,0,10,29
iter7_cv_split5,0.8157894736842105,0.6842105263157895,0.9245283018867925,0.660377358490566,1,2,0,1,25,0,0,4,5,13,1,0,2,101,2,0,7,33
iter8_cv_split1,0.7317073170731707,0.6585365853658537,0.9551282051282052,0.6666666666666666,1,2,1,2,24,1,0,5,5,12,1,0,0,103,1,0,5,34
iter8_cv_split2,0.725,0.65,0.9426751592356688,0.6687898089171974,1,2,1,0,24,2,0,6,4,11,2,0,1,103,1,0,5,34
iter8_cv_split3,0.6923076923076923,0.6666666666666666,0.9113924050632911,0.6645569620253164,1,2,0,0,25,1,0,9,1,12,2,0,2,101,2,0,8,31
iter8_cv_split4,0.6410256410256411,0.6666666666666666,0.8987341772151899,0.6645569620253164,1,2,0,1,23,2,1,8,1,11,3,0,1,101,3,0,9,30
iter8_cv_split5,0.7105263157894737,0.6842105263157895,0.9182389937106918,0.660377358490566,0,3,0,1,23,2,0,5,4,12,2,0,2,101,2,0,7,33
iter9_cv_split1,0.6097560975609756,0.6585365853658537,0.9230769230769231,0.6666666666666666,0,2,2,1,22,4,0,7,3,12,1,0,2,101,1,0,8,31
iter9_cv_split2,0.575,0.65,0.9299363057324841,0.6687898089171974,0,4,0,1,22,3,0,9,1,12,1,0,1,103,1,0,8,31
iter9_cv_split3,0.7948717948717948,0.6666666666666666,0.9177215189873418,0.6645569620253164,1,2,0,1,25,0,0,5,5,11,3,0,0,102,3,0,7,32
iter9_cv_split4,0.717948717948718,0.6666666666666666,0.9240506329113924,0.6645569620253164,1,1,1,1,25,0,0,8,2,12,2,0,1,102,2,0,7,32
iter9_cv_split5,0.7631578947368421,0.6842105263157895,0.9245283018867925,0.660377358490566,1,2,0,0,23,3,0,4,5,12,2,0,2,102,1,0,7,33
iter10_cv_split1,0.6585365853658537,0.6585365853658537,0.9230769230769231,0.6666666666666666,1,3,0,1,26,0,0,10,0,12,1,0,1,101,2,0,8,31
iter10_cv_split2,0.625,0.65,0.9235668789808917,0.6687898089171974,1,2,1,0,21,5,0,7,3,11,2,0,1,102,2,0,7,32
iter10_cv_split3,0.6410256410256411,0.6666666666666666,0.9050632911392406,0.6645569620253164,1,2,0,1,23,2,0,9,1,12,2,0,1,102,2,0,10,29
iter10_cv_split4,0.7948717948717948,0.6666666666666666,0.9367088607594937,0.6645569620253164,1,2,0,0,25,1,0,5,5,12,2,0,1,103,1,0,6,33
iter10_cv_split5,0.7105263157894737,0.6842105263157895,0.9371069182389937,0.660377358490566,0,2,1,1,25,0,0,7,2,13,1,0,1,103,1,0,7,33
