,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,stop,got,profit,fill,stop loss,loss,cloud,incom,revers incom,time alreadi
iter1_cv_split2,stop,profit,loss,fill,got,stop loss,cloud,set stop,short,start
iter1_cv_split3,stop,got,loss,profit,fill,dump,stop loss,short,cloud,set stop
iter1_cv_split4,stop,profit,dump,got,set stop,loss,set,cloud,short,start
iter1_cv_split5,stop,profit,fill,got,dump,loss,short,let,start,incom
iter2_cv_split1,stop,profit,got,dump,loss,stop loss,cloud,start,bitcoin die,die
iter2_cv_split2,stop,got,loss,fill,dump,stop loss,set stop,let,set,profit
iter2_cv_split3,stop,profit,fill,dump,got,loss,cloud,short,start,let
iter2_cv_split4,stop,profit,loss,got,stop loss,cloud,let,set stop,short,set
iter2_cv_split5,stop,got,profit,fill,loss,set stop,cloud,set,short,start
iter3_cv_split1,stop,got,dump,start,loss,short,cloud,let,set stop,profit
iter3_cv_split2,stop,profit,fill,got,dump,cloud,start,let,revers incom,incom
iter3_cv_split3,stop,got,profit,loss,fill,stop loss,cloud,short,set stop,set
iter3_cv_split4,stop,profit,got,loss,fill,dump,stop loss,set stop,short,set
iter3_cv_split5,stop,profit,loss,stop loss,cloud,set stop,set,incom,revers incom,die time
iter4_cv_split1,stop,profit,loss,cloud,stop loss,short,set stop,start,set,incom
iter4_cv_split2,stop,got,fill,dump,loss,profit,cloud,set stop,set,let
iter4_cv_split3,stop,got,profit,fill,dump,stop loss,loss,cloud,let,start
iter4_cv_split4,stop,got,loss,profit,fill,stop loss,short,set,set stop,incom
iter4_cv_split5,profit,stop,got,dump,loss,cloud,short,let,start,revers incom
iter5_cv_split1,stop,loss,fill,got,stop loss,cloud,set,set stop,short,let
iter5_cv_split2,profit,stop,got,fill,stop loss,loss,cloud,start,incom,revers incom
iter5_cv_split3,stop,got,loss,profit,fill,dump,cloud,stop loss,set stop,let
iter5_cv_split4,stop,profit,dump,got,set stop,loss,start,short,set,revers
iter5_cv_split5,profit,stop,got,dump,loss,cloud,short,let,start,incom
iter6_cv_split1,stop,profit,dump,got,cloud,incom,revers incom,die,die time,time alreadi
iter6_cv_split2,stop,fill,got,dump,loss,cloud,short,let,profit,bitcoin die
iter6_cv_split3,stop,profit,got,loss,fill,stop loss,short,set,set stop,start
iter6_cv_split4,stop,profit,loss,got,stop loss,set stop,cloud,set,short,let
iter6_cv_split5,stop,profit,got,loss,dump,fill,cloud,start,stop loss,short
iter7_cv_split1,stop,profit,fill,got,dump,loss,short,start,let,revers incom
iter7_cv_split2,stop,fill,got,loss,cloud,short,set stop,profit,let,set
iter7_cv_split3,stop,got,loss,profit,fill,dump,stop loss,cloud,set stop,let
iter7_cv_split4,stop,got,loss,profit,dump,stop loss,let,cloud,set stop,set
iter7_cv_split5,stop,profit,got,loss,stop loss,cloud,start,incom,revers incom,bitcoin die
iter8_cv_split1,stop,got,profit,fill,dump,loss,stop loss,let,start,revers incom
iter8_cv_split2,stop,got,dump,loss,cloud,short,profit,let,revers incom,incom
iter8_cv_split3,stop,got,profit,fill,dump,loss,cloud,set stop,set,let
iter8_cv_split4,stop,profit,loss,stop loss,set stop,short,cloud,start,set,revers incom
iter8_cv_split5,stop,profit,got,loss,fill,cloud,stop loss,short,set,set stop
iter9_cv_split1,stop,got,loss,fill,dump,profit,short,stop loss,cloud,let
iter9_cv_split2,profit,stop,loss,stop loss,cloud,set stop,short,set,start,die time
iter9_cv_split3,stop,profit,fill,got,dump,loss,cloud,let,revers incom,incom
iter9_cv_split4,stop,profit,got,fill,stop loss,loss,start,incom,revers incom,bitcoin die
iter9_cv_split5,stop,got,profit,dump,loss,cloud,let,set stop,short,set
iter10_cv_split1,profit,stop,loss,stop loss,cloud,got,short,set stop,set,let
iter10_cv_split2,stop,dump,loss,cloud,profit,short,incom,revers incom,revers,die
iter10_cv_split3,stop,got,profit,fill,dump,loss,set stop,cloud,let,set
iter10_cv_split4,stop,profit,got,fill,dump,stop loss,loss,cloud,start,let
iter10_cv_split5,stop,got,profit,loss,fill,stop loss,short,set stop,set,start
iter11_cv_split1,stop,got,loss,profit,fill,cloud,stop loss,set,set stop,revers incom
iter11_cv_split2,profit,stop,loss,let,start,cloud,short,die,time alreadi,bitcoin die
iter11_cv_split3,stop,loss,profit,dump,got,stop loss,cloud,short,set stop,start
iter11_cv_split4,stop,got,profit,fill,dump,stop loss,loss,cloud,start,let
iter11_cv_split5,stop,profit,got,fill,dump,loss,set stop,short,set,start
iter12_cv_split1,stop,got,fill,stop loss,loss,cloud,profit,incom,revers incom,die
iter12_cv_split2,profit,stop,got,loss,dump,stop loss,cloud,set stop,set,let
iter12_cv_split3,stop,got,loss,profit,fill,dump,stop loss,set stop,short,set
iter12_cv_split4,stop,profit,loss,got,dump,stop loss,cloud,set stop,short,start
iter12_cv_split5,profit,stop,fill,short,let,cloud,start,revers incom,incom,die time
iter13_cv_split1,stop,got,loss,profit,stop loss,short,cloud,set stop,set,start
iter13_cv_split2,profit,stop,fill,got,dump,short,start,let,revers incom,incom
iter13_cv_split3,stop,profit,loss,fill,stop loss,let,got,set,set stop,cloud
iter13_cv_split4,stop,profit,got,fill,dump,stop loss,loss,cloud,let,start
iter13_cv_split5,stop,loss,profit,dump,got,cloud,stop loss,set stop,set,revers incom
iter14_cv_split1,stop,profit,loss,fill,got,stop loss,cloud,start,set stop,set
iter14_cv_split2,stop,got,profit,dump,cloud,loss,set stop,set,let,incom
iter14_cv_split3,stop,profit,dump,loss,cloud,short,start,revers incom,incom,revers
iter14_cv_split4,stop,got,profit,fill,dump,loss,stop loss,let,incom,revers incom
iter14_cv_split5,stop,got,profit,loss,fill,dump,stop loss,cloud,short,set stop
iter15_cv_split1,profit,stop,got,loss,cloud,short,start,bitcoin die,die,die time
iter15_cv_split2,profit,stop,short,loss,cloud,set stop,set,start,revers incom,incom
iter15_cv_split3,stop,profit,got,fill,loss,stop loss,dump,let,start,revers incom
iter15_cv_split4,stop,got,loss,fill,dump,stop loss,cloud,short,set stop,let
iter15_cv_split5,stop,profit,got,loss,fill,dump,cloud,stop loss,set,set stop
iter16_cv_split1,stop,profit,fill,let,loss,cloud,incom,revers incom,bitcoin die,die
iter16_cv_split2,stop,got,profit,dump,cloud,loss,short,set stop,let,set
iter16_cv_split3,stop,profit,loss,dump,stop loss,got,start,set stop,short,set
iter16_cv_split4,stop,got,loss,profit,fill,dump,stop loss,cloud,set stop,set
iter16_cv_split5,stop,profit,got,fill,loss,stop loss,cloud,start,revers,revers incom
iter17_cv_split1,stop,profit,dump,got,stop loss,loss,cloud,start,incom,revers incom
iter17_cv_split2,stop,got,profit,fill,dump,loss,cloud,set,set stop,let
iter17_cv_split3,profit,stop,fill,loss,cloud,short,let,start,revers incom,incom
iter17_cv_split4,stop,got,profit,loss,fill,dump,stop loss,short,set stop,let
iter17_cv_split5,stop,got,loss,fill,stop loss,profit,short,start,cloud,set stop
iter18_cv_split1,stop,profit,fill,got,dump,loss,let,revers incom,incom,revers
iter18_cv_split2,stop,got,fill,loss,set stop,cloud,set,profit,short,incom
iter18_cv_split3,profit,stop,loss,stop loss,set stop,cloud,set,short,start,incom
iter18_cv_split4,profit,stop,got,dump,stop loss,loss,cloud,start,let,incom
iter18_cv_split5,stop,got,profit,loss,fill,dump,cloud,stop loss,short,set
iter19_cv_split1,stop,got,fill,dump,cloud,loss,set stop,short,profit,set
iter19_cv_split2,profit,stop,got,loss,stop loss,short,start,set stop,set,incom
iter19_cv_split3,stop,profit,loss,stop loss,cloud,short,set stop,start,set,revers incom
iter19_cv_split4,stop,got,profit,fill,dump,stop loss,loss,let,cloud,start
iter19_cv_split5,stop,profit,fill,got,dump,loss,cloud,let,incom,revers incom
iter20_cv_split1,stop,got,profit,dump,stop loss,loss,cloud,start,let,incom
iter20_cv_split2,stop,got,profit,loss,fill,stop loss,short,set,set stop,start
iter20_cv_split3,profit,stop,loss,fill,got,stop loss,cloud,set stop,short,let
iter20_cv_split4,stop,got,profit,fill,dump,cloud,set stop,loss,set,let
