,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,time,start,befor,level,coin,good,rsi,everi,stoch,profit
iter1_cv_split2,level,bought,daili,rsi,befor,wait,stoch,start,fomo,support
iter1_cv_split3,level,daili,stoch,befor,coin,rsi,wait,amp,bought,breakout
iter1_cv_split4,level,bought,good,daili,coin,abov,line,order,fib,fall
iter1_cv_split5,daili,stoch,befor,level,rsi,bought,coin,target,abov,entri
iter2_cv_split1,coin,level,befor,bought,wait,daili,target,support,stoch,abov
iter2_cv_split2,level,befor,daili,stoch,start,coin,good,rsi,day,profit
iter2_cv_split3,level,bought,target,start,daili,time,order,break,fall,fomo
iter2_cv_split4,daili,level,stoch,rsi,bought,coin,befor,target,start,chart
iter2_cv_split5,level,stoch,coin,befor,rsi,daili,bought,target,time,wait
iter3_cv_split1,rsi,stoch,level,befor,coin,start,good,time,support,sat
iter3_cv_split2,level,daili,bought,rsi,stoch,coin,look,masternod,order,fomo
iter3_cv_split3,level,befor,bought,wait,daili,start,abov,rsi,everi,day
iter3_cv_split4,level,daili,stoch,rsi,coin,wait,befor,good,fomo,break
iter3_cv_split5,coin,befor,bought,target,good,rsi,stoch,time,level,wait
iter4_cv_split1,level,befor,stoch,bought,rsi,daili,target,coin,wait,entri
iter4_cv_split2,level,coin,befor,bought,good,stoch,start,daili,rsi,wait
iter4_cv_split3,level,bought,rsi,daili,befor,stoch,target,breakout,chart,fall
iter4_cv_split4,stoch,rsi,level,befor,start,bought,daili,coin,everi,fall
iter4_cv_split5,coin,level,amp,wait,good,daili,bought,abov,masternod,break
iter5_cv_split1,level,daili,befor,bought,abov,fall,day,coin,stoch,start
iter5_cv_split2,level,befor,coin,wait,stoch,rsi,bought,line,daili,masternod
iter5_cv_split3,level,coin,good,rsi,wait,target,stoch,daili,bought,everi
iter5_cv_split4,rsi,coin,stoch,level,daili,good,abov,fall,fib,masternod
iter5_cv_split5,befor,level,bought,time,good,target,stoch,start,rsi,abov
iter6_cv_split1,level,daili,coin,time,stoch,rsi,bought,everi,fall,fib
iter6_cv_split2,level,bought,daili,stoch,good,start,rsi,befor,wait,sat
iter6_cv_split3,befor,bought,wait,coin,stoch,start,rsi,level,abov,daili
iter6_cv_split4,level,stoch,rsi,coin,start,good,daili,sat,target,everi
iter6_cv_split5,befor,coin,level,bought,daili,rsi,stoch,target,amp,wait
iter7_cv_split1,level,daili,stoch,befor,coin,rsi,good,abov,bought,everi
iter7_cv_split2,level,bought,rsi,stoch,wait,time,good,befor,coin,daili
iter7_cv_split3,level,time,befor,stoch,rsi,good,order,coin,entri,fall
iter7_cv_split4,daili,level,bought,coin,stoch,befor,rsi,entri,target,masternod
iter7_cv_split5,level,start,daili,target,coin,bought,abov,break,line,order
iter8_cv_split1,level,befor,bought,time,target,stoch,coin,rsi,daili,day
iter8_cv_split2,daili,coin,befor,level,bought,stoch,start,rsi,everi,fib
iter8_cv_split3,level,befor,rsi,stoch,start,good,target,daili,bought,chart
iter8_cv_split4,level,stoch,daili,good,rsi,wait,fall,start,coin,fib
iter8_cv_split5,coin,daili,target,level,befor,wait,good,bought,day,support
iter9_cv_split1,bought,level,daili,start,abov,wait,target,support,stoch,sat
iter9_cv_split2,level,rsi,stoch,coin,time,daili,befor,bought,fomo,look
iter9_cv_split3,daili,coin,level,bought,good,start,stoch,target,day,sat
iter9_cv_split4,level,befor,bought,amp,target,good,stoch,start,coin,rsi
iter9_cv_split5,level,rsi,befor,stoch,coin,daili,bought,wait,entri,sat
iter10_cv_split1,bought,coin,stoch,befor,rsi,daili,wait,start,good,level
iter10_cv_split2,level,start,bought,daili,day,good,rsi,fib,stoch,befor
iter10_cv_split3,bought,start,level,coin,time,good,wait,break,target,support
iter10_cv_split4,level,befor,rsi,stoch,bought,sat,coin,start,chart,entri
iter10_cv_split5,level,daili,coin,stoch,rsi,target,befor,abov,entri,fall
iter11_cv_split1,level,stoch,rsi,wait,coin,start,befor,good,daili,bought
iter11_cv_split2,level,target,daili,abov,rsi,everi,fall,good,order,day
iter11_cv_split3,level,bought,coin,rsi,befor,stoch,abov,entri,day,target
iter11_cv_split4,level,bought,daili,befor,start,time,stoch,rsi,target,coin
iter11_cv_split5,level,coin,befor,daili,bought,stoch,good,rsi,entri,everi
iter12_cv_split1,level,befor,bought,masternod,breakout,rsi,entri,fall,fib,start
iter12_cv_split2,daili,target,level,good,time,coin,bought,wait,abov,day
iter12_cv_split3,level,stoch,befor,rsi,bought,daili,wait,coin,start,good
iter12_cv_split4,coin,level,bought,target,stoch,befor,rsi,daili,everi,fall
iter12_cv_split5,level,stoch,rsi,coin,daili,befor,support,fall,line,sat
iter13_cv_split1,coin,daili,befor,amp,level,good,start,bought,day,support
iter13_cv_split2,level,daili,befor,stoch,rsi,bought,coin,target,order,entri
iter13_cv_split3,befor,level,target,stoch,coin,rsi,daili,abov,bought,entri
iter13_cv_split4,level,coin,good,rsi,chart,support,bought,look,line,start
iter13_cv_split5,level,daili,stoch,befor,rsi,bought,target,start,wait,good
iter14_cv_split1,level,daili,stoch,coin,target,rsi,start,sat,everi,fall
iter14_cv_split2,level,daili,befor,stoch,rsi,bought,wait,target,start,coin
iter14_cv_split3,befor,time,level,wait,bought,order,target,day,daili,coin
iter14_cv_split4,level,bought,wait,coin,stoch,befor,rsi,good,look,entri
iter14_cv_split5,level,daili,coin,bought,rsi,wait,stoch,befor,break,masternod
iter15_cv_split1,bought,stoch,daili,rsi,wait,coin,good,level,abov,entri
iter15_cv_split2,level,befor,bought,rsi,amp,target,stoch,breakout,line,fib
iter15_cv_split3,level,befor,daili,coin,bought,stoch,start,rsi,entri,masternod
iter15_cv_split4,level,coin,target,stoch,befor,rsi,daili,abov,order,fall
iter15_cv_split5,level,coin,bought,start,wait,good,daili,look,day,stoch
iter16_cv_split1,level,bought,coin,amp,befor,daili,rsi,stoch,masternod,start
iter16_cv_split2,daili,wait,time,coin,target,stoch,good,level,rsi,bought
iter16_cv_split3,level,stoch,bought,daili,rsi,start,befor,fomo,fib,masternod
iter16_cv_split4,level,rsi,stoch,befor,coin,good,fall,start,target,chart
iter16_cv_split5,level,coin,befor,start,target,bought,time,rsi,line,look
iter17_cv_split1,level,befor,daili,bought,coin,good,line,masternod,break,fomo
iter17_cv_split2,level,coin,befor,stoch,rsi,target,wait,bought,break,everi
iter17_cv_split3,level,befor,good,rsi,stoch,daili,amp,support,line,start
iter17_cv_split4,level,stoch,rsi,daili,coin,start,bought,wait,fall,fib
iter17_cv_split5,bought,level,daili,wait,time,target,coin,rsi,stoch,start
iter18_cv_split1,level,befor,bought,daili,start,day,fall,break,coin,rsi
iter18_cv_split2,level,stoch,rsi,coin,good,bought,daili,befor,wait,fall
iter18_cv_split3,level,daili,coin,bought,rsi,stoch,target,abov,line,good
iter18_cv_split4,stoch,bought,rsi,time,befor,level,start,target,chart,support
iter18_cv_split5,level,coin,daili,wait,time,befor,stoch,bought,rsi,order
iter19_cv_split1,level,coin,stoch,rsi,bought,amp,wait,befor,start,good
iter19_cv_split2,coin,level,bought,target,everi,chart,daili,day,start,masternod
iter19_cv_split3,level,daili,rsi,bought,befor,stoch,sat,support,start,abov
iter19_cv_split4,level,rsi,daili,stoch,target,befor,bought,good,order,breakout
iter19_cv_split5,befor,level,coin,rsi,wait,bought,target,stoch,good,abov
iter20_cv_split1,level,coin,wait,target,befor,stoch,rsi,bought,everi,start
iter20_cv_split2,level,daili,befor,stoch,rsi,start,good,bought,breakout,fall
iter20_cv_split3,level,daili,stoch,rsi,bought,amp,target,coin,befor,fomo
iter20_cv_split4,coin,daili,befor,start,good,order,bought,entri,rsi,sat
iter20_cv_split5,bought,level,target,daili,rsi,everi,coin,fall,fomo,good
iter21_cv_split1,level,daili,stoch,bought,rsi,coin,target,wait,support,start
iter21_cv_split2,befor,daili,level,time,target,stoch,rsi,good,coin,support
iter21_cv_split3,level,bought,befor,stoch,rsi,good,target,start,coin,masternod
iter21_cv_split4,level,coin,amp,befor,wait,bought,daili,abov,order,fomo
iter21_cv_split5,level,befor,coin,stoch,bought,rsi,look,order,break,good
iter22_cv_split1,level,coin,time,stoch,rsi,befor,target,bought,good,fall
