,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,market,bitcoin,price,use,let,chart,amp,btc,watch,onc
iter1_cv_split2,market,bitcoin,price,use,time,let,amp,btc,watch,alt
iter1_cv_split3,market,price,use,bitcoin,btc,new,look,like,time,alt
iter1_cv_split4,price,market,bitcoin,use,amp,time,btc,like,alt,new
iter1_cv_split5,price,bitcoin,market,amp,use,onc,like,btc,look,ath
iter2_cv_split1,market,bitcoin,price,use,time,like,let,onc,new,chart
iter2_cv_split2,market,price,bitcoin,use,amp,btc,look,let,time,new
iter2_cv_split3,market,price,bitcoin,alt,chart,use,new,everi,exchang,watch
iter2_cv_split4,price,market,bitcoin,amp,btc,time,use,new,alt,let
iter2_cv_split5,market,bitcoin,price,use,btc,amp,watch,let,like,exchang
iter3_cv_split1,market,bitcoin,use,amp,price,btc,new,exchang,bull,watch
iter3_cv_split2,market,bitcoin,price,use,amp,btc,time,let,watch,alt
iter3_cv_split3,price,bitcoin,market,use,time,new,chart,watch,look,ath
iter3_cv_split4,market,bitcoin,price,amp,time,use,marketcap,let,btc,exchang
iter3_cv_split5,price,market,btc,bitcoin,use,look,amp,let,like,onc
iter4_cv_split1,price,market,bitcoin,amp,use,btc,time,look,chart,new
iter4_cv_split2,price,market,bitcoin,btc,use,time,new,amp,ath,let
iter4_cv_split3,bitcoin,price,market,amp,time,new,let,ath,btc,alt
iter4_cv_split4,market,price,bitcoin,use,amp,time,btc,watch,alt,let
iter4_cv_split5,market,price,bitcoin,use,onc,marketcap,look,ath,watch,chart
iter5_cv_split1,market,price,bitcoin,use,btc,watch,bear,support,amp,new
iter5_cv_split2,price,bitcoin,market,use,time,amp,ath,btc,let,new
iter5_cv_split3,bitcoin,price,market,amp,time,like,new,look,btc,marketcap
iter5_cv_split4,market,price,use,bitcoin,btc,time,let,amp,ath,alt
iter5_cv_split5,market,price,bitcoin,use,amp,new,marketcap,let,watch,ath
iter6_cv_split1,price,bitcoin,market,use,amp,new,onc,look,ath,btc
iter6_cv_split2,market,bitcoin,use,price,amp,btc,chart,time,watch,ath
iter6_cv_split3,market,bitcoin,use,price,time,btc,amp,let,alt,watch
iter6_cv_split4,price,market,bitcoin,amp,new,time,ath,let,marketcap,look
iter6_cv_split5,price,market,bitcoin,use,time,watch,let,btc,chart,bear
iter7_cv_split1,bitcoin,price,market,use,amp,btc,time,let,alt,chart
iter7_cv_split2,market,bitcoin,price,use,btc,amp,look,let,new,break
iter7_cv_split3,price,market,bitcoin,use,watch,btc,onc,new,let,like
iter7_cv_split4,price,bitcoin,market,amp,use,new,time,let,like,bear
iter7_cv_split5,market,price,bitcoin,amp,time,use,alt,btc,let,onc
iter8_cv_split1,bitcoin,market,price,use,amp,let,watch,alt,btc,chart
iter8_cv_split2,market,price,bitcoin,amp,new,like,watch,let,chart,time
iter8_cv_split3,market,price,bitcoin,use,btc,amp,time,new,onc,alt
iter8_cv_split4,price,bitcoin,use,market,time,amp,ath,marketcap,everi,new
iter8_cv_split5,market,price,use,btc,bitcoin,marketcap,let,chart,time,signal
iter9_cv_split1,price,bitcoin,market,use,btc,amp,time,chart,watch,alt
iter9_cv_split2,market,price,use,btc,bitcoin,amp,chart,let,like,ath
iter9_cv_split3,market,price,use,bitcoin,btc,amp,let,time,alt,watch
iter9_cv_split4,price,market,bitcoin,use,let,new,onc,btc,alt,bear
iter9_cv_split5,bitcoin,time,price,amp,market,marketcap,ath,onc,new,let
iter10_cv_split1,price,market,use,bitcoin,btc,amp,chart,bear,ath,onc
iter10_cv_split2,price,bitcoin,use,time,amp,market,onc,watch,chart,look
iter10_cv_split3,market,bitcoin,price,use,amp,let,new,marketcap,alt,ath
iter10_cv_split4,market,bitcoin,price,amp,btc,time,use,new,like,watch
iter10_cv_split5,market,price,bitcoin,use,let,btc,watch,time,alt,like
iter11_cv_split1,price,bitcoin,market,use,btc,new,amp,onc,bear,marketcap
iter11_cv_split2,market,bitcoin,use,btc,price,amp,let,time,alt,chart
iter11_cv_split3,market,price,bitcoin,use,amp,btc,let,time,look,chart
iter11_cv_split4,price,bitcoin,use,market,amp,btc,watch,onc,look,like
iter11_cv_split5,market,price,bitcoin,time,let,new,alt,use,onc,watch
iter12_cv_split1,market,bitcoin,price,amp,use,new,like,alt,time,btc
iter12_cv_split2,market,bitcoin,use,btc,price,new,amp,let,support,marketcap
iter12_cv_split3,market,price,bitcoin,amp,use,let,btc,look,onc,marketcap
iter12_cv_split4,market,price,bitcoin,use,amp,btc,time,alt,ath,let
iter12_cv_split5,price,market,bitcoin,use,time,new,target,signal,like,watch
iter13_cv_split1,market,price,bitcoin,use,time,let,chart,btc,watch,marketcap
iter13_cv_split2,bitcoin,market,price,amp,marketcap,look,new,onc,time,hodl
iter13_cv_split3,price,market,bitcoin,use,amp,btc,look,support,watch,bear
iter13_cv_split4,market,bitcoin,use,price,time,btc,new,amp,let,onc
iter13_cv_split5,price,market,bitcoin,use,btc,amp,time,like,chart,new
iter14_cv_split1,market,price,use,bitcoin,btc,amp,time,alt,chart,let
iter14_cv_split2,market,price,bitcoin,time,look,new,chart,amp,use,marketcap
iter14_cv_split3,market,bitcoin,price,use,amp,btc,like,let,new,watch
iter14_cv_split4,price,bitcoin,market,use,time,amp,let,new,ath,break
iter14_cv_split5,price,bitcoin,market,use,time,amp,btc,watch,marketcap,onc
iter15_cv_split1,market,bitcoin,price,amp,btc,use,new,let,like,onc
iter15_cv_split2,price,bitcoin,market,use,time,btc,new,ath,alt,exchang
iter15_cv_split3,price,market,bitcoin,use,time,amp,new,let,chart,watch
iter15_cv_split4,market,bitcoin,price,time,amp,use,btc,look,alt,chart
iter15_cv_split5,market,price,bitcoin,use,amp,marketcap,new,alt,btc,time
iter16_cv_split1,price,market,bitcoin,time,look,onc,marketcap,bear,new,hodl
iter16_cv_split2,market,bitcoin,use,amp,price,marketcap,let,new,watch,ath
iter16_cv_split3,price,bitcoin,market,use,btc,amp,time,watch,new,exchang
iter16_cv_split4,market,price,bitcoin,btc,amp,use,time,let,alt,exchang
iter16_cv_split5,market,use,price,bitcoin,let,btc,amp,chart,new,alt
iter17_cv_split1,market,bitcoin,use,price,btc,new,amp,ath,like,onc
iter17_cv_split2,bitcoin,price,market,use,time,amp,onc,watch,btc,chart
iter17_cv_split3,bitcoin,price,market,use,time,alt,watch,let,break,btc
iter17_cv_split4,price,market,bitcoin,amp,time,look,btc,marketcap,new,let
iter17_cv_split5,market,price,bitcoin,use,amp,btc,new,let,watch,like
iter18_cv_split1,price,market,bitcoin,use,amp,let,watch,look,time,btc
iter18_cv_split2,market,bitcoin,price,amp,time,new,ath,use,watch,marketcap
iter18_cv_split3,price,use,market,time,btc,bitcoin,let,onc,look,alt
iter18_cv_split4,market,bitcoin,price,amp,btc,let,use,onc,new,alt
iter18_cv_split5,market,price,bitcoin,use,amp,new,btc,let,like,exchang
iter19_cv_split1,market,bitcoin,price,use,new,alt,let,look,chart,bear
iter19_cv_split2,price,market,use,bitcoin,btc,amp,time,new,look,like
