,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.4146341463414634,0.6585365853658537,0.782051282051282,0.6666666666666666,2,1,1,13,10,4,5,0,5,13,0,0,25,79,0,6,3,30
iter1_cv_split2,0.425,0.65,0.732484076433121,0.6687898089171974,3,1,0,12,13,1,5,4,1,13,0,0,29,75,1,9,3,27
iter1_cv_split3,0.38461538461538464,0.6666666666666666,0.759493670886076,0.6645569620253164,1,1,1,14,12,0,8,0,2,14,0,0,25,78,2,8,3,28
iter1_cv_split4,0.41025641025641024,0.6666666666666666,0.7341772151898734,0.6645569620253164,3,0,0,16,10,0,5,2,3,14,0,0,29,75,1,10,2,27
iter1_cv_split5,0.39473684210526316,0.6842105263157895,0.7358490566037735,0.660377358490566,2,1,0,12,13,1,4,5,0,14,0,0,29,75,1,11,1,28
iter2_cv_split1,0.4634146341463415,0.6585365853658537,0.7371794871794872,0.6666666666666666,4,0,0,13,12,2,5,2,3,13,0,0,28,76,0,11,2,26
iter2_cv_split2,0.425,0.65,0.7261146496815286,0.6687898089171974,3,0,1,13,13,0,6,3,1,13,0,0,32,73,0,8,3,28
iter2_cv_split3,0.3333333333333333,0.6666666666666666,0.7468354430379747,0.6645569620253164,1,1,1,13,10,3,6,2,2,14,0,0,27,77,1,10,2,27
iter2_cv_split4,0.3333333333333333,0.6666666666666666,0.7468354430379747,0.6645569620253164,2,1,0,16,10,0,5,4,1,14,0,0,29,75,1,9,1,29
iter2_cv_split5,0.3684210526315789,0.6842105263157895,0.7358490566037735,0.660377358490566,2,1,0,13,11,2,6,2,1,14,0,0,30,74,1,9,2,29
iter3_cv_split1,0.36585365853658536,0.6585365853658537,0.7243589743589743,0.6666666666666666,3,1,0,16,10,1,6,2,2,13,0,0,31,72,1,10,1,28
iter3_cv_split2,0.375,0.65,0.7197452229299363,0.6687898089171974,3,1,0,14,11,1,8,1,1,13,0,0,33,71,1,9,1,29
iter3_cv_split3,0.3333333333333333,0.6666666666666666,0.7531645569620253,0.6645569620253164,2,0,1,17,9,0,3,5,2,14,0,0,25,79,1,10,3,26
iter3_cv_split4,0.46153846153846156,0.6666666666666666,0.7341772151898734,0.6645569620253164,3,0,0,13,11,2,5,1,4,14,0,0,30,75,0,10,2,27
iter3_cv_split5,0.39473684210526316,0.6842105263157895,0.7421383647798742,0.660377358490566,1,2,0,10,13,3,4,4,1,14,0,0,30,74,1,9,1,30
iter4_cv_split1,0.36585365853658536,0.6585365853658537,0.7564102564102564,0.6666666666666666,2,1,1,15,12,0,4,5,1,13,0,0,26,76,2,10,0,29
iter4_cv_split2,0.3,0.65,0.6942675159235668,0.6687898089171974,3,1,0,17,7,2,7,1,2,13,0,0,35,69,1,9,3,27
iter4_cv_split3,0.358974358974359,0.6666666666666666,0.7531645569620253,0.6645569620253164,3,0,0,15,11,0,6,4,0,14,0,0,27,77,1,10,1,28
iter4_cv_split4,0.4358974358974359,0.6666666666666666,0.740506329113924,0.6645569620253164,3,0,0,13,13,0,7,2,1,14,0,0,29,75,1,9,2,28
iter4_cv_split5,0.5263157894736842,0.6842105263157895,0.7358490566037735,0.660377358490566,1,1,1,9,14,3,4,0,5,14,0,0,30,75,0,11,1,28
iter5_cv_split1,0.5121951219512195,0.6585365853658537,0.7115384615384616,0.6666666666666666,3,1,0,11,15,1,5,2,3,13,0,0,30,73,1,12,2,25
iter5_cv_split2,0.375,0.65,0.7643312101910829,0.6687898089171974,4,0,0,16,10,0,5,4,1,13,0,0,26,79,0,10,1,28
iter5_cv_split3,0.41025641025641024,0.6666666666666666,0.7341772151898734,0.6645569620253164,2,0,1,11,12,3,7,1,2,14,0,0,32,72,1,8,1,30
iter5_cv_split4,0.41025641025641024,0.6666666666666666,0.740506329113924,0.6645569620253164,2,1,0,13,12,1,3,5,2,14,0,0,28,77,0,12,1,26
iter5_cv_split5,0.2894736842105263,0.6842105263157895,0.7924528301886793,0.660377358490566,2,0,1,16,8,2,5,3,1,14,0,0,22,82,1,8,2,30
iter6_cv_split1,0.3170731707317073,0.6585365853658537,0.7115384615384616,0.6666666666666666,3,1,0,16,8,3,7,1,2,13,0,0,34,70,0,11,0,28
iter6_cv_split2,0.375,0.65,0.7452229299363057,0.6687898089171974,2,0,2,13,12,1,4,5,1,13,0,0,29,74,2,8,1,30
iter6_cv_split3,0.5384615384615384,0.6666666666666666,0.7468354430379747,0.6645569620253164,2,1,0,9,17,0,4,4,2,14,0,0,28,76,1,8,3,28
