,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,stop,loss,got,short,fill,cloud,set,dump,sinc,pls
iter1_cv_split2,profit,stop,cloud,fill,aka,rektfest,jami,maker,min,need
iter1_cv_split3,stop,got,loss,profit,fill,short,set,airdrop,ok,incom
iter1_cv_split4,stop,profit,loss,cloud,got,dump,set,ofc,rektfest,pls
iter1_cv_split5,stop,profit,got,loss,short,set,cloud,let,dump,airdrop
iter2_cv_split1,stop,profit,cloud,got,dump,loss,fill,airdrop,resist,min
iter2_cv_split2,stop,loss,got,short,cloud,set,dump,airdrop,rektfest,lock
iter2_cv_split3,stop,profit,got,loss,short,set,airdrop,ichimoku,incom,jami
iter2_cv_split4,profit,stop,loss,set,fill,cloud,got,short,shill,maker
iter2_cv_split5,stop,got,profit,cloud,dump,fill,aka,revers,maker,min
iter3_cv_split1,stop,profit,let,loss,short,got,fill,dump,pls,lock
iter3_cv_split2,stop,profit,got,loss,cloud,dump,foreverif,hour,set,short
iter3_cv_split3,stop,profit,loss,set,got,fill,cloud,pls,otherwis,ok
iter3_cv_split4,stop,profit,loss,cloud,set,short,dump,got,start,lock
iter3_cv_split5,stop,profit,got,short,set,loss,fill,cloud,otherwis,ok
iter4_cv_split1,stop,got,loss,start,fill,short,cloud,set,airdrop,rektfest
iter4_cv_split2,stop,profit,loss,got,cloud,short,set,fill,rektfest,maker
iter4_cv_split3,profit,stop,loss,dump,cloud,short,got,maker,rektfest,lock
iter4_cv_split4,stop,profit,loss,got,cloud,dump,airdrop,rememb,lock,maker
iter4_cv_split5,stop,got,profit,loss,short,set,fill,let,dump,maker
iter5_cv_split1,stop,profit,got,loss,dump,let,set,cloud,fill,jami
iter5_cv_split2,profit,stop,loss,short,cloud,airdrop,rememb,incom,jami,lock
iter5_cv_split3,stop,got,profit,cloud,dump,loss,fill,abov,rektfest,min
iter5_cv_split4,stop,got,profit,loss,fill,short,cloud,set,rektfest,ichimoku
iter5_cv_split5,stop,profit,got,loss,short,set,fill,dump,otherwis,jami
iter6_cv_split1,stop,profit,got,dump,let,cloud,loss,fill,pls,lock
iter6_cv_split2,stop,loss,got,short,set,fill,dump,airdrop,otherwis,maker
iter6_cv_split3,stop,profit,loss,short,cloud,fill,airdrop,revers,lock,min
iter6_cv_split4,stop,profit,loss,dump,set,got,short,cloud,pls,otherwis
iter6_cv_split5,stop,got,cloud,fill,set,short,dump,loss,min,pls
iter7_cv_split1,profit,stop,loss,short,cloud,airdrop,rektfest,incom,jami,lock
iter7_cv_split2,stop,loss,got,short,set,fill,profit,dump,rememb,maker
iter7_cv_split3,stop,got,profit,loss,fill,cloud,revers,lock,min,need
iter7_cv_split4,stop,profit,got,short,set,fill,cloud,loss,dump,ofc
iter7_cv_split5,stop,profit,loss,got,cloud,set,dump,airdrop,rektfest,lock
iter8_cv_split1,profit,stop,got,short,loss,cloud,fill,dump,airdrop,jami
iter8_cv_split2,stop,got,profit,loss,fill,cloud,rektfest,jami,lock,min
iter8_cv_split3,stop,profit,cloud,got,let,loss,set,fill,need,otherwis
iter8_cv_split4,stop,loss,profit,dump,got,short,cloud,set,airdrop,maker
iter8_cv_split5,stop,profit,loss,got,short,set,fill,dump,otherwis,lock
iter9_cv_split1,stop,profit,got,short,cloud,set,let,loss,dump,welcom
iter9_cv_split2,stop,got,loss,cloud,short,fill,start,dump,set,airdrop
iter9_cv_split3,stop,profit,loss,dump,got,short,set,airdrop,incom,jami
iter9_cv_split4,stop,profit,loss,fill,cloud,got,set,otherwis,ok,ofc
iter9_cv_split5,stop,profit,got,cloud,fill,dump,rektfest,loss,maker,min
iter10_cv_split1,stop,profit,loss,cloud,short,dump,airdrop,revers,maker,min
iter10_cv_split2,stop,got,profit,loss,set,cloud,dump,ichimoku,jami,lock
iter10_cv_split3,stop,profit,loss,got,short,set,fill,airdrop,rememb,jami
iter10_cv_split4,stop,got,profit,short,cloud,set,loss,fill,dump,ok
iter10_cv_split5,stop,got,loss,fill,start,cloud,dump,maker,min,need
iter11_cv_split1,stop,profit,loss,got,cloud,set,fill,let,airdrop,maker
iter11_cv_split2,stop,got,profit,short,set,cloud,loss,ok,greed,higher
iter11_cv_split3,stop,profit,dump,cloud,airdrop,jami,lock,loss,maker,min
iter11_cv_split4,stop,profit,got,loss,set,dump,let,short,fill,maker
iter11_cv_split5,stop,loss,got,dump,short,set,cloud,fill,airdrop,lock
iter12_cv_split1,stop,profit,dump,loss,short,revers,lock,maker,min,need
iter12_cv_split2,stop,loss,got,profit,cloud,set,fill,dump,rektfest,maker
iter12_cv_split3,stop,got,set,fill,loss,dump,cloud,profit,short,shill
iter12_cv_split4,stop,profit,got,loss,cloud,fill,airdrop,rememb,lock,min
iter12_cv_split5,stop,profit,loss,let,cloud,short,set,got,jami,lock
iter13_cv_split1,stop,profit,loss,cloud,short,set,airdrop,revers,lock,min
iter13_cv_split2,stop,profit,dump,got,fill,airdrop,lock,loss,maker,min
iter13_cv_split3,stop,got,let,short,dump,fill,set,cloud,loss,rektfest
iter13_cv_split4,stop,profit,got,loss,dump,fill,cloud,set,short,maker
iter13_cv_split5,stop,profit,loss,got,dump,set,cloud,short,sinc,hey
iter14_cv_split1,stop,profit,got,dump,cloud,loss,fill,pls,jami,lock
iter14_cv_split2,stop,loss,profit,got,cloud,short,set,dump,airdrop,rektfest
iter14_cv_split3,stop,got,cloud,loss,dump,short,fill,set,ofc,otherwis
iter14_cv_split4,stop,profit,got,short,fill,loss,airdrop,incom,jami,lock
iter14_cv_split5,stop,profit,loss,got,cloud,set,fill,airdrop,need,otherwis
iter15_cv_split1,stop,profit,cloud,fill,jami,lock,loss,maker,min,need
iter15_cv_split2,stop,got,dump,profit,loss,short,set,fill,ofc,otherwis
iter15_cv_split3,stop,profit,loss,got,short,cloud,set,airdrop,rektfest,ichimoku
iter15_cv_split4,stop,profit,got,loss,set,cloud,fill,dump,pls,incom
iter15_cv_split5,stop,got,profit,loss,dump,short,cloud,set,fill,rektfest
iter16_cv_split1,stop,got,profit,let,loss,cloud,set,dump,aka,rektfest
iter16_cv_split2,stop,got,profit,start,loss,fill,incom,ichimoku,feel,demon
iter16_cv_split3,stop,profit,got,dump,short,loss,cloud,fill,hour,incom
iter16_cv_split4,stop,profit,loss,short,cloud,set,jami,incom,lock,pls
iter16_cv_split5,stop,profit,loss,got,short,dump,fill,set,cloud,pls
iter17_cv_split1,stop,profit,cloud,fill,got,dimon,die,incom,ichimoku,direct
iter17_cv_split2,stop,got,loss,profit,short,set,cloud,dump,airdrop,pls
iter17_cv_split3,stop,profit,loss,dump,got,cloud,set,need,pls,otherwis
iter17_cv_split4,stop,loss,profit,got,short,fill,set,dump,ok,lock
iter17_cv_split5,stop,profit,loss,fill,got,short,cloud,set,otherwis,ok
iter18_cv_split1,stop,profit,cloud,dump,maker,sleep,demon,sinc,decid,pls
iter18_cv_split2,stop,loss,profit,short,fill,cloud,set,let,got,lock
iter18_cv_split3,stop,profit,got,loss,start,short,set,fill,dump,need
iter18_cv_split4,stop,profit,got,loss,cloud,set,dump,abov,rektfest,lock
iter18_cv_split5,stop,loss,profit,got,short,cloud,fill,set,rektfest,otherwis
iter19_cv_split1,profit,stop,loss,got,fill,set,pls,incom,jami,lock
iter19_cv_split2,stop,profit,dump,got,short,cloud,loss,airdrop,incom,jami
iter19_cv_split3,stop,loss,profit,got,short,dump,cloud,set,ichimoku,jami
iter19_cv_split4,stop,profit,got,loss,cloud,fill,airdrop,rememb,min,need
iter19_cv_split5,stop,got,cloud,dump,set,short,fill,loss,need,rektfest
iter20_cv_split1,stop,loss,got,profit,short,set,cloud,dump,fill,rektfest
iter20_cv_split2,stop,profit,got,dump,loss,cloud,fill,bad,maker,min
iter20_cv_split3,stop,profit,got,loss,short,cloud,airdrop,rememb,incom,jami
iter20_cv_split4,stop,loss,profit,dump,got,short,set,airdrop,incom,jami
iter20_cv_split5,stop,profit,cloud,set,loss,got,fill,short,otherwis,ok
iter21_cv_split1,stop,profit,got,loss,cloud,set,aka,rektfest,incom,jami
iter21_cv_split2,stop,got,loss,short,set,fill,dump,airdrop,ok,jami
iter21_cv_split3,stop,profit,loss,dump,got,short,cloud,set,incom,lock
iter21_cv_split4,stop,got,profit,loss,cloud,fill,dump,airdrop,rektfest,maker
iter21_cv_split5,profit,stop,short,fill,got,loss,cloud,otherwis,ok,ofc
iter22_cv_split1,stop,loss,got,short,fill,set,cloud,airdrop,otherwis,incom
iter22_cv_split2,stop,profit,dump,got,loss,cloud,airdrop,lock,maker,min
iter22_cv_split3,stop,profit,loss,got,let,short,set,dump,fill,otherwis
iter22_cv_split4,stop,got,profit,dump,loss,start,cloud,short,fill,set
iter22_cv_split5,stop,profit,dump,loss,short,got,cloud,fill,airdrop,lock
iter23_cv_split1,stop,profit,got,dump,let,fill,loss,airdrop,jami,lock
iter23_cv_split2,stop,loss,got,profit,cloud,fill,set,revers,min,need
iter23_cv_split3,stop,profit,loss,got,cloud,short,dump,airdrop,rektfest,lock
iter23_cv_split4,stop,short,cloud,profit,set,dump,got,loss,maker,rektfest
iter23_cv_split5,stop,profit,loss,fill,got,short,cloud,set,airdrop,ofc
iter24_cv_split1,profit,stop,let,short,fill,aka,jami,loss,maker,min
iter24_cv_split2,stop,loss,got,dump,fill,short,set,cloud,profit,maker
iter24_cv_split3,stop,profit,got,loss,cloud,dump,airdrop,rememb,lock,maker
iter24_cv_split4,stop,profit,got,loss,fill,dump,cloud,set,short,maker
iter24_cv_split5,stop,profit,got,loss,short,cloud,set,airdrop,rektfest,incom
iter25_cv_split1,stop,profit,got,loss,dump,set,fill,ok,lock,maker
iter25_cv_split2,stop,loss,profit,short,cloud,set,airdrop,rememb,lock,maker
iter25_cv_split3,stop,profit,dump,got,cloud,fill,airdrop,lock,loss,maker
iter25_cv_split4,stop,profit,loss,got,dump,fill,cloud,set,short,min
iter25_cv_split5,stop,got,profit,loss,fill,cloud,short,set,aka,rektfest
iter26_cv_split1,stop,got,fill,cloud,profit,revers,jami,loss,min,need
iter26_cv_split2,stop,profit,loss,short,set,cloud,abov,pls,higher,hour
iter26_cv_split3,stop,profit,dump,cloud,got,fill,short,loss,sinc,sleep
iter26_cv_split4,stop,profit,loss,got,short,fill,set,cloud,dump,ofc
iter26_cv_split5,stop,profit,got,loss,let,set,fill,dump,otherwis,jami
iter27_cv_split1,stop,profit,loss,cloud,dump,airdrop,rektfest,jami,lock,maker
iter27_cv_split2,stop,loss,got,cloud,short,set,fill,revers,maker,min
iter27_cv_split3,stop,profit,loss,got,short,set,dump,airdrop,lock,maker
iter27_cv_split4,stop,got,loss,set,dump,fill,cloud,profit,short,maker
iter27_cv_split5,stop,profit,got,fill,cloud,loss,airdrop,need,hour,incom
iter28_cv_split1,stop,loss,profit,dump,got,cloud,set,airdrop,maker,min
iter28_cv_split2,stop,profit,got,cloud,loss,dump,let,feel,greed,hour
iter28_cv_split3,stop,profit,got,loss,short,set,fill,dump,otherwis,jami
iter28_cv_split4,stop,profit,loss,got,short,set,let,cloud,fill,ok
iter28_cv_split5,stop,profit,got,cloud,short,fill,aka,revers,jami,loss
iter29_cv_split1,stop,got,profit,loss,cloud,set,dump,revers,maker,min
iter29_cv_split2,stop,got,profit,let,fill,dump,loss,maker,min,need
iter29_cv_split3,stop,profit,loss,set,fill,cloud,got,short,shill,need
iter29_cv_split4,stop,profit,got,loss,short,dump,cloud,fill,need,otherwis
iter29_cv_split5,stop,profit,loss,short,cloud,got,set,otherwis,ofc,need
iter30_cv_split1,stop,profit,got,fill,dump,sorri,otherwis,lock,loss,maker
iter30_cv_split2,stop,got,loss,profit,cloud,dump,set,fill,sinc,ofc
iter30_cv_split3,stop,profit,short,got,loss,cloud,fill,set,need,otherwis
iter30_cv_split4,stop,profit,got,loss,short,cloud,set,dump,let,maker
iter30_cv_split5,stop,profit,loss,got,short,cloud,set,airdrop,rememb,jami
iter31_cv_split1,stop,profit,got,loss,short,cloud,set,fill,airdrop,lock
iter31_cv_split2,stop,got,profit,cloud,dump,let,loss,fill,ok,foreverif
iter31_cv_split3,stop,profit,loss,got,short,set,dump,otherwis,incom,jami
iter31_cv_split4,stop,profit,loss,short,set,got,cloud,otherwis,ok,ofc
iter31_cv_split5,stop,profit,dump,cloud,got,fill,ride,maker,min,need
iter32_cv_split1,stop,loss,profit,cloud,set,start,dump,got,short,pls
iter32_cv_split2,stop,got,loss,let,fill,dump,demon,decid,sorri,greed
iter32_cv_split3,stop,profit,dump,loss,got,cloud,short,rememb,maker,min
iter32_cv_split4,stop,got,profit,loss,fill,short,cloud,set,rektfest,ichimoku
iter32_cv_split5,stop,profit,loss,set,let,fill,cloud,got,runat,shill
iter33_cv_split1,stop,got,loss,cloud,fill,demon,run,dimon,die,safe
iter33_cv_split2,stop,profit,cloud,set,got,start,loss,short,otherwis,ok
iter33_cv_split3,stop,profit,loss,got,dump,cloud,set,fill,rektfest,maker
iter33_cv_split4,stop,profit,got,short,fill,loss,dump,airdrop,ofc,incom
iter33_cv_split5,stop,profit,loss,cloud,short,set,dump,got,min,rememb
iter34_cv_split1,stop,profit,got,loss,start,cloud,short,set,airdrop,rektfest
iter34_cv_split2,stop,got,loss,profit,set,fill,dump,need,higher,incom
iter34_cv_split3,stop,profit,loss,set,cloud,short,lock,maker,rektfest,jami
iter34_cv_split4,stop,dump,got,cloud,short,fill,aka,loss,maker,min
iter34_cv_split5,stop,profit,got,loss,cloud,fill,dump,pls,jami,lock
iter35_cv_split1,stop,profit,loss,got,dump,short,cloud,set,min,otherwis
iter35_cv_split2,stop,profit,loss,got,short,dump,airdrop,lock,maker,min
iter35_cv_split3,stop,profit,loss,got,set,fill,cloud,ok,higher,hour
iter35_cv_split4,stop,got,profit,fill,cloud,dump,alreadi,min,need,ok
iter35_cv_split5,stop,profit,got,loss,short,set,cloud,fill,need,otherwis
iter36_cv_split1,stop,profit,got,loss,set,short,cloud,dump,pls,lock
iter36_cv_split2,stop,profit,loss,got,fill,set,dump,airdrop,need,higher
iter36_cv_split3,stop,profit,dump,fill,cloud,got,maker,min,need,ok
iter36_cv_split4,stop,loss,profit,got,short,cloud,set,airdrop,rektfest,incom
iter36_cv_split5,stop,profit,cloud,set,loss,fill,got,short,otherwis,ok
iter37_cv_split1,stop,got,profit,loss,fill,cloud,dump,pls,sinc,gainzz
iter37_cv_split2,stop,profit,loss,got,short,cloud,dump,airdrop,rektfest,lock
iter37_cv_split3,stop,profit,loss,got,short,set,fill,dump,pls,lock
iter37_cv_split4,stop,profit,got,loss,cloud,set,fill,aka,jami,maker
iter37_cv_split5,stop,profit,loss,got,start,cloud,short,set,ichimoku,jami
iter38_cv_split1,stop,got,profit,cloud,fill,dump,maker,set,cash,hey
iter38_cv_split2,stop,profit,got,loss,short,cloud,airdrop,rememb,jami,lock
iter38_cv_split3,stop,profit,loss,got,set,short,fill,dump,maker,pls
iter38_cv_split4,stop,loss,profit,got,cloud,short,set,dump,resist,maker
iter38_cv_split5,stop,profit,loss,set,got,short,fill,cloud,maker,ofc
iter39_cv_split1,stop,profit,loss,got,short,fill,dump,pls,lock,maker
iter39_cv_split2,stop,got,loss,cloud,short,set,profit,fill,revers,min
iter39_cv_split3,stop,profit,loss,set,dump,cloud,got,short,runat,hey
iter39_cv_split4,profit,stop,loss,got,short,cloud,set,hour,ichimoku,jami
iter39_cv_split5,stop,profit,got,loss,cloud,dump,fill,rektfest,maker,min
iter40_cv_split1,stop,got,profit,start,dump,cloud,fill,dimon,demon,decid
iter40_cv_split2,stop,got,loss,dump,fill,short,set,profit,min,need
iter40_cv_split3,stop,profit,loss,got,cloud,dump,airdrop,resist,lock,maker
iter40_cv_split4,stop,profit,loss,got,short,fill,set,cloud,airdrop,jami
iter40_cv_split5,stop,profit,loss,set,dump,short,cloud,got,lock,jami
iter41_cv_split1,stop,profit,cloud,hour,blood,rektfest,jami,dump,sinc,cash
iter41_cv_split2,stop,loss,set,short,fill,cloud,profit,got,lock,jami
iter41_cv_split3,stop,profit,loss,got,set,let,cloud,dump,abov,maker
iter41_cv_split4,stop,profit,got,loss,short,set,fill,dump,otherwis,ichimoku
iter41_cv_split5,stop,profit,loss,got,cloud,short,dump,set,fill,rektfest
iter42_cv_split1,stop,got,profit,short,cloud,set,loss,dump,pls,hour
iter42_cv_split2,profit,stop,got,loss,dump,run,sleep,demon,decid,pls
iter42_cv_split3,stop,got,loss,profit,short,fill,set,cloud,airdrop,jami
iter42_cv_split4,stop,profit,loss,fill,got,cloud,set,pls,otherwis,ok
iter42_cv_split5,stop,profit,got,fill,cloud,dump,let,loss,short,min
iter43_cv_split1,stop,profit,loss,got,short,fill,airdrop,rememb,lock,min
iter43_cv_split2,stop,loss,profit,dump,got,cloud,short,set,rektfest,lock
iter43_cv_split3,stop,profit,loss,got,short,set,cloud,dump,ofc,hey
iter43_cv_split4,stop,profit,start,loss,got,cloud,short,fill,set,aka
iter43_cv_split5,stop,got,profit,dump,loss,cloud,fill,maker,min,need
iter44_cv_split1,stop,profit,loss,got,fill,set,cloud,airdrop,ok,hour
iter44_cv_split2,stop,profit,got,loss,cloud,dump,jami,lock,maker,min
iter44_cv_split3,stop,profit,loss,short,got,fill,cloud,set,ofc,otherwis
iter44_cv_split4,stop,profit,got,set,dump,start,loss,cloud,short,pls
iter44_cv_split5,stop,profit,dump,loss,short,got,fill,airdrop,maker,min
iter45_cv_split1,stop,profit,loss,fill,got,short,cloud,set,otherwis,ok
