,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,ath,price,pampit,onc,btc,strong,let,use,permabul,bet
iter1_cv_split2,price,let,pampit,ath,strong,hodl,onc,short,sleepi,analysi
iter1_cv_split3,price,let,ath,onc,pampit,permabul,sleepi,near,btc,great
iter1_cv_split4,ath,let,btc,pampit,onc,great,permabul,updat,price,holder
iter1_cv_split5,pampit,btc,watch,let,couldnt,near,great,permabul,open,bed
iter2_cv_split1,ath,let,price,pampit,btc,permabul,holder,near,strong,sleepi
iter2_cv_split2,strong,onc,pampit,let,permabul,great,btc,man,hello,analysi
iter2_cv_split3,ath,price,pampit,let,use,onc,analysi,couldnt,holder,great
iter2_cv_split4,price,ath,ma,great,permabul,onc,near,pampit,btc,sleepi
iter2_cv_split5,ath,price,let,pampit,onc,permabul,btc,play,hodl,couldnt
iter3_cv_split1,pampit,price,let,ath,onc,btc,permabul,strong,near,sleepi
iter3_cv_split2,strong,price,pass,ma,sleepi,holder,spot,permabul,btc,onc
iter3_cv_split3,let,ath,price,btc,onc,lead,pampit,great,near,permabul
iter3_cv_split4,ath,pampit,let,onc,price,couldnt,strong,permabul,near,hello
iter3_cv_split5,ath,let,price,pampit,btc,analysi,great,couldnt,sleepi,bed
iter4_cv_split1,pampit,price,let,strong,btc,onc,permabul,ath,hope,hello
iter4_cv_split2,ath,pampit,price,let,btc,onc,strong,analysi,near,permabul
iter4_cv_split3,let,ath,pampit,onc,price,permabul,updat,near,great,sleepi
iter4_cv_split4,price,let,btc,pampit,permabul,ath,onc,great,ma,lead
iter4_cv_split5,ath,price,let,strong,btc,pampit,great,near,ma,bet
iter5_cv_split1,ath,price,pampit,let,onc,btc,updat,permabul,sleepi,bet
iter5_cv_split2,price,pampit,ath,let,btc,strong,spot,great,near,updat
iter5_cv_split3,let,ath,strong,great,pampit,onc,near,btc,permabul,price
iter5_cv_split4,let,price,pampit,cloud,play,permabul,onc,resist,great,holder
iter5_cv_split5,pampit,ath,onc,strong,let,price,btc,pass,pump,couldnt
iter6_cv_split1,ath,price,pampit,let,onc,btc,couldnt,near,spot,holder
iter6_cv_split2,pampit,let,strong,btc,price,permabul,great,near,hello,pump
iter6_cv_split3,price,ath,onc,btc,play,great,sleepi,near,permabul,let
iter6_cv_split4,price,btc,pampit,permabul,let,strong,onc,analysi,anyth,near
iter6_cv_split5,ath,let,pampit,price,onc,updat,permabul,great,ma,tho
iter7_cv_split1,price,ath,pampit,permabul,onc,btc,updat,sleepi,great,near
iter7_cv_split2,ath,let,pampit,price,strong,onc,btc,watch,great,near
iter7_cv_split3,ath,let,price,play,pampit,btc,onc,permabul,great,strong
iter7_cv_split4,ath,let,strong,btc,price,pampit,permabul,spot,great,near
iter7_cv_split5,let,price,pampit,ath,onc,permabul,near,hodl,ma,anyth
iter8_cv_split1,let,pampit,btc,price,permabul,ath,great,resist,anyth,hello
iter8_cv_split2,let,ath,strong,pampit,price,analysi,anyth,near,great,permabul
iter8_cv_split3,ath,let,price,pampit,btc,onc,strong,permabul,near,ma
iter8_cv_split4,ath,price,pampit,onc,let,couldnt,near,btc,spot,great
iter8_cv_split5,price,ath,let,pampit,onc,strong,permabul,btc,great,sleepi
iter9_cv_split1,ath,let,strong,price,btc,permabul,great,ma,near,pampit
iter9_cv_split2,strong,let,price,pampit,onc,ath,btc,hodl,ma,permabul
iter9_cv_split3,ath,price,pampit,onc,permabul,holder,bet,btc,near,sleepi
iter9_cv_split4,price,pampit,let,ath,onc,use,couldnt,permabul,great,bet
iter9_cv_split5,let,price,pampit,btc,onc,updat,analysi,great,near,tho
iter10_cv_split1,let,pampit,onc,strong,permabul,hodl,ath,man,great,near
iter10_cv_split2,ath,price,strong,pampit,let,onc,btc,near,couldnt,open
iter10_cv_split3,ath,price,onc,pampit,btc,permabul,sleepi,near,great,bet
iter10_cv_split4,price,let,ath,btc,permabul,great,pampit,holder,ma,strong
iter10_cv_split5,let,strong,price,great,btc,near,pampit,permabul,onc,ath
iter11_cv_split1,price,ath,strong,fork,ma,anyth,onc,near,great,btc
iter11_cv_split2,ath,price,let,pampit,onc,btc,strong,permabul,couldnt,sleepi
iter11_cv_split3,let,price,ath,onc,hope,permabul,hodl,great,near,pampit
iter11_cv_split4,ath,let,pampit,btc,permabul,strong,couldnt,great,spot,bet
iter11_cv_split5,price,pampit,let,onc,analysi,btc,near,sleepi,ath,lead
iter12_cv_split1,let,pampit,price,ath,onc,permabul,near,pump,sleepi,holder
iter12_cv_split2,strong,price,ath,pampit,permabul,btc,great,near,sleepi,pass
iter12_cv_split3,ath,price,let,onc,btc,strong,permabul,pampit,watch,great
iter12_cv_split4,let,ath,price,strong,pampit,onc,couldnt,bet,permabul,btc
iter12_cv_split5,let,strong,ath,pampit,onc,btc,near,great,resist,price
iter13_cv_split1,ath,price,pampit,onc,let,btc,strong,holder,sleepi,great
iter13_cv_split2,price,ath,let,pampit,permabul,onc,near,great,bet,use
iter13_cv_split3,let,ath,onc,btc,great,pampit,sleepi,near,man,ma
iter13_cv_split4,ath,strong,pampit,price,btc,couldnt,permabul,holder,great,near
