,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,becaus,greed,profit,bitcoin,bull,decid,direct,hour,enoughsold,cash
iter1_cv_split2,bitcoin,welcom,profit,ok,market,news,soon,sinc,segwit,reactsthen
iter1_cv_split3,incom,stop,short,gainzz,welcom,bull,cloud,run,maker,safe
iter1_cv_split4,profit,bitcoin,welcom,start,short,foreverif,sinc,rektfest,maker,loss
iter1_cv_split5,profit,welcom,bitcoin,time,ok,bull,cash,noth,truli,think
iter2_cv_split1,profit,greed,becaus,welcom,gainzz,ok,bull,hour,decid,direct
iter2_cv_split2,stop,bitcoin,short,bull,start,cash,cloud,direct,enoughsold,decid
iter2_cv_split3,incom,profit,welcom,bitcoin,rektfest,foreverif,sinc,ok,cash,safe
iter2_cv_split4,bitcoin,welcom,short,bull,dump,enoughsold,hour,decid,direct,resist
iter2_cv_split5,profit,welcom,bitcoin,short,maker,safe,mainstream,truli,think,reactsthen
iter3_cv_split1,profit,stop,dump,welcom,short,bull,cash,cloud,run,hour
iter3_cv_split2,let,bull,bitcoin,cash,market,turkish,type,truli,true,think
iter3_cv_split3,incom,profit,welcom,bitcoin,short,sinc,bull,cash,cloud,coupl
iter3_cv_split4,die,profit,start,bitcoin,welcom,bull,short,dump,true,period
iter3_cv_split5,welcom,profit,bitcoin,short,sinc,ok,maker,safe,think,sys
iter4_cv_split1,profit,welcom,greed,bitcoin,short,foreverif,rektfest,sinc,bull,cash
iter4_cv_split2,profit,welcom,bitcoin,hour,decid,direct,enoughsold,market,start,mission
iter4_cv_split3,incom,profit,short,bull,cash,market,safe,mainstream,type,true
iter4_cv_split4,profit,bitcoin,welcom,stop,short,bull,ok,decid,direct,enoughsold
iter4_cv_split5,incom,welcom,bitcoin,profit,short,cash,abov,loss,set,daili
iter5_cv_split1,incom,stop,welcom,profit,bitcoin,dump,short,cash,cloud,bad
iter5_cv_split2,incom,bull,ok,cash,decid,hour,direct,enoughsold,safe,set
iter5_cv_split3,die,welcom,bitcoin,short,market,enoughsold,decid,hour,direct,maker
iter5_cv_split4,bitcoin,short,welcom,gainzz,bull,hour,decid,direct,enoughsold,rebuy
iter5_cv_split5,profit,welcom,short,bitcoin,bull,ok,cash,resist,mainstream,obvious
