,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter1_cv_split1,0.7073170731707317,0.6585365853658537,1.0,0.6666666666666666,2,1,1,1,20,6,1,2,7,13,0,0,0,104,0,0,0,39
iter1_cv_split2,0.7,0.65,0.9872611464968153,0.6687898089171974,1,3,0,0,25,1,0,8,2,13,0,0,1,103,1,0,0,39
iter1_cv_split3,0.6153846153846154,0.6666666666666666,1.0,0.6645569620253164,0,1,2,1,22,3,0,8,2,14,0,0,0,105,0,0,0,39
iter1_cv_split4,0.6153846153846154,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,2,0,2,18,6,0,5,5,14,0,0,1,104,0,0,0,39
iter1_cv_split5,0.7105263157894737,0.6842105263157895,0.9937106918238994,0.660377358490566,1,2,0,0,22,4,0,5,4,14,0,0,1,104,0,0,0,40
iter2_cv_split1,0.6829268292682927,0.6585365853658537,0.9935897435897436,0.6666666666666666,2,2,0,0,24,3,0,8,2,13,0,0,1,103,0,0,0,39
iter2_cv_split2,0.65,0.65,1.0,0.6687898089171974,1,3,0,1,22,3,0,7,3,13,0,0,0,105,0,0,0,39
iter2_cv_split3,0.717948717948718,0.6666666666666666,1.0,0.6645569620253164,1,2,0,1,20,5,0,3,7,14,0,0,0,105,0,0,0,39
iter2_cv_split4,0.5897435897435898,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,2,0,1,18,7,0,6,4,14,0,0,1,104,0,0,0,39
iter2_cv_split5,0.7368421052631579,0.6842105263157895,0.9874213836477987,0.660377358490566,1,2,0,0,23,3,0,5,4,14,0,0,1,103,1,0,0,40
iter3_cv_split1,0.6829268292682927,0.6585365853658537,0.9935897435897436,0.6666666666666666,0,4,0,0,23,4,0,5,5,13,0,0,0,103,1,0,0,39
iter3_cv_split2,0.525,0.65,0.9936305732484076,0.6687898089171974,0,2,2,1,18,7,0,7,3,13,0,0,1,104,0,0,0,39
iter3_cv_split3,0.6923076923076923,0.6666666666666666,0.9873417721518988,0.6645569620253164,2,1,0,1,21,4,1,5,4,14,0,0,1,103,1,0,0,39
iter3_cv_split4,0.7435897435897436,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,1,1,0,24,2,1,5,4,14,0,0,1,104,0,0,0,39
