,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,stop,revers,incom,die,runat,alreadi,short,expect,fill,ok
iter1_cv_split2,stop,die,becaus,alreadi,got,greed,start,gainzz,hey,fli
iter1_cv_split3,revers,profit,got,dump,becaus,greed,fill,runat,sinc,fall
iter1_cv_split4,stop,incom,revers,die,becaus,greed,alreadi,runat,hey,fli
iter1_cv_split5,stop,incom,revers,die,alreadi,runat,gainzz,got,rektfest,foreverif
iter2_cv_split1,stop,revers,incom,runat,start,got,short,fill,bounc,sinc
iter2_cv_split2,got,die,becaus,profit,greed,alreadi,dump,fill,runat,expect
iter2_cv_split3,stop,revers,die,alreadi,gainzz,got,runat,bull,cloud,pls
iter2_cv_split4,stop,incom,revers,profit,die,becaus,greed,runat,alreadi,time
iter2_cv_split5,stop,revers,incom,die,alreadi,becaus,greed,got,gainzz,hey
iter3_cv_split1,got,greed,becaus,fill,expect,runat,start,sinc,fall,foreverif
iter3_cv_split2,stop,revers,incom,die,runat,alreadi,time,expect,profit,ok
iter3_cv_split3,stop,revers,die,becaus,alreadi,greed,runat,fill,bounc,got
iter3_cv_split4,stop,revers,incom,runat,becaus,greed,alreadi,gainzz,rektfest,fall
iter3_cv_split5,stop,revers,incom,die,alreadi,got,start,becaus,hey,pls
iter4_cv_split1,stop,die,alreadi,got,start,runat,becaus,cloud,fli,hey
iter4_cv_split2,stop,incom,revers,die,alreadi,gainzz,expect,runat,fill,hey
iter4_cv_split3,stop,revers,becaus,runat,greed,pls,hey,fli,expect,fall
iter4_cv_split4,got,incom,revers,die,alreadi,becaus,greed,dump,runat,start
iter4_cv_split5,stop,revers,die,becaus,alreadi,greed,gainzz,fill,start,bounc
iter5_cv_split1,revers,die,got,becaus,alreadi,greed,gainzz,fill,start,fall
iter5_cv_split2,stop,revers,runat,profit,got,fill,bounc,foreverif,fall,rektfest
iter5_cv_split3,stop,revers,incom,profit,becaus,greed,alreadi,runat,fli,pls
iter5_cv_split4,stop,incom,revers,die,alreadi,profit,becaus,runat,greed,fill
iter5_cv_split5,stop,die,start,alreadi,got,expect,runat,greed,becaus,hey
iter6_cv_split1,stop,revers,incom,die,got,alreadi,gainzz,pls,fli,hey
iter6_cv_split2,stop,die,becaus,greed,alreadi,profit,runat,expect,fill,bounc
iter6_cv_split3,stop,incom,revers,die,becaus,profit,greed,runat,alreadi,foreverif
iter6_cv_split4,revers,got,profit,die,alreadi,greed,becaus,fill,runat,time
iter6_cv_split5,stop,revers,becaus,greed,runat,bull,gainzz,pls,hey,fli
iter7_cv_split1,stop,incom,revers,die,runat,alreadi,short,profit,time,expect
iter7_cv_split2,stop,revers,becaus,greed,runat,gainzz,rektfest,sinc,foreverif,fall
iter7_cv_split3,revers,got,die,alreadi,greed,becaus,fill,dump,gainzz,start
iter7_cv_split4,stop,revers,incom,die,got,alreadi,runat,fli,pls,hey
