,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,abl,post,potenti,precis,prepar,pressur,previous,possibl,price,principl
iter1_cv_split2,abl,project,progress,probabl,privat,principl,prime,price,previous,prepar
iter1_cv_split3,abov,possibl,posit,pop,polo,point,pleas,play,plant,plan
iter1_cv_split4,abl,privat,principl,prime,price,previous,pressur,prepar,precis,pray
iter1_cv_split5,abl,psycholog,promis,project,progress,process,probabl,principl,prime,price
iter2_cv_split1,abl,process,probabl,privat,principl,prime,price,previous,pressur,prepar
iter2_cv_split2,abl,psycholog,project,progress,process,probabl,privat,principl,prime,price
iter2_cv_split3,abl,project,progress,process,probabl,privat,principl,prime,price,previous
iter2_cv_split4,abl,probabl,privat,principl,prime,price,previous,prepar,precis,preceed
iter2_cv_split5,abov,psycholog,promis,process,probabl,principl,prime,price,previous,pressur
iter3_cv_split1,abov,progress,process,probabl,principl,prime,previous,prepar,precis,pray
iter3_cv_split2,abl,probabl,privat,prime,price,previous,pressur,prepar,preceed,pray
iter3_cv_split3,abl,particip,parti,pariti,parent,parabola,panic,padawan,outjust,outcom
iter3_cv_split4,abl,progress,process,probabl,privat,principl,prime,price,previous,pressur
iter3_cv_split5,abl,promis,project,progress,process,probabl,privat,principl,prime,price
iter4_cv_split1,abl,probabl,principl,prime,price,previous,pressur,prepar,pray,potenti
iter4_cv_split2,abl,process,privat,principl,prime,price,previous,pressur,prepar,precis
iter4_cv_split3,abl,process,probabl,privat,principl,prime,price,previous,prepar,precis
iter4_cv_split4,abl,quick,public,psycholog,promis,progress,probabl,privat,principl,prime
iter4_cv_split5,abov,probabl,privat,principl,price,previous,pressur,prepar,precis,preceed
iter5_cv_split1,abl,progress,process,probabl,privat,prime,price,previous,pressur,prepar
iter5_cv_split2,abl,promis,progress,process,probabl,privat,principl,prime,price,previous
iter5_cv_split3,abov,project,probabl,privat,prime,price,previous,pressur,precis,post
iter5_cv_split4,abl,promis,project,progress,process,probabl,privat,principl,prime,price
iter5_cv_split5,abl,process,probabl,principl,prime,price,previous,pressur,prepar,precis
iter6_cv_split1,abl,psycholog,promis,project,progress,probabl,principl,prime,price,previous
iter6_cv_split2,abl,quick,public,psycholog,progress,process,probabl,privat,principl,prime
iter6_cv_split3,abl,probabl,privat,principl,prime,price,previous,pressur,prepar,precis
