,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,view,crash,preceed,similiar,rebound,brutal,ain,liquid,instead,leg
iter1_cv_split2,view,brutal,ain,preceed,similiar,lower,crash,liquid,rebound,instead
iter1_cv_split3,ain,brutal,major,crash,rebound,view,lower,similiar,preceed,liquid
iter1_cv_split4,view,similiar,preceed,ain,brutal,lower,crash,rebound,instead,major
iter1_cv_split5,view,ain,brutal,crash,similiar,preceed,lower,rebound,liquid,leg
iter2_cv_split1,view,preceed,similiar,crash,brutal,ain,lower,rebound,liquid,instead
iter2_cv_split2,view,ain,brutal,preceed,similiar,lower,crash,rebound,instead,liquid
iter2_cv_split3,view,preceed,similiar,brutal,ain,crash,lower,liquid,rebound,leg
iter2_cv_split4,view,lower,similiar,preceed,crash,ain,brutal,rebound,instead,major
iter2_cv_split5,brutal,ain,crash,major,liquid,view,rebound,leg,preceed,similiar
iter3_cv_split1,view,lower,crash,similiar,preceed,brutal,ain,rebound,liquid,mistak
iter3_cv_split2,view,preceed,similiar,ain,brutal,crash,lower,rebound,liquid,instead
iter3_cv_split3,brutal,ain,major,view,crash,similiar,preceed,rebound,lower,liquid
iter3_cv_split4,view,brutal,ain,crash,similiar,preceed,rebound,liquid,instead,lower
iter3_cv_split5,view,ain,brutal,preceed,similiar,lower,crash,rebound,instead,leg
iter4_cv_split1,view,brutal,ain,lower,preceed,similiar,crash,liquid,rebound,major
iter4_cv_split2,view,preceed,similiar,brutal,ain,rebound,crash,lower,instead,mind
iter4_cv_split3,ain,brutal,major,crash,view,liquid,similiar,preceed,rebound,instead
iter4_cv_split4,view,preceed,similiar,ain,brutal,crash,lower,rebound,liquid,instead
iter4_cv_split5,view,lower,preceed,similiar,leg,ain,brutal,crash,rebound,liquid
iter5_cv_split1,view,brutal,ain,preceed,similiar,crash,rebound,liquid,lower,leg
iter5_cv_split2,brutal,ain,major,view,crash,rebound,instead,lower,similiar,preceed
iter5_cv_split3,view,lower,ain,brutal,crash,similiar,preceed,rebound,major,instead
iter5_cv_split4,preceed,similiar,brutal,ain,view,crash,lower,rebound,liquid,leg
iter5_cv_split5,view,similiar,preceed,crash,brutal,ain,lower,rebound,liquid,current
iter6_cv_split1,view,brutal,ain,similiar,preceed,crash,lower,rebound,leg,liquid
iter6_cv_split2,view,preceed,similiar,lower,brutal,ain,crash,rebound,liquid,instead
iter6_cv_split3,view,ain,brutal,lower,similiar,preceed,crash,rebound,instead,leg
iter6_cv_split4,major,crash,view,brutal,ain,preceed,similiar,liquid,lower,leg
iter6_cv_split5,view,brutal,ain,crash,similiar,preceed,rebound,liquid,instead,lower
