,full_test_accs,full_test_aucs,full_test_fns,full_test_fps,full_test_null_accs,full_test_tns,full_test_tps,full_train_accs,full_train_aucs,full_train_fns,full_train_fps,full_train_null_accs,full_train_tns,full_train_tps
iter1_cv_split1,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter1_cv_split2,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter1_cv_split3,0.9594594594594594,1.0,3,0,0.5,37,34,1.0,1.0,0,0,0.5,147,147
iter1_cv_split4,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter1_cv_split5,1.0,1.0,0,0,0.5,36,36,1.0,1.0,0,0,0.5,148,148
iter2_cv_split1,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter2_cv_split2,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter2_cv_split3,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter2_cv_split4,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter2_cv_split5,0.9722222222222222,1.0,2,0,0.5,36,34,1.0,1.0,0,0,0.5,148,148
iter3_cv_split1,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter3_cv_split2,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter3_cv_split3,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter3_cv_split4,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter3_cv_split5,0.9861111111111112,1.0,1,0,0.5,36,35,1.0,1.0,0,0,0.5,148,148
iter4_cv_split1,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter4_cv_split2,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter4_cv_split3,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter4_cv_split4,0.9594594594594594,1.0,3,0,0.5,37,34,1.0,1.0,0,0,0.5,147,147
iter4_cv_split5,0.9583333333333334,1.0,3,0,0.5,36,33,1.0,1.0,0,0,0.5,148,148
iter5_cv_split1,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter5_cv_split2,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,0.9999999999999999,0,0,0.5,147,147
iter5_cv_split3,0.9594594594594594,1.0,3,0,0.5,37,34,1.0,1.0,0,0,0.5,147,147
iter5_cv_split4,0.9594594594594594,1.0,3,0,0.5,37,34,1.0,1.0,0,0,0.5,147,147
iter5_cv_split5,0.9861111111111112,1.0,1,0,0.5,36,35,1.0,1.0,0,0,0.5,148,148
iter6_cv_split1,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter6_cv_split2,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter6_cv_split3,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter6_cv_split4,0.9594594594594594,1.0,3,0,0.5,37,34,1.0,1.0,0,0,0.5,147,147
iter6_cv_split5,0.9861111111111112,1.0,1,0,0.5,36,35,1.0,0.9999999999999999,0,0,0.5,148,148
iter7_cv_split1,0.9594594594594594,1.0,3,0,0.5,37,34,1.0,1.0,0,0,0.5,147,147
iter7_cv_split2,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter7_cv_split3,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter7_cv_split4,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter7_cv_split5,0.9722222222222222,1.0,2,0,0.5,36,34,1.0,0.9999999999999999,0,0,0.5,148,148
iter8_cv_split1,0.9594594594594594,1.0,3,0,0.5,37,34,1.0,1.0,0,0,0.5,147,147
iter8_cv_split2,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter8_cv_split3,0.9459459459459459,0.9766252739225711,2,2,0.5,35,35,1.0,1.0,0,0,0.5,147,147
iter8_cv_split4,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter8_cv_split5,0.9861111111111112,1.0,1,0,0.5,36,35,1.0,1.0,0,0,0.5,148,148
iter9_cv_split1,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter9_cv_split2,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter9_cv_split3,0.8918918918918919,0.9123447772096421,3,5,0.5,32,34,1.0,1.0,0,0,0.5,147,147
iter9_cv_split4,0.9459459459459459,0.9766252739225713,2,2,0.5,35,35,1.0,1.0,0,0,0.5,147,147
iter9_cv_split5,0.9861111111111112,1.0,1,0,0.5,36,35,1.0,1.0,0,0,0.5,148,148
iter10_cv_split1,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter10_cv_split2,0.9459459459459459,1.0,4,0,0.5,37,33,1.0,1.0,0,0,0.5,147,147
iter10_cv_split3,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter10_cv_split4,0.9594594594594594,1.0,3,0,0.5,37,34,1.0,1.0,0,0,0.5,147,147
iter10_cv_split5,1.0,0.9999999999999999,0,0,0.5,36,36,1.0,1.0,0,0,0.5,148,148
iter11_cv_split1,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter11_cv_split2,0.9864864864864865,0.9978086194302411,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter11_cv_split3,0.9594594594594594,1.0,3,0,0.5,37,34,1.0,1.0,0,0,0.5,147,147
iter11_cv_split4,0.9459459459459459,0.9751643535427319,2,2,0.5,35,35,1.0,1.0,0,0,0.5,147,147
iter11_cv_split5,0.9722222222222222,1.0,2,0,0.5,36,34,1.0,1.0,0,0,0.5,148,148
iter12_cv_split1,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter12_cv_split2,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter12_cv_split3,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter12_cv_split4,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter12_cv_split5,0.9722222222222222,1.0,2,0,0.5,36,34,1.0,1.0,0,0,0.5,148,148
iter13_cv_split1,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter13_cv_split2,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter13_cv_split3,0.972972972972973,0.9978086194302411,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter13_cv_split4,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter13_cv_split5,0.9861111111111112,1.0,1,0,0.5,36,35,1.0,1.0,0,0,0.5,148,148
iter14_cv_split1,0.9594594594594594,1.0,3,0,0.5,37,34,1.0,1.0,0,0,0.5,147,147
iter14_cv_split2,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter14_cv_split3,0.972972972972973,0.9985390796201606,2,0,0.5,37,35,1.0,0.9999999999999999,0,0,0.5,147,147
iter14_cv_split4,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter14_cv_split5,0.9861111111111112,1.0,1,0,0.5,36,35,1.0,1.0,0,0,0.5,148,148
iter15_cv_split1,0.972972972972973,0.997808619430241,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter15_cv_split2,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter15_cv_split3,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter15_cv_split4,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter15_cv_split5,0.9861111111111112,1.0,1,0,0.5,36,35,1.0,1.0,0,0,0.5,148,148
iter16_cv_split1,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter16_cv_split2,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter16_cv_split3,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter16_cv_split4,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter16_cv_split5,0.9583333333333334,0.9976851851851852,3,0,0.5,36,33,1.0,1.0,0,0,0.5,148,148
iter17_cv_split1,0.9324324324324325,1.0,5,0,0.5,37,32,1.0,1.0,0,0,0.5,147,147
iter17_cv_split2,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter17_cv_split3,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter17_cv_split4,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter17_cv_split5,1.0,1.0,0,0,0.5,36,36,1.0,1.0,0,0,0.5,148,148
iter18_cv_split1,1.0,1.0,0,0,0.5,37,37,1.0,0.9999999999999999,0,0,0.5,147,147
iter18_cv_split2,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter18_cv_split3,0.9594594594594594,0.995617238860482,3,0,0.5,37,34,1.0,1.0,0,0,0.5,147,147
iter18_cv_split4,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter18_cv_split5,0.9583333333333334,0.9999999999999999,3,0,0.5,36,33,1.0,1.0,0,0,0.5,148,148
iter19_cv_split1,0.972972972972973,0.9956172388604821,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter19_cv_split2,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter19_cv_split3,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter19_cv_split4,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter19_cv_split5,0.9305555555555556,0.9706790123456791,3,2,0.5,34,33,1.0,0.9999999999999999,0,0,0.5,148,148
iter20_cv_split1,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter20_cv_split2,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter20_cv_split3,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter20_cv_split4,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter20_cv_split5,0.9861111111111112,1.0,1,0,0.5,36,35,1.0,1.0,0,0,0.5,148,148
iter21_cv_split1,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter21_cv_split2,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter21_cv_split3,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter21_cv_split4,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter21_cv_split5,0.9583333333333334,1.0,3,0,0.5,36,33,1.0,1.0,0,0,0.5,148,148
iter22_cv_split1,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter22_cv_split2,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter22_cv_split3,0.9594594594594594,0.9985390796201606,3,0,0.5,37,34,1.0,1.0,0,0,0.5,147,147
iter22_cv_split4,0.972972972972973,0.9817384952520087,0,2,0.5,35,37,1.0,1.0,0,0,0.5,147,147
iter22_cv_split5,0.9583333333333334,1.0,3,0,0.5,36,33,1.0,1.0,0,0,0.5,148,148
iter23_cv_split1,0.9459459459459459,1.0,4,0,0.5,37,33,1.0,1.0,0,0,0.5,147,147
iter23_cv_split2,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter23_cv_split3,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter23_cv_split4,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter23_cv_split5,0.9861111111111112,1.0,1,0,0.5,36,35,1.0,1.0,0,0,0.5,148,148
iter24_cv_split1,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter24_cv_split2,0.9594594594594594,0.995617238860482,3,0,0.5,37,34,1.0,1.0,0,0,0.5,147,147
iter24_cv_split3,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter24_cv_split4,0.972972972972973,1.0,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter24_cv_split5,1.0,1.0,0,0,0.5,36,36,1.0,1.0,0,0,0.5,148,148
iter25_cv_split1,0.9864864864864865,1.0,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter25_cv_split2,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
