,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,trigger,breakout,higher,high,revers,low,amp,entri,support,look
iter1_cv_split2,trigger,higher,high,breakout,revers,retest,amp,low,look,upsid
iter1_cv_split3,trigger,breakout,revers,high,amp,look,higher,retest,break,entri
iter1_cv_split4,trigger,breakout,higher,high,revers,amp,trendlin,low,break,retest
iter1_cv_split5,trigger,higher,amp,breakout,high,revers,low,entri,like,retest
iter2_cv_split1,trigger,breakout,high,higher,revers,amp,entri,low,trendlin,break
iter2_cv_split2,trigger,breakout,higher,high,revers,amp,entri,break,upsid,retest
iter2_cv_split3,trigger,revers,breakout,high,higher,amp,retest,trendlin,break,look
iter2_cv_split4,trigger,higher,breakout,revers,high,amp,low,entri,look,retest
iter2_cv_split5,trigger,higher,high,breakout,low,amp,look,retest,revers,upsid
iter3_cv_split1,trigger,breakout,high,higher,amp,revers,trendlin,break,look,entri
iter3_cv_split2,trigger,higher,breakout,revers,high,amp,entri,low,look,trend
iter3_cv_split3,trigger,higher,breakout,high,revers,low,retest,look,break,upsid
iter3_cv_split4,trigger,breakout,high,higher,revers,amp,retest,entri,upsid,look
iter3_cv_split5,trigger,higher,high,revers,breakout,amp,retest,low,trendlin,look
iter4_cv_split1,trigger,breakout,higher,high,revers,upsid,low,entri,retest,look
iter4_cv_split2,trigger,higher,high,revers,breakout,amp,low,look,break,retest
iter4_cv_split3,trigger,higher,breakout,revers,amp,retest,high,entri,trendlin,low
iter4_cv_split4,trigger,breakout,amp,higher,high,revers,upsid,retest,look,trendlin
iter4_cv_split5,trigger,breakout,revers,high,higher,amp,entri,retest,low,look
iter5_cv_split1,trigger,higher,high,breakout,revers,low,amp,entri,upsid,retest
iter5_cv_split2,trigger,breakout,high,higher,revers,amp,entri,trendlin,low,break
iter5_cv_split3,trigger,breakout,high,higher,revers,amp,retest,look,break,upsid
iter5_cv_split4,trigger,higher,breakout,high,revers,amp,low,trendlin,retest,look
iter5_cv_split5,trigger,higher,breakout,revers,amp,high,retest,look,trend,entri
iter6_cv_split1,trigger,breakout,revers,amp,high,look,higher,trendlin,break,retest
iter6_cv_split2,trigger,higher,high,breakout,low,retest,revers,amp,support,volum
iter6_cv_split3,trigger,higher,amp,breakout,high,revers,entri,low,break,trendlin
iter6_cv_split4,trigger,breakout,higher,high,revers,amp,look,entri,retest,upsid
iter6_cv_split5,trigger,revers,higher,high,breakout,break,entri,retest,look,low
iter7_cv_split1,higher,trigger,high,revers,breakout,retest,amp,low,look,trendlin
iter7_cv_split2,trigger,higher,high,revers,breakout,amp,retest,low,upsid,break
iter7_cv_split3,trigger,breakout,higher,high,revers,amp,entri,low,look,break
iter7_cv_split4,trigger,breakout,revers,higher,high,amp,look,retest,upsid,low
iter7_cv_split5,trigger,breakout,revers,amp,high,higher,retest,entri,break,trendlin
iter8_cv_split1,trigger,breakout,revers,higher,high,amp,retest,entri,upsid,trendlin
iter8_cv_split2,trigger,higher,high,revers,amp,breakout,retest,low,entri,look
iter8_cv_split3,trigger,higher,breakout,high,revers,amp,look,low,break,upsid
