,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,abc,peopl,perfect,perhap,phase,philippin,pierc,place,placement,plan
iter1_cv_split2,abc,peekaboo,pennant,peopl,perfect,perhap,phase,philippin,place,placement
iter1_cv_split3,lfg,platform,play,pleas,pleasur,pm,polar,pop,planeat,portfolio
iter1_cv_split4,abc,paypal,peekaboo,penetr,pennant,peopl,perfect,perhap,payment,pierc
iter1_cv_split5,larg,peopl,perfect,phase,philippin,pierc,place,placement,plagiar,plan
iter2_cv_split1,label,past,patient,pattern,payment,paypal,peekaboo,penetr,pennant,peopl
iter2_cv_split2,label,pennant,peopl,perfect,phase,philippin,pierc,place,penetr,placement
iter2_cv_split3,abc,phase,pierc,place,placement,plagiar,plan,platform,perhap,pleas
iter2_cv_split4,kind,penetr,pennant,peopl,perfect,perhap,phase,philippin,peekaboo,pierc
iter2_cv_split5,level,place,placement,plagiar,plan,planeat,platform,play,pierc,pleas
iter3_cv_split1,know,paypal,peekaboo,pennant,peopl,perhap,phase,pierc,payment,place
iter3_cv_split2,abc,perfect,perhap,philippin,pierc,place,placement,plagiar,peopl,plan
iter3_cv_split3,ladi,perhap,phase,philippin,pierc,place,placement,plan,perfect,platform
iter3_cv_split4,abc,planeat,platform,play,pleas,pleasur,polar,pop,portfolio,posit
iter3_cv_split5,abc,pattern,payment,paypal,peekaboo,penetr,pennant,peopl,perfect,perhap
iter4_cv_split1,abc,philippin,pierc,placement,plan,planeat,platform,play,pleas,pleasur
iter4_cv_split2,abc,perfect,perhap,phase,philippin,pierc,place,placement,plagiar,plan
iter4_cv_split3,late,peopl,perfect,phase,philippin,pierc,place,plagiar,pennant,plan
iter4_cv_split4,abc,peekaboo,penetr,pennant,peopl,perfect,perhap,philippin,paypal,pierc
iter4_cv_split5,abc,peopl,perfect,perhap,phase,pierc,place,placement,plagiar,plan
iter5_cv_split1,abc,penetr,pennant,peopl,perfect,perhap,phase,philippin,peekaboo,pierc
iter5_cv_split2,abc,pennant,peopl,perfect,philippin,pierc,place,plagiar,plan,planeat
iter5_cv_split3,abc,pennant,peopl,perfect,perhap,phase,place,placement,paypal,plan
iter5_cv_split4,abc,pierc,place,placement,plagiar,plan,planeat,platform,play,pleas
iter5_cv_split5,abc,pierc,place,placement,plagiar,plan,planeat,platform,philippin,play
iter6_cv_split1,abc,pennant,peopl,perfect,phase,philippin,pierc,place,placement,platform
iter6_cv_split2,abc,place,placement,plagiar,plan,planeat,platform,play,pierc,pleas
iter6_cv_split3,abc,penetr,pennant,peopl,perfect,perhap,phase,philippin,peekaboo,pierc
iter6_cv_split4,ladi,patient,pattern,payment,paypal,peekaboo,penetr,pennant,past,peopl
iter6_cv_split5,abc,phase,philippin,pierc,place,placement,plagiar,plan,planeat,platform
iter7_cv_split1,abc,plagiar,plan,platform,play,pleas,pm,polar,pop,portfolio
iter7_cv_split2,abc,paypal,peekaboo,penetr,pennant,peopl,perfect,phase,payment,philippin
iter7_cv_split3,zissou,peekaboo,pennant,peopl,perfect,perhap,philippin,pierc,paypal,place
iter7_cv_split4,abc,pattern,payment,paypal,penetr,pennant,peopl,perhap,pardon,phase
iter7_cv_split5,abc,pennant,peopl,perfect,perhap,phase,philippin,pierc,penetr,place
iter8_cv_split1,abc,philippin,pierc,place,plagiar,plan,planeat,platform,play,pleas
iter8_cv_split2,abc,paypal,peekaboo,penetr,pennant,peopl,perfect,perhap,phase,philippin
iter8_cv_split3,layer,penetr,pennant,peopl,perfect,philippin,pierc,place,peekaboo,placement
iter8_cv_split4,abc,paypal,peekaboo,penetr,pennant,peopl,perfect,perhap,payment,phase
iter8_cv_split5,abc,perhap,phase,philippin,pierc,place,placement,plagiar,plan,planeat
iter9_cv_split1,abc,phase,philippin,pierc,placement,plagiar,plan,platform,perhap,play
iter9_cv_split2,kucoin,pennant,peopl,perfect,phase,philippin,pierc,place,placement,plagiar
iter9_cv_split3,abc,pattern,payment,paypal,peekaboo,pennant,peopl,perfect,perhap,philippin
iter9_cv_split4,kucoin,penetr,pennant,peopl,perfect,perhap,phase,pierc,paypal,place
iter9_cv_split5,late,phase,philippin,pierc,place,plagiar,plan,planeat,platform,play
iter10_cv_split1,abc,perfect,perhap,phase,pierc,place,placement,planeat,peopl,play
iter10_cv_split2,abc,paypal,penetr,pennant,peopl,perfect,perhap,phase,philippin,pierc
iter10_cv_split3,laugh,philippin,pierc,place,placement,plagiar,plan,planeat,phase,platform
iter10_cv_split4,abc,philippin,pierc,place,placement,plagiar,plan,planeat,platform,play
iter10_cv_split5,abc,payment,paypal,peekaboo,penetr,pennant,peopl,perfect,phase,philippin
iter11_cv_split1,abc,paypal,peekaboo,penetr,pennant,peopl,perfect,phase,payment,pierc
iter11_cv_split2,abc,phase,philippin,pierc,place,placement,plagiar,plan,platform,play
iter11_cv_split3,late,peopl,perfect,perhap,phase,philippin,pierc,place,pennant,placement
iter11_cv_split4,kind,patient,pattern,payment,paypal,peekaboo,pennant,peopl,past,perfect
iter11_cv_split5,abc,placement,plagiar,plan,planeat,platform,play,pleas,pleasur,pm
iter12_cv_split1,abc,pattern,payment,paypal,penetr,pennant,peopl,perfect,patient,phase
iter12_cv_split2,abc,place,placement,plan,planeat,platform,play,pleas,pierc,pm
iter12_cv_split3,late,pennant,peopl,perfect,perhap,phase,pierc,place,placement,plagiar
iter12_cv_split4,abc,peekaboo,penetr,pennant,peopl,perfect,perhap,phase,paypal,philippin
iter12_cv_split5,abc,philippin,pierc,place,plagiar,plan,planeat,platform,phase,play
iter13_cv_split1,abc,pennant,peopl,perfect,perhap,phase,philippin,pierc,place,placement
iter13_cv_split2,abc,placement,plagiar,plan,platform,play,pleas,pleasur,place,pm
iter13_cv_split3,abc,penetr,pennant,peopl,perfect,perhap,phase,philippin,peekaboo,pierc
iter13_cv_split4,larg,pattern,payment,paypal,pennant,peopl,perfect,philippin,patient,pierc
iter13_cv_split5,laugh,place,plagiar,plan,planeat,play,pleas,pleasur,pierc,pm
iter14_cv_split1,abc,peekaboo,penetr,pennant,peopl,perfect,perhap,phase,philippin,pierc
iter14_cv_split2,lfg,pierc,place,placement,plan,planeat,platform,play,perhap,pleas
iter14_cv_split3,layer,placement,plagiar,plan,planeat,platform,play,pleas,place,pleasur
iter14_cv_split4,lead,pennant,peopl,perfect,perhap,phase,philippin,pierc,penetr,place
iter14_cv_split5,abc,peekaboo,penetr,pennant,peopl,phase,philippin,pierc,paypal,place
iter15_cv_split1,abc,perfect,perhap,phase,philippin,pierc,place,placement,platform,pleas
iter15_cv_split2,abc,paypal,peekaboo,penetr,pennant,peopl,perfect,philippin,payment,pierc
iter15_cv_split3,abc,peopl,perfect,perhap,phase,philippin,pierc,place,placement,plagiar
iter15_cv_split4,abc,pierc,place,placement,plagiar,plan,planeat,platform,play,pleas
iter15_cv_split5,abc,perfect,perhap,phase,philippin,pierc,place,placement,peopl,plagiar
iter16_cv_split1,know,pennant,peopl,perfect,perhap,phase,philippin,pierc,place,placement
iter16_cv_split2,abc,philippin,pierc,place,placement,plagiar,plan,planeat,perfect,platform
iter16_cv_split3,abc,perhap,phase,philippin,pierc,place,placement,plagiar,perfect,plan
iter16_cv_split4,abc,perfect,perhap,phase,pierc,place,placement,plagiar,peopl,plan
iter16_cv_split5,abc,patient,pattern,payment,paypal,peekaboo,penetr,pennant,peopl,perfect
iter17_cv_split1,abc,penetr,pennant,peopl,perfect,perhap,phase,philippin,peekaboo,place
iter17_cv_split2,kpop,phase,philippin,pierc,place,placement,plagiar,plan,planeat,platform
iter17_cv_split3,abc,phase,philippin,pierc,place,placement,plan,planeat,perhap,platform
iter17_cv_split4,abc,pennant,peopl,perfect,perhap,phase,philippin,pierc,penetr,place
iter17_cv_split5,layer,peopl,perfect,pierc,place,placement,plagiar,plan,pennant,planeat
iter18_cv_split1,abc,peopl,perfect,perhap,phase,philippin,pierc,placement,pennant,plan
iter18_cv_split2,abc,perfect,phase,pierc,place,placement,plagiar,plan,peopl,planeat
iter18_cv_split3,abc,penetr,pennant,peopl,perfect,perhap,philippin,pierc,paypal,place
iter18_cv_split4,abc,philippin,pierc,place,placement,plagiar,plan,planeat,phase,platform
