,full_test_accs,full_test_aucs,full_test_fns,full_test_fps,full_test_null_accs,full_test_tns,full_test_tps,full_train_accs,full_train_aucs,full_train_fns,full_train_fps,full_train_null_accs,full_train_tns,full_train_tps
iter1_cv_split1,1.0,1.0,0,0,0.5,23,23,1.0,1.0,0,0,0.5,91,91
iter1_cv_split2,1.0,1.0,0,0,0.5,23,23,1.0,1.0,0,0,0.5,91,91
iter1_cv_split3,1.0,1.0,0,0,0.5,23,23,1.0,1.0,0,0,0.5,91,91
iter1_cv_split4,1.0,1.0,0,0,0.5,23,23,1.0,1.0,0,0,0.5,91,91
iter1_cv_split5,0.9318181818181818,0.8698347107438017,0,3,0.5,19,22,1.0,1.0,0,0,0.5,92,92
iter2_cv_split1,1.0,1.0,0,0,0.5,23,23,1.0,1.0,0,0,0.5,91,91
iter2_cv_split2,0.9565217391304348,1.0,0,2,0.5,21,23,1.0,1.0,0,0,0.5,91,91
iter2_cv_split3,1.0,1.0,0,0,0.5,23,23,1.0,1.0,0,0,0.5,91,91
iter2_cv_split4,1.0,1.0,0,0,0.5,23,23,1.0,1.0,0,0,0.5,91,91
iter2_cv_split5,0.9772727272727273,1.0,1,0,0.5,22,21,1.0,1.0,0,0,0.5,92,92
iter3_cv_split1,1.0,1.0,0,0,0.5,23,23,1.0,1.0,0,0,0.5,91,91
iter3_cv_split2,1.0,1.0,0,0,0.5,23,23,1.0,1.0,0,0,0.5,91,91
iter3_cv_split3,1.0,1.0,0,0,0.5,23,23,1.0,1.0,0,0,0.5,91,91
iter3_cv_split4,1.0,1.0,0,0,0.5,23,23,1.0,1.0,0,0,0.5,91,91
iter3_cv_split5,0.9545454545454546,0.9958677685950413,0,2,0.5,20,22,1.0,1.0,0,0,0.5,92,92
iter4_cv_split1,1.0,1.0,0,0,0.5,23,23,1.0,1.0,0,0,0.5,91,91
iter4_cv_split2,0.9782608695652174,1.0,1,0,0.5,23,22,1.0,1.0,0,0,0.5,91,91
iter4_cv_split3,1.0,1.0,0,0,0.5,23,23,1.0,1.0,0,0,0.5,91,91
iter4_cv_split4,1.0,1.0,0,0,0.5,23,23,1.0,1.0,0,0,0.5,91,91
iter4_cv_split5,1.0,1.0,0,0,0.5,22,22,1.0,1.0,0,0,0.5,92,92
iter5_cv_split1,1.0,1.0,0,0,0.5,23,23,1.0,1.0,0,0,0.5,91,91
