,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,bull,trade,time,close,look,support,amp,market,bullish,rsi
iter1_cv_split2,trade,bull,time,close,look,amp,support,bullish,volum,cloud
iter1_cv_split3,trade,look,amp,bull,market,close,time,bullish,week,support
iter1_cv_split4,trade,look,support,bull,amp,time,close,market,dip,volum
iter1_cv_split5,trade,bull,close,look,market,support,time,bullish,dip,amp
iter2_cv_split1,trade,bull,time,amp,look,support,market,close,dip,breakout
iter2_cv_split2,trade,bull,close,amp,look,time,support,market,cloud,rsi
iter2_cv_split3,trade,support,close,bull,look,time,amp,market,breakout,cloud
iter2_cv_split4,look,bull,trade,support,close,amp,market,time,volum,bullish
iter2_cv_split5,bull,trade,look,time,close,market,bullish,div,invest,huge
iter3_cv_split1,trade,look,bull,time,close,support,market,dip,amp,huge
iter3_cv_split2,trade,bull,look,market,amp,close,support,bullish,breakout,div
iter3_cv_split3,trade,bull,time,close,look,amp,huge,market,support,soon
iter3_cv_split4,trade,bull,look,close,time,support,dip,amp,volum,cloud
iter3_cv_split5,trade,look,bull,time,close,amp,support,market,bullish,volum
iter4_cv_split1,trade,bull,time,close,support,look,amp,volum,market,breakout
iter4_cv_split2,trade,bull,close,time,market,look,amp,bullish,week,div
iter4_cv_split3,trade,look,bull,time,market,support,amp,close,cloud,dip
iter4_cv_split4,trade,look,bull,amp,close,support,bullish,dip,time,rsi
iter4_cv_split5,trade,look,bull,support,amp,time,market,close,dip,volum
iter5_cv_split1,trade,look,bull,time,support,market,close,cloud,amp,volum
iter5_cv_split2,trade,bull,look,amp,close,market,support,cloud,dip,time
iter5_cv_split3,trade,bull,close,look,support,amp,time,dip,bullish,breakout
iter5_cv_split4,trade,look,bull,time,amp,support,close,market,volum,huge
iter5_cv_split5,trade,bull,close,time,amp,look,support,market,bullish,dip
iter6_cv_split1,trade,look,close,time,bull,support,market,amp,huge,bullish
iter6_cv_split2,trade,bull,close,look,time,amp,support,dip,market,rsi
iter6_cv_split3,trade,bull,look,time,close,amp,support,rsi,dip,cloud
