,full_test_accs,full_test_aucs,full_test_fns,full_test_fps,full_test_null_accs,full_test_tns,full_test_tps,full_train_accs,full_train_aucs,full_train_fns,full_train_fps,full_train_null_accs,full_train_tns,full_train_tps
iter1_cv_split1,0.9130434782608695,0.9829867674858224,4,0,0.5,23,19,1.0,0.9999999999999999,0,0,0.5,91,91
iter1_cv_split2,0.9347826086956522,1.0,3,0,0.5,23,20,1.0,1.0,0,0,0.5,91,91
iter1_cv_split3,0.9565217391304348,1.0,2,0,0.5,23,21,0.9945054945054945,1.0,1,0,0.5,91,90
iter1_cv_split4,0.9130434782608695,0.9962192816635161,4,0,0.5,23,19,1.0,1.0,0,0,0.5,91,91
iter1_cv_split5,0.9090909090909091,1.0,4,0,0.5,22,18,1.0,1.0,0,0,0.5,92,92
iter2_cv_split1,0.9347826086956522,1.0,3,0,0.5,23,20,0.9945054945054945,1.0,1,0,0.5,91,90
iter2_cv_split2,0.9130434782608695,1.0,4,0,0.5,23,19,1.0,1.0,0,0,0.5,91,91
iter2_cv_split3,0.9347826086956522,1.0,3,0,0.5,23,20,1.0,1.0,0,0,0.5,91,91
iter2_cv_split4,0.8913043478260869,1.0,5,0,0.5,23,18,1.0,1.0,0,0,0.5,91,91
iter2_cv_split5,0.9318181818181818,1.0,3,0,0.5,22,19,1.0,1.0,0,0,0.5,92,92
iter3_cv_split1,0.9565217391304348,1.0,2,0,0.5,23,21,1.0,1.0,0,0,0.5,91,91
iter3_cv_split2,0.9130434782608695,1.0,4,0,0.5,23,19,1.0,1.0,0,0,0.5,91,91
iter3_cv_split3,0.9565217391304348,1.0,2,0,0.5,23,21,1.0,1.0,0,0,0.5,91,91
iter3_cv_split4,0.9130434782608695,0.9999999999999999,4,0,0.5,23,19,1.0,1.0,0,0,0.5,91,91
iter3_cv_split5,0.9090909090909091,0.9855371900826446,4,0,0.5,22,18,0.9945652173913043,1.0,1,0,0.5,92,91
iter4_cv_split1,0.9347826086956522,1.0,3,0,0.5,23,20,1.0,0.9999999999999999,0,0,0.5,91,91
iter4_cv_split2,0.9565217391304348,1.0,2,0,0.5,23,21,1.0,1.0,0,0,0.5,91,91
iter4_cv_split3,0.9130434782608695,1.0,4,0,0.5,23,19,1.0,1.0,0,0,0.5,91,91
iter4_cv_split4,0.9565217391304348,1.0,2,0,0.5,23,21,0.9945054945054945,1.0,1,0,0.5,91,90
iter4_cv_split5,0.9318181818181818,1.0,3,0,0.5,22,19,0.9945652173913043,1.0,1,0,0.5,92,91
iter5_cv_split1,0.9565217391304348,1.0,2,0,0.5,23,21,0.9945054945054945,1.0,1,0,0.5,91,90
iter5_cv_split2,0.8478260869565217,0.9810964083175804,5,2,0.5,21,18,0.9945054945054945,0.9998792416374834,0,1,0.5,90,91
iter5_cv_split3,0.9347826086956522,0.996219281663516,3,0,0.5,23,20,1.0,1.0,0,0,0.5,91,91
iter5_cv_split4,0.9130434782608695,1.0,4,0,0.5,23,19,1.0,1.0,0,0,0.5,91,91
iter5_cv_split5,0.9318181818181818,0.9896694214876033,3,0,0.5,22,19,1.0,1.0,0,0,0.5,92,92
iter6_cv_split1,0.9130434782608695,0.9999999999999999,4,0,0.5,23,19,1.0,1.0,0,0,0.5,91,91
iter6_cv_split2,0.8913043478260869,0.9886578449905482,5,0,0.5,23,18,1.0,1.0,0,0,0.5,91,91
iter6_cv_split3,0.9565217391304348,1.0,2,0,0.5,23,21,0.9945054945054945,1.0,1,0,0.5,91,90
iter6_cv_split4,0.9347826086956522,0.9924385633270322,3,0,0.5,23,20,1.0,1.0,0,0,0.5,91,91
iter6_cv_split5,0.9090909090909091,1.0,4,0,0.5,22,18,1.0,1.0,0,0,0.5,92,92
iter7_cv_split1,0.9130434782608695,1.0,4,0,0.5,23,19,1.0,1.0,0,0,0.5,91,91
iter7_cv_split2,0.9347826086956522,1.0,3,0,0.5,23,20,1.0,1.0,0,0,0.5,91,91
iter7_cv_split3,0.9130434782608695,0.9546313799621928,2,2,0.5,21,21,0.989010989010989,0.999396208187417,1,1,0.5,90,90
iter7_cv_split4,0.9347826086956522,0.9810964083175803,3,0,0.5,23,20,1.0,1.0,0,0,0.5,91,91
iter7_cv_split5,0.9318181818181818,1.0,3,0,0.5,22,19,1.0,1.0,0,0,0.5,92,92
iter8_cv_split1,0.9565217391304348,1.0,2,0,0.5,23,21,1.0,1.0,0,0,0.5,91,91
iter8_cv_split2,0.9130434782608695,1.0,4,0,0.5,23,19,1.0,1.0,0,0,0.5,91,91
iter8_cv_split3,0.9347826086956522,1.0,3,0,0.5,23,20,0.9945054945054945,1.0,1,0,0.5,91,90
iter8_cv_split4,0.9565217391304348,1.0,2,0,0.5,23,21,1.0,1.0,0,0,0.5,91,91
iter8_cv_split5,0.9318181818181818,1.0,3,0,0.5,22,19,1.0,1.0,0,0,0.5,92,92
iter9_cv_split1,0.8913043478260869,0.996219281663516,5,0,0.5,23,18,1.0,1.0,0,0,0.5,91,91
iter9_cv_split2,0.9782608695652174,1.0,1,0,0.5,23,22,0.9945054945054945,1.0,1,0,0.5,91,90
iter9_cv_split3,0.9130434782608695,0.9924385633270321,4,0,0.5,23,19,1.0,1.0,0,0,0.5,91,91
iter9_cv_split4,0.9130434782608695,1.0,4,0,0.5,23,19,1.0,1.0,0,0,0.5,91,91
iter9_cv_split5,1.0,1.0,0,0,0.5,22,22,1.0,1.0,0,0,0.5,92,92
iter10_cv_split1,0.9347826086956522,0.9981096408317581,3,0,0.5,23,20,1.0,1.0,0,0,0.5,91,91
iter10_cv_split2,0.9565217391304348,1.0,2,0,0.5,23,21,0.9945054945054945,1.0,1,0,0.5,91,90
iter10_cv_split3,0.8913043478260869,1.0,5,0,0.5,23,18,1.0,1.0,0,0,0.5,91,91
iter10_cv_split4,0.9130434782608695,1.0,4,0,0.5,23,19,1.0,1.0,0,0,0.5,91,91
iter10_cv_split5,0.9772727272727273,1.0,1,0,0.5,22,21,1.0,1.0,0,0,0.5,92,92
iter11_cv_split1,0.9565217391304348,1.0,2,0,0.5,23,21,1.0,1.0,0,0,0.5,91,91
iter11_cv_split2,0.8695652173913043,0.9546313799621928,4,2,0.5,21,19,0.9945054945054945,0.9984301412872841,0,1,0.5,90,91
