,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,abc,financi,fork,friend,gimmick,hater,hepat,hodler,holder,hors
iter1_cv_split2,abc,guy,hater,hepat,hodler,holder,hors,human,igni,import
iter1_cv_split3,abc,gimmick,goe,hater,hepat,hodler,holder,hors,human,igni
iter1_cv_split4,abc,gimmick,hater,hepat,high,hodler,holder,home,hope,hors
iter1_cv_split5,abc,hater,hepat,hodler,holder,hors,human,igni,import,insuffer
iter2_cv_split1,abc,financi,gimmick,goe,hater,hepat,hodler,holder,hors,human
iter2_cv_split2,abc,gimmick,hater,hepat,high,hodler,holder,hors,human,igni
iter2_cv_split3,abc,gimmick,hater,hepat,hodler,holder,home,hors,human,igni
iter2_cv_split4,abc,financi,fork,gimmick,hater,hepat,hodler,holder,hors,human
iter2_cv_split5,abc,gimmick,hater,hepat,hodler,holder,hors,human,igni,import
iter3_cv_split1,abc,feel,financi,gimmick,hater,hepat,hodler,holder,hors,human
iter3_cv_split2,abc,friend,gimmick,hater,hepat,hodler,holder,home,hors,human
iter3_cv_split3,abc,hater,hepat,high,hodler,holder,hors,human,igni,import
iter3_cv_split4,abc,gimmick,guy,hater,hepat,hodler,holder,hors,human,igni
iter3_cv_split5,abc,financi,gimmick,goe,hater,hepat,hodler,holder,hors,human
iter4_cv_split1,abc,gimmick,hater,hepat,high,hodler,holder,hors,human,igni
iter4_cv_split2,abc,gimmick,hater,hepat,hodler,holder,hors,human,igni,import
iter4_cv_split3,abc,financi,gimmick,hater,hepat,hodler,holder,home,hors,human
iter4_cv_split4,abc,friend,gimmick,goe,hater,hepat,hodler,holder,hors,human
iter4_cv_split5,abc,financi,fork,gimmick,hater,hepat,hodler,holder,hors,human
iter5_cv_split1,abc,goe,guy,hater,hepat,hodler,holder,hors,human,igni
iter5_cv_split2,abc,gimmick,hater,hepat,hodler,holder,hors,human,igni,import
iter5_cv_split3,abc,gimmick,hater,hepat,hodler,holder,hope,hors,human,igni
iter5_cv_split4,abc,friend,gimmick,hater,hepat,high,hodler,holder,hors,human
iter5_cv_split5,abc,financi,gimmick,hater,hepat,hodler,holder,home,hors,human
iter6_cv_split1,abc,financi,gimmick,goe,hater,hepat,hodler,holder,hors,human
iter6_cv_split2,abc,fork,gimmick,hater,hepat,hodler,holder,hors,human,igni
iter6_cv_split3,abc,gimmick,hater,hepat,high,hodler,holder,hors,human,igni
iter6_cv_split4,abc,financi,friend,gimmick,hater,hepat,hodler,holder,home,hors
