,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,abov,purchas,pump,pullback,prospect,project,profit,probabl,prior,prime
iter1_cv_split2,aaaand,prospect,proofofstak,project,profit,product,probabl,prime,previous,pressur
iter1_cv_split3,aaaand,purchas,pump,pullback,prospect,proofofstak,project,product,probabl,prior
iter1_cv_split4,aaaand,rebought,readi,read,ralli,quse,quicker,purchas,pump,prospect
iter1_cv_split5,aaaand,pump,pullback,proofofstak,project,profit,product,probabl,prior,prime
iter2_cv_split1,aaaand,probabl,prior,prime,price,previous,pressur,potenti,poteni,pot
iter2_cv_split2,aaaand,purchas,pump,pullback,prospect,project,product,probabl,prior,prime
iter2_cv_split3,aaaand,pullback,prospect,proofofstak,project,profit,product,probabl,prime,price
iter2_cv_split4,abov,purchas,pump,pullback,prospect,proofofstak,project,profit,product,probabl
iter2_cv_split5,aaaand,probabl,prior,prime,price,pressur,potenti,poteni,posw,post
iter3_cv_split1,aaaand,quicker,purchas,pump,pullback,prospect,project,product,probabl,prior
iter3_cv_split2,aaaand,pump,pullback,proofofstak,project,product,probabl,prior,prime,price
iter3_cv_split3,aaaand,proofofstak,project,profit,product,probabl,prior,prime,price,pressur
iter3_cv_split4,abov,quse,quicker,purchas,pump,pullback,prospect,proofofstak,project,profit
iter3_cv_split5,aaaand,proofofstak,project,profit,probabl,prior,prime,price,previous,pressur
iter4_cv_split1,aaaand,prospect,proofofstak,project,profit,product,probabl,prior,prime,price
iter4_cv_split2,aaaand,recent,rebought,readi,read,ralli,quicker,pump,proofofstak,project
iter4_cv_split3,aaaand,proofofstak,project,profit,product,probabl,prior,prime,price,previous
iter4_cv_split4,abov,rebought,read,ralli,quse,quicker,purchas,pump,pullback,prospect
iter4_cv_split5,aaaand,project,product,probabl,prior,prime,previous,pressur,potenti,poteni
iter5_cv_split1,abov,pump,pullback,project,profit,product,probabl,prior,prime,price
iter5_cv_split2,aaaand,project,profit,probabl,prior,prime,previous,pressur,potenti,poteni
iter5_cv_split3,aaaand,ralli,quse,quicker,purchas,pullback,prospect,proofofstak,project,profit
iter5_cv_split4,aaaand,profit,product,probabl,prior,prime,price,previous,pressur,potenti
iter5_cv_split5,aaaand,readi,read,quse,quicker,purchas,pump,prospect,proofofstak,project
iter6_cv_split1,aaaand,purchas,pump,pullback,prospect,proofofstak,project,product,probabl,prior
iter6_cv_split2,aaaand,prospect,proofofstak,project,profit,probabl,prime,price,previous,pressur
iter6_cv_split3,aaaand,quicker,purchas,pump,pullback,prospect,proofofstak,project,profit,product
iter6_cv_split4,aaaand,quicker,purchas,pump,pullback,prospect,project,profit,product,probabl
iter6_cv_split5,abov,recommend,rebought,readi,read,ralli,quicker,pump,proofofstak,project
iter7_cv_split1,aaaand,proofofstak,project,profit,probabl,prior,prime,previous,pressur,potenti
iter7_cv_split2,aaaand,quicker,purchas,pump,pullback,prospect,proofofstak,project,profit,product
iter7_cv_split3,aaaand,quse,quicker,purchas,pump,prospect,proofofstak,project,profit,product
iter7_cv_split4,abov,prospect,proofofstak,project,profit,product,probabl,prior,prime,price
iter7_cv_split5,aaaand,ralli,quicker,pump,pullback,project,product,probabl,prime,previous
iter8_cv_split1,abov,quse,quicker,purchas,pump,pullback,prospect,proofofstak,project,profit
iter8_cv_split2,aaaand,quse,quicker,purchas,pump,pullback,prospect,project,profit,product
iter8_cv_split3,aaaand,profit,product,probabl,prior,prime,previous,pressur,potenti,poteni
iter8_cv_split4,aaaand,project,profit,product,probabl,prime,price,previous,pressur,potenti
iter8_cv_split5,aaaand,purchas,pump,prospect,proofofstak,project,probabl,prior,prime,price
iter9_cv_split1,aaaand,quicker,purchas,prospect,proofofstak,project,product,probabl,prior,prime
iter9_cv_split2,aaaand,read,ralli,quse,quicker,purchas,pump,prospect,proofofstak,project
iter9_cv_split3,aaaand,probabl,prime,previous,pressur,potenti,poteni,pot,posw,post
iter9_cv_split4,aaaand,project,profit,probabl,prior,prime,previous,pressur,potenti,poteni
iter9_cv_split5,abov,recent,rebought,read,ralli,quse,quicker,purchas,pump,pullback
iter10_cv_split1,abov,readi,read,ralli,quse,quicker,purchas,pump,pullback,prospect
iter10_cv_split2,aaaand,quse,quicker,purchas,pump,prospect,proofofstak,project,product,probabl
iter10_cv_split3,aaaand,profit,product,probabl,prime,price,previous,pressur,potenti,pot
iter10_cv_split4,aaaand,pullback,prospect,project,profit,prior,prime,previous,pressur,potenti
iter10_cv_split5,aaaand,project,profit,product,probabl,prior,prime,price,previous,pressur
iter11_cv_split1,abov,purchas,pump,pullback,prospect,project,profit,product,probabl,prior
iter11_cv_split2,aaaand,previous,pressur,potenti,pot,posw,post,possibl,posit,portfolio
iter11_cv_split3,aaaand,read,ralli,quicker,pump,pullback,proofofstak,project,profit,product
iter11_cv_split4,aaaand,profit,probabl,prior,prime,price,previous,pressur,potenti,poteni
iter11_cv_split5,aaaand,pullback,prospect,proofofstak,project,profit,product,probabl,prior,prime
iter12_cv_split1,aaaand,profit,probabl,prior,prime,price,previous,pressur,potenti,poteni
iter12_cv_split2,aaaand,proofofstak,project,profit,product,prime,previous,pressur,potenti,poteni
iter12_cv_split3,aaaand,project,product,probabl,prior,prime,price,previous,pressur,potenti
iter12_cv_split4,abov,pullback,prospect,proofofstak,project,profit,product,probabl,prior,pump
iter12_cv_split5,aaaand,quse,quicker,purchas,pump,prospect,proofofstak,project,product,probabl
iter13_cv_split1,aaaand,prospect,project,profit,product,probabl,prior,prime,price,previous
iter13_cv_split2,aaaand,recent,rebought,readi,read,ralli,quicker,pump,pullback,proofofstak
iter13_cv_split3,abov,rebought,readi,read,quse,quicker,purchas,pump,pullback,prospect
iter13_cv_split4,aaaand,proofofstak,project,product,probabl,prior,prime,previous,pressur,potenti
iter13_cv_split5,aaaand,project,profit,product,probabl,prior,prime,price,previous,pressur
iter14_cv_split1,aaaand,recommend,rebought,readi,read,ralli,quicker,pump,pullback,proofofstak
iter14_cv_split2,aaaand,project,profit,product,probabl,prime,price,previous,pressur,potenti
iter14_cv_split3,aaaand,purchas,pump,prospect,proofofstak,project,profit,product,prior,prime
iter14_cv_split4,aaaand,product,probabl,prior,prime,price,previous,pressur,potenti,poteni
iter14_cv_split5,abov,purchas,pump,pullback,prospect,project,profit,product,probabl,prior
iter15_cv_split1,aaaand,product,probabl,prior,prime,price,previous,pressur,poteni,pot
iter15_cv_split2,aaaand,recommend,rebought,readi,read,ralli,quicker,pump,pullback,project
iter15_cv_split3,aaaand,pump,pullback,prospect,project,product,prime,price,previous,pressur
iter15_cv_split4,abov,quicker,purchas,pump,prospect,proofofstak,project,profit,product,probabl
iter15_cv_split5,aaaand,pullback,prospect,proofofstak,project,profit,product,probabl,prior,prime
iter16_cv_split1,abov,quse,quicker,purchas,pump,prospect,proofofstak,project,profit,probabl
iter16_cv_split2,aaaand,pump,pullback,prospect,proofofstak,project,profit,product,probabl,prior
iter16_cv_split3,aaaand,proofofstak,project,product,probabl,prime,previous,pressur,potenti,poteni
iter16_cv_split4,aaaand,read,ralli,quse,purchas,pump,pullback,prospect,project,product
iter16_cv_split5,aaaand,probabl,prior,prime,price,pressur,potenti,poteni,pot,posw
iter17_cv_split1,aaaand,pump,prospect,proofofstak,project,product,probabl,prior,prime,price
iter17_cv_split2,abov,prospect,proofofstak,project,profit,product,probabl,prior,prime,price
iter17_cv_split3,aaaand,ralli,quicker,pump,pullback,project,product,probabl,prime,price
iter17_cv_split4,aaaand,quicker,purchas,pump,prospect,proofofstak,project,profit,product,prior
iter17_cv_split5,aaaand,probabl,prior,prime,price,previous,pressur,potenti,poteni,pot
iter18_cv_split1,aaaand,pullback,prospect,project,profit,product,probabl,prior,prime,price
iter18_cv_split2,aaaand,probabl,prior,prime,previous,pressur,potenti,poteni,pot,posw
iter18_cv_split3,aaaand,purchas,pump,pullback,prospect,proofofstak,project,profit,probabl,prior
iter18_cv_split4,aaaand,purchas,pump,pullback,prospect,proofofstak,project,profit,product,probabl
iter18_cv_split5,abov,quicker,pump,pullback,proofofstak,project,profit,product,prime,price
iter19_cv_split1,aaaand,product,probabl,prior,prime,price,previous,pressur,potenti,poteni
iter19_cv_split2,aaaand,proofofstak,project,profit,probabl,prime,price,previous,pressur,potenti
iter19_cv_split3,aaaand,pump,proofofstak,project,profit,product,probabl,prior,prime,previous
iter19_cv_split4,abov,read,ralli,quse,quicker,purchas,pump,pullback,prospect,proofofstak
iter19_cv_split5,aaaand,read,ralli,quse,purchas,pump,prospect,proofofstak,project,profit
iter20_cv_split1,aaaand,proofofstak,project,profit,probabl,prior,prime,price,pressur,potenti
iter20_cv_split2,aaaand,quse,quicker,purchas,pump,pullback,prospect,project,profit,product
iter20_cv_split3,aaaand,recommend,rebought,readi,ralli,quicker,pump,proofofstak,project,profit
iter20_cv_split4,abov,prospect,proofofstak,project,profit,product,probabl,prior,prime,previous
iter20_cv_split5,aaaand,prospect,proofofstak,project,profit,product,probabl,prime,price,previous
iter21_cv_split1,aaaand,pump,pullback,prospect,project,profit,product,probabl,prior,prime
iter21_cv_split2,aaaand,price,previous,pressur,potenti,poteni,pot,post,possibl,posit
iter21_cv_split3,aaaand,proofofstak,project,product,probabl,prior,prime,price,previous,pressur
iter21_cv_split4,abov,ralli,quse,quicker,purchas,pump,prospect,proofofstak,project,product
iter21_cv_split5,aaaand,quse,quicker,purchas,pump,prospect,proofofstak,project,profit,product
iter22_cv_split1,aaaand,quicker,pump,pullback,proofofstak,project,profit,probabl,prior,prime
iter22_cv_split2,aaaand,quicker,purchas,pump,prospect,project,profit,product,probabl,prior
iter22_cv_split3,abov,recov,recommend,recent,rebought,readi,read,ralli,quse,quicker
iter22_cv_split4,aaaand,pullback,prospect,proofofstak,project,profit,product,probabl,prior,prime
iter22_cv_split5,aaaand,project,profit,product,probabl,prime,price,previous,pressur,potenti
iter23_cv_split1,aaaand,price,previous,pressur,potenti,poteni,pot,posw,post,possibl
iter23_cv_split2,abov,ralli,quicker,pump,proofofstak,project,product,probabl,prior,prime
iter23_cv_split3,aaaand,read,ralli,quse,quicker,purchas,pump,prospect,proofofstak,project
iter23_cv_split4,aaaand,proofofstak,project,profit,product,prior,prime,price,previous,pressur
iter23_cv_split5,aaaand,pump,pullback,prospect,proofofstak,project,profit,product,probabl,prior
iter24_cv_split1,aaaand,pullback,proofofstak,project,profit,product,probabl,prior,prime,price
iter24_cv_split2,aaaand,proofofstak,project,profit,product,probabl,prior,prime,price,previous
iter24_cv_split3,aaaand,purchas,pump,pullback,prospect,proofofstak,project,profit,product,probabl
iter24_cv_split4,abov,project,profit,probabl,prior,prime,price,previous,pressur,potenti
iter24_cv_split5,aaaand,readi,read,quse,quicker,purchas,pump,prospect,project,profit
iter25_cv_split1,abov,read,quse,quicker,purchas,pump,pullback,prospect,proofofstak,project
iter25_cv_split2,aaaand,ralli,quse,quicker,purchas,pump,prospect,proofofstak,project,product
iter25_cv_split3,aaaand,product,probabl,prior,prime,price,previous,pressur,potenti,poteni
iter25_cv_split4,aaaand,readi,read,ralli,quse,quicker,purchas,pump,pullback,prospect
iter25_cv_split5,aaaand,price,previous,pressur,potenti,poteni,pot,posw,post,possibl
iter26_cv_split1,abov,proofofstak,project,profit,product,probabl,prior,prime,price,previous
iter26_cv_split2,aaaand,prospect,project,product,probabl,prime,price,previous,pressur,potenti
iter26_cv_split3,aaaand,readi,read,ralli,quicker,pump,proofofstak,project,product,probabl
iter26_cv_split4,aaaand,quse,quicker,purchas,pump,pullback,prospect,proofofstak,project,profit
iter26_cv_split5,aaaand,purchas,pump,prospect,proofofstak,project,profit,probabl,prior,prime
iter27_cv_split1,aaaand,profit,product,probabl,prior,prime,price,previous,pressur,potenti
iter27_cv_split2,aaaand,ralli,quicker,pump,proofofstak,project,profit,product,probabl,prime
iter27_cv_split3,aaaand,product,probabl,prior,prime,price,previous,pressur,potenti,poteni
iter27_cv_split4,abov,recommend,rebought,read,ralli,quse,quicker,purchas,pump,pullback
iter27_cv_split5,aaaand,purchas,pump,prospect,proofofstak,project,profit,product,prior,prime
iter28_cv_split1,aaaand,prospect,proofofstak,project,profit,probabl,prior,prime,price,previous
iter28_cv_split2,aaaand,proofofstak,project,profit,product,probabl,prior,prime,price,previous
iter28_cv_split3,aaaand,pullback,prospect,project,product,probabl,prior,prime,price,previous
iter28_cv_split4,aaaand,readi,read,ralli,quicker,pump,pullback,proofofstak,project,profit
iter28_cv_split5,abov,read,ralli,quse,quicker,purchas,pump,prospect,proofofstak,project
iter29_cv_split1,aaaand,quicker,purchas,pump,pullback,prospect,project,profit,product,probabl
iter29_cv_split2,aaaand,project,profit,product,prior,prime,price,previous,pressur,potenti
iter29_cv_split3,abov,quicker,purchas,pump,pullback,prospect,proofofstak,project,profit,probabl
