,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,need,let,cheap,mil,masternod,dot,high,decent,bullish,undervalu
iter1_cv_split2,need,cheap,watch,close,dot,final,mil,masternod,high,area
iter1_cv_split3,let,need,cheap,close,watch,final,high,bought,area,escal
iter1_cv_split4,need,let,close,mil,masternod,watch,dot,final,good,hold
iter1_cv_split5,let,masternod,mil,cheap,close,final,watch,bought,area,dot
iter2_cv_split1,need,cheap,close,watch,dot,masternod,mil,final,area,red
iter2_cv_split2,need,let,cheap,mil,masternod,close,watch,bought,high,updat
iter2_cv_split3,need,let,close,watch,dot,final,high,hold,good,undervalu
iter2_cv_split4,let,cheap,masternod,mil,close,watch,final,high,dot,escal
iter2_cv_split5,need,let,mil,masternod,dot,cheap,good,high,bullish,undervalu
iter3_cv_split1,cheap,final,high,mil,masternod,dot,escal,bullish,area,hold
iter3_cv_split2,need,let,close,watch,mil,masternod,cheap,dot,high,bought
iter3_cv_split3,need,let,cheap,close,watch,dot,final,high,area,bought
iter3_cv_split4,need,let,cheap,masternod,mil,dot,close,watch,high,final
iter3_cv_split5,need,let,masternod,mil,close,watch,final,bullish,escal,high
iter4_cv_split1,need,let,cheap,mil,masternod,dot,final,area,good,bought
iter4_cv_split2,need,let,close,watch,mil,masternod,dot,high,escal,hold
iter4_cv_split3,need,let,cheap,close,watch,mil,masternod,dot,final,high
iter4_cv_split4,cheap,close,watch,high,final,mil,masternod,bought,escal,updat
iter4_cv_split5,need,let,cheap,close,dot,watch,final,area,high,hold
iter5_cv_split1,need,let,close,masternod,mil,cheap,watch,dot,bought,escal
iter5_cv_split2,need,let,cheap,close,watch,mil,masternod,dot,high,area
iter5_cv_split3,need,dot,high,mil,masternod,final,red,bullish,good,bought
iter5_cv_split4,let,need,cheap,high,bought,final,close,watch,bullish,escal
iter5_cv_split5,let,cheap,close,masternod,mil,watch,final,area,month,dot
iter6_cv_split1,let,cheap,mil,masternod,close,watch,high,final,hold,good
iter6_cv_split2,let,need,cheap,close,watch,area,final,decent,bought,escal
iter6_cv_split3,need,let,masternod,mil,dot,good,high,undervalu,bullish,escal
iter6_cv_split4,need,cheap,close,watch,dot,mil,final,masternod,area,high
iter6_cv_split5,need,let,cheap,masternod,mil,dot,close,final,bought,high
iter7_cv_split1,need,close,watch,cheap,mil,masternod,decent,red,high,bullish
iter7_cv_split2,need,let,cheap,masternod,mil,dot,watch,close,bought,high
iter7_cv_split3,need,let,cheap,mil,masternod,dot,final,area,good,high
iter7_cv_split4,need,let,cheap,close,watch,masternod,mil,dot,final,decent
iter7_cv_split5,let,close,watch,high,final,dot,hold,escal,septemb,undervalu
iter8_cv_split1,need,let,mil,masternod,dot,final,high,good,escal,hold
iter8_cv_split2,need,let,cheap,close,masternod,mil,watch,dot,area,final
iter8_cv_split3,need,cheap,close,watch,final,area,high,decent,hold,red
iter8_cv_split4,need,let,cheap,mil,masternod,close,watch,dot,high,bought
iter8_cv_split5,let,cheap,close,mil,masternod,watch,final,dot,area,escal
iter9_cv_split1,need,let,masternod,mil,final,high,hold,bullish,good,escal
iter9_cv_split2,need,cheap,dot,bought,close,high,final,watch,decent,area
iter9_cv_split3,need,let,cheap,close,masternod,mil,dot,watch,final,area
iter9_cv_split4,need,let,close,cheap,watch,mil,masternod,dot,bought,high
iter9_cv_split5,let,cheap,close,masternod,mil,watch,final,high,area,dot
iter10_cv_split1,let,close,watch,final,bought,area,bullish,escal,high,dot
iter10_cv_split2,need,let,cheap,close,watch,mil,masternod,dot,final,area
iter10_cv_split3,need,let,cheap,mil,masternod,dot,high,area,final,escal
iter10_cv_split4,need,cheap,watch,close,dot,final,mil,masternod,high,area
iter10_cv_split5,need,let,mil,masternod,cheap,close,watch,bought,high,escal
iter11_cv_split1,let,cheap,close,mil,masternod,watch,final,high,dot,bought
iter11_cv_split2,need,let,mil,watch,close,masternod,dot,high,bought,hold
iter11_cv_split3,need,cheap,dot,mil,masternod,final,close,hold,watch,high
iter11_cv_split4,let,need,cheap,close,watch,final,area,high,decent,bought
iter11_cv_split5,need,let,cheap,masternod,mil,dot,final,high,area,good
iter12_cv_split1,need,close,cheap,watch,dot,masternod,mil,bought,high,decent
iter12_cv_split2,let,cheap,final,area,high,good,dot,bought,hold,escal
iter12_cv_split3,need,let,cheap,watch,close,mil,masternod,dot,final,high
iter12_cv_split4,need,let,cheap,masternod,mil,close,watch,bought,final,high
iter12_cv_split5,need,let,mil,masternod,close,dot,watch,high,final,good
iter13_cv_split1,need,let,masternod,mil,close,bought,watch,high,escal,bullish
iter13_cv_split2,let,cheap,close,mil,masternod,watch,high,bought,area,final
iter13_cv_split3,need,let,cheap,close,watch,mil,masternod,dot,final,area
iter13_cv_split4,need,cheap,close,watch,dot,mil,masternod,final,high,area
iter13_cv_split5,need,let,cheap,dot,high,escal,bought,good,undervalu,bullish
iter14_cv_split1,need,cheap,dot,final,mil,masternod,high,decent,area,bought
iter14_cv_split2,need,let,watch,close,masternod,mil,dot,final,good,high
iter14_cv_split3,need,let,close,cheap,watch,mil,masternod,dot,high,bullish
iter14_cv_split4,let,cheap,high,bought,close,watch,escal,final,area,bullish
iter14_cv_split5,need,let,cheap,mil,masternod,close,watch,dot,final,area
iter15_cv_split1,need,let,cheap,close,watch,mil,masternod,final,area,decent
iter15_cv_split2,let,close,cheap,masternod,mil,watch,high,dot,hold,bought
iter15_cv_split3,need,close,watch,dot,masternod,mil,high,red,bullish,hold
