,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,came,market,total,far,accumul,escap,hope,downtrend,declin,check
iter1_cv_split2,came,far,escap,market,exit,downtrend,hope,accumul,price,check
iter1_cv_split3,came,market,far,escap,hope,total,cap,accumul,price,continu
iter1_cv_split4,came,total,price,market,far,escap,hope,littl,downtrend,exit
iter1_cv_split5,came,total,market,far,escap,accumul,continu,hope,downtrend,exit
iter2_cv_split1,came,far,escap,market,exit,downtrend,hope,accumul,price,littl
iter2_cv_split2,came,total,far,market,continu,hope,escap,accumul,exit,price
iter2_cv_split3,came,market,far,price,escap,cap,total,declin,hope,accumul
iter2_cv_split4,came,total,market,far,escap,hope,accumul,downtrend,exit,continu
iter2_cv_split5,came,total,market,far,escap,accumul,downtrend,check,littl,hope
iter3_cv_split1,came,far,market,escap,downtrend,exit,hope,price,accumul,grab
iter3_cv_split2,came,total,market,far,accumul,declin,hope,escap,exit,hamp
iter3_cv_split3,came,market,far,escap,accumul,cap,total,price,hope,downtrend
iter3_cv_split4,came,total,market,far,escap,hope,check,exit,continu,littl
iter3_cv_split5,came,total,market,price,far,escap,hope,downtrend,exit,scenario
iter4_cv_split1,came,total,market,far,escap,hope,check,hamp,grab,exit
iter4_cv_split2,came,total,market,far,price,escap,hope,check,accumul,downtrend
iter4_cv_split3,came,market,total,far,escap,hope,declin,littl,downtrend,accumul
iter4_cv_split4,came,far,escap,market,downtrend,exit,accumul,hope,continu,price
iter4_cv_split5,came,market,far,accumul,escap,littl,downtrend,cap,total,check
iter5_cv_split1,came,total,market,far,accumul,escap,hope,check,downtrend,littl
iter5_cv_split2,came,total,market,far,hope,escap,continu,littl,accumul,check
iter5_cv_split3,came,price,far,market,escap,declin,exit,downtrend,hope,accumul
iter5_cv_split4,market,came,far,escap,cap,total,hope,accumul,downtrend,hamp
iter5_cv_split5,came,market,total,far,escap,downtrend,continu,hope,exit,accumul
iter6_cv_split1,came,total,market,escap,far,downtrend,accumul,continu,hope,price
iter6_cv_split2,came,market,far,accumul,hope,escap,cap,total,downtrend,price
iter6_cv_split3,came,total,market,far,escap,hope,downtrend,littl,price,continu
iter6_cv_split4,came,far,market,escap,accumul,exit,downtrend,hope,littl,continu
iter6_cv_split5,came,total,far,market,escap,hope,accumul,grab,exit,declin
iter7_cv_split1,came,market,escap,far,downtrend,exit,accumul,continu,total,scenario
iter7_cv_split2,came,far,total,market,hope,escap,littl,accumul,exit,grab
iter7_cv_split3,came,market,total,far,accumul,escap,hope,littl,check,downtrend
iter7_cv_split4,came,total,market,far,escap,price,accumul,declin,hope,downtrend
iter7_cv_split5,came,market,price,far,escap,hope,cap,total,downtrend,continu
iter8_cv_split1,came,total,market,far,price,escap,hope,check,accumul,exit
iter8_cv_split2,came,total,market,far,escap,hope,continu,littl,check,downtrend
iter8_cv_split3,came,market,far,escap,accumul,downtrend,hope,price,scenario,optimist
iter8_cv_split4,came,total,market,far,accumul,declin,escap,downtrend,littl,hope
iter8_cv_split5,came,market,total,far,escap,hope,downtrend,continu,price,accumul
iter9_cv_split1,came,total,market,far,price,escap,hope,continu,downtrend,exit
iter9_cv_split2,came,market,far,escap,hope,downtrend,accumul,price,check,declin
iter9_cv_split3,came,total,market,far,check,accumul,escap,downtrend,hope,exit
iter9_cv_split4,came,total,far,market,accumul,escap,hope,declin,continu,downtrend
iter9_cv_split5,came,total,market,far,escap,accumul,hope,downtrend,exit,continu
iter10_cv_split1,came,market,price,escap,far,accumul,total,cap,downtrend,resist
iter10_cv_split2,came,market,far,total,escap,hope,price,accumul,exit,downtrend
iter10_cv_split3,came,market,total,far,hope,downtrend,escap,accumul,price,exit
iter10_cv_split4,came,far,escap,market,exit,accumul,downtrend,hope,price,check
iter10_cv_split5,came,total,market,far,escap,continu,hope,accumul,downtrend,exit
iter11_cv_split1,came,total,market,far,escap,hope,accumul,downtrend,exit,price
iter11_cv_split2,came,total,market,far,declin,escap,hope,continu,littl,exit
iter11_cv_split3,came,far,escap,exit,market,accumul,check,hope,littl,continu
iter11_cv_split4,came,market,far,accumul,escap,hope,cap,total,downtrend,continu
iter11_cv_split5,came,market,total,far,escap,downtrend,hope,price,accumul,exit
iter12_cv_split1,came,far,accumul,market,escap,declin,exit,downtrend,hope,littl
iter12_cv_split2,came,market,far,escap,hope,total,cap,downtrend,price,continu
iter12_cv_split3,came,total,market,far,escap,continu,check,accumul,hope,downtrend
iter12_cv_split4,came,total,far,market,escap,hope,accumul,continu,exit,grab
iter12_cv_split5,came,total,market,price,far,escap,hope,downtrend,check,littl
iter13_cv_split1,came,total,far,price,market,escap,hope,continu,exit,scenario
iter13_cv_split2,came,total,market,far,escap,downtrend,hope,accumul,exit,price
iter13_cv_split3,came,total,market,far,escap,hope,littl,declin,exit,accumul
iter13_cv_split4,came,far,escap,market,exit,downtrend,hope,continu,littl,price
iter13_cv_split5,came,market,accumul,far,escap,total,cap,hope,downtrend,continu
iter14_cv_split1,came,far,market,escap,exit,downtrend,accumul,hope,declin,price
iter14_cv_split2,came,total,market,far,price,escap,hope,check,downtrend,littl
iter14_cv_split3,came,total,market,accumul,far,escap,check,downtrend,littl,hope
iter14_cv_split4,came,market,far,escap,cap,total,accumul,downtrend,hope,continu
iter14_cv_split5,came,far,total,market,escap,hope,littl,accumul,check,downtrend
iter15_cv_split1,came,total,market,far,escap,hope,price,accumul,downtrend,exit
iter15_cv_split2,came,total,market,far,accumul,escap,hope,downtrend,continu,exit
iter15_cv_split3,came,far,price,escap,market,exit,downtrend,hope,check,accumul
iter15_cv_split4,came,total,market,far,declin,escap,continu,hope,downtrend,exit
iter15_cv_split5,came,market,far,escap,hope,accumul,cap,total,downtrend,littl
iter16_cv_split1,came,total,market,far,escap,hope,accumul,continu,downtrend,check
iter16_cv_split2,came,market,total,far,accumul,hope,escap,continu,exit,downtrend
iter16_cv_split3,came,price,far,escap,market,exit,downtrend,hope,total,accumul
iter16_cv_split4,came,cap,total,market,far,escap,accumul,downtrend,price,scenario
iter16_cv_split5,came,total,far,market,hope,escap,accumul,continu,downtrend,exit
iter17_cv_split1,came,market,price,far,escap,littl,cap,total,hope,downtrend
iter17_cv_split2,came,total,market,far,escap,hope,downtrend,exit,price,accumul
iter17_cv_split3,came,far,escap,market,exit,downtrend,hope,accumul,total,price
iter17_cv_split4,came,total,market,far,accumul,escap,hope,downtrend,grab,hamp
iter17_cv_split5,came,total,far,market,escap,check,hope,accumul,continu,price
iter18_cv_split1,came,far,market,escap,downtrend,exit,hope,check,level,total
iter18_cv_split2,came,total,far,market,declin,escap,hope,accumul,exit,littl
