,full_test_accs,full_test_aucs,full_test_fns,full_test_fps,full_test_null_accs,full_test_tns,full_test_tps,full_train_accs,full_train_aucs,full_train_fns,full_train_fps,full_train_null_accs,full_train_tns,full_train_tps
iter1_cv_split1,0.9814814814814815,1.0,1,0,0.5,27,26,0.9903846153846154,0.9992603550295858,2,0,0.5,104,102
iter1_cv_split2,0.9807692307692307,0.9852071005917159,1,0,0.5,26,25,0.9952380952380953,0.9992743764172336,1,0,0.5,105,104
iter1_cv_split3,0.9615384615384616,0.9985207100591715,2,0,0.5,26,24,0.9904761904761905,0.9994557823129252,2,0,0.5,105,103
iter1_cv_split4,0.9807692307692307,0.9940828402366865,1,0,0.5,26,25,0.9904761904761905,0.9994557823129252,2,0,0.5,105,103
iter1_cv_split5,0.9230769230769231,0.9674556213017751,4,0,0.5,26,22,0.9952380952380953,0.9990022675736961,1,0,0.5,105,104
iter2_cv_split1,0.8518518518518519,0.9204389574759945,3,5,0.5,22,24,0.9903846153846154,0.9988905325443787,2,0,0.5,104,102
iter2_cv_split2,0.9423076923076923,0.9644970414201184,3,0,0.5,26,23,0.9952380952380953,0.9996371882086168,1,0,0.5,105,104
iter2_cv_split3,1.0,1.0,0,0,0.5,26,26,0.9904761904761905,0.9994557823129251,2,0,0.5,105,103
iter2_cv_split4,0.9807692307692307,1.0,1,0,0.5,26,25,0.9904761904761905,0.9990929705215419,2,0,0.5,105,103
iter2_cv_split5,0.9615384615384616,0.9852071005917159,2,0,0.5,26,24,0.9952380952380953,0.9993650793650793,1,0,0.5,105,104
iter3_cv_split1,0.9629629629629629,0.99039780521262,2,0,0.5,27,25,0.9903846153846154,0.9994452662721893,2,0,0.5,104,102
iter3_cv_split2,0.9615384615384616,1.0,2,0,0.5,26,24,0.9904761904761905,0.9990929705215419,2,0,0.5,105,103
iter3_cv_split3,1.0,1.0,0,0,0.5,26,26,0.9904761904761905,0.9990929705215419,2,0,0.5,105,103
iter3_cv_split4,0.9423076923076923,0.9644970414201185,3,0,0.5,26,23,0.9952380952380953,0.999002267573696,1,0,0.5,105,104
iter3_cv_split5,0.9423076923076923,0.9837278106508875,3,0,0.5,26,23,0.9952380952380953,0.9992743764172336,1,0,0.5,105,104
iter4_cv_split1,1.0,1.0,0,0,0.5,27,27,0.9903846153846154,0.9990754437869822,2,0,0.5,104,102
iter4_cv_split2,0.9615384615384616,1.0,2,0,0.5,26,24,0.9904761904761905,0.9998185941043083,2,0,0.5,105,103
iter4_cv_split3,0.9615384615384616,0.9792899408284024,2,0,0.5,26,24,0.9952380952380953,0.9996371882086167,1,0,0.5,105,104
iter4_cv_split4,0.8846153846153846,0.9955621301775147,6,0,0.5,26,20,0.9904761904761905,0.999546485260771,2,0,0.5,105,103
iter4_cv_split5,0.9615384615384616,0.9674556213017751,2,0,0.5,26,24,0.9952380952380953,0.9992743764172335,1,0,0.5,105,104
iter5_cv_split1,0.9074074074074074,0.9423868312757201,5,0,0.5,27,22,1.0,1.0,0,0,0.5,104,104
iter5_cv_split2,0.9807692307692307,0.9985207100591715,1,0,0.5,26,25,0.9904761904761905,0.9990929705215419,2,0,0.5,105,103
iter5_cv_split3,0.9230769230769231,0.9215976331360947,1,3,0.5,23,25,0.9904761904761905,0.9992743764172335,2,0,0.5,105,103
iter5_cv_split4,0.8846153846153846,0.9881656804733727,2,4,0.5,22,24,0.9857142857142858,0.999092970521542,2,1,0.5,104,103
iter5_cv_split5,0.9615384615384616,0.9985207100591716,2,0,0.5,26,24,0.9904761904761905,0.999092970521542,2,0,0.5,105,103
