,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,far,came,market,hope,hamp,escap,resist,want,price,accumul
iter1_cv_split2,came,far,escap,hope,price,hamp,downtrend,market,grab,continu
iter1_cv_split3,came,far,market,hope,hamp,escap,total,scenario,price,grab
iter1_cv_split4,came,market,far,escap,hope,hamp,accumul,price,downtrend,resist
iter1_cv_split5,came,far,price,escap,hope,market,downtrend,hamp,grab,continu
iter2_cv_split1,came,far,market,price,hope,hamp,escap,grab,downtrend,total
iter2_cv_split2,market,far,came,escap,hope,downtrend,hamp,price,accumul,resist
iter2_cv_split3,far,came,market,price,hope,hamp,escap,journey,exit,total
iter2_cv_split4,came,far,market,hope,hamp,continu,escap,total,grab,price
iter2_cv_split5,came,far,escap,hope,hamp,downtrend,price,accumul,total,grab
iter3_cv_split1,market,far,came,hope,price,escap,accumul,hamp,downtrend,grab
iter3_cv_split2,came,far,market,hope,hamp,escap,total,price,downtrend,grab
iter3_cv_split3,came,far,hamp,market,hope,price,escap,total,resist,continu
iter3_cv_split4,came,far,escap,market,hope,hamp,downtrend,price,grab,journey
iter3_cv_split5,came,far,price,escap,hope,market,hamp,continu,downtrend,accumul
iter4_cv_split1,came,far,market,hope,escap,hamp,resist,downtrend,exit,journey
iter4_cv_split2,came,far,hope,market,hamp,escap,price,continu,total,accumul
iter4_cv_split3,far,came,escap,market,price,hamp,downtrend,hope,exit,total
iter4_cv_split4,came,far,market,price,hope,hamp,escap,grab,downtrend,scenario
iter4_cv_split5,came,far,escap,hamp,accumul,market,hope,downtrend,price,grab
iter5_cv_split1,came,far,escap,market,hamp,downtrend,hope,continu,exit,price
iter5_cv_split2,came,market,far,hope,escap,downtrend,price,hamp,grab,accumul
iter5_cv_split3,came,far,price,market,hamp,escap,hope,resist,total,accumul
iter5_cv_split4,far,came,market,hope,escap,hamp,price,grab,accumul,resist
iter5_cv_split5,came,far,market,hope,hamp,escap,total,price,scenario,journey
iter6_cv_split1,came,market,far,price,hope,hamp,escap,resist,accumul,grab
iter6_cv_split2,came,market,far,hope,escap,hamp,price,total,grab,scenario
iter6_cv_split3,came,far,market,escap,hope,hamp,continu,total,price,accumul
iter6_cv_split4,came,far,hamp,escap,market,hope,price,accumul,grab,downtrend
iter6_cv_split5,came,far,escap,downtrend,hope,hamp,market,price,accumul,continu
iter7_cv_split1,far,came,market,hamp,hope,price,escap,accumul,downtrend,grab
iter7_cv_split2,came,far,hope,escap,market,resist,downtrend,hamp,price,grab
iter7_cv_split3,came,far,market,hope,escap,hamp,price,downtrend,exit,continu
iter7_cv_split4,came,far,market,hope,hamp,price,escap,total,exit,grab
iter7_cv_split5,came,far,escap,price,market,hamp,hope,downtrend,total,grab
iter8_cv_split1,came,far,market,hope,hamp,escap,price,total,grab,exit
iter8_cv_split2,came,far,market,hope,escap,hamp,accumul,downtrend,grab,continu
iter8_cv_split3,came,far,price,market,hope,resist,escap,hamp,total,continu
iter8_cv_split4,came,far,market,escap,hamp,price,downtrend,scenario,hope,grab
iter8_cv_split5,came,far,escap,downtrend,hope,market,price,hamp,resist,total
iter9_cv_split1,came,far,market,hope,hamp,escap,price,grab,downtrend,resist
iter9_cv_split2,came,far,escap,hamp,hope,market,downtrend,total,journey,grab
iter9_cv_split3,came,far,market,hope,hamp,escap,price,downtrend,accumul,continu
iter9_cv_split4,came,far,escap,market,hamp,hope,downtrend,price,total,accumul
iter9_cv_split5,came,far,price,market,escap,hope,hamp,accumul,exit,downtrend
iter10_cv_split1,far,market,came,hope,accumul,escap,resist,price,hamp,downtrend
iter10_cv_split2,came,far,hope,market,hamp,escap,price,grab,scenario,continu
iter10_cv_split3,came,far,market,hamp,hope,escap,total,price,grab,continu
iter10_cv_split4,far,market,came,price,escap,hope,hamp,downtrend,continu,accumul
iter10_cv_split5,came,far,escap,hope,downtrend,hamp,price,market,total,grab
iter11_cv_split1,came,market,far,hope,hamp,escap,resist,scenario,grab,price
iter11_cv_split2,came,far,market,escap,accumul,hamp,hope,price,downtrend,total
iter11_cv_split3,came,far,market,escap,hope,price,hamp,total,downtrend,continu
iter11_cv_split4,came,far,escap,market,price,hope,downtrend,hamp,exit,continu
iter11_cv_split5,came,far,escap,hope,price,hamp,market,downtrend,grab,start
iter12_cv_split1,came,price,far,market,hope,hamp,escap,continu,total,downtrend
iter12_cv_split2,came,far,market,escap,hope,hamp,downtrend,price,total,journey
iter12_cv_split3,far,market,came,hope,hamp,escap,accumul,price,grab,journey
iter12_cv_split4,came,far,market,escap,hamp,hope,total,price,continu,grab
iter12_cv_split5,far,escap,came,market,resist,hope,downtrend,hamp,price,exit
iter13_cv_split1,came,far,market,hope,accumul,price,total,escap,hamp,scenario
iter13_cv_split2,came,far,market,escap,price,hope,hamp,continu,grab,downtrend
iter13_cv_split3,came,far,market,hope,hamp,escap,downtrend,total,price,grab
iter13_cv_split4,came,far,market,hope,price,escap,hamp,grab,downtrend,exit
iter13_cv_split5,came,far,escap,hamp,downtrend,hope,resist,price,market,continu
iter14_cv_split1,far,market,came,price,hamp,hope,escap,grab,paus,downtrend
iter14_cv_split2,came,far,market,hope,hamp,escap,accumul,price,downtrend,total
iter14_cv_split3,came,far,market,price,hope,escap,hamp,accumul,total,grab
iter14_cv_split4,came,far,escap,market,downtrend,hope,hamp,price,accumul,continu
iter14_cv_split5,came,far,market,escap,hope,hamp,resist,downtrend,total,scenario
iter15_cv_split1,came,far,market,hope,escap,total,hamp,accumul,price,downtrend
iter15_cv_split2,far,came,hamp,hope,market,escap,grab,scenario,price,downtrend
iter15_cv_split3,came,far,market,hope,hamp,escap,price,total,downtrend,volum
iter15_cv_split4,came,far,market,escap,hope,hamp,price,continu,downtrend,accumul
iter15_cv_split5,came,far,price,market,escap,hamp,hope,downtrend,resist,continu
iter16_cv_split1,came,far,market,hope,hamp,price,escap,total,journey,exit
iter16_cv_split2,came,far,escap,hope,market,hamp,downtrend,price,grab,accumul
iter16_cv_split3,came,far,market,price,escap,hope,hamp,downtrend,grab,continu
iter16_cv_split4,far,came,market,hamp,escap,resist,hope,price,downtrend,scenario
iter16_cv_split5,came,far,market,hope,escap,hamp,continu,price,downtrend,total
iter17_cv_split1,came,far,hope,escap,market,hamp,price,downtrend,grab,journey
iter17_cv_split2,came,far,price,market,hope,resist,escap,hamp,downtrend,exit
iter17_cv_split3,came,far,market,hope,hamp,escap,price,continu,grab,total
iter17_cv_split4,came,market,far,hamp,accumul,escap,price,downtrend,hope,journey
iter17_cv_split5,came,far,escap,market,hope,hamp,total,downtrend,price,grab
iter18_cv_split1,far,came,market,resist,hope,accumul,hamp,price,exit,escap
iter18_cv_split2,came,far,market,hamp,escap,hope,downtrend,price,continu,accumul
iter18_cv_split3,came,far,hope,market,escap,price,downtrend,hamp,mayb,journey
iter18_cv_split4,market,far,came,escap,hope,hamp,downtrend,price,grab,total
iter18_cv_split5,came,far,escap,price,hope,hamp,downtrend,grab,market,total
iter19_cv_split1,came,market,price,far,escap,downtrend,hope,hamp,resist,continu
iter19_cv_split2,came,far,hope,escap,hamp,market,continu,total,grab,downtrend
iter19_cv_split3,came,far,market,hope,hamp,escap,price,accumul,resist,scenario
iter19_cv_split4,came,far,market,escap,hope,hamp,downtrend,price,total,grab
iter19_cv_split5,far,came,market,price,hope,hamp,escap,downtrend,exit,grab
iter20_cv_split1,came,far,hamp,hope,price,escap,total,market,continu,downtrend
iter20_cv_split2,came,far,market,price,hope,hamp,escap,grab,total,resist
iter20_cv_split3,came,far,market,hope,hamp,escap,price,continu,grab,exit
iter20_cv_split4,market,far,accumul,came,escap,downtrend,hamp,resist,price,hope
iter20_cv_split5,far,came,escap,hope,market,hamp,downtrend,price,grab,exit
iter21_cv_split1,came,far,market,escap,hope,hamp,price,downtrend,accumul,continu
iter21_cv_split2,came,far,market,escap,downtrend,hamp,hope,price,exit,continu
iter21_cv_split3,came,far,hope,market,hamp,escap,scenario,exit,downtrend,accumul
iter21_cv_split4,came,far,market,price,resist,hope,hamp,escap,total,exit
iter21_cv_split5,came,far,price,hope,escap,hamp,total,market,downtrend,grab
iter22_cv_split1,came,far,price,hope,escap,market,downtrend,hamp,grab,journey
iter22_cv_split2,market,far,came,hamp,escap,hope,price,downtrend,accumul,total
iter22_cv_split3,came,far,hope,hamp,escap,market,price,total,grab,downtrend
iter22_cv_split4,came,far,escap,hope,market,hamp,accumul,scenario,price,continu
iter22_cv_split5,came,far,market,hope,escap,hamp,price,downtrend,accumul,continu
iter23_cv_split1,escap,far,downtrend,market,hope,hamp,came,grab,price,exit
iter23_cv_split2,came,far,market,hope,price,hamp,escap,downtrend,total,grab
iter23_cv_split3,came,far,resist,hamp,hope,market,escap,price,total,scenario
iter23_cv_split4,came,far,market,hope,accumul,escap,continu,hamp,price,downtrend
iter23_cv_split5,came,far,market,price,hope,hamp,escap,total,resist,continu
iter24_cv_split1,came,far,market,price,hope,escap,hamp,total,continu,grab
iter24_cv_split2,came,far,market,hope,escap,downtrend,hamp,price,total,grab
iter24_cv_split3,far,came,market,hope,hamp,escap,price,downtrend,resist,exit
iter24_cv_split4,far,came,market,hope,accumul,hamp,escap,grab,price,total
iter24_cv_split5,came,market,far,escap,price,hope,hamp,resist,downtrend,continu
iter25_cv_split1,came,far,price,market,hamp,escap,hope,total,downtrend,journey
iter25_cv_split2,came,far,escap,hope,hamp,market,downtrend,price,scenario,grab
iter25_cv_split3,far,market,came,escap,hope,hamp,downtrend,price,grab,gt
iter25_cv_split4,came,far,market,hope,escap,hamp,downtrend,resist,grab,price
iter25_cv_split5,came,far,market,hope,accumul,hamp,price,escap,total,continu
iter26_cv_split1,far,came,market,price,hope,escap,hamp,total,grab,downtrend
iter26_cv_split2,came,far,market,hope,escap,accumul,hamp,downtrend,price,resist
iter26_cv_split3,came,far,escap,hope,hamp,price,downtrend,market,grab,journey
iter26_cv_split4,came,far,market,escap,hamp,hope,price,continu,accumul,downtrend
iter26_cv_split5,came,far,market,hope,hamp,escap,price,accumul,journey,paus
iter27_cv_split1,far,came,market,hope,escap,hamp,price,total,grab,continu
iter27_cv_split2,came,far,price,market,hope,hamp,escap,resist,journey,total
iter27_cv_split3,came,far,market,escap,hamp,hope,accumul,resist,total,downtrend
iter27_cv_split4,far,came,escap,market,downtrend,hope,hamp,price,grab,journey
iter27_cv_split5,came,far,market,hope,price,hamp,downtrend,escap,exit,accumul
iter28_cv_split1,far,came,escap,downtrend,hope,hamp,price,continu,grab,market
iter28_cv_split2,came,far,price,market,hamp,hope,escap,total,grab,continu
iter28_cv_split3,came,far,market,hope,escap,price,hamp,grab,downtrend,total
iter28_cv_split4,came,far,market,hope,escap,hamp,resist,total,accumul,exit
iter28_cv_split5,came,market,far,escap,hamp,hope,downtrend,price,start,journey
iter29_cv_split1,came,far,market,escap,hamp,hope,downtrend,price,accumul,scenario
iter29_cv_split2,came,far,market,price,hamp,hope,total,escap,accumul,grab
iter29_cv_split3,came,far,market,escap,hope,hamp,downtrend,price,total,exit
iter29_cv_split4,came,far,market,hope,price,downtrend,escap,continu,hamp,grab
iter29_cv_split5,came,far,market,escap,hope,hamp,price,resist,downtrend,accumul
iter30_cv_split1,came,far,market,hamp,hope,price,escap,resist,want,total
iter30_cv_split2,came,far,market,escap,hamp,hope,downtrend,price,resist,grab
iter30_cv_split3,came,far,market,hope,hamp,escap,price,accumul,scenario,downtrend
iter30_cv_split4,came,far,market,hope,price,escap,hamp,continu,grab,downtrend
iter30_cv_split5,came,far,escap,market,hope,downtrend,price,hamp,grab,exit
iter31_cv_split1,came,market,far,escap,hope,hamp,price,downtrend,scenario,journey
iter31_cv_split2,came,far,price,market,hope,escap,hamp,exit,grab,downtrend
iter31_cv_split3,came,far,market,escap,hope,continu,total,downtrend,hamp,start
iter31_cv_split4,came,far,market,escap,hope,hamp,downtrend,price,grab,total
iter31_cv_split5,came,far,hope,hamp,market,price,escap,accumul,grab,downtrend
iter32_cv_split1,came,far,market,hope,hamp,escap,downtrend,price,total,exit
iter32_cv_split2,came,far,market,hope,price,escap,hamp,accumul,total,resist
iter32_cv_split3,came,far,price,escap,hope,hamp,market,downtrend,resist,grab
iter32_cv_split4,came,far,market,escap,hope,price,hamp,downtrend,accumul,continu
iter32_cv_split5,far,came,market,hope,hamp,escap,total,downtrend,journey,price
iter33_cv_split1,far,came,market,escap,accumul,hamp,hope,downtrend,grab,paus
iter33_cv_split2,came,far,escap,downtrend,hope,market,hamp,price,grab,exit
iter33_cv_split3,came,far,market,price,hope,hamp,escap,total,grab,journey
iter33_cv_split4,came,far,market,price,hope,hamp,escap,continu,mayb,downtrend
iter33_cv_split5,came,far,hope,hamp,market,price,escap,continu,total,downtrend
iter34_cv_split1,came,far,market,hope,escap,hamp,grab,total,exit,price
iter34_cv_split2,came,far,market,hamp,hope,price,escap,total,continu,resist
iter34_cv_split3,far,came,hope,price,market,escap,hamp,grab,total,continu
iter34_cv_split4,far,came,market,escap,hope,accumul,downtrend,hamp,price,grab
iter34_cv_split5,came,far,escap,hamp,market,hope,downtrend,price,total,resist
iter35_cv_split1,came,far,escap,price,hamp,hope,total,market,downtrend,grab
iter35_cv_split2,came,far,hope,market,hamp,price,escap,grab,accumul,total
iter35_cv_split3,came,market,far,escap,hamp,hope,price,total,downtrend,exit
iter35_cv_split4,came,far,market,hope,hamp,escap,price,total,continu,grab
iter35_cv_split5,far,market,came,escap,hope,price,downtrend,hamp,accumul,grab
iter36_cv_split1,came,far,hope,market,hamp,price,grab,escap,continu,total
iter36_cv_split2,came,far,market,hope,hamp,escap,price,downtrend,grab,total
iter36_cv_split3,came,far,market,escap,downtrend,hope,hamp,price,total,accumul
iter36_cv_split4,came,far,market,price,hope,escap,hamp,accumul,downtrend,grab
iter36_cv_split5,came,far,escap,market,downtrend,hamp,continu,hope,exit,price
iter37_cv_split1,came,far,market,price,escap,hope,hamp,resist,total,accumul
iter37_cv_split2,came,far,market,price,hope,hamp,total,escap,downtrend,exit
iter37_cv_split3,far,came,market,escap,hope,hamp,downtrend,price,grab,total
iter37_cv_split4,came,far,escap,hope,market,hamp,downtrend,exit,grab,accumul
iter37_cv_split5,came,far,escap,hope,market,hamp,price,continu,downtrend,grab
iter38_cv_split1,came,far,market,hope,hamp,escap,price,grab,total,exit
iter38_cv_split2,far,came,escap,price,hamp,hope,market,downtrend,accumul,grab
iter38_cv_split3,came,far,hope,market,total,hamp,price,continu,escap,scenario
iter38_cv_split4,came,escap,market,far,downtrend,hope,hamp,total,exit,paus
iter38_cv_split5,far,came,market,price,hope,hamp,escap,journey,grab,resist
iter39_cv_split1,came,far,market,hope,escap,downtrend,hamp,price,grab,total
iter39_cv_split2,came,far,price,market,hope,hamp,continu,escap,total,downtrend
iter39_cv_split3,escap,far,came,market,downtrend,hamp,hope,price,exit,grab
iter39_cv_split4,came,market,far,hamp,escap,hope,price,accumul,downtrend,journey
iter39_cv_split5,came,far,hope,market,hamp,price,escap,grab,accumul,total
iter40_cv_split1,came,far,market,escap,hope,hamp,price,resist,downtrend,exit
iter40_cv_split2,far,hope,hamp,market,came,escap,price,total,downtrend,grab
iter40_cv_split3,came,far,escap,downtrend,hope,market,hamp,price,accumul,grab
iter40_cv_split4,came,far,price,market,escap,hope,resist,hamp,total,downtrend
iter40_cv_split5,came,far,market,hope,hamp,accumul,price,escap,grab,want
iter41_cv_split1,came,far,escap,market,price,hope,hamp,downtrend,resist,exit
iter41_cv_split2,came,far,market,hope,escap,hamp,accumul,price,downtrend,pullback
iter41_cv_split3,came,far,price,market,hope,hamp,escap,total,exit,continu
iter41_cv_split4,came,far,market,escap,downtrend,hope,hamp,price,total,grab
iter41_cv_split5,came,far,market,hope,hamp,escap,continu,accumul,total,price
iter42_cv_split1,came,far,market,hope,hamp,continu,total,escap,journey,accumul
iter42_cv_split2,far,came,price,market,hope,escap,hamp,scenario,grab,downtrend
iter42_cv_split3,came,far,market,hope,hamp,escap,price,total,exit,declin
iter42_cv_split4,came,far,market,hamp,hope,escap,price,downtrend,accumul,grab
iter42_cv_split5,came,escap,far,downtrend,market,price,hope,resist,hamp,paus
iter43_cv_split1,came,far,market,hope,hamp,price,escap,resist,downtrend,total
iter43_cv_split2,came,far,market,hope,hamp,price,escap,grab,accumul,continu
iter43_cv_split3,came,far,market,hope,price,hamp,escap,total,grab,scenario
iter43_cv_split4,came,far,escap,market,accumul,downtrend,hope,hamp,price,continu
iter43_cv_split5,far,came,escap,hope,market,downtrend,hamp,price,grab,total
iter44_cv_split1,came,far,market,hope,escap,hamp,accumul,total,price,exit
iter44_cv_split2,came,far,price,market,escap,hope,hamp,continu,exit,downtrend
iter44_cv_split3,came,far,market,escap,hope,hamp,downtrend,price,grab,journey
iter44_cv_split4,came,far,market,escap,hope,hamp,price,downtrend,scenario,accumul
iter44_cv_split5,came,far,hope,hamp,market,escap,price,downtrend,grab,total
iter45_cv_split1,came,far,market,hamp,hope,escap,downtrend,price,total,journey
iter45_cv_split2,came,far,market,price,hope,hamp,escap,resist,grab,accumul
iter45_cv_split3,came,far,escap,hope,price,hamp,downtrend,market,grab,accumul
iter45_cv_split4,came,far,market,hope,escap,total,hamp,declin,price,journey
iter45_cv_split5,far,came,market,escap,hope,hamp,price,downtrend,grab,journey
iter46_cv_split1,came,far,hope,market,price,hamp,escap,downtrend,grab,exit
iter46_cv_split2,far,came,market,escap,hamp,resist,hope,price,downtrend,total
iter46_cv_split3,came,far,escap,hope,price,hamp,market,downtrend,grab,journey
iter46_cv_split4,came,far,hope,market,hamp,escap,price,grab,total,scenario
iter46_cv_split5,came,market,far,escap,hope,downtrend,hamp,continu,accumul,price
iter47_cv_split1,came,far,escap,market,hope,accumul,downtrend,hamp,grab,price
iter47_cv_split2,came,far,market,price,hamp,escap,hope,total,resist,downtrend
iter47_cv_split3,came,far,market,hamp,escap,hope,price,exit,total,downtrend
iter47_cv_split4,far,hope,market,hamp,came,grab,price,continu,total,escap
iter47_cv_split5,came,far,market,price,escap,downtrend,hope,hamp,resist,total
iter48_cv_split1,came,far,escap,downtrend,market,hope,hamp,accumul,price,total
iter48_cv_split2,came,market,far,hope,escap,price,hamp,journey,downtrend,continu
iter48_cv_split3,came,far,price,market,hamp,hope,escap,total,grab,downtrend
iter48_cv_split4,came,far,market,hope,hamp,grab,exit,resist,price,downtrend
iter48_cv_split5,came,far,market,hope,escap,hamp,price,total,downtrend,grab
iter49_cv_split1,came,far,escap,market,hope,downtrend,hamp,price,exit,scenario
iter49_cv_split2,far,came,escap,market,hope,hamp,downtrend,price,total,continu
iter49_cv_split3,came,far,market,hamp,escap,hope,total,resist,downtrend,journey
iter49_cv_split4,came,far,hope,market,hamp,escap,continu,resist,total,grab
iter49_cv_split5,came,market,far,price,hope,hamp,grab,escap,accumul,downtrend
iter50_cv_split1,came,far,market,hamp,hope,price,escap,resist,total,accumul
iter50_cv_split2,came,far,market,escap,hope,hamp,scenario,price,downtrend,total
iter50_cv_split3,far,market,came,escap,price,hope,hamp,downtrend,accumul,grab
iter50_cv_split4,came,far,hope,market,escap,downtrend,hamp,grab,total,accumul
iter50_cv_split5,came,far,market,hope,price,hamp,escap,total,downtrend,continu
iter51_cv_split1,far,market,escap,hope,hamp,accumul,downtrend,resist,price,grab
iter51_cv_split2,came,far,market,hamp,hope,escap,grab,price,total,exit
iter51_cv_split3,came,far,price,hope,market,hamp,escap,downtrend,total,resist
iter51_cv_split4,came,far,market,price,hope,hamp,escap,continu,resist,total
iter51_cv_split5,came,far,escap,market,downtrend,hamp,hope,price,journey,mayb
iter52_cv_split1,came,far,market,hope,price,hamp,escap,downtrend,grab,accumul
