,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,decis,fund,exampl,inde,draw,shake,shine,invers,prime,come
iter1_cv_split2,trendinghedg,inde,shine,overbought,weak,line,invers,prime,mission,previous
iter1_cv_split3,div,fund,skip,point,paus,spot,patient,grab,everi,came
iter1_cv_split4,distribut,inde,prime,fund,pressur,log,hand,moral,journey,possibl
iter1_cv_split5,invers,grab,mayb,mission,spot,downsid,moral,fund,skip,octob
iter2_cv_split1,inde,spot,skip,fund,distribut,bull,mission,shine,shake,scale
iter2_cv_split2,return,exit,optimist,overbought,weak,pant,sale,line,patient,far
iter2_cv_split3,invers,shine,far,pant,skip,sold,casino,oversold,overbought,spot
iter2_cv_split4,mission,overbought,shake,shine,far,octob,cap,scale,skip,moral
iter2_cv_split5,line,shake,shine,fund,paus,skip,patient,spot,pls,pant
iter3_cv_split1,invers,sale,scale,shake,shine,pant,overbought,skip,came,fud
iter3_cv_split2,risk,div,distribut,trendinghedg,decis,decent,moral,skip,octob,overbought
iter3_cv_split3,prime,rememb,exit,retest,return,revers,moral,risk,far,mission
iter3_cv_split4,revers,skip,div,distribut,total,manag,decis,market,mission,trendinghedg
iter3_cv_split5,prime,return,revers,test,hand,hamp,gtno,gt,day,mission
iter4_cv_split1,prime,patient,div,distribut,paus,pls,decis,point,possibl,pressur
iter4_cv_split2,decis,shake,shine,pant,overbought,skip,octob,moral,cap,came
iter4_cv_split3,risk,oversold,draw,weak,prime,fund,pressur,moral,skip,spot
iter4_cv_split4,hamp,invers,inde,hope,target,gtno,grab,fund,test,far
iter4_cv_split5,rememb,pressur,exampl,everi,prime,downsid,don,div,distribut,exit
iter5_cv_split1,grab,test,journey,point,distribut,start,spot,came,paus,casino
iter5_cv_split2,oversold,point,skip,paus,patient,fund,spot,shine,bull,overbought
iter5_cv_split3,pressur,draw,point,downsid,don,div,distribut,wet,declin,decis
iter5_cv_split4,spot,sale,scale,scenario,optimist,shake,shine,octob,far,observ
iter5_cv_split5,gtno,invers,inde,hope,target,hand,hamp,gt,grab,test
iter6_cv_split1,downsid,sale,journey,total,sold,possibl,fund,scale,point,log
iter6_cv_split2,octob,shine,prime,scale,shake,pressur,inde,total,mission,pant
iter6_cv_split3,bull,shake,shine,patient,pant,fud,skip,casino,fund,oversold
iter6_cv_split4,risk,invers,prime,pressur,journey,distribut,point,bull,far,cap
iter6_cv_split5,decis,exampl,everi,pressur,previous,prime,draw,downsid,div,point
iter7_cv_split1,mission,pressur,fund,test,point,div,start,bull,spot,paus
iter7_cv_split2,invers,paus,far,patient,skip,pant,oversold,overbought,came,spot
iter7_cv_split3,draw,octob,patient,exit,grab,manag,rememb,market,pant,spot
iter7_cv_split4,target,hope,hamp,gtno,gt,revers,grab,test,fund,fud
iter7_cv_split5,prime,far,return,revers,moral,risk,mission,sale,scale,bull
iter8_cv_split1,trendinghedg,weak,pressur,shake,inde,possibl,shine,fund,point,total
iter8_cv_split2,gtno,hamp,return,target,grab,fund,fud,far,test,exit
iter8_cv_split3,invers,oversold,overbought,sale,scale,shake,shine,octob,cap,moral
iter8_cv_split4,downsid,scale,mani,exampl,rememb,test,tasti,exit,paus,return
iter8_cv_split5,invers,pant,far,shake,shine,overbought,octob,scale,skip,moral
iter9_cv_split1,decis,point,pressur,prime,draw,downsid,div,distribut,decent,everi
iter9_cv_split2,grab,distribut,declin,decis,manag,market,skip,mission,div,observ
iter9_cv_split3,log,downsid,prime,div,distribut,decis,rememb,return,revers,risk
iter9_cv_split4,downsid,log,prime,journey,pressur,mission,everi,fund,fud,possibl
iter9_cv_split5,journey,point,hamp,return,gtno,revers,pls,mission,risk,test
iter10_cv_split1,draw,scale,manag,test,exit,tasti,market,return,revers,mission
iter10_cv_split2,spot,sale,scale,scenario,far,shake,shine,pant,patient,overbought
iter10_cv_split3,manag,exit,exampl,everi,draw,downsid,don,div,rememb,return
iter10_cv_split4,weak,downsid,point,possibl,div,distribut,wet,pressur,previous,prime
iter10_cv_split5,risk,inde,paus,moral,downsid,want,fund,journey,shake,prime
iter11_cv_split1,decis,mission,pressur,downsid,inde,weak,tasti,invers,draw,point
