,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,stop,incom,profit,revers,die,welcom,greed,becaus,let,short
iter1_cv_split2,stop,incom,revers,die,bitcoin,greed,becaus,short,profit,got
iter1_cv_split3,stop,incom,die,profit,revers,bitcoin,welcom,let,becaus,greed
iter1_cv_split4,stop,incom,profit,revers,die,let,bitcoin,greed,short,becaus
iter1_cv_split5,stop,incom,revers,profit,die,alreadi,welcom,let,greed,becaus
iter2_cv_split1,stop,incom,profit,revers,let,welcom,short,greed,becaus,got
iter2_cv_split2,stop,incom,profit,revers,alreadi,die,welcom,let,becaus,greed
iter2_cv_split3,stop,incom,die,revers,bitcoin,becaus,greed,let,profit,bull
iter2_cv_split4,stop,incom,revers,die,bitcoin,profit,becaus,greed,let,short
iter2_cv_split5,stop,incom,profit,revers,die,welcom,greed,becaus,short,bitcoin
iter3_cv_split1,stop,incom,die,profit,revers,short,greed,becaus,bitcoin,let
iter3_cv_split2,stop,incom,profit,revers,die,welcom,let,bitcoin,greed,becaus
iter3_cv_split3,stop,incom,profit,die,revers,bitcoin,becaus,greed,welcom,let
iter3_cv_split4,stop,incom,profit,revers,die,bitcoin,welcom,let,becaus,greed
iter3_cv_split5,stop,incom,revers,die,greed,becaus,profit,bitcoin,short,expect
iter4_cv_split1,stop,revers,incom,profit,die,let,bitcoin,welcom,alreadi,short
iter4_cv_split2,stop,incom,die,profit,revers,bitcoin,let,welcom,start,becaus
iter4_cv_split3,stop,incom,revers,greed,becaus,die,profit,short,let,runat
iter4_cv_split4,stop,incom,profit,revers,bitcoin,die,welcom,let,short,becaus
iter4_cv_split5,stop,incom,profit,revers,die,alreadi,welcom,greed,becaus,bitcoin
iter5_cv_split1,stop,incom,revers,profit,die,welcom,alreadi,let,greed,becaus
iter5_cv_split2,stop,incom,profit,revers,die,greed,becaus,let,bitcoin,welcom
iter5_cv_split3,stop,incom,revers,greed,becaus,bitcoin,die,profit,short,bull
iter5_cv_split4,stop,incom,profit,revers,die,welcom,let,bitcoin,greed,short
iter5_cv_split5,stop,incom,die,profit,revers,bitcoin,let,welcom,start,greed
iter6_cv_split1,stop,incom,revers,die,greed,becaus,profit,let,bitcoin,short
iter6_cv_split2,stop,incom,profit,revers,die,bitcoin,welcom,let,becaus,greed
iter6_cv_split3,stop,revers,incom,profit,die,alreadi,let,welcom,start,becaus
iter6_cv_split4,stop,incom,profit,die,revers,bitcoin,let,welcom,greed,short
iter6_cv_split5,stop,incom,profit,revers,die,welcom,bitcoin,greed,becaus,short
iter7_cv_split1,stop,incom,profit,revers,die,bitcoin,welcom,let,greed,becaus
iter7_cv_split2,stop,incom,die,revers,greed,becaus,short,bitcoin,let,profit
iter7_cv_split3,stop,incom,profit,revers,welcom,die,greed,becaus,short,bitcoin
iter7_cv_split4,stop,incom,revers,die,profit,bitcoin,welcom,let,greed,becaus
iter7_cv_split5,stop,incom,profit,revers,die,alreadi,let,bitcoin,greed,becaus
iter8_cv_split1,stop,incom,revers,die,alreadi,becaus,greed,short,bitcoin,profit
iter8_cv_split2,stop,incom,profit,revers,die,bitcoin,short,becaus,greed,let
iter8_cv_split3,stop,incom,profit,revers,die,welcom,greed,becaus,let,bitcoin
iter8_cv_split4,stop,incom,profit,die,revers,bitcoin,let,welcom,greed,becaus
iter8_cv_split5,stop,incom,revers,profit,die,bitcoin,let,greed,becaus,welcom
iter9_cv_split1,stop,incom,profit,revers,die,greed,becaus,let,welcom,bitcoin
iter9_cv_split2,stop,incom,profit,die,revers,bitcoin,welcom,let,short,greed
iter9_cv_split3,stop,incom,die,revers,profit,short,greed,becaus,bitcoin,let
iter9_cv_split4,stop,revers,incom,profit,die,bitcoin,welcom,greed,becaus,short
iter9_cv_split5,stop,incom,revers,die,alreadi,greed,becaus,let,profit,short
iter10_cv_split1,stop,incom,revers,die,bitcoin,greed,becaus,profit,short,let
iter10_cv_split2,stop,incom,revers,die,profit,greed,becaus,bitcoin,let,short
iter10_cv_split3,stop,incom,profit,die,revers,welcom,bitcoin,greed,becaus,let
iter10_cv_split4,stop,incom,profit,die,revers,welcom,let,bitcoin,short,becaus
iter10_cv_split5,stop,incom,profit,revers,die,welcom,alreadi,bitcoin,becaus,greed
iter11_cv_split1,stop,incom,profit,revers,die,alreadi,bitcoin,greed,becaus,welcom
iter11_cv_split2,stop,incom,revers,die,short,becaus,greed,let,profit,bull
iter11_cv_split3,stop,incom,profit,revers,die,welcom,let,short,greed,becaus
iter11_cv_split4,stop,incom,die,profit,revers,bitcoin,greed,becaus,let,short
iter11_cv_split5,stop,incom,profit,revers,bitcoin,die,welcom,let,greed,becaus
iter12_cv_split1,stop,incom,revers,die,greed,becaus,let,short,profit,bitcoin
iter12_cv_split2,stop,incom,die,profit,revers,bitcoin,greed,becaus,short,foreverif
iter12_cv_split3,stop,incom,profit,revers,die,alreadi,welcom,let,greed,becaus
iter12_cv_split4,stop,incom,profit,revers,die,bitcoin,welcom,short,becaus,greed
iter12_cv_split5,stop,incom,revers,profit,bitcoin,die,welcom,let,greed,becaus
iter13_cv_split1,stop,incom,profit,die,revers,welcom,bitcoin,greed,becaus,short
iter13_cv_split2,stop,revers,incom,profit,die,let,greed,becaus,welcom,alreadi
iter13_cv_split3,stop,incom,revers,die,bitcoin,becaus,greed,let,profit,short
iter13_cv_split4,stop,incom,profit,revers,die,welcom,let,bitcoin,greed,becaus
iter13_cv_split5,stop,incom,revers,die,profit,let,bitcoin,becaus,short,greed
iter14_cv_split1,stop,incom,profit,revers,bitcoin,die,short,greed,becaus,let
iter14_cv_split2,stop,incom,profit,revers,die,let,welcom,bitcoin,becaus,greed
iter14_cv_split3,stop,incom,profit,die,revers,bitcoin,let,welcom,greed,becaus
iter14_cv_split4,stop,revers,incom,die,greed,becaus,profit,short,bitcoin,alreadi
iter14_cv_split5,stop,incom,profit,revers,die,welcom,greed,becaus,let,bitcoin
iter15_cv_split1,stop,revers,incom,die,greed,becaus,profit,let,bitcoin,short
iter15_cv_split2,stop,incom,profit,revers,die,welcom,let,becaus,greed,bitcoin
iter15_cv_split3,stop,incom,profit,revers,die,alreadi,welcom,becaus,short,greed
iter15_cv_split4,stop,incom,die,profit,revers,bitcoin,welcom,let,becaus,greed
iter15_cv_split5,stop,incom,profit,revers,let,welcom,greed,becaus,short,rektfest
iter16_cv_split1,stop,revers,incom,profit,die,greed,becaus,let,short,bitcoin
iter16_cv_split2,stop,incom,profit,die,revers,bitcoin,let,welcom,greed,becaus
iter16_cv_split3,stop,incom,profit,revers,die,alreadi,welcom,let,becaus,greed
iter16_cv_split4,stop,incom,profit,revers,welcom,greed,short,becaus,ok,let
iter16_cv_split5,stop,incom,revers,die,bitcoin,greed,becaus,short,profit,let
iter17_cv_split1,stop,incom,revers,profit,die,alreadi,greed,becaus,short,bitcoin
iter17_cv_split2,stop,incom,revers,die,bitcoin,greed,becaus,let,short,profit
iter17_cv_split3,stop,incom,profit,die,revers,bitcoin,let,greed,becaus,welcom
iter17_cv_split4,stop,incom,profit,revers,die,welcom,becaus,greed,let,bitcoin
iter17_cv_split5,stop,incom,revers,profit,die,welcom,let,becaus,short,greed
iter18_cv_split1,stop,incom,profit,revers,die,welcom,bitcoin,let,greed,becaus
iter18_cv_split2,stop,incom,revers,profit,die,alreadi,greed,becaus,let,bitcoin
iter18_cv_split3,stop,incom,profit,revers,die,bitcoin,let,greed,becaus,short
