,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,stop,incom,profit,revers,short,fill,becaus,greed,die,got
iter1_cv_split2,stop,incom,revers,profit,die,fill,got,let,greed,becaus
iter1_cv_split3,stop,incom,revers,profit,greed,becaus,fill,got,short,let
iter1_cv_split4,stop,incom,revers,profit,becaus,greed,let,got,fill,short
iter1_cv_split5,stop,incom,profit,revers,got,fill,die,let,loss,bull
iter2_cv_split1,stop,incom,profit,revers,got,short,die,fill,greed,becaus
iter2_cv_split2,stop,incom,revers,profit,die,got,let,fill,greed,becaus
iter2_cv_split3,stop,revers,incom,fill,let,die,profit,becaus,greed,short
iter2_cv_split4,stop,incom,profit,got,revers,becaus,greed,fill,short,loss
iter2_cv_split5,stop,incom,profit,revers,fill,let,got,greed,becaus,bull
iter3_cv_split1,stop,incom,profit,revers,die,fill,let,got,start,becaus
iter3_cv_split2,stop,incom,profit,revers,got,greed,becaus,short,fill,let
iter3_cv_split3,stop,incom,profit,revers,becaus,greed,short,die,let,fill
iter3_cv_split4,stop,incom,revers,profit,fill,got,bitcoin,die,short,loss
iter3_cv_split5,stop,incom,revers,profit,got,die,fill,let,bull,runat
iter4_cv_split1,stop,incom,profit,revers,greed,becaus,got,fill,short,let
iter4_cv_split2,stop,incom,profit,revers,fill,let,die,got,becaus,greed
iter4_cv_split3,stop,incom,revers,got,die,fill,short,let,greed,becaus
iter4_cv_split4,stop,revers,incom,profit,fill,short,becaus,greed,got,die
iter4_cv_split5,stop,incom,revers,profit,got,die,fill,let,becaus,greed
iter5_cv_split1,stop,incom,revers,greed,becaus,profit,short,let,got,fill
iter5_cv_split2,stop,incom,revers,profit,short,die,greed,becaus,fill,got
iter5_cv_split3,stop,profit,incom,fill,revers,let,got,greed,becaus,short
iter5_cv_split4,stop,incom,revers,profit,got,short,fill,die,becaus,greed
iter5_cv_split5,stop,incom,revers,profit,die,fill,let,got,loss,bitcoin
iter6_cv_split1,stop,incom,revers,profit,die,let,fill,short,greed,becaus
iter6_cv_split2,stop,incom,profit,revers,fill,greed,becaus,die,short,got
iter6_cv_split3,stop,incom,revers,profit,fill,greed,becaus,got,short,loss
iter6_cv_split4,stop,incom,revers,profit,got,die,fill,short,let,greed
iter6_cv_split5,stop,incom,profit,got,revers,fill,let,greed,becaus,short
iter7_cv_split1,stop,incom,revers,profit,fill,die,greed,becaus,let,short
iter7_cv_split2,stop,incom,profit,revers,fill,greed,becaus,got,short,runat
iter7_cv_split3,stop,incom,profit,got,revers,greed,becaus,short,runat,bull
iter7_cv_split4,stop,incom,profit,revers,fill,die,let,got,bull,runat
iter7_cv_split5,stop,incom,revers,fill,got,die,let,greed,becaus,profit
iter8_cv_split1,stop,incom,revers,profit,let,got,fill,die,cloud,short
iter8_cv_split2,stop,revers,incom,profit,fill,greed,becaus,got,short,alreadi
iter8_cv_split3,stop,incom,profit,got,revers,fill,let,greed,becaus,short
iter8_cv_split4,stop,incom,revers,profit,becaus,greed,short,fill,die,bitcoin
iter8_cv_split5,stop,incom,revers,profit,die,fill,got,let,greed,becaus
iter9_cv_split1,stop,incom,got,profit,revers,die,fill,let,becaus,greed
iter9_cv_split2,stop,incom,profit,revers,fill,let,becaus,greed,got,short
iter9_cv_split3,stop,incom,profit,revers,short,fill,die,got,greed,becaus
iter9_cv_split4,stop,incom,revers,fill,die,let,got,profit,loss,jami
iter9_cv_split5,stop,incom,revers,profit,bitcoin,die,fill,got,let,short
iter10_cv_split1,stop,incom,profit,revers,short,got,let,greed,becaus,fill
iter10_cv_split2,stop,incom,profit,revers,die,let,fill,got,runat,bull
iter10_cv_split3,stop,incom,profit,revers,short,becaus,greed,bitcoin,die,fill
iter10_cv_split4,stop,incom,revers,profit,die,fill,got,let,greed,becaus
iter10_cv_split5,stop,revers,incom,profit,fill,got,greed,becaus,die,short
