,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,fli,die,hey,enoughsold,bull,higher,pls,hour,cash,dump
iter1_cv_split2,hour,rektfest,rememb,dump,ride,run,direct,runat,dimon,jami
iter1_cv_split3,hour,higher,greed,got,foreverif,final,fill,exampl,enoughsold,dump
iter1_cv_split4,direct,cash,sorri,sold,foreverif,sleep,sinc,cut,fli,shill
iter1_cv_split5,sleep,min,need,direct,dimon,differ,die,dump,didn,ofc
iter2_cv_split1,ichimoku,rememb,ride,run,runat,direct,dimon,differ,enoughsold,die
iter2_cv_split2,hey,cash,fli,min,rememb,let,final,fill,like,lock
iter2_cv_split3,higher,maker,min,direct,dimon,differ,die,dump,didn,decid
iter2_cv_split4,ichimoku,rememb,enoughsold,dump,ride,run,runat,incom,rektfest,dimon
iter2_cv_split5,hour,ichimoku,higher,hey,greed,fli,final,fill,incom,exampl
iter3_cv_split1,fli,incom,ichimoku,hour,higher,hey,greed,foreverif,sinc,final
iter3_cv_split2,incom,pls,cut,otherwis,decid,higher,demon,didn,die,differ
iter3_cv_split3,run,rememb,enoughsold,dump,ride,jami,direct,runat,rektfest,dimon
iter3_cv_split4,higher,final,bull,fill,sinc,cash,shill,ofc,ok,runat
iter3_cv_split5,hour,greed,final,fill,exampl,enoughsold,dump,higher,direct,differ
iter4_cv_split1,let,ok,otherwis,rektfest,cash,foreverif,sold,sleep,sinc,fli
iter4_cv_split2,ok,ichimoku,incom,sold,cash,exampl,jami,let,enoughsold,otherwis
iter4_cv_split3,demon,ok,otherwis,dump,pls,direct,dimon,enoughsold,differ,didn
iter4_cv_split4,short,final,fill,bull,incom,feel,cash,jami,exampl,pls
iter4_cv_split5,need,shill,final,dump,fill,ichimoku,incom,pls,jami,sorri
iter5_cv_split1,differ,enoughsold,dump,rememb,revers,ride,direct,dimon,die,didn
iter5_cv_split2,ichimoku,rektfest,dump,rememb,direct,ride,dimon,differ,enoughsold,didn
iter5_cv_split3,fli,price,pls,ok,cut,decid,demon,die,differ,dimon
iter5_cv_split4,greed,rememb,rektfest,min,cash,incom,jami,let,final,fill
iter5_cv_split5,fli,hey,greed,got,foreverif,sinc,final,fill,feel,exampl
iter6_cv_split1,die,dump,rememb,resist,direct,ride,dimon,differ,enoughsold,hour
iter6_cv_split2,run,rektfest,enoughsold,rememb,dump,ride,direct,dimon,differ,die
iter6_cv_split3,dimon,rektfest,exampl,rememb,enoughsold,ride,dump,run,runat,expect
iter6_cv_split4,higher,foreverif,bull,let,min,rememb,rektfest,cash,fli,final
iter6_cv_split5,hour,cash,welcom,cut,got,otherwis,ok,demon,didn,die
iter7_cv_split1,jami,cash,enoughsold,ofc,ok,final,fill,sorri,otherwis,sold
iter7_cv_split2,incom,enoughsold,rememb,dump,ride,run,runat,direct,differ,die
iter7_cv_split3,higher,hour,hey,greed,foreverif,fli,sinc,fill,exampl,enoughsold
iter7_cv_split4,ichimoku,let,min,rememb,final,fill,cash,lock,loss,expect
iter7_cv_split5,higher,ichimoku,hour,hey,greed,foreverif,short,final,fill,incom
iter8_cv_split1,direct,ofc,exampl,sorri,sold,otherwis,sleep,sinc,foreverif,shill
iter8_cv_split2,higher,lock,bull,price,hour,exampl,cash,ichimoku,pls,incom
iter8_cv_split3,ichimoku,dump,ofc,ok,otherwis,direct,dimon,enoughsold,differ,didn
iter8_cv_split4,dimon,exampl,sorri,ofc,sold,fli,sleep,sinc,cut,ok
iter8_cv_split5,fill,incom,ichimoku,hour,higher,greed,foreverif,final,jami,exampl
iter9_cv_split1,hour,rektfest,rememb,dump,ride,run,direct,runat,enoughsold,dimon
iter9_cv_split2,enoughsold,sleep,bull,foreverif,rememb,rektfest,ok,cash,fli,lock
iter9_cv_split3,hour,rektfest,rememb,dump,ride,run,direct,runat,enoughsold,ichimoku
iter9_cv_split4,final,incom,ichimoku,hour,higher,greed,foreverif,fill,jami,exampl
iter9_cv_split5,hour,higher,hey,greed,final,fill,feel,exampl,enoughsold,dump
iter10_cv_split1,die,shill,runat,run,cut,ride,decid,demon,didn,hour
iter10_cv_split2,ok,sorri,cut,otherwis,decid,ofc,demon,didn,die,differ
iter10_cv_split3,foreverif,fli,jami,min,rememb,rektfest,final,fill,let,price
iter10_cv_split4,decid,enoughsold,dump,ofc,ok,direct,otherwis,min,dimon,die
iter10_cv_split5,dimon,rememb,enoughsold,ride,dump,run,runat,set,direct,differ
iter11_cv_split1,die,enoughsold,dump,rektfest,rememb,direct,dimon,differ,didn,demon
iter11_cv_split2,foreverif,cut,decid,pls,demon,die,differ,dimon,direct,dump
iter11_cv_split3,ichimoku,direct,dimon,differ,die,didn,demon,min,ofc,higher
iter11_cv_split4,higher,enoughsold,dump,ride,run,runat,direct,dimon,differ,die
iter11_cv_split5,sold,rememb,rektfest,cash,cut,ok,ofc,decid,demon,didn
iter12_cv_split1,higher,jami,incom,ichimoku,hour,hey,greed,final,fill,exampl
iter12_cv_split2,differ,exampl,enoughsold,rektfest,rememb,dump,ride,run,pls,direct
iter12_cv_split3,ichimoku,rektfest,fill,market,incom,cash,jami,exampl,sorri,let
iter12_cv_split4,let,ok,rememb,foreverif,sorri,fli,sold,pls,cut,sleep
iter12_cv_split5,sleep,pls,cut,otherwis,ok,demon,didn,die,differ,dimon
iter13_cv_split1,differ,enoughsold,dump,rektfest,rememb,ride,direct,dimon,ichimoku,die
iter13_cv_split2,sinc,enoughsold,min,dump,ofc,direct,ok,maker,dimon,die
iter13_cv_split3,sleep,welcom,final,dump,fill,incom,cash,sorri,fall,jami
iter13_cv_split4,lock,enoughsold,run,cash,runat,ofc,ok,rektfest,otherwis,dump
iter13_cv_split5,ofc,price,sorri,pls,otherwis,cut,ok,decid,demon,didn
iter14_cv_split1,die,exampl,enoughsold,rektfest,rememb,dump,ride,direct,expect,dimon
iter14_cv_split2,ok,final,maker,fill,incom,sold,jami,let,pls,like
iter14_cv_split3,higher,bounc,bull,fill,cash,feel,ofc,ok,sinc,exampl
iter14_cv_split4,direct,cash,ofc,exampl,sorri,otherwis,sold,foreverif,sleep,cut
iter14_cv_split5,maker,final,fill,rememb,dimon,hour,bull,differ,ichimoku,die
iter15_cv_split1,higher,enoughsold,rememb,dump,revers,ride,run,direct,runat,ichimoku
iter15_cv_split2,ichimoku,higher,hey,greed,sinc,foreverif,fli,final,fill,hour
iter15_cv_split3,ichimoku,enoughsold,ride,dump,runat,direct,let,dimon,rememb,differ
iter15_cv_split4,fli,jami,final,dump,rememb,fill,let,cash,price,lock
iter15_cv_split5,ride,differ,die,didn,demon,hour,run,dimon,decid,cut
iter16_cv_split1,demon,rememb,direct,ride,dimon,differ,die,didn,hour,run
iter16_cv_split2,incom,ichimoku,hour,higher,hey,greed,fli,final,fill,exampl
iter16_cv_split3,higher,hour,hey,greed,got,fli,final,fill,ichimoku,exampl
iter16_cv_split4,direct,rememb,enoughsold,dump,ride,run,runat,jami,dimon,differ
iter16_cv_split5,sleep,dump,min,direct,dimon,differ,die,maker,didn,ofc
iter17_cv_split1,sleep,sorri,cut,otherwis,ok,ofc,decid,need,demon,didn
iter17_cv_split2,fli,dimon,differ,die,didn,demon,ofc,direct,ok,otherwis
iter17_cv_split3,hour,rememb,enoughsold,ride,dump,run,runat,direct,rektfest,dimon
iter17_cv_split4,incom,rektfest,cut,decid,demon,didn,die,differ,dimon,direct
iter17_cv_split5,sleep,rektfest,winner,fli,bull,welcom,direct,dump,jami,cash
iter18_cv_split1,ichimoku,hey,greed,sleep,final,fill,exampl,enoughsold,dump,direct
iter18_cv_split2,sleep,enoughsold,need,dump,ofc,ok,otherwis,min,direct,differ
iter18_cv_split3,differ,enoughsold,rememb,dump,ride,run,runat,direct,dimon,like
iter18_cv_split4,higher,dump,ride,run,runat,direct,set,differ,rememb,die
iter18_cv_split5,demon,rektfest,rememb,dump,revers,ride,direct,dimon,enoughsold,differ
iter19_cv_split1,final,loss,incom,sleep,pls,cash,exampl,jami,otherwis,ok
iter19_cv_split2,foreverif,ichimoku,hour,higher,hey,greed,fli,final,fill,exampl
iter19_cv_split3,hour,enoughsold,revers,dump,ride,run,runat,direct,incom,rememb
iter19_cv_split4,hey,foreverif,bull,welcom,fli,cash,resist,rememb,rektfest,final
iter19_cv_split5,hour,cash,price,sorri,cut,otherwis,ok,demon,didn,die
iter20_cv_split1,hey,enoughsold,dump,rektfest,rememb,resist,direct,ride,dimon,die
iter20_cv_split2,sorri,ofc,dump,ok,otherwis,direct,dimon,enoughsold,differ,didn
iter20_cv_split3,ichimoku,rektfest,cut,decid,pls,demon,hey,die,differ,dimon
iter20_cv_split4,higher,ichimoku,hour,hey,greed,fli,final,feel,incom,exampl
iter20_cv_split5,hour,revers,ride,run,runat,direct,dimon,differ,like,didn
iter21_cv_split1,ichimoku,ofc,ok,dump,otherwis,pls,direct,need,dimon,didn
iter21_cv_split2,fill,final,cash,sinc,short,ofc,shill,ok,expect,runat
iter21_cv_split3,hey,ichimoku,hour,higher,greed,foreverif,fli,fill,incom,exampl
iter21_cv_split4,hour,ichimoku,higher,hey,greed,fli,final,fill,feel,exampl
iter21_cv_split5,ichimoku,enoughsold,rememb,dump,ride,direct,run,dimon,differ,didn
iter22_cv_split1,hey,ride,revers,fli,enoughsold,let,rememb,final,fill,lock
iter22_cv_split2,ichimoku,rememb,resist,enoughsold,ride,dump,run,runat,safe,dimon
iter22_cv_split3,sinc,sorri,cut,otherwis,decid,ofc,demon,didn,die,differ
iter22_cv_split4,ok,welcom,fill,ichimoku,incom,cash,jami,sold,pls,let
iter22_cv_split5,higher,ichimoku,hour,greed,foreverif,final,fill,exampl,enoughsold,dump
iter23_cv_split1,ichimoku,rektfest,rememb,enoughsold,dump,ride,run,jami,direct,dimon
iter23_cv_split2,greed,rememb,bull,final,fill,let,cash,like,lock,exampl
iter23_cv_split3,direct,enoughsold,rektfest,rememb,resist,dump,ride,run,runat,safe
iter23_cv_split4,hour,cash,rememb,cut,decid,pls,higher,demon,didn,die
iter23_cv_split5,hour,loss,bull,pls,exampl,sold,cash,ichimoku,otherwis,incom
iter24_cv_split1,sleep,maker,min,direct,dimon,differ,die,loss,didn,decid
iter24_cv_split2,hour,bull,runat,run,enoughsold,cash,fli,ride,loss,final
iter24_cv_split3,hour,higher,hey,greed,foreverif,fli,final,fill,feel,ichimoku
iter24_cv_split4,incom,enoughsold,rememb,dump,ride,run,runat,direct,rektfest,dimon
iter24_cv_split5,didn,rememb,revers,direct,dimon,differ,die,hour,demon,ride
iter25_cv_split1,ichimoku,hey,greed,got,fli,final,fill,feel,higher,exampl
iter25_cv_split2,runat,foreverif,bull,rememb,sorri,ofc,ok,final,sold,fill
iter25_cv_split3,fli,pls,cut,otherwis,decid,ofc,demon,didn,die,differ
iter25_cv_split4,direct,rektfest,rememb,enoughsold,ride,dump,run,runat,exampl,dimon
