,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,start,perspect,uptrend,readi,close,retest,buy,high,broken,googl
iter1_cv_split2,perspect,start,uptrend,buy,right,entri,level,readi,bear,sinc
iter1_cv_split3,retest,pattern,buy,perspect,bull,volum,start,readi,close,broken
iter1_cv_split4,revers,buy,start,emerg,bull,look,close,soon,aka,technic
iter1_cv_split5,perspect,market,readi,buy,look,trigger,start,broken,retest,level
iter2_cv_split1,perspect,pattern,retest,close,readi,broken,buy,revers,emerg,look
iter2_cv_split2,project,readi,uptrend,start,retest,buy,close,level,perspect,broken
iter2_cv_split3,start,uptrend,soon,perspect,buy,bull,technic,look,volum,ride
iter2_cv_split4,uptrend,start,buy,level,entri,good,googl,instabuy,ltc,close
iter2_cv_split5,perspect,uptrend,start,buy,readi,retest,broken,close,emerg,bull
iter3_cv_split1,perspect,uptrend,start,buy,retest,readi,sinc,ride,good,googl
iter3_cv_split2,selloff,start,bull,uptrend,buy,emerg,high,googl,good,market
iter3_cv_split3,perspect,uptrend,readi,start,buy,bull,close,breakout,sinc,ride
iter3_cv_split4,pattern,perspect,buy,close,level,bull,soon,start,upsid,emerg
iter3_cv_split5,revers,retest,readi,broken,look,start,buy,emerg,technic,stop
iter4_cv_split1,high,start,uptrend,close,buy,perspect,bull,sinc,ride,good
iter4_cv_split2,revers,broken,readi,perspect,close,buy,start,retest,trigger,emerg
iter4_cv_split3,uptrend,start,buy,close,upsid,instabuy,ltc,come,googl,good
iter4_cv_split4,pattern,perspect,buy,retest,readi,close,start,sinc,ride,escal
iter4_cv_split5,start,uptrend,readi,right,buy,perspect,retest,technic,sinc,ride
iter5_cv_split1,start,uptrend,buy,readi,come,market,prepar,look,trigger,close
iter5_cv_split2,start,buy,uptrend,emerg,bull,perspect,ride,sinc,look,instabuy
iter5_cv_split3,close,bull,start,uptrend,buy,soon,perspect,prepar,technic,emerg
iter5_cv_split4,perspect,pattern,readi,close,broken,retest,look,buy,revers,doubl
iter5_cv_split5,start,perspect,uptrend,retest,readi,volum,buy,entri,good,googl
iter6_cv_split1,uptrend,start,readi,perspect,buy,broken,emerg,retest,bull,instabuy
iter6_cv_split2,perspect,retest,pattern,revers,technic,broken,right,buy,look,readi
iter6_cv_split3,start,buy,bull,googl,good,soon,upsid,perspect,ltc,instabuy
iter6_cv_split4,start,uptrend,buy,close,anoth,look,candl,entri,level,googl
iter6_cv_split5,perspect,start,retest,buy,readi,volum,uptrend,selloff,level,upsid
iter7_cv_split1,buy,start,anoth,retest,level,volum,look,close,instabuy,ltc
iter7_cv_split2,uptrend,start,buy,daili,close,perspect,readi,ltc,instabuy,escal
iter7_cv_split3,start,uptrend,perspect,trigger,look,emerg,project,good,googl,ride
iter7_cv_split4,buy,bull,start,perspect,trigger,close,high,upsid,emerg,level
iter7_cv_split5,pattern,perspect,readi,sinc,ride,close,retest,emerg,level,buy
iter8_cv_split1,pattern,buy,close,readi,trigger,trap,project,start,emerg,perspect
