,full_test_accs,full_test_aucs,full_test_null_accs,full_train_accs,full_train_aucs,full_train_null_accs
iter1_cv_split1,0.8837209302325582,0.5833333333333333,0.8604651162790697,1.0,1.0,0.8698224852071006
iter1_cv_split2,0.9069767441860465,0.6666666666666667,0.8604651162790697,1.0,1.0,0.8698224852071006
iter1_cv_split3,0.8372093023255814,0.4864864864864865,0.8604651162790697,1.0,1.0,0.8698224852071006
iter1_cv_split4,0.9047619047619048,0.6,0.8809523809523809,1.0,1.0,0.8647058823529412
iter1_cv_split5,0.8536585365853658,0.5722222222222222,0.8780487804878049,1.0,1.0,0.8654970760233918
iter2_cv_split1,0.8604651162790697,0.5,0.8604651162790697,1.0,1.0,0.8698224852071006
iter2_cv_split2,0.8604651162790697,0.5698198198198198,0.8604651162790697,1.0,1.0,0.8698224852071006
iter2_cv_split3,0.8372093023255814,0.5563063063063063,0.8604651162790697,1.0,1.0,0.8698224852071006
iter2_cv_split4,0.8809523809523809,0.5,0.8809523809523809,1.0,1.0,0.8647058823529412
iter2_cv_split5,0.926829268292683,0.7,0.8780487804878049,1.0,1.0,0.8654970760233918
iter3_cv_split1,0.8837209302325582,0.5833333333333333,0.8604651162790697,1.0,1.0,0.8698224852071006
iter3_cv_split2,0.8372093023255814,0.4864864864864865,0.8604651162790697,1.0,1.0,0.8698224852071006
iter3_cv_split3,0.8837209302325582,0.5833333333333333,0.8604651162790697,1.0,1.0,0.8698224852071006
iter3_cv_split4,0.8333333333333334,0.47297297297297297,0.8809523809523809,1.0,1.0,0.8647058823529412
iter3_cv_split5,0.8292682926829268,0.4722222222222222,0.8780487804878049,1.0,1.0,0.8654970760233918
iter4_cv_split1,0.8604651162790697,0.5,0.8604651162790697,1.0,1.0,0.8698224852071006
iter4_cv_split2,0.8604651162790697,0.5,0.8604651162790697,1.0,1.0,0.8698224852071006
iter4_cv_split3,0.8372093023255814,0.4864864864864865,0.8604651162790697,1.0,1.0,0.8698224852071006
iter4_cv_split4,0.8809523809523809,0.5,0.8809523809523809,1.0,1.0,0.8647058823529412
iter4_cv_split5,0.8536585365853658,0.4861111111111111,0.8780487804878049,1.0,1.0,0.8654970760233918
iter5_cv_split1,0.8372093023255814,0.5563063063063063,0.8604651162790697,1.0,1.0,0.8698224852071006
