,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,buy,trigger,start,look,bull,high,upsid,soon,retest,btc
iter1_cv_split2,buy,trigger,look,entri,upsid,break,start,higher,level,bull
iter1_cv_split3,buy,trigger,look,upsid,volum,retest,start,high,bull,readi
iter1_cv_split4,buy,trigger,look,revers,start,upsid,breakout,break,bull,retest
iter1_cv_split5,trigger,buy,look,upsid,readi,bull,retest,start,break,market
iter2_cv_split1,buy,look,trigger,upsid,retest,readi,start,break,close,bull
iter2_cv_split2,trigger,buy,start,look,upsid,retest,high,readi,bull,way
iter2_cv_split3,buy,trigger,look,upsid,bull,start,retest,volum,breakout,alt
iter2_cv_split4,buy,trigger,look,breakout,break,start,entri,level,upsid,close
iter2_cv_split5,buy,trigger,look,bull,upsid,retest,start,high,break,readi
iter3_cv_split1,buy,trigger,look,start,retest,volum,level,upsid,readi,way
iter3_cv_split2,trigger,buy,look,upsid,start,bull,readi,high,retest,alt
iter3_cv_split3,buy,breakout,trigger,look,start,upsid,readi,bull,retest,close
iter3_cv_split4,buy,trigger,look,upsid,bull,soon,break,alt,high,close
iter3_cv_split5,buy,look,trigger,break,retest,revers,start,upsid,entri,higher
iter4_cv_split1,buy,trigger,look,high,start,bull,upsid,breakout,readi,break
iter4_cv_split2,trigger,buy,look,start,revers,upsid,bull,retest,way,entri
iter4_cv_split3,buy,trigger,upsid,look,start,soon,come,bull,break,alt
iter4_cv_split4,buy,trigger,look,retest,entri,break,upsid,higher,volum,breakout
iter4_cv_split5,buy,trigger,look,start,readi,upsid,bull,breakout,price,retest
iter5_cv_split1,trigger,buy,look,start,upsid,high,way,readi,bull,breakout
iter5_cv_split2,buy,trigger,start,look,bull,breakout,way,retest,upsid,day
iter5_cv_split3,buy,trigger,look,upsid,bull,price,start,soon,break,close
iter5_cv_split4,buy,trigger,look,revers,readi,retest,break,upsid,way,entri
iter5_cv_split5,buy,trigger,look,break,start,upsid,retest,volum,entri,bull
iter6_cv_split1,trigger,buy,look,bull,breakout,high,readi,way,start,level
iter6_cv_split2,buy,look,trigger,retest,upsid,start,revers,readi,way,confirm
iter6_cv_split3,buy,trigger,upsid,look,start,bull,trendlin,soon,entri,alt
iter6_cv_split4,buy,trigger,break,look,start,entri,bull,upsid,higher,way
iter6_cv_split5,buy,trigger,retest,look,volum,upsid,start,break,close,level
iter7_cv_split1,buy,trigger,look,revers,retest,start,volum,breakout,bull,way
iter7_cv_split2,buy,trigger,break,start,look,upsid,entri,readi,higher,daili
iter7_cv_split3,trigger,buy,look,upsid,start,bull,soon,break,btc,alt
iter7_cv_split4,buy,trigger,look,upsid,bull,alt,break,start,high,retest
iter7_cv_split5,buy,trigger,look,breakout,readi,retest,bull,upsid,entri,level
iter8_cv_split1,trigger,buy,look,upsid,high,readi,bull,retest,start,pattern
iter8_cv_split2,buy,trigger,look,start,upsid,bull,come,break,level,retest
iter8_cv_split3,buy,breakout,trigger,start,break,look,retest,volum,entri,upsid
iter8_cv_split4,buy,look,upsid,trigger,soon,start,high,bull,way,alt
iter8_cv_split5,buy,trigger,look,bull,retest,upsid,level,start,break,revers
iter9_cv_split1,trigger,buy,look,start,bull,retest,upsid,volum,break,entri
iter9_cv_split2,buy,trigger,look,start,upsid,break,bull,entri,retest,readi
iter9_cv_split3,buy,look,trigger,revers,soon,upsid,bull,start,alt,come
iter9_cv_split4,buy,trigger,breakout,look,upsid,readi,break,way,retest,alt
