,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,trigger,higher,revers,buy,breakout,high,amp,low,retest,look
iter1_cv_split2,trigger,buy,breakout,higher,revers,high,amp,look,trendlin,entri
iter1_cv_split3,trigger,buy,higher,high,breakout,revers,amp,low,retest,upsid
iter1_cv_split4,trigger,breakout,higher,revers,high,amp,buy,retest,look,break
iter1_cv_split5,trigger,buy,higher,high,revers,breakout,amp,entri,retest,low
iter2_cv_split1,trigger,buy,higher,high,revers,amp,breakout,low,look,retest
iter2_cv_split2,trigger,higher,breakout,high,revers,buy,low,retest,amp,trendlin
iter2_cv_split3,trigger,breakout,buy,revers,high,higher,amp,entri,look,trendlin
iter2_cv_split4,trigger,breakout,high,higher,buy,revers,amp,retest,break,low
iter2_cv_split5,trigger,higher,buy,high,amp,breakout,revers,entri,trendlin,break
iter3_cv_split1,trigger,buy,higher,breakout,revers,amp,high,low,look,entri
iter3_cv_split2,trigger,higher,high,buy,breakout,revers,retest,amp,low,entri
iter3_cv_split3,trigger,breakout,buy,revers,amp,high,higher,upsid,trendlin,retest
iter3_cv_split4,trigger,high,higher,buy,breakout,revers,amp,break,low,retest
iter3_cv_split5,trigger,revers,buy,breakout,higher,high,amp,retest,low,break
iter4_cv_split1,trigger,breakout,higher,buy,revers,high,low,look,amp,entri
iter4_cv_split2,trigger,breakout,revers,higher,buy,high,retest,amp,low,break
iter4_cv_split3,trigger,buy,revers,high,breakout,higher,amp,retest,upsid,like
iter4_cv_split4,trigger,buy,breakout,higher,high,amp,revers,trendlin,retest,upsid
iter4_cv_split5,trigger,higher,buy,high,breakout,amp,revers,look,low,entri
iter5_cv_split1,trigger,breakout,higher,high,retest,revers,buy,low,entri,amp
iter5_cv_split2,trigger,breakout,higher,buy,high,revers,amp,low,retest,look
iter5_cv_split3,trigger,buy,high,higher,breakout,amp,revers,look,retest,like
iter5_cv_split4,trigger,buy,higher,revers,high,breakout,amp,look,entri,trendlin
iter5_cv_split5,trigger,buy,higher,breakout,revers,high,amp,upsid,low,retest
iter6_cv_split1,trigger,buy,high,higher,breakout,revers,retest,look,support,entri
iter6_cv_split2,trigger,higher,breakout,buy,high,amp,revers,low,upsid,retest
iter6_cv_split3,trigger,buy,revers,breakout,amp,higher,high,look,retest,upsid
iter6_cv_split4,trigger,breakout,revers,buy,higher,high,low,entri,amp,trend
iter6_cv_split5,trigger,breakout,high,buy,higher,amp,revers,retest,low,look
