,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,lose,outjust,fiat,experienc,exchang,eventu,preceed,psycholog,econom,rebound
iter1_cv_split2,index,outjust,dramat,dow,parti,domin,digit,deutsch,descend,hr
iter1_cv_split3,immin,measur,collaps,rebound,recenc,red,classic,fomobuy,fool,mani
iter1_cv_split4,stay,metal,dure,mistak,dramat,dow,vix,money,domin,diversifi
iter1_cv_split5,index,crash,correl,sharpli,collaps,fomobuy,similiar,fool,sit,free
iter2_cv_split1,liquid,shutdown,sit,fomobuy,fool,characeteris,state,cent,stay,stockmarket
iter2_cv_split2,liquid,current,media,damag,measur,sit,descend,met,deutsch,digit
iter2_cv_split3,liquid,preceed,principl,econom,dramat,dow,diversifi,rebound,recenc,deutsch
iter2_cv_split4,heaven,fiat,fomobuy,free,game,generat,hack,hit,hl,hr
iter2_cv_split5,immin,psycholog,media,measur,mani,rebound,recenc,red,characeteris,mainstream
iter3_cv_split1,valid,principl,eventu,psycholog,mani,major,rebound,recenc,volatil,unsatisfi
iter3_cv_split2,interefer,crash,correl,convinc,sharpli,shoulder,shutdown,collaps,sit,fomobuy
iter3_cv_split3,dramat,late,larger,wellposit,recenc,red,mind,brutal,heaven,upside
iter3_cv_split4,domin,experienc,exchang,parti,eventu,preceed,withdraw,econom,dure,drop
iter3_cv_split5,bofa,volatil,mani,love,invalid,stockmarket,interefer,damag,signific,instead
iter4_cv_split1,trader,met,metal,mind,mistak,upside,money,econom,dow,domin
iter4_cv_split2,hr,riski,room,lose,wellposit,brutal,twilight,volatil,wind,love
iter4_cv_split3,hack,street,eventu,structur,vix,volatil,characeteris,outcom,parabola,larger
iter4_cv_split4,crash,mind,mistak,collaps,money,eventu,interefer,instead,exchang,unsatisfi
iter4_cv_split5,outcom,met,metal,mind,mistak,money,econom,vix,dramat,dow
iter5_cv_split1,lose,sharpli,order,shutdown,signific,collaps,sit,fomobuy,fool,characeteris
iter5_cv_split2,wall,media,mind,mistak,volatil,dramat,dow,domin,digit,onli
iter5_cv_split3,resistancenecklin,diversifi,digit,twilight,deutsch,descend,danger,sit,crisi,crash
iter5_cv_split4,descend,measur,crash,correl,convinc,trader,principl,fear,fiat,collaps
iter5_cv_split5,immin,convinc,media,measur,tradit,collaps,trader,rebound,recenc,red
iter6_cv_split1,mistak,fiat,similiar,money,fomobuy,stay,fool,stockmarket,structur,psycholog
iter6_cv_split2,lose,psycholog,ralli,rebound,recenc,red,dramat,dow,invalid,domin
iter6_cv_split3,hr,wall,convinc,preceed,massiv,tradit,trader,principl,collaps,mani
iter6_cv_split4,outcom,mainstream,damag,dramat,sharpli,danger,wall,love,shutdown,lose
iter6_cv_split5,structur,econom,vix,dramat,order,dow,volatil,otherwis,domin,diversifi
iter7_cv_split1,deutsch,unsatisfi,withdraw,characeteris,riski,room,mani,outcom,scale,mainstream
iter7_cv_split2,fork,media,measur,psycholog,fear,fiat,collaps,rebound,recenc,red
iter7_cv_split3,vix,metal,street,damag,fomobuy,rebound,red,late,brutal,larger
iter7_cv_split4,love,similiar,collaps,sit,fomobuy,fool,stay,stockmarket,structur,sunday
iter7_cv_split5,hack,fomobuy,fool,twilight,free,friday,game,fear,generat,hit
iter8_cv_split1,deutsch,outcom,outjust,eventu,parti,econom,principl,drop,dramat,psycholog
iter8_cv_split2,lose,digit,recenc,diversifi,domin,rebound,dow,invalid,ralli,psycholog
iter8_cv_split3,stockmarket,media,upside,met,metal,mind,mistak,econom,money,dow
iter8_cv_split4,rebound,sunday,red,deutsch,generat,nice,diversifi,experienc,domin,scale
iter8_cv_split5,index,lose,liquid,volatil,jun,invit,invalid,instead,immedi,hr
iter9_cv_split1,index,free,econom,danger,sunday,mistak,game,mind,generat,metal
iter9_cv_split2,descend,parti,eventu,preceed,econom,principl,psycholog,dow,domin,diversifi
iter9_cv_split3,resistancenecklin,principl,psycholog,dure,rebound,recenc,dramat,red,dow,domin
iter9_cv_split4,instead,free,friday,game,generat,heaven,hit,hl,hr,huge
iter9_cv_split5,treat,collaps,experienc,mainstream,preceed,principl,fear,fiat,characeteris,love
iter10_cv_split1,danger,rebound,red,mani,mainstream,characeteris,resistancenecklin,tradit,cent,trader
iter10_cv_split2,liquid,parti,experienc,principl,econom,dramat,rebound,dow,recenc,domin
iter10_cv_split3,descend,collaps,fear,upside,fiat,measur,rebound,recenc,red,wind
iter10_cv_split4,structur,mistak,dramat,dow,otherwis,outcom,domin,outjust,digit,parabola
iter10_cv_split5,index,fear,convinc,fiat,onli,collaps,shoulder,shutdown,similiar,sit
iter11_cv_split1,free,measur,fear,mani,mainstream,characeteris,love,rebound,recenc,red
iter11_cv_split2,lose,principl,psycholog,econom,rebound,recenc,red,dow,domin,diversifi
iter11_cv_split3,interefer,trader,dramat,metal,fear,wall,fiat,instead,bubbl,shutdown
iter11_cv_split4,riski,exchang,collaps,late,classic,larger,order,otherwis,outcom,outjust
iter11_cv_split5,outcom,convinc,plan,collaps,play,mani,experienc,mainstream,treat,principl
iter12_cv_split1,plan,need,nice,view,onli,vix,otherwis,volatil,dure,outjust
iter12_cv_split2,damag,mani,collaps,experienc,mainstream,upside,preceed,fear,principl,fiat
iter12_cv_split3,danger,mind,mistak,money,econom,dramat,dow,valid,diversifi,digit
iter12_cv_split4,heaven,tradit,domin,diversifi,digit,deutsch,descend,order,otherwis,outcom
iter12_cv_split5,hit,media,met,eventu,metal,mind,mistak,money,econom,vix
iter13_cv_split1,inevit,otherwis,convinc,signific,order,similiar,fear,fiat,collaps,state
iter13_cv_split2,fool,fomobuy,secut,parti,exchang,principl,sharpli,descend,friday,shutdown
iter13_cv_split3,deutsch,outjust,parti,eventu,psycholog,econom,dramat,rebound,dow,domin
iter13_cv_split4,outcom,mani,measur,met,mind,mistak,dure,need,dow,digit
iter13_cv_split5,domin,diversifi,red,investor,recenc,rebound,dow,digit,dramat,psycholog
iter14_cv_split1,invit,crisi,fool,crash,correl,convinc,sharpli,shutdown,free,collaps
iter14_cv_split2,deutsch,parti,exchang,eventu,principl,econom,dramat,rebound,recenc,red
iter14_cv_split3,danger,met,metal,mind,econom,valid,mistak,money,dow,need
iter14_cv_split4,state,dow,domin,nice,digit,deutsch,otherwis,outjust,vix,damag
iter14_cv_split5,interefer,order,crash,correl,sharpli,convinc,shutdown,signific,collaps,fomobuy
iter15_cv_split1,hit,fool,free,generat,twilight,hack,heaven,fear,hl,huge
iter15_cv_split2,upside,order,outcom,outjust,parti,wellposit,econom,dramat,dow,domin
iter15_cv_split3,fiat,fear,jun,brutal,money,mainstream,damag,invalid,brace,street
iter15_cv_split4,structur,measur,met,metal,mind,mistak,econom,money,dow,diversifi
iter15_cv_split5,liquid,econom,dramat,dow,rebound,domin,recenc,diversifi,red,digit
iter16_cv_split1,stay,mind,mistak,money,unsatisfi,econom,dow,upside,domin,diversifi
iter16_cv_split2,metal,fool,mind,exchang,preceed,state,met,stay,free,care
iter16_cv_split3,immedi,met,collaps,rebound,recenc,red,fear,fiat,measur,characeteris
iter16_cv_split4,stockmarket,mind,econom,mistak,dramat,money,dow,domin,diversifi,need
iter16_cv_split5,love,principl,psycholog,rebound,recenc,red,dramat,dow,resistancenecklin,domin
iter17_cv_split1,liquid,dow,wall,order,domin,otherwis,diversifi,parabola,deutsch,parti
iter17_cv_split2,recenc,outcom,outjust,play,econom,principl,dramat,dow,psycholog,diversifi
iter17_cv_split3,lower,principl,psycholog,rebound,recenc,red,dow,resistancenecklin,domin,digit
iter17_cv_split4,damag,media,metal,mind,mistak,vix,econom,money,dure,dramat
iter17_cv_split5,descend,measur,correl,wall,convinc,think,preceed,massiv,fear,collaps
iter18_cv_split1,immin,open,econom,order,otherwis,outcom,outjust,dow,diversifi,digit
iter18_cv_split2,damag,mind,mistak,money,econom,dramat,dow,domin,diversifi,view
iter18_cv_split3,free,domin,mainstream,diversifi,digit,twilight,deutsch,descend,massiv,sit
iter18_cv_split4,brace,quick,fork,sunday,exchang,need,free,rebound,recenc,red
iter18_cv_split5,street,mani,fear,fiat,think,collaps,mainstream,preceed,principl,love
iter19_cv_split1,hack,shutdown,collaps,upside,late,eventu,larger,exchang,characeteris,jun
iter19_cv_split2,lose,riski,fomobuy,damag,liquid,brutal,scale,danger,withdraw,love
iter19_cv_split3,damag,money,econom,dure,order,outcom,dow,domin,diversifi,parti
iter19_cv_split4,lose,diversifi,dow,resistancenecklin,dramat,econom,recenc,riski,rebound,psycholog
iter19_cv_split5,think,diversifi,domin,dow,outjust,outcom,otherwis,digit,order,open
iter20_cv_split1,danger,met,resistancenecklin,fear,fiat,media,measur,riski,room,mani
iter20_cv_split2,danger,mistak,money,upside,econom,dure,dramat,dow,domin,diversifi
iter20_cv_split3,outjust,mind,mistak,econom,vix,dramat,money,dow,volatil,domin
iter20_cv_split4,stockmarket,wall,preceed,mani,mainstream,fear,principl,characeteris,psycholog,love
iter20_cv_split5,eventu,stay,characeteris,riski,stockmarket,dow,sunday,fiat,hack,money
iter21_cv_split1,generat,econom,dramat,dow,measur,media,diversifi,twilight,deutsch,met
iter21_cv_split2,heaven,collaps,mainstream,parti,classic,unsatisfi,experienc,love,lose,liquid
iter21_cv_split3,hl,riski,damag,scale,wellposit,fomobuy,fool,secut,danger,wind
iter21_cv_split4,liquid,fiat,upside,fomobuy,fool,free,friday,game,unsatisfi,hack
iter21_cv_split5,lose,psycholog,rebound,recenc,red,dramat,dow,domin,resistancenecklin,digit
iter22_cv_split1,hr,digit,deutsch,order,otherwis,descend,outcom,outjust,parti,danger
iter22_cv_split2,resistancenecklin,mainstream,mani,dow,stockmarket,diversifi,digit,descend,measur,media
iter22_cv_split3,interefer,correl,shutdown,fomobuy,sit,free,friday,state,classic,stay
iter22_cv_split4,structur,metal,mind,mistak,money,econom,dramat,dow,open,order
iter22_cv_split5,tradit,love,fork,upside,vix,descend,free,immedi,resistancenecklin,deutsch
iter23_cv_split1,structur,mani,principl,mainstream,fear,fiat,characeteris,upside,love,care
iter23_cv_split2,larger,convinc,exchang,parti,lose,wall,collaps,experienc,classic,play
iter23_cv_split3,sit,lose,state,collaps,tradit,eventu,liquid,order,otherwis,outcom
iter23_cv_split4,free,love,domin,volatil,diversifi,digit,mainstream,mani,danger,damag
iter23_cv_split5,game,love,dow,trader,mainstream,major,digit,mani,treat,deutsch
iter24_cv_split1,damag,wall,lower,love,lose,preceed,fear,principl,characeteris,liquid
iter24_cv_split2,state,rebound,wellposit,recenc,red,parti,brutal,friday,descend,wind
iter24_cv_split3,fool,correl,vix,convinc,preceed,fear,collaps,principl,fiat,twilight
iter24_cv_split4,structur,onli,liquid,stay,order,otherwis,outcom,exchang,vix,characeteris
iter24_cv_split5,friday,wall,domin,diversifi,digit,lose,deutsch,love,twilight,descend
iter25_cv_split1,index,fear,fiat,sharpli,collaps,similiar,sit,need,fomobuy,fool
iter25_cv_split2,lose,damag,secut,crisi,fomobuy,crash,sharpli,fool,convinc,fork
iter25_cv_split3,treat,mainstream,psycholog,fear,fiat,rebound,recenc,characeteris,red,love
iter25_cv_split4,treat,otherwis,outcom,outjust,econom,vix,parti,dramat,dow,domin
iter25_cv_split5,damag,red,fear,mani,mainstream,resistancenecklin,treat,trader,riski,dramat
iter26_cv_split1,need,measur,dure,media,dramat,metal,dow,dont,diversifi,digit
iter26_cv_split2,liquid,index,deutsch,digit,diversifi,domin,dow,descend,red,rebound
iter26_cv_split3,hr,major,treat,mainstream,tradit,trader,principl,fear,collaps,fiat
iter26_cv_split4,vix,met,mind,mistak,upside,dow,domin,descend,danger,damag
iter26_cv_split5,hr,correl,preceed,convinc,massiv,principl,fear,wind,collaps,fiat
