,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,shkreli,amp,time,dipbuy,bulljuic,bitstamp,technic,markup,close,dip
iter1_cv_split2,trade,amp,eye,bitstamp,dipbuy,bulljuic,spot,way,break,breakout
iter1_cv_split3,shkreli,amp,breakout,trade,bitstamp,bulljuic,technic,moar,look,cap
iter1_cv_split4,amp,hypothesi,trade,markup,dipbuy,bulljuic,breakout,technic,moar,list
iter1_cv_split5,shkreli,markup,hypothesi,brb,eye,inevit,trade,close,moar,day
iter2_cv_split1,markup,amp,close,trade,dipbuy,bitstamp,bulljuic,shkreli,technic,time
iter2_cv_split2,inevit,hypothesi,amp,bulljuic,dipbuy,bitstamp,trade,markup,spot,break
iter2_cv_split3,shkreli,trade,technic,brb,eye,dipbuy,bitstamp,close,breakout,journey
iter2_cv_split4,amp,dip,trade,dipbuy,bulljuic,hypothesi,moar,day,break,way
iter2_cv_split5,shkreli,trade,amp,bulljuic,bitstamp,breakout,eye,spot,brb,moar
iter3_cv_split1,markup,trade,breakout,eye,bitstamp,bulljuic,inevit,spot,shkreli,close
iter3_cv_split2,trade,amp,breakout,technic,bulljuic,dipbuy,bitstamp,shkreli,close,spot
iter3_cv_split3,amp,shkreli,markup,dipbuy,hypothesi,close,inevit,trade,technic,cloud
iter3_cv_split4,amp,hypothesi,dip,technic,bulljuic,dipbuy,bitstamp,brb,trade,moar
iter3_cv_split5,shkreli,amp,hypothesi,breakout,trade,dipbuy,bitstamp,bulljuic,dip,day
iter4_cv_split1,shkreli,amp,eye,trade,breakout,bulljuic,bitstamp,dipbuy,close,brb
iter4_cv_split2,shkreli,markup,amp,trade,dipbuy,bitstamp,bulljuic,market,dip,technic
iter4_cv_split3,amp,hypothesi,dipbuy,trade,breakout,time,markup,break,shkreli,technic
iter4_cv_split4,trade,amp,dip,hypothesi,technic,bulljuic,bitstamp,spot,journey,year
iter4_cv_split5,breakout,eye,technic,bulljuic,bitstamp,dipbuy,setup,close,year,journey
iter5_cv_split1,trade,markup,shkreli,amp,bulljuic,bitstamp,dipbuy,breakout,moar,brb
iter5_cv_split2,eye,amp,hypothesi,breakout,technic,day,bitstamp,bulljuic,begun,year
iter5_cv_split3,amp,trade,shkreli,bitstamp,bulljuic,dipbuy,close,time,technic,year
iter5_cv_split4,dip,markup,amp,hypothesi,dipbuy,bitstamp,bulljuic,inevit,moar,trade
iter5_cv_split5,breakout,shkreli,trade,dipbuy,spot,amp,day,dip,markup,way
iter6_cv_split1,markup,amp,breakout,hypothesi,bitstamp,trade,close,inevit,eye,list
iter6_cv_split2,shkreli,trade,dipbuy,bitstamp,bulljuic,eye,look,spot,brb,technic
iter6_cv_split3,amp,close,hypothesi,technic,day,dipbuy,bulljuic,begun,journey,year
iter6_cv_split4,amp,dip,time,hypothesi,trade,bitstamp,bulljuic,dipbuy,markup,moar
iter6_cv_split5,shkreli,markup,trade,amp,bitstamp,bulljuic,dipbuy,eye,dip,day
iter7_cv_split1,hypothesi,amp,break,technic,year,journey,begun,trade,dipbuy,bulljuic
iter7_cv_split2,shkreli,amp,markup,technic,look,spot,breakout,year,begun,journey
iter7_cv_split3,markup,trade,bulljuic,bitstamp,dipbuy,eye,breakout,inevit,spot,way
iter7_cv_split4,dip,amp,hypothesi,bitstamp,bulljuic,dipbuy,trade,spot,moar,close
iter7_cv_split5,shkreli,amp,trade,hypothesi,bitstamp,dipbuy,bulljuic,breakout,moar,brb
iter8_cv_split1,shkreli,brb,technic,eye,close,hypothesi,breakout,moar,trade,dipbuy
iter8_cv_split2,dip,trade,amp,hypothesi,bulljuic,dipbuy,bitstamp,time,spot,moar
iter8_cv_split3,markup,amp,eye,bulljuic,dipbuy,bitstamp,breakout,shkreli,spot,close
iter8_cv_split4,markup,trade,shkreli,amp,bitstamp,bulljuic,inevit,technic,breakout,eye
iter8_cv_split5,hypothesi,markup,amp,trade,dipbuy,bulljuic,inevit,close,list,way
iter9_cv_split1,shkreli,time,eye,hypothesi,trade,markup,bitstamp,bulljuic,technic,brb
iter9_cv_split2,dip,amp,trade,technic,dipbuy,bitstamp,bulljuic,moar,breakout,markup
iter9_cv_split3,amp,trade,shkreli,dipbuy,breakout,dip,close,eye,technic,begun
iter9_cv_split4,shkreli,eye,hypothesi,brb,breakout,close,amp,day,moar,inevit
iter9_cv_split5,hypothesi,amp,trade,markup,dipbuy,bulljuic,bitstamp,way,spot,inevit
iter10_cv_split1,amp,trade,markup,bitstamp,hypothesi,inevit,technic,year,begun,journey
iter10_cv_split2,markup,shkreli,trade,amp,bulljuic,bitstamp,dipbuy,close,brb,technic
iter10_cv_split3,shkreli,time,hypothesi,eye,dipbuy,bitstamp,bulljuic,trade,brb,technic
iter10_cv_split4,amp,markup,trade,inevit,day,hypothesi,shkreli,eye,close,dipbuy
iter10_cv_split5,breakout,shkreli,amp,bulljuic,dipbuy,brb,close,dip,love,way
iter11_cv_split1,breakout,eye,inevit,dipbuy,bitstamp,bulljuic,spot,amp,markup,best
iter11_cv_split2,time,shkreli,hypothesi,amp,bitstamp,dipbuy,bulljuic,trade,close,brb
iter11_cv_split3,shkreli,hypothesi,amp,brb,breakout,technic,dipbuy,bitstamp,bulljuic,trade
iter11_cv_split4,dip,amp,trade,bitstamp,markup,moar,look,technic,spot,inevit
iter11_cv_split5,trade,amp,dipbuy,bulljuic,hypothesi,breakout,close,spot,eye,shkreli
iter12_cv_split1,markup,shkreli,trade,hypothesi,brb,technic,amp,close,moar,journey
