,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,denial,mustread,holder,current,abc,calm,sold,doe,valu,sourc
iter1_cv_split2,mustread,denial,holder,price,sold,abc,calm,reach,doe,lose
iter1_cv_split3,denial,holder,mustread,doe,abc,sold,calm,kind,cure,sourc
iter1_cv_split4,denial,holder,mustread,valu,abc,kind,sold,calm,hepat,credibl
iter1_cv_split5,doe,current,sourc,hepat,credibl,cure,valu,lose,human,satoshi
iter2_cv_split1,denial,holder,mustread,valu,abc,calm,sold,kind,credibl,sourc
iter2_cv_split2,mustread,holder,denial,current,lose,price,valu,shitcoin,everi,human
iter2_cv_split3,doe,abc,sold,calm,lose,sell,credibl,cure,hepat,sourc
iter2_cv_split4,denial,holder,mustread,doe,valu,reach,calm,sold,abc,hepat
iter2_cv_split5,denial,holder,mustread,doe,current,abc,sold,calm,sourc,cure
iter3_cv_split1,mustread,holder,denial,doe,valu,current,lose,appreci,everi,human
iter3_cv_split2,valu,price,abc,calm,sold,sell,current,kind,hepat,cure
iter3_cv_split3,denial,holder,mustread,abc,sold,calm,credibl,cure,sourc,hepat
iter3_cv_split4,denial,holder,mustread,doe,abc,sold,calm,lose,credibl,sourc
iter3_cv_split5,denial,holder,mustread,current,doe,credibl,cure,hepat,sourc,abc
iter4_cv_split1,denial,holder,mustread,doe,lose,sell,credibl,cure,sourc,hepat
iter4_cv_split2,denial,holder,mustread,abc,sold,calm,doe,valu,credibl,hepat
iter4_cv_split3,denial,holder,mustread,current,sold,abc,calm,hepat,credibl,cure
iter4_cv_split4,denial,holder,mustread,abc,calm,sold,valu,kind,credibl,cure
iter4_cv_split5,doe,abc,sold,calm,valu,price,lose,current,kind,shitcoin
iter5_cv_split1,denial,holder,mustread,credibl,cure,hepat,sourc,abc,sold,calm
iter5_cv_split2,doe,abc,sold,calm,kind,everi,human,satoshi,appreci,lose
iter5_cv_split3,mustread,denial,holder,abc,sold,calm,current,valu,credibl,sourc
iter5_cv_split4,denial,mustread,holder,doe,valu,lose,sourc,cure,credibl,hepat
iter5_cv_split5,denial,holder,mustread,doe,valu,abc,kind,sold,calm,current
iter6_cv_split1,denial,holder,mustread,abc,kind,sold,calm,lose,valu,current
iter6_cv_split2,denial,holder,mustread,doe,current,abc,sold,calm,valu,kind
iter6_cv_split3,abc,sold,calm,credibl,hepat,sourc,cure,lose,kind,doe
iter6_cv_split4,holder,mustread,denial,doe,valu,abc,calm,sold,reach,sourc
iter6_cv_split5,mustread,denial,holder,doe,current,valu,hepat,cure,sourc,credibl
iter7_cv_split1,doe,abc,sold,calm,lose,kind,human,everi,satoshi,appreci
