,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,time,dip,amp,close,trade,cloud,look,soon,breakout,exchang
iter1_cv_split2,trade,amp,close,dip,cloud,huge,break,breakout,eye,cap
iter1_cv_split3,amp,close,trade,look,breakout,huge,bullish,cap,break,wedg
iter1_cv_split4,amp,trade,bull,close,breakout,dip,market,volum,look,div
iter1_cv_split5,trade,close,dip,amp,cloud,div,bullish,time,day,bull
iter2_cv_split1,close,look,amp,trade,bull,time,div,breakout,support,love
iter2_cv_split2,trade,amp,dip,cloud,look,breakout,soon,close,best,bull
iter2_cv_split3,trade,close,amp,dip,breakout,look,huge,bullish,time,soon
iter2_cv_split4,amp,trade,dip,close,cloud,look,volum,huge,day,break
iter2_cv_split5,trade,close,amp,dip,cloud,breakout,huge,soon,break,run
iter3_cv_split1,trade,look,close,breakout,dip,huge,break,cloud,amp,eye
iter3_cv_split2,trade,bull,amp,time,close,breakout,huge,soon,cloud,spot
iter3_cv_split3,trade,amp,close,dip,cloud,div,best,updat,look,week
iter3_cv_split4,amp,dip,trade,breakout,close,break,volum,bullish,huge,cloud
iter3_cv_split5,close,dip,trade,amp,look,breakout,day,soon,div,cap
iter4_cv_split1,amp,trade,look,close,dip,breakout,cloud,day,wedg,love
iter4_cv_split2,trade,close,amp,dip,market,bull,volum,week,break,run
iter4_cv_split3,amp,time,trade,close,breakout,dip,cloud,look,break,soon
iter4_cv_split4,trade,close,amp,dip,cloud,huge,time,soon,bull,bullish
iter4_cv_split5,bull,close,trade,breakout,amp,dip,soon,cap,best,div
iter5_cv_split1,trade,bull,look,amp,close,dip,huge,breakout,time,markup
iter5_cv_split2,amp,close,breakout,trade,dip,look,eye,div,day,time
iter5_cv_split3,trade,close,time,dip,cloud,amp,look,bullish,love,updat
iter5_cv_split4,amp,trade,dip,cloud,div,close,soon,breakout,huge,bull
iter5_cv_split5,close,trade,amp,breakout,dip,cloud,soon,day,break,way
iter6_cv_split1,trade,amp,bull,close,breakout,cloud,dip,look,soon,best
iter6_cv_split2,look,trade,close,dip,cloud,amp,huge,bullish,break,cap
iter6_cv_split3,amp,close,trade,dip,div,bull,day,breakout,best,time
iter6_cv_split4,time,amp,close,trade,dip,volum,div,breakout,look,market
iter6_cv_split5,trade,close,amp,dip,breakout,cloud,huge,break,soon,day
iter7_cv_split1,trade,amp,close,dip,huge,cloud,div,soon,bullish,break
