,full_test_accs,full_test_aucs,full_test_null_accs,full_train_accs,full_train_aucs,full_train_null_accs
iter1_cv_split1,0.8518518518518519,0.6630434782608696,0.8518518518518519,0.9904761904761905,1.0,0.8666666666666667
iter1_cv_split2,0.8518518518518519,0.5434782608695652,0.8518518518518519,0.9904761904761905,1.0,0.8666666666666667
iter1_cv_split3,0.8518518518518519,0.5978260869565217,0.8518518518518519,0.9904761904761905,1.0,0.8666666666666667
iter1_cv_split4,0.8846153846153846,0.536231884057971,0.8846153846153846,0.9905660377358491,1.0,0.8584905660377359
iter1_cv_split5,0.88,0.7196969696969697,0.88,1.0,1.0,0.8598130841121495
iter2_cv_split1,0.8518518518518519,0.40217391304347827,0.8518518518518519,0.9904761904761905,1.0,0.8666666666666667
iter2_cv_split2,0.8518518518518519,0.7282608695652174,0.8518518518518519,0.9904761904761905,1.0,0.8666666666666667
iter2_cv_split3,0.8518518518518519,0.641304347826087,0.8518518518518519,1.0,1.0,0.8666666666666667
iter2_cv_split4,0.8846153846153846,0.4347826086956522,0.8846153846153846,0.9905660377358491,1.0,0.8584905660377359
iter2_cv_split5,0.88,0.696969696969697,0.88,0.9906542056074766,1.0,0.8598130841121495
iter3_cv_split1,0.8518518518518519,0.6739130434782608,0.8518518518518519,0.9904761904761905,1.0,0.8666666666666667
iter3_cv_split2,0.8518518518518519,0.3586956521739131,0.8518518518518519,1.0,1.0,0.8666666666666667
iter3_cv_split3,0.8518518518518519,0.782608695652174,0.8518518518518519,0.9904761904761905,1.0,0.8666666666666667
iter3_cv_split4,0.8846153846153846,0.5797101449275363,0.8846153846153846,0.9905660377358491,1.0,0.8584905660377359
iter3_cv_split5,0.88,0.5303030303030303,0.88,0.9906542056074766,1.0,0.8598130841121495
iter4_cv_split1,0.8518518518518519,0.5,0.8518518518518519,0.9904761904761905,1.0,0.8666666666666667
iter4_cv_split2,0.8518518518518519,0.6086956521739131,0.8518518518518519,0.9904761904761905,1.0,0.8666666666666667
iter4_cv_split3,0.8518518518518519,0.75,0.8518518518518519,0.9904761904761905,1.0,0.8666666666666667
iter4_cv_split4,0.8846153846153846,0.6086956521739131,0.8846153846153846,0.9905660377358491,1.0,0.8584905660377359
iter4_cv_split5,0.88,0.553030303030303,0.88,1.0,1.0,0.8598130841121495
iter5_cv_split1,0.8518518518518519,0.3804347826086957,0.8518518518518519,0.9904761904761905,1.0,0.8666666666666667
iter5_cv_split2,0.8518518518518519,0.8913043478260869,0.8518518518518519,1.0,1.0,0.8666666666666667
iter5_cv_split3,0.8518518518518519,0.7391304347826086,0.8518518518518519,0.9904761904761905,1.0,0.8666666666666667
iter5_cv_split4,0.8846153846153846,0.30434782608695654,0.8846153846153846,0.9905660377358491,1.0,0.8584905660377359
iter5_cv_split5,0.88,0.6212121212121212,0.88,0.9906542056074766,1.0,0.8598130841121495
iter6_cv_split1,0.8518518518518519,0.5,0.8518518518518519,0.9904761904761905,1.0,0.8666666666666667
iter6_cv_split2,0.8518518518518519,0.5326086956521738,0.8518518518518519,0.9904761904761905,1.0,0.8666666666666667
iter6_cv_split3,0.8518518518518519,0.7228260869565217,0.8518518518518519,1.0,1.0,0.8666666666666667
