,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,current,doe,valu,denial,holder,mustread,lose,sold,calm,abc
iter1_cv_split2,denial,holder,mustread,price,lose,valu,abc,sold,calm,doe
iter1_cv_split3,doe,holder,mustread,denial,transfer,calm,sold,abc,resist,kind
iter1_cv_split4,valu,denial,holder,mustread,doe,lose,transfer,abc,kind,calm
iter1_cv_split5,doe,current,valu,transfer,shitcoin,sourc,credibl,hepat,cure,scale
iter2_cv_split1,valu,holder,mustread,denial,current,doe,lose,kind,abc,sold
iter2_cv_split2,holder,mustread,denial,price,current,lose,valu,shitcoin,credit,scale
iter2_cv_split3,doe,sell,lose,resist,transfer,abc,sold,calm,credit,credibl
iter2_cv_split4,doe,valu,denial,holder,mustread,scale,transfer,abc,sold,calm
iter2_cv_split5,doe,current,denial,holder,mustread,valu,abc,sold,calm,transfer
iter3_cv_split1,doe,valu,denial,mustread,holder,current,lose,transfer,credit,resist
iter3_cv_split2,valu,sell,price,current,doe,lose,abc,sold,calm,shitcoin
iter3_cv_split3,denial,holder,mustread,lose,valu,abc,sold,calm,shitcoin,cure
iter3_cv_split4,doe,denial,holder,mustread,lose,transfer,sold,abc,calm,scale
iter3_cv_split5,doe,current,denial,mustread,holder,valu,scale,transfer,abc,calm
iter4_cv_split1,doe,mustread,holder,denial,sell,lose,transfer,resist,shitcoin,scale
iter4_cv_split2,doe,valu,denial,holder,mustread,lose,abc,sold,calm,transfer
iter4_cv_split3,current,holder,mustread,denial,valu,doe,calm,sold,abc,hepat
iter4_cv_split4,denial,holder,mustread,valu,abc,calm,sold,current,scale,buy
iter4_cv_split5,doe,valu,current,lose,price,calm,sold,abc,transfer,shitcoin
iter5_cv_split1,mustread,holder,denial,scale,valu,lose,current,abc,sold,calm
iter5_cv_split2,doe,transfer,abc,sold,calm,shitcoin,scale,credit,human,appreci
iter5_cv_split3,valu,current,denial,holder,mustread,price,lose,abc,calm,sold
iter5_cv_split4,doe,valu,denial,mustread,holder,lose,transfer,sell,shitcoin,price
iter5_cv_split5,doe,valu,denial,holder,mustread,current,abc,kind,sold,calm
iter6_cv_split1,denial,holder,mustread,lose,valu,abc,kind,sold,calm,shitcoin
iter6_cv_split2,doe,valu,current,denial,holder,mustread,abc,sold,calm,transfer
iter6_cv_split3,doe,lose,transfer,scale,sold,abc,calm,shitcoin,credibl,sourc
iter6_cv_split4,doe,denial,holder,mustread,valu,abc,sold,calm,shitcoin,reach
iter6_cv_split5,doe,valu,current,denial,holder,mustread,lose,transfer,cure,hepat
iter7_cv_split1,doe,lose,transfer,sold,abc,calm,scale,peopl,credit,kind
iter7_cv_split2,doe,valu,denial,holder,mustread,lose,abc,sold,calm,transfer
iter7_cv_split3,sell,denial,holder,mustread,abc,sold,calm,price,current,credit
iter7_cv_split4,current,doe,valu,holder,mustread,denial,lose,shitcoin,cure,hepat
iter7_cv_split5,doe,valu,denial,holder,mustread,current,transfer,abc,sold,calm
iter8_cv_split1,doe,transfer,abc,sold,calm,shitcoin,scale,credibl,sourc,hepat
iter8_cv_split2,mustread,holder,denial,valu,current,sold,calm,abc,shitcoin,cure
iter8_cv_split3,valu,current,holder,mustread,denial,doe,lose,transfer,shitcoin,sourc
iter8_cv_split4,doe,current,valu,mustread,denial,holder,sell,lose,resist,abc
iter8_cv_split5,doe,valu,denial,holder,mustread,lose,abc,kind,sold,calm
iter9_cv_split1,doe,valu,holder,denial,mustread,current,lose,abc,sold,calm
iter9_cv_split2,doe,valu,holder,mustread,denial,scale,transfer,abc,sold,calm
iter9_cv_split3,doe,current,denial,holder,mustread,price,valu,abc,sold,calm
iter9_cv_split4,doe,lose,transfer,shitcoin,hepat,credibl,cure,sourc,credit,scale
iter9_cv_split5,mustread,denial,holder,valu,current,lose,calm,kind,abc,sold
iter10_cv_split1,denial,holder,mustread,valu,lose,doe,calm,abc,sold,price
iter10_cv_split2,doe,valu,denial,holder,mustread,current,lose,abc,sold,calm
iter10_cv_split3,doe,denial,holder,mustread,lose,scale,abc,sold,calm,shitcoin
iter10_cv_split4,current,sell,valu,doe,transfer,abc,sold,calm,shitcoin,reach
iter10_cv_split5,doe,valu,holder,denial,mustread,current,shitcoin,transfer,credit,credibl
iter11_cv_split1,doe,valu,current,transfer,shitcoin,peopl,credit,resist,scale,play
iter11_cv_split2,doe,current,holder,mustread,denial,valu,price,shitcoin,abc,calm
