,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,trade,look,bull,time,market,dip,support,close,buy,volum
iter1_cv_split2,bull,trade,support,time,close,amp,look,market,week,bullish
iter1_cv_split3,trade,bull,time,look,close,support,amp,breakout,market,huge
iter1_cv_split4,trade,bull,close,look,time,amp,support,market,buy,rsi
iter1_cv_split5,trade,look,bull,amp,close,bullish,market,time,huge,week
iter2_cv_split1,trade,close,look,bull,time,amp,support,buy,bullish,breakout
iter2_cv_split2,trade,bull,look,time,amp,support,buy,volum,market,dip
iter2_cv_split3,trade,look,close,bull,market,support,amp,time,buy,huge
iter2_cv_split4,trade,bull,time,amp,close,support,market,bullish,look,div
iter2_cv_split5,trade,bull,support,close,look,market,dip,time,amp,volum
iter3_cv_split1,trade,look,bull,time,support,close,buy,amp,cloud,dip
iter3_cv_split2,trade,bull,look,amp,close,support,market,bullish,time,volum
iter3_cv_split3,trade,close,bull,look,support,market,time,amp,week,soon
iter3_cv_split4,trade,bull,amp,time,market,look,close,support,buy,dip
iter3_cv_split5,trade,look,time,bull,close,volum,dip,rsi,market,buy
iter4_cv_split1,trade,bull,time,close,look,support,amp,market,cloud,huge
iter4_cv_split2,trade,look,close,amp,time,market,support,buy,bull,volum
iter4_cv_split3,bull,trade,look,market,close,time,support,amp,volum,dip
iter4_cv_split4,trade,bull,look,time,market,amp,support,close,bullish,buy
iter4_cv_split5,trade,bull,look,support,time,close,amp,dip,div,sell
iter5_cv_split1,trade,close,look,bull,time,amp,support,buy,market,dip
iter5_cv_split2,bull,trade,look,market,time,amp,close,support,buy,volum
iter5_cv_split3,trade,look,bull,support,time,close,market,amp,volum,huge
iter5_cv_split4,trade,bull,look,close,time,bullish,amp,cloud,div,market
iter5_cv_split5,trade,bull,look,support,amp,time,dip,close,market,volum
iter6_cv_split1,bull,trade,look,close,support,volum,amp,market,time,dip
iter6_cv_split2,look,trade,bull,support,time,market,amp,close,huge,volum
iter6_cv_split3,trade,look,bull,close,support,amp,time,market,buy,dip
iter6_cv_split4,trade,look,time,bull,amp,bullish,volum,market,close,cloud
iter6_cv_split5,trade,bull,time,amp,close,support,look,dip,bullish,market
iter7_cv_split1,trade,bull,look,time,amp,support,close,bullish,market,buy
iter7_cv_split2,trade,bull,time,look,close,amp,support,week,bullish,market
iter7_cv_split3,trade,look,close,time,bull,support,amp,cloud,dip,buy
iter7_cv_split4,trade,support,close,bull,look,amp,market,dip,buy,time
iter7_cv_split5,trade,bull,close,market,time,amp,look,support,cloud,week
iter8_cv_split1,trade,look,bull,close,time,market,support,amp,volum,buy
iter8_cv_split2,trade,bull,close,look,time,support,dip,market,amp,sell
iter8_cv_split3,trade,bull,look,support,amp,close,market,time,bullish,rsi
iter8_cv_split4,bull,trade,look,time,support,amp,buy,dip,bullish,volum
iter8_cv_split5,trade,look,close,time,bull,amp,market,support,bullish,cloud
iter9_cv_split1,look,trade,bull,time,close,amp,support,bullish,volum,dip
iter9_cv_split2,trade,look,bull,close,time,support,market,amp,volum,breakout
iter9_cv_split3,trade,bull,look,close,time,support,market,volum,bullish,amp
iter9_cv_split4,trade,look,bull,amp,time,market,close,support,buy,bullish
iter9_cv_split5,trade,bull,amp,time,close,dip,support,look,cloud,market
iter10_cv_split1,trade,look,close,time,support,market,amp,huge,cloud,dip
iter10_cv_split2,trade,bull,look,close,time,buy,support,market,div,bullish
iter10_cv_split3,trade,look,bull,close,time,amp,support,volum,week,buy
iter10_cv_split4,trade,look,bull,time,support,amp,market,bullish,close,week
iter10_cv_split5,trade,bull,amp,support,market,close,buy,look,time,volum
iter11_cv_split1,trade,close,market,bull,time,look,amp,support,bullish,dip
iter11_cv_split2,bull,close,look,time,trade,amp,support,market,week,like
iter11_cv_split3,trade,look,bull,time,close,support,market,amp,volum,bullish
iter11_cv_split4,trade,bull,look,amp,support,close,market,dip,buy,volum
iter11_cv_split5,trade,bull,look,time,support,close,amp,market,bullish,cloud
iter12_cv_split1,trade,look,bull,market,amp,close,buy,support,cloud,bullish
iter12_cv_split2,trade,look,bull,support,time,close,amp,volum,market,breakout
iter12_cv_split3,trade,look,bull,time,close,support,amp,bullish,market,huge
iter12_cv_split4,trade,bull,amp,time,dip,close,support,market,volum,target
iter12_cv_split5,trade,bull,look,close,time,support,market,amp,buy,rsi
iter13_cv_split1,trade,bull,time,close,look,market,support,dip,volum,bullish
iter13_cv_split2,trade,bull,look,time,amp,close,support,market,bullish,week
iter13_cv_split3,trade,look,bull,support,time,amp,close,dip,market,volum
iter13_cv_split4,trade,look,close,bull,amp,time,support,dip,buy,bullish
iter13_cv_split5,trade,look,bull,close,amp,support,time,market,buy,huge
iter14_cv_split1,bull,trade,time,close,look,market,bullish,support,dip,volum
iter14_cv_split2,trade,look,time,close,amp,bull,market,bullish,support,volum
iter14_cv_split3,trade,bull,close,look,support,market,div,time,rsi,dip
iter14_cv_split4,trade,bull,look,support,amp,market,close,time,bullish,soon
iter14_cv_split5,trade,look,amp,bull,time,support,close,buy,dip,volum
iter15_cv_split1,trade,bull,look,time,support,close,amp,bullish,div,dip
iter15_cv_split2,trade,look,close,bull,time,market,amp,support,volum,buy
iter15_cv_split3,bull,trade,support,look,close,buy,market,dip,div,time
iter15_cv_split4,trade,look,close,time,amp,bull,market,week,buy,support
iter15_cv_split5,trade,bull,close,time,look,amp,support,market,volum,bullish
iter16_cv_split1,trade,bull,time,amp,close,look,support,dip,buy,market
iter16_cv_split2,bull,look,time,trade,close,support,bullish,market,volum,div
iter16_cv_split3,trade,bull,support,look,amp,close,time,volum,buy,dip
iter16_cv_split4,trade,bull,look,support,time,close,market,amp,breakout,huge
iter16_cv_split5,trade,look,market,amp,close,bull,time,buy,support,volum
iter17_cv_split1,trade,bull,look,time,amp,market,close,bullish,dip,week
iter17_cv_split2,trade,bull,close,look,time,support,market,amp,week,buy
iter17_cv_split3,trade,look,close,support,bull,bullish,amp,market,week,dip
iter17_cv_split4,trade,bull,time,look,amp,volum,support,breakout,cloud,close
iter17_cv_split5,bull,trade,close,look,time,support,amp,market,div,rsi
iter18_cv_split1,trade,time,bull,look,amp,close,market,dip,bullish,support
iter18_cv_split2,trade,time,bull,look,support,close,market,amp,volum,dip
iter18_cv_split3,trade,look,bull,support,close,amp,buy,dip,market,time
iter18_cv_split4,trade,bull,look,close,time,bullish,amp,market,support,volum
iter18_cv_split5,trade,bull,look,time,support,close,amp,market,rsi,week
iter19_cv_split1,trade,time,close,bull,look,market,amp,bullish,breakout,volum
iter19_cv_split2,trade,bull,support,look,close,dip,time,amp,buy,cloud
iter19_cv_split3,bull,trade,look,support,close,time,amp,bullish,rsi,dip
iter19_cv_split4,trade,look,bull,close,time,market,support,amp,huge,cloud
iter19_cv_split5,trade,look,bull,amp,support,time,market,close,volum,buy
iter20_cv_split1,trade,close,bull,time,amp,look,support,bullish,week,buy
iter20_cv_split2,trade,look,time,close,bull,amp,support,market,huge,volum
iter20_cv_split3,trade,bull,look,amp,close,market,support,bullish,dip,volum
iter20_cv_split4,trade,look,bull,time,market,support,buy,close,amp,cloud
iter20_cv_split5,trade,look,bull,support,time,close,amp,huge,market,rsi
iter21_cv_split1,trade,look,bull,market,close,time,support,amp,cloud,buy
iter21_cv_split2,bull,look,trade,close,support,dip,amp,time,buy,target
iter21_cv_split3,trade,bull,close,time,amp,look,support,market,volum,breakout
iter21_cv_split4,trade,bull,look,support,time,amp,close,volum,market,rsi
iter21_cv_split5,trade,bull,time,look,close,market,amp,support,bullish,volum
iter22_cv_split1,trade,look,bull,time,amp,close,support,market,dip,volum
iter22_cv_split2,bull,trade,time,support,close,amp,look,rsi,bullish,buy
iter22_cv_split3,trade,bull,look,amp,time,support,market,close,dip,bullish
iter22_cv_split4,trade,look,close,time,market,bull,amp,bullish,volum,support
iter22_cv_split5,trade,bull,look,close,support,time,amp,market,bullish,breakout
iter23_cv_split1,bull,time,look,trade,market,amp,support,close,volum,breakout
iter23_cv_split2,trade,bull,time,close,market,look,amp,support,bitcoin,soon
iter23_cv_split3,trade,bull,look,support,amp,time,dip,close,buy,volum
iter23_cv_split4,trade,look,bull,support,time,close,market,bullish,dip,amp
iter23_cv_split5,trade,bull,look,close,amp,market,support,time,bullish,buy
iter24_cv_split1,trade,look,time,close,amp,market,buy,dip,week,day
iter24_cv_split2,trade,bull,look,amp,support,time,buy,close,cloud,dip
iter24_cv_split3,trade,bull,look,time,amp,support,close,market,volum,dip
iter24_cv_split4,bull,trade,close,time,market,look,support,amp,bullish,rsi
iter24_cv_split5,trade,bull,look,close,support,market,huge,cloud,time,rsi
iter25_cv_split1,trade,bull,close,amp,look,time,market,support,volum,cloud
iter25_cv_split2,trade,look,time,bull,close,amp,buy,support,dip,market
iter25_cv_split3,bull,look,trade,close,support,amp,dip,div,bullish,time
iter25_cv_split4,trade,look,bull,time,market,support,amp,close,cloud,buy
iter25_cv_split5,trade,look,bull,time,close,amp,market,support,bullish,rsi
iter26_cv_split1,look,time,close,trade,bull,amp,market,support,volum,breakout
iter26_cv_split2,trade,bull,look,support,market,bullish,close,time,amp,breakout
iter26_cv_split3,trade,bull,look,close,amp,support,time,market,buy,dip
iter26_cv_split4,trade,bull,amp,look,market,time,close,dip,rsi,support
iter26_cv_split5,trade,bull,look,support,time,close,amp,bullish,volum,rsi
iter27_cv_split1,trade,bull,look,close,time,support,bullish,amp,volum,div
iter27_cv_split2,trade,time,bull,market,look,amp,buy,volum,dip,close
iter27_cv_split3,trade,look,bull,close,market,support,time,amp,dip,buy
iter27_cv_split4,trade,bull,support,amp,look,close,time,dip,div,market
iter27_cv_split5,trade,bull,look,amp,close,time,support,market,volum,week
iter28_cv_split1,trade,look,bull,time,market,close,buy,amp,huge,bullish
iter28_cv_split2,trade,bull,close,time,market,look,amp,support,volum,breakout
iter28_cv_split3,trade,bull,look,amp,close,support,market,time,dip,bullish
iter28_cv_split4,trade,look,bull,close,support,time,amp,bullish,dip,market
iter28_cv_split5,trade,bull,time,look,dip,amp,support,close,cloud,buy
iter29_cv_split1,trade,bull,look,amp,market,support,time,volum,bullish,buy
iter29_cv_split2,trade,bull,look,time,support,close,market,volum,dip,rsi
iter29_cv_split3,trade,look,bull,close,time,amp,support,bullish,dip,div
iter29_cv_split4,trade,bull,close,amp,support,time,look,volum,bullish,market
